method,harm_to_correction_ratio,n_fitted_pairs,calibration_utility_mean,test_utility_mean,test_utility_ci_low,test_utility_ci_high,test_utility_median,test_utility_q1,test_utility_q3,test_utility_min,test_utility_max,positive_utility_pairs,test_minus_calibration_mean,recovery_selection_rate,negative_transfer_prevention,recovery_retention
Conditional Lite-CF,5.0,10,96.19071245280432,-52.92479108635098,-132.93285513751852,27.083272964816544,-17.409470752089135,-31.337047353760447,6.963788300835655,-287.25626740947075,55.710306406685234,3,-149.1155035391553,0.6943071030640667,0.7416088107067494,0.3304480889517104
All-row multinomial,5.0,10,104.69880257878913,-20.020891364902507,-76.01691018774402,35.97512745793901,-4.352367688022284,-16.974233983286908,0.0,-219.35933147632312,92.27019498607243,2,-124.71969394369164,0.2440633704735376,0.8467416922565377,0.26406662732760966
Two-stage,5.0,10,81.90488141270669,-33.600278551532035,-120.39789387923875,53.19733677617469,-2.6114206128133706,-13.927576601671309,25.24373259052925,-330.7799442896936,92.27019498607243,5,-115.50515996423871,0.1312325905292479,0.8451591374808622,0.2617601551626653
Frozen Lite-CF (ungated),5.0,10,,-17.58356545961003,-62.836662758535944,27.669531839315887,0.0,-7.399025069637882,10.010445682451254,-191.5041782729805,22.632311977715876,4,,0.5217618384401114,0.944093715570076,0.09548692150049426
Retrospective support gate Lite-CF,5.0,10,,-19.672701949860723,-64.05911962568004,24.713715725958593,0.0,-2.6114206128133706,0.0,-191.5041782729805,22.632311977715876,2,,0.3110724233983287,0.9591282978460376,0.06456448963466617
All-row multinomial (safety),5.0,10,,-8.530640668523677,-22.747955522729974,5.686674185682618,-1.7409470752089136,-11.316155988857938,0.0,-59.192200557103064,12.186629526462395,2,,0.029665738161559856,0.9623677066398134,0.06501232879699273
Always PDRF,5.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,1.0,0.0
Always RO-PDRF-Lite,5.0,10,,-334.4359331476323,-502.8749758022164,-165.99689049304817,-346.44846796657384,-403.4644846796657,-137.53481894150417,-762.5348189415042,-45.26462395543175,0,,1.0,0.0,1.0
Conditional Lite-CF,10.0,10,79.09723842744883,-81.65041782729806,-194.0363922971452,30.735556642549085,-25.24373259052925,-51.35793871866295,-7.399025069637883,-515.3203342618384,0.0,0,-160.7476562547469,0.5431058495821727,0.9167373033709865,0.1230308189245251
All-row multinomial,10.0,10,88.0654304618556,-95.92618384401112,-222.73883606546445,30.886468377442228,-48.74651810584958,-93.14066852367688,0.0,-584.958217270195,1.7409470752089136,1,-183.99161430586673,0.10626740947075206,0.8941671665112801,0.17411138482999436
Two-stage,10.0,10,72.76305762842523,-86.00278551532034,-230.67905118338174,58.673480152741064,-12.186629526462394,-74.86072423398329,1.3057103064066853,-645.891364902507,29.596100278551532,3,-158.76584314374554,0.07778551532033423,0.9049798118000829,0.1527746258721188
Frozen Lite-CF (ungated),10.0,10,,-59.36629526462396,-155.56154072127373,36.82895019202583,-13.057103064066851,-43.08844011142061,0.0,-435.2367688022284,10.445682451253482,2,,0.5217618384401114,0.944093715570076,0.09548692150049426
Retrospective support gate Lite-CF,10.0,10,,-53.62116991643454,-151.32089952208526,44.07855968921619,0.0,-35.254178272980496,0.0,-435.2367688022284,10.445682451253482,2,,0.3110724233983287,0.9591282978460376,0.06456448963466617
All-row multinomial (safety),10.0,10,,-31.162952646239553,-69.0263901855032,6.700484893024104,-15.668523676880222,-39.17130919220055,0.0,-172.35376044568244,5.222841225626741,1,,0.029665738161559856,0.9623677066398134,0.06501232879699273
Always PDRF,10.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,1.0,0.0
Always RO-PDRF-Lite,10.0,10,,-917.6532033426186,-1276.8668826248338,-558.4395240604033,-899.1991643454039,-1082.433844011142,-534.9059888579387,-1885.4456824512536,-351.67130919220057,0,,1.0,0.0,1.0
