seed,method,batch_size,cpu_model,cpu_threads,cpu_interop_threads,torch_version,latency_batch_ms_median,latency_batch_ms_q1,latency_batch_ms_q3,latency_ms_per_observation,throughput_observations_per_second,latency_batch1_ms_median,latency_batch1_ms_q1,latency_batch1_ms_q3,forward_passes_per_observation,stored_parameters,model_state_kib_fp32,base_train_seconds,recovery_train_seconds,base_temperature,recovery_temperature,elapsed_seed_seconds
104,RO-PDRF-Full,4364,13th Gen Intel(R) Core(TM) i5-13500H,12,12,2.12.1+cpu,6.946900015464053,6.899350002640858,7.048999992548488,0.0015918652647717811,628193.8692489567,0.8482999983243644,0.8386499976040795,0.9078000002773479,1,19740,77.109375,20.213953900005436,23.971918299997924,0.7249484208941313,0.7216325307731521,52.627691700006835
104,SR-PDRF-Safe-CF,4364,13th Gen Intel(R) Core(TM) i5-13500H,12,12,2.12.1+cpu,52.225999999791384,51.812250007060356,52.33940000471193,0.01196746104486512,83559.91268750108,6.674999982351437,6.550650010467507,7.084749988280237,6,39493,154.26953125,20.213953900005436,23.971918299997924,0.7249484208941313,0.7216325307731521,52.62771619998966
105,PDRF,4364,13th Gen Intel(R) Core(TM) i5-13500H,12,12,2.12.1+cpu,6.562800001120195,6.499900002381764,6.75395000143908,0.0015038496794500904,664960.0779019801,0.8945000008679926,0.8773000008659437,0.9068499930435792,1,19740,77.109375,13.98305330000585,26.869642199977534,0.8631412313532546,0.9340727830635891,49.28357249998953
105,RO-PDRF-Full,4364,13th Gen Intel(R) Core(TM) i5-13500H,12,12,2.12.1+cpu,6.656999990809709,6.47749999188818,6.678149991785176,0.001525435378279035,655550.5492000452,0.9543000196572393,0.8782499935477972,1.0088999988511205,1,19740,77.109375,13.98305330000585,26.869642199977534,0.8631412313532546,0.9340727830635891,49.2836025999859
105,SR-PDRF-Safe-CF,4364,13th Gen Intel(R) Core(TM) i5-13500H,12,12,2.12.1+cpu,54.001000011339784,53.28489998646546,55.62985000142362,0.012374197986099858,80813.3182549137,6.988900015130639,6.658699989202432,7.0518000138690695,6,39493,154.26953125,13.98305330000585,26.869642199977534,0.8631412313532546,0.9340727830635891,49.283628100005444
106,PDRF,4364,13th Gen Intel(R) Core(TM) i5-13500H,12,12,2.12.1+cpu,6.333500001346692,6.266750016948208,6.432700000004843,0.001451306141463495,689034.4989456197,0.8479999960400164,0.8386999979848042,0.8574000094085932,1,19740,77.109375,14.471731400000863,17.731694800022524,0.6240788034666606,0.6554983609823735,40.32364889999735
106,RO-PDRF-Full,4364,13th Gen Intel(R) Core(TM) i5-13500H,12,12,2.12.1+cpu,6.403000006685033,6.267249991651624,6.475899994256906,0.0014672318988737474,681555.5201380257,0.8231999818235636,0.8196999988285825,0.8515999943483621,1,19740,77.109375,14.471731400000863,17.731694800022524,0.6240788034666606,0.6554983609823735,40.32368120001047
106,SR-PDRF-Safe-CF,4364,13th Gen Intel(R) Core(TM) i5-13500H,12,12,2.12.1+cpu,51.33129999740049,51.228850017650984,51.738600013777614,0.01176244271251157,85016.35454821913,6.9441999949049205,6.679850004729815,7.085350007400848,6,39493,154.26953125,14.471731400000863,17.731694800022524,0.6240788034666606,0.6554983609823735,40.3237100999977
107,PDRF,4364,13th Gen Intel(R) Core(TM) i5-13500H,12,12,2.12.1+cpu,6.052599987015128,6.000799985486083,6.088349997298792,0.0013869385854755106,721012.4590031151,0.8608000061940402,0.8543500007363036,0.8733499998925254,1,19740,77.109375,13.873245299997507,21.51582650002092,0.9294273882872307,0.9445775684771087,43.4502908999857
107,RO-PDRF-Full,4364,13th Gen Intel(R) Core(TM) i5-13500H,12,12,2.12.1+cpu,6.1286999844014645,6.0503499989863485,6.414150004275143,0.0014043767150324162,712059.6555724848,0.899200007552281,0.8601500157965347,0.9019499993883073,1,19740,77.109375,13.873245299997507,21.51582650002092,0.9294273882872307,0.9445775684771087,43.450319800002035
