seed,threshold,accuracy,negative_transfer_rate,negative_transfer_prevention,recovery_retention,full_selection_rate
105,0.6,0.6259378349410504,0.08333333333333333,0.9166666666666666,0.7786885245901639,0.7968917470525188
105,0.625,0.62486602357985,0.08333333333333333,0.9166666666666666,0.7622950819672131,0.7802786709539121
105,0.65,0.6232583065380493,0.08333333333333333,0.9166666666666666,0.7377049180327869,0.7561629153269025
105,0.675,0.6216505894962486,0.06944444444444445,0.9305555555555556,0.7049180327868853,0.7427652733118971
105,0.7,0.6205787781350482,0.041666666666666664,0.9583333333333334,0.6721311475409836,0.7218649517684887
105,0.725,0.6152197213290461,0.041666666666666664,0.9583333333333334,0.5901639344262295,0.6682743837084673
105,0.75,0.6114683815648446,0.041666666666666664,0.9583333333333334,0.5327868852459017,0.6371918542336549
105,0.775,0.6087888531618435,0.027777777777777776,0.9722222222222222,0.48360655737704916,0.609860664523044
105,0.8,0.6061093247588425,0.013888888888888888,0.9861111111111112,0.4344262295081967,0.582529474812433
105,0.825,0.6045016077170418,0.013888888888888888,0.9861111111111112,0.4098360655737705,0.5557341907824223
105,0.8500000000000001,0.6039657020364416,0.013888888888888888,0.9861111111111112,0.4016393442622951,0.522508038585209
105,0.875,0.6034297963558414,0.013888888888888888,0.9861111111111112,0.39344262295081966,0.49517684887459806
105,0.9,0.6012861736334405,0.013888888888888888,0.9861111111111112,0.36065573770491804,0.4367631296891747
106,0.5,0.7105403959336544,0.16666666666666666,0.8333333333333334,0.9516129032258065,0.7426431246655966
106,0.525,0.7100053504547886,0.16666666666666666,0.8333333333333334,0.9354838709677419,0.7035848047084002
106,0.55,0.7100053504547886,0.16666666666666666,0.8333333333333334,0.9354838709677419,0.6383092562867844
106,0.575,0.7100053504547886,0.16666666666666666,0.8333333333333334,0.9354838709677419,0.6099518459069021
106,0.6,0.7100053504547886,0.16666666666666666,0.8333333333333334,0.9354838709677419,0.559657570893526
106,0.625,0.7100053504547886,0.16666666666666666,0.8333333333333334,0.9354838709677419,0.5323702514713751
106,0.65,0.7100053504547886,0.16666666666666666,0.8333333333333334,0.9354838709677419,0.4756554307116105
106,0.675,0.7100053504547886,0.16666666666666666,0.8333333333333334,0.9354838709677419,0.44248261102193687
106,0.7,0.7100053504547886,0.16666666666666666,0.8333333333333334,0.9354838709677419,0.3889780631353665
106,0.725,0.7100053504547886,0.13333333333333333,0.8666666666666667,0.9193548387096774,0.3595505617977528
106,0.75,0.7078651685393258,0.13333333333333333,0.8666666666666667,0.8548387096774194,0.2985553772070626
106,0.775,0.7067950775815944,0.1,0.9,0.8064516129032258,0.26484751203852325
106,0.8,0.704119850187266,0.1,0.9,0.7258064516129032,0.21134296415195292
106,0.825,0.7030497592295345,0.06666666666666667,0.9333333333333333,0.6774193548387096,0.17174959871589085
106,0.8500000000000001,0.700374531835206,0.06666666666666667,0.9333333333333333,0.5967741935483871,0.11289459604066346
106,0.875,0.6987693953986088,0.0,1.0,0.5161290322580645,0.0898876404494382
106,0.9,0.6944890315676833,0.0,1.0,0.3870967741935484,0.06634563937934725
107,0.5,0.6528157463094587,0.24,0.76,0.6868686868686869,0.8250410060142154
107,0.525,0.6517222525970475,0.192,0.808,0.6060606060606061,0.8075451066156369
107,0.55,0.651175505740842,0.168,0.832,0.5656565656565656,0.7900492072170585
107,0.575,0.6506287588846364,0.144,0.856,0.5252525252525253,0.7725533078184801
107,0.6,0.6500820120284309,0.128,0.872,0.494949494949495,0.7528704209950793
107,0.625,0.6506287588846364,0.104,0.896,0.47474747474747475,0.7386550027337343
107,0.65,0.6489885183160197,0.104,0.896,0.4444444444444444,0.7288135593220338
107,0.675,0.6484417714598141,0.096,0.904,0.42424242424242425,0.7129579004920722
107,0.7,0.647348277747403,0.088,0.912,0.3939393939393939,0.6965554948059048
107,0.725,0.6468015308911974,0.088,0.912,0.3838383838383838,0.6768726079825041
107,0.75,0.644614543466375,0.08,0.92,0.3333333333333333,0.6500820120284309
107,0.775,0.644614543466375,0.072,0.928,0.32323232323232326,0.6243849097867687
107,0.8,0.644614543466375,0.064,0.9359999999999999,0.31313131313131315,0.598141060688901
107,0.825,0.6451612903225806,0.056,0.944,0.31313131313131315,0.5664297430289775
