seed,calibration_severity,test_severity,fault_type,threshold,method,mean_forward_passes,n,correction_opportunities,corrections_retained,recovery_retention,harm_opportunities,harms_realized,negative_transfer_prevention,recovery_selection_rate,selected_accuracy,net_correct_change_per_10000,utility_ratio,utility_per_10000,accuracy,macro_auroc,macro_auprc,nll,brier,ece15_equal_width,ece15_equal_mass,classwise_ece15
109,1.0,1.0,offset,0.6500000000000001,All-row multinomial,2.0,1436,35,1,0.02857142857142857,18,2,0.8888888888888888,0.006267409470752089,0.5383008356545961,-6.963788300835654,1.0,-6.963788300835654,0.5383008356545961,0.8474266150913256,0.621421370661234,2.4631105674377043,0.7387847933769872,0.31495951412503365,0.31495951412503365,0.12325202375934059
109,1.0,1.0,stuck_at,0.8,Conditional Lite-CF,2.0,1436,37,0,0.0,7,0,1.0,0.2527855153203343,0.5146239554317549,0.0,1.0,0.0,0.5146239554317549,0.8295933538555702,0.5953176161090258,2.300050154195693,0.7632134817165069,0.3003361893968706,0.29428329337955816,0.12890884004835793
109,1.0,1.0,stuck_at,0.6500000000000001,All-row multinomial,2.0,1436,37,0,0.0,7,0,1.0,0.0006963788300835655,0.5146239554317549,0.0,1.0,0.0,0.5146239554317549,0.8286360148569409,0.5946899083906668,2.321845775062798,0.7633559579911128,0.30079405554837035,0.2942891348327386,0.12877892830223334
109,1.0,2.0,drift,0.8,Conditional Lite-CF,2.0,1436,36,1,0.027777777777777776,17,0,1.0,0.3892757660167131,0.5438718662952646,6.963788300835654,1.0,6.963788300835654,0.5438718662952646,0.8461283266674311,0.6187487727979649,2.465328774897973,0.7384154363472821,0.3116654225848091,0.3109361077981205,0.12195784317535525
109,1.0,2.0,drift,0.6500000000000001,All-row multinomial,2.0,1436,36,3,0.08333333333333333,17,2,0.8823529411764706,0.008356545961002786,0.5438718662952646,6.963788300835654,1.0,6.963788300835654,0.5438718662952646,0.8446604179682397,0.6160035571940856,2.521517864413027,0.7403680763005647,0.31350172582342184,0.3127724110367331,0.12196828093707146
109,1.0,2.0,gaussian,0.8,Conditional Lite-CF,2.0,1436,57,0,0.0,19,0,1.0,0.3871866295264624,0.5194986072423399,0.0,1.0,0.0,0.5194986072423399,0.8185719602001104,0.5472572333485562,2.6266609638264486,0.7562316373920246,0.3106299898553793,0.3085712712867663,0.11614378072936148
109,1.0,2.0,gaussian,0.6500000000000001,All-row multinomial,2.0,1436,57,1,0.017543859649122806,19,1,0.9473684210526316,0.011838440111420613,0.5194986072423399,0.0,1.0,0.0,0.5194986072423399,0.8159863507044963,0.5427443640123072,2.7234102544796377,0.7584944892630369,0.3129584916510738,0.3108997730824608,0.11667500499494071
109,1.0,2.0,offset,0.8,Conditional Lite-CF,2.0,1436,29,0,0.0,21,0,1.0,0.3544568245125348,0.5090529247910863,0.0,1.0,0.0,0.5090529247910863,0.8365250318562633,0.599157756399164,2.6984220399846506,0.8007766780507949,0.3429123962413121,0.3396232300852997,0.13687983975612375
109,1.0,2.0,offset,0.6500000000000001,All-row multinomial,2.0,1436,29,1,0.034482758620689655,21,2,0.9047619047619048,0.005571030640668524,0.5083565459610028,-6.963788300835654,1.0,-6.963788300835654,0.5083565459610028,0.8343703177861844,0.5961255777034357,2.7521388647234484,0.8031780097234955,0.34558948936980916,0.34166896539853114,0.13713672714798658
109,1.0,2.0,stuck_at,0.8,Conditional Lite-CF,2.0,1436,40,0,0.0,15,0,1.0,0.27924791086350975,0.49025069637883006,0.0,1.0,0.0,0.49025069637883006,0.8221252105085682,0.5776304065029003,2.6607556712385123,0.8120744308791404,0.33284149239770233,0.331904451565398,0.1393546802808145
109,1.0,2.0,stuck_at,0.6500000000000001,All-row multinomial,2.0,1436,40,0,0.0,15,0,1.0,0.001392757660167131,0.49025069637883006,0.0,1.0,0.0,0.49025069637883006,0.821125804646562,0.5798560897457461,2.690635288342542,0.8120779203931769,0.33297494563504104,0.33203790480273665,0.1393163859236356
109,1.0,3.0,drift,0.8,Conditional Lite-CF,2.0,1436,43,0,0.0,22,0,1.0,0.35724233983286907,0.5215877437325905,0.0,1.0,0.0,0.5215877437325905,0.8359714752822068,0.6045339512329878,2.660787359569368,0.774107962278648,0.32894692628213007,0.32809489562568744,0.13077501544090353
109,1.0,3.0,drift,0.6500000000000001,All-row multinomial,2.0,1436,43,2,0.046511627906976744,22,4,0.8181818181818181,0.008356545961002786,0.5201949860724234,-13.927576601671309,1.0,-13.927576601671309,0.5201949860724234,0.8340747304630627,0.6014604604174736,2.7221022995601274,0.7766970634455358,0.33243634879146444,0.33158431813502187,0.13106950562446665
109,1.0,3.0,gaussian,0.8,Conditional Lite-CF,2.0,1436,49,0,0.0,27,0,1.0,0.4011142061281337,0.49025069637883006,0.0,1.0,0.0,0.49025069637883006,0.7989754532150944,0.5058147315095062,3.138749610330398,0.8316242894179875,0.35047705493585857,0.35032347631956856,0.13088351377625645
109,1.0,3.0,gaussian,0.6500000000000001,All-row multinomial,2.0,1436,49,3,0.061224489795918366,27,2,0.9259259259259259,0.013927576601671309,0.4909470752089137,6.963788300835654,1.0,6.963788300835654,0.4909470752089137,0.795001069089411,0.500056073587905,3.2939880169589606,0.8340299296222242,0.3548749966941416,0.3526405679929058,0.13152166338518892
109,1.0,3.0,offset,0.8,Conditional Lite-CF,2.0,1436,49,0,0.0,20,0,1.0,0.334958217270195,0.46657381615598886,0.0,1.0,0.0,0.46657381615598886,0.8275364486568266,0.584698097320596,3.053437893096906,0.8590819347383063,0.3776433008491639,0.3767091481878621,0.1481261696476599
109,1.0,3.0,offset,0.6500000000000001,All-row multinomial,2.0,1436,49,2,0.04081632653061224,20,1,0.95,0.009749303621169917,0.4672701949860724,6.963788300835654,1.0,6.963788300835654,0.4672701949860724,0.8244462270924511,0.5781445658760631,3.114301583584826,0.8619942190677523,0.3791452534976153,0.37821110083631365,0.1482147220667914
109,1.0,3.0,stuck_at,0.8,Conditional Lite-CF,2.0,1436,36,0,0.0,13,0,1.0,0.27924791086350975,0.4533426183844011,0.0,1.0,0.0,0.4533426183844011,0.8125937238048158,0.5649847395299558,3.0575783532166203,0.8733898026229805,0.3748196883933875,0.37120293411256394,0.14989576375304928
