seed,fault_type,method,selection_fraction,n,correction_opportunities,corrections_retained,recovery_retention,harm_opportunities,harms_realized,negative_transfer_prevention,recovery_selection_rate,selected_accuracy,net_correct_change_per_10000,utility_ratio1_per_10000
101,drift,Two-stage,0.15000000000000002,1436,40,5,0.125,29,10,0.6551724137931034,0.14972144846796656,0.504874651810585,-34.81894150417827,-34.81894150417827
101,drift,Two-stage,0.17500000000000002,1436,40,6,0.15,29,12,0.5862068965517242,0.17479108635097493,0.5041782729805014,-41.78272980501393,-41.78272980501393
101,drift,Two-stage,0.2,1436,40,6,0.15,29,13,0.5517241379310345,0.1998607242339833,0.5034818941504178,-48.74651810584958,-48.74651810584958
101,drift,Two-stage,0.225,1436,40,6,0.15,29,15,0.48275862068965514,0.22493036211699163,0.5020891364902507,-62.674094707520894,-62.674094707520894
101,drift,Two-stage,0.25,1436,40,7,0.175,29,15,0.48275862068965514,0.25,0.5027855153203342,-55.710306406685234,-55.710306406685234
101,drift,Two-stage,0.275,1436,40,7,0.175,29,16,0.4482758620689655,0.27506963788300837,0.5020891364902507,-62.674094707520894,-62.674094707520894
101,drift,Two-stage,0.30000000000000004,1436,40,7,0.175,29,16,0.4482758620689655,0.30013927576601673,0.5020891364902507,-62.674094707520894,-62.674094707520894
101,drift,Two-stage,0.325,1436,40,9,0.225,29,16,0.4482758620689655,0.32520891364902504,0.5034818941504178,-48.74651810584958,-48.74651810584958
101,drift,Two-stage,0.35000000000000003,1436,40,12,0.3,29,16,0.4482758620689655,0.3502785515320334,0.5055710306406686,-27.855153203342617,-27.855153203342617
101,drift,Two-stage,0.375,1436,40,14,0.35,29,16,0.4482758620689655,0.3746518105849582,0.5069637883008357,-13.927576601671309,-13.927576601671309
101,drift,Two-stage,0.4,1436,40,18,0.45,29,16,0.4482758620689655,0.3997214484679666,0.5097493036211699,13.927576601671309,13.927576601671309
101,drift,Two-stage,0.42500000000000004,1436,40,18,0.45,29,16,0.4482758620689655,0.42479108635097496,0.5097493036211699,13.927576601671309,13.927576601671309
