seed,method,harm_to_correction_ratio,n,correction_opportunities,corrections_retained,harm_opportunities,harms_realized,recovery_selection_rate,negative_transfer_prevention,recovery_retention,test_utility_per_10000,calibration_utility_per_10000,test_minus_calibration_utility
101,Two-stage,10.0,5744,207.0,39.0,129.0,41.0,0.14119080779944285,0.6821705426356589,0.18840579710144928,-645.891364902507,189.20422927100722,-835.0955941735142
101,Frozen Lite-CF (ungated),10.0,5744,207.0,30.0,129.0,28.0,0.7775069637883009,0.7829457364341086,0.14492753623188406,-435.2367688022284,,
101,Prospective gate Lite-CF,10.0,5744,207.0,30.0,129.0,28.0,0.7775069637883009,0.7829457364341086,0.14492753623188406,-435.2367688022284,,
101,All-row multinomial (safety),10.0,5744,207.0,31.0,129.0,13.0,0.09522980501392751,0.8992248062015504,0.1497584541062802,-172.35376044568244,,
101,Always PDRF,10.0,5744,207.0,0.0,129.0,0.0,0.0,1.0,0.0,0.0,,
101,Always RO-PDRF-Lite,10.0,5744,207.0,207.0,129.0,129.0,1.0,0.0,1.0,-1885.4456824512536,,
102,Conditional Lite-CF,1.0,5744,68.0,20.0,27.0,7.0,0.8457520891364902,0.7407407407407407,0.29411764705882354,22.632311977715876,92.3913043478261,-69.75899237011022
102,All-row multinomial,1.0,5744,68.0,20.0,27.0,3.0,0.041086350974930325,0.8888888888888888,0.29411764705882354,29.596100278551532,92.3913043478261,-62.79520406927456
102,Two-stage,1.0,5744,68.0,38.0,27.0,17.0,0.9120821727019499,0.37037037037037035,0.5588235294117647,36.559888579387184,97.82608695652173,-61.26619837713455
102,Frozen Lite-CF (ungated),1.0,5744,68.0,6.0,27.0,0.0,0.7801183844011143,1.0,0.08823529411764706,10.445682451253482,,
102,Prospective gate Lite-CF,1.0,5744,68.0,6.0,27.0,0.0,0.7801183844011143,1.0,0.08823529411764706,10.445682451253482,,
102,All-row multinomial (safety),1.0,5744,68.0,22.0,27.0,3.0,0.0454387186629526,0.8888888888888888,0.3235294117647059,33.07799442896936,,
102,Always PDRF,1.0,5744,68.0,0.0,27.0,0.0,0.0,1.0,0.0,0.0,,
102,Always RO-PDRF-Lite,1.0,5744,68.0,68.0,27.0,27.0,1.0,0.0,1.0,71.37883008356546,,
102,Conditional Lite-CF,2.0,5744,68.0,20.0,27.0,7.0,0.8457520891364902,0.7407407407407407,0.29411764705882354,10.445682451253482,86.95652173913044,-76.51083928787696
102,All-row multinomial,2.0,5744,68.0,20.0,27.0,3.0,0.041086350974930325,0.8888888888888888,0.29411764705882354,24.37325905292479,92.3913043478261,-68.0180452949013
102,Two-stage,2.0,5744,68.0,29.0,27.0,10.0,0.10706824512534813,0.6296296296296297,0.4264705882352941,15.668523676880223,81.52173913043478,-65.85321545355455
102,Frozen Lite-CF (ungated),2.0,5744,68.0,6.0,27.0,0.0,0.7801183844011143,1.0,0.08823529411764706,10.445682451253482,,
102,Prospective gate Lite-CF,2.0,5744,68.0,6.0,27.0,0.0,0.7801183844011143,1.0,0.08823529411764706,10.445682451253482,,
102,All-row multinomial (safety),2.0,5744,68.0,22.0,27.0,3.0,0.0454387186629526,0.8888888888888888,0.3235294117647059,27.855153203342617,,
102,Always PDRF,2.0,5744,68.0,0.0,27.0,0.0,0.0,1.0,0.0,0.0,,
102,Always RO-PDRF-Lite,2.0,5744,68.0,68.0,27.0,27.0,1.0,0.0,1.0,24.37325905292479,,
102,Conditional Lite-CF,5.0,5744,68.0,20.0,27.0,7.0,0.8457520891364902,0.7407407407407407,0.29411764705882354,-26.114206128133706,70.65217391304348,-96.76638004117719
102,All-row multinomial,5.0,5744,68.0,20.0,27.0,3.0,0.041086350974930325,0.8888888888888888,0.29411764705882354,8.704735376044567,92.3913043478261,-83.68656897178153
102,Two-stage,5.0,5744,68.0,20.0,27.0,2.0,0.04630919220055704,0.9259259259259259,0.29411764705882354,17.409470752089135,70.65217391304348,-53.24270316095435
102,Frozen Lite-CF (ungated),5.0,5744,68.0,6.0,27.0,0.0,0.7801183844011143,1.0,0.08823529411764706,10.445682451253482,,
102,Prospective gate Lite-CF,5.0,5744,68.0,6.0,27.0,0.0,0.7801183844011143,1.0,0.08823529411764706,10.445682451253482,,
102,All-row multinomial (safety),5.0,5744,68.0,22.0,27.0,3.0,0.0454387186629526,0.8888888888888888,0.3235294117647059,12.186629526462395,,
102,Always PDRF,5.0,5744,68.0,0.0,27.0,0.0,0.0,1.0,0.0,0.0,,
102,Always RO-PDRF-Lite,5.0,5744,68.0,68.0,27.0,27.0,1.0,0.0,1.0,-116.64345403899722,,
102,Conditional Lite-CF,10.0,5744,68.0,7.0,27.0,1.0,0.7830779944289693,0.962962962962963,0.10294117647058823,-5.222841225626741,54.34782608695652,-59.57066731258327
102,All-row multinomial,10.0,5744,68.0,20.0,27.0,3.0,0.041086350974930325,0.8888888888888888,0.29411764705882354,-17.409470752089135,92.3913043478261,-109.80077509991523
102,Two-stage,10.0,5744,68.0,20.0,27.0,2.0,0.04630919220055704,0.9259259259259259,0.29411764705882354,0.0,70.65217391304348,-70.65217391304348
102,Frozen Lite-CF (ungated),10.0,5744,68.0,6.0,27.0,0.0,0.7801183844011143,1.0,0.08823529411764706,10.445682451253482,,
102,Prospective gate Lite-CF,10.0,5744,68.0,6.0,27.0,0.0,0.7801183844011143,1.0,0.08823529411764706,10.445682451253482,,
102,All-row multinomial (safety),10.0,5744,68.0,22.0,27.0,3.0,0.0454387186629526,0.8888888888888888,0.3235294117647059,-13.927576601671309,,
102,Always PDRF,10.0,5744,68.0,0.0,27.0,0.0,0.0,1.0,0.0,0.0,,
