replicate,negative_transfer_prevention,recovery_retention,full_selection_rate,safe_minus_pdrf_auroc,safe_minus_full_auroc
55,0.9385796545105566,0.15325248070562295,0.5860724233983287,0.0062825646990622985,0.004032743572542352
56,0.935483870967742,0.07259380097879282,0.5342792479108636,0.004839757790603194,0.0022849707076391113
57,0.9416790490341753,0.08013544018058691,0.416991643454039,0.006153808276302186,-0.001050340451993148
58,0.9092526690391459,0.1514251781472684,0.40071378830083565,0.0033251458728147387,-0.0018178788357455788
59,0.9431920649233544,0.12167689161554192,0.4301183844011142,0.005249223769524525,-0.0041378386901774755
60,0.9074792243767313,0.15873925501432665,0.39827646239554315,0.0038650683214013215,0.00038176389693977963
61,0.9115138592750534,0.1484593837535014,0.5010967966573816,0.004664530155123692,-0.0015816891351746465
62,0.935247403787416,0.05381727158948686,0.4422179665738162,0.005726861559732899,-0.0002850449432018065
63,0.8980121002592912,0.12385981757081133,0.39575208913649024,0.003913792138929839,-0.005656489893690386
64,0.9095315024232633,0.14006259780907668,0.39754526462395545,0.0034418707365277967,0.0001809693621959152
65,0.9203539823008849,0.13370089593383874,0.3729108635097493,0.004312575705606836,-0.002046949169963952
66,0.9273959341723137,0.12098188194038574,0.3386490250696379,0.0025360949752443185,-0.003995805787601614
67,0.8828671328671329,0.18358913813459268,0.40618036211699166,0.004607043721975512,-0.003941619652657491
68,0.8537774167343624,0.2597911227154047,0.43680362116991645,0.006022256602479015,-0.006041535861983083
69,0.8507462686567164,0.11009174311926606,0.45790389972144846,0.0017840354129579072,-0.00048339400589503256
70,0.8956999085086916,0.08065994500458296,0.500591922005571,0.003492080725992608,0.002155944119885289
71,0.9239013933547695,0.12107023411371237,0.49112116991643456,0.005064895702584948,-0.0023549431622487127
72,0.9268495428096426,0.08543417366946779,0.3780640668523677,0.002966161674135104,0.0031373903455280683
73,0.9049803407601573,0.14534883720930233,0.4153377437325905,0.0058257296133217285,-0.0035467870263630186
74,0.915603532875368,0.15808823529411764,0.5610027855153203,0.00578314957382442,-0.0018178736772964665
75,0.9009661835748792,0.17017543859649123,0.4893976323119777,0.006624846913835025,-0.004955552617732728
76,0.900218499635834,0.14914163090128754,0.48995473537604456,0.00544802165006375,-0.0037152165302113405
77,0.920892494929006,0.06372549019607843,0.3667827298050139,0.000883643989091798,-0.0013555657138710764
78,0.9575707154742097,0.07411696583671105,0.3996344011142061,0.00404219424573693,-0.0032486444819763705
79,0.8049414824447334,0.221045197740113,0.4942200557103064,0.002697483725398686,-0.004202653672178758
80,0.9046898638426626,0.0957983193277311,0.5450383008356546,0.004233361029063021,0.0022354127341250862
81,0.8966756513926325,0.09692307692307692,0.509575208913649,0.004732838653386806,-0.000660000756710577
82,0.9033232628398792,0.1899836690255852,0.4354805013927577,0.006631914683327467,-0.0016201321827098436
83,0.854978354978355,0.22433460076045628,0.42782033426183846,0.004150467185995654,-0.006912311757405587
84,0.8884073672806068,0.15617283950617283,0.5780640668523677,0.0059259081712156325,-0.0020836810705361364
85,0.9001766784452296,0.15293342122610415,0.48018802228412255,0.005531811559164268,-0.0019461245048484344
86,0.8295454545454546,0.27093844601412714,0.514850278551532,0.006630234532273849,-0.004227084107876533
87,0.8478900883218842,0.2702702702702703,0.3790389972144847,0.003534327089546263,-0.0071982991194995405
88,0.8308400460299195,0.2622589531680441,0.48481894150417826,0.00546390581711087,-0.004778257785052364
