seed,bin,lower,upper,n,mean_probability,observed_recovery_preference
105,4,0.30000000000000004,0.4,17,0.3409332678232624,0.35294117647058826
105,5,0.4,0.5,7,0.4480277398975546,0.2857142857142857
105,6,0.5,0.6000000000000001,9,0.5518267085847013,0.3333333333333333
105,7,0.6000000000000001,0.7000000000000001,16,0.6628680246799177,0.8125
105,8,0.7000000000000001,0.8,31,0.7465682636489428,0.9354838709677419
105,9,0.8,0.9,9,0.8565185271265355,1.0
105,10,0.9,1.0,45,0.9687878829954195,0.9777777777777777
106,1,0.0,0.1,21,0.04014090681114138,0.0
106,2,0.1,0.2,3,0.13231727333387158,0.0
106,3,0.2,0.30000000000000004,2,0.22734977420351574,1.0
106,4,0.30000000000000004,0.4,2,0.35325101578203993,0.5
106,5,0.4,0.5,0,,
106,6,0.5,0.6000000000000001,1,0.5230718243683066,1.0
106,7,0.6000000000000001,0.7000000000000001,0,,
106,8,0.7000000000000001,0.8,15,0.7579967853881542,0.8666666666666667
106,9,0.8,0.9,24,0.8593536938155616,0.875
106,10,0.9,1.0,24,0.9629346312329515,1.0
107,1,0.0,0.1,12,0.07252505115952206,0.16666666666666666
107,2,0.1,0.2,20,0.15967317748112742,0.1
107,3,0.2,0.30000000000000004,38,0.24880130665969594,0.13157894736842105
107,4,0.30000000000000004,0.4,28,0.3543149948278037,0.42857142857142855
107,5,0.4,0.5,28,0.44045274091828507,0.35714285714285715
107,6,0.5,0.6000000000000001,33,0.5407607497138965,0.5757575757575758
107,7,0.6000000000000001,0.7000000000000001,15,0.649728596606259,0.6666666666666666
107,8,0.7000000000000001,0.8,11,0.7467879223251495,0.7272727272727273
107,9,0.8,0.9,11,0.8589594355158551,0.5454545454545454
107,10,0.9,1.0,28,0.9605227871425692,0.8928571428571429
108,1,0.0,0.1,10,0.03553034412846137,0.2
108,2,0.1,0.2,15,0.15239618276882813,0.13333333333333333
108,3,0.2,0.30000000000000004,19,0.25373862455610113,0.21052631578947367
108,4,0.30000000000000004,0.4,15,0.32835158029551115,0.26666666666666666
108,5,0.4,0.5,14,0.4477254852511436,0.35714285714285715
108,6,0.5,0.6000000000000001,8,0.5518485824493342,0.625
108,7,0.6000000000000001,0.7000000000000001,6,0.651078787283503,0.8333333333333334
108,8,0.7000000000000001,0.8,5,0.7511503622999811,0.6
108,9,0.8,0.9,11,0.8660242629869349,0.8181818181818182
108,10,0.9,1.0,19,0.9654561187472293,0.7894736842105263
109,1,0.0,0.1,5,0.05309138740625222,0.2
109,2,0.1,0.2,7,0.15379453664503287,0.8571428571428571
109,3,0.2,0.30000000000000004,6,0.2594945280802012,0.8333333333333334
109,4,0.30000000000000004,0.4,4,0.33178943205635814,1.0
109,5,0.4,0.5,6,0.4700371552728821,0.5
109,6,0.5,0.6000000000000001,5,0.5458527960648125,0.6
109,7,0.6000000000000001,0.7000000000000001,12,0.6577848976683317,0.9166666666666666
109,8,0.7000000000000001,0.8,19,0.7600576969526218,0.9473684210526315
109,9,0.8,0.9,27,0.8505405646819639,1.0
109,10,0.9,1.0,31,0.9544144398562558,0.967741935483871
110,1,0.0,0.1,12,0.0676900547383484,0.08333333333333333
110,2,0.1,0.2,11,0.14496066377787956,0.0
110,3,0.2,0.30000000000000004,13,0.23680587294061056,0.07692307692307693
110,4,0.30000000000000004,0.4,4,0.3551769205560209,0.0
110,5,0.4,0.5,1,0.4285695806122296,1.0
110,6,0.5,0.6000000000000001,7,0.5573892381726347,0.7142857142857143
110,7,0.6000000000000001,0.7000000000000001,7,0.6564761152745767,1.0
110,8,0.7000000000000001,0.8,10,0.7448931123422773,1.0
110,9,0.8,0.9,8,0.862377348984986,1.0
110,10,0.9,1.0,26,0.9716347969927257,0.8846153846153846
