seed,fault_type,prevalence,stream,method,harm_to_correction_cost_ratio,pass_penalty_equivalent_corrections_per_10000,corrections_per_10000,harms_per_10000,mean_forward_passes,net_utility_per_10000,energy_note
101,drift,0.4,strict_fault_applied_available,Cascade-25,5.0,2.0,0.0,20.891364902506965,2.8245125348189415,-108.10584958217271,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.4,strict_fault_applied_available,Cascade-25,10.0,0.0,0.0,20.891364902506965,2.8245125348189415,-208.91364902506965,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.4,strict_fault_applied_available,Cascade-25,10.0,0.5,0.0,20.891364902506965,2.8245125348189415,-209.82590529247912,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.4,strict_fault_applied_available,Cascade-25,10.0,2.0,0.0,20.891364902506965,2.8245125348189415,-212.56267409470752,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.4,strict_fault_applied_available,Always PDRF,1.0,0.0,0.0,0.0,1.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.4,strict_fault_applied_available,Always PDRF,1.0,0.5,0.0,0.0,1.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.4,strict_fault_applied_available,Always PDRF,1.0,2.0,0.0,0.0,1.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.4,strict_fault_applied_available,Always PDRF,2.0,0.0,0.0,0.0,1.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.4,strict_fault_applied_available,Always PDRF,2.0,0.5,0.0,0.0,1.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.4,strict_fault_applied_available,Always PDRF,2.0,2.0,0.0,0.0,1.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.4,strict_fault_applied_available,Always PDRF,5.0,0.0,0.0,0.0,1.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.4,strict_fault_applied_available,Always PDRF,5.0,0.5,0.0,0.0,1.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.4,strict_fault_applied_available,Always PDRF,5.0,2.0,0.0,0.0,1.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.4,strict_fault_applied_available,Always PDRF,10.0,0.0,0.0,0.0,1.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.4,strict_fault_applied_available,Always PDRF,10.0,0.5,0.0,0.0,1.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.4,strict_fault_applied_available,Always PDRF,10.0,2.0,0.0,0.0,1.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.4,strict_fault_applied_available,Always RO-PDRF-Full,1.0,0.0,146.23955431754874,181.058495821727,1.0,-34.81894150417827,forward-pass/FLOP penalty proxy; energy was not measured
