threshold_strategy,method,harm_to_correction_ratio,metric,n_fitted_cells,mean,fitting_ci_low,fitting_ci_high,median,q1,q3,minimum,maximum
utility_optimized_on_calibration,Conditional Lite-CF,2.0,recovery_retention,40,0.42339092987360216,0.3351002998754898,0.5116815598717146,0.41044207317073167,0.2375,0.5974264705882353,0.0,0.9285714285714286
utility_optimized_on_calibration,Conditional Lite-CF,2.0,utility_per_10000,40,27.68105849582172,1.1202744934507791,54.24184249819266,24.37325905292479,0.0,71.37883008356545,-167.13091922005572,243.73259052924791
utility_optimized_on_calibration,Conditional Lite-CF,2.0,macro_auroc,40,0.8163747635599117,0.8103711867901001,0.8223783403297232,0.8160755787147329,0.8018039942564034,0.834001540806178,0.7764134796523133,0.8450923560704067
utility_optimized_on_calibration,Conditional Lite-CF,5.0,negative_transfer_prevention,40,0.7374257461845898,0.6549782716950144,0.8198732206741651,0.8032258064516129,0.5888030888030887,1.0,0.15000000000000002,1.0
utility_optimized_on_calibration,Conditional Lite-CF,5.0,recovery_retention,40,0.34156509455030143,0.2408462255224359,0.44228396357816696,0.25991792065663477,0.043055555555555555,0.53125,0.0,0.9285714285714286
utility_optimized_on_calibration,Conditional Lite-CF,5.0,utility_per_10000,40,-52.924791086350965,-95.80836036995356,-10.041221802748375,-10.445682451253482,-71.37883008356545,6.963788300835654,-459.6100278551532,201.949860724234
utility_optimized_on_calibration,Conditional Lite-CF,5.0,macro_auroc,40,0.8162879119159154,0.810201249394502,0.8223745744373289,0.8160755787147329,0.8018039942564034,0.8337096828086437,0.7764134796523133,0.8456434617549159
utility_optimized_on_calibration,Conditional Lite-CF,10.0,negative_transfer_prevention,40,0.9091496289195021,0.8674112697545703,0.950887988084434,1.0,0.8411458333333334,1.0,0.5,1.0
utility_optimized_on_calibration,Conditional Lite-CF,10.0,recovery_retention,40,0.12548246232470728,0.08112322876357418,0.16984169588584036,0.07238372093023256,0.0,0.19222813238770686,0.0,0.44642857142857145
utility_optimized_on_calibration,Conditional Lite-CF,10.0,utility_per_10000,40,-81.65041782729806,-140.10222233615312,-23.198613318443,0.0,-107.93871866295265,6.963788300835654,-981.8941504178273,97.49303621169916
utility_optimized_on_calibration,Conditional Lite-CF,10.0,macro_auroc,40,0.8149956003309375,0.8085451108219821,0.821446089839893,0.8159038408068555,0.7993860918075157,0.8336868621332922,0.7694249613154086,0.8456434617549159
utility_optimized_on_calibration,Two-stage,1.0,negative_transfer_prevention,40,0.2941804838336422,0.21485804212708787,0.37350292554019654,0.30625,0.0,0.44791666666666663,0.0,0.7777777777777778
utility_optimized_on_calibration,Two-stage,1.0,recovery_retention,40,0.7536687471512945,0.6775271058908002,0.8298103884117888,0.7911255411255411,0.520764119601329,1.0,0.35294117647058826,1.0
utility_optimized_on_calibration,Two-stage,1.0,utility_per_10000,40,110.55013927576601,79.02075575175196,142.07952279978008,83.56545961002786,34.81894150417827,154.9442896935933,-6.963788300835654,487.46518105849583
utility_optimized_on_calibration,Two-stage,1.0,macro_auroc,40,0.8164898602528929,0.8105820216359361,0.8223976988698498,0.8172228085033032,0.8019831211237293,0.8332571406340024,0.7743218863610014,0.8439875190301863
utility_optimized_on_calibration,Two-stage,2.0,negative_transfer_prevention,40,0.6258773019723811,0.5252581828380755,0.7264964211066868,0.6805555555555556,0.3967741935483871,0.9125874125874126,0.0,1.0
utility_optimized_on_calibration,Two-stage,2.0,recovery_retention,40,0.4989056338635356,0.39481610034505304,0.6029951673820181,0.5,0.2312129202373105,0.8091836734693878,0.0,1.0
utility_optimized_on_calibration,Two-stage,2.0,utility_per_10000,40,37.77855153203342,16.022111050734146,59.53499201333269,27.855153203342617,-8.704735376044567,76.6016713091922,-97.49303621169916,243.73259052924791
utility_optimized_on_calibration,Two-stage,2.0,macro_auroc,40,0.8146404329922248,0.8083776255010392,0.8209032404834103,0.8157081388992233,0.8017445828039121,0.8316631553629574,0.7727558332190653,0.8441382173537967
utility_optimized_on_calibration,Two-stage,5.0,negative_transfer_prevention,40,0.8601943717059573,0.810608119703156,0.9097806237087585,0.9045454545454545,0.7410714285714286,1.0,0.45945945945945943,1.0
utility_optimized_on_calibration,Two-stage,5.0,recovery_retention,40,0.26888416635363965,0.1962451980618328,0.3415231346454465,0.23392612859097128,0.0875,0.3636018237082067,0.0,0.8571428571428571
utility_optimized_on_calibration,Two-stage,5.0,utility_per_10000,40,-33.600278551532035,-78.39874929525124,11.198192192187165,0.0,-43.523676880222844,29.596100278551532,-571.0306406685237,215.8774373259053
utility_optimized_on_calibration,Two-stage,5.0,macro_auroc,40,0.8122408132216362,0.8056656831249407,0.8188159433183317,0.8116775451291338,0.7982118645696448,0.8284292058619797,0.7701228114297445,0.8450332587872703
utility_optimized_on_calibration,Two-stage,10.0,negative_transfer_prevention,40,0.9192018394982984,0.8760302939787463,0.9623733850178504,1.0,0.8705357142857143,1.0,0.4864864864864865,1.0
utility_optimized_on_calibration,Two-stage,10.0,recovery_retention,40,0.1586231456309822,0.10544114019871846,0.21180515106324593,0.09761904761904762,0.0,0.25,0.0,0.625
utility_optimized_on_calibration,Two-stage,10.0,utility_per_10000,40,-86.00278551532033,-163.2623767925485,-8.743194238092144,0.0,-71.37883008356545,15.668523676880223,-1246.518105849582,90.5292479108635
utility_optimized_on_calibration,Two-stage,10.0,macro_auroc,40,0.8121784226591513,0.8055313952947103,0.8188254500235923,0.811309865943828,0.7982118645696448,0.828228764621439,0.7701228114297445,0.8450332587872703
