seed,fault_type,control,threshold,preference_auroc,method,mean_forward_passes,n,correction_opportunities,corrections_retained,recovery_retention,harm_opportunities,harms_realized,negative_transfer_prevention,recovery_selection_rate,selected_accuracy,net_correct_change_per_10000,utility_ratio,utility_per_10000,accuracy,macro_auroc,macro_auprc,nll,brier,ece15_equal_width,ece15_equal_mass,classwise_ece15
103,drift,logit_margin_difference,-0.6949587538838387,0.6714285714285715,logit_margin_difference,2.0,1436,28,28,1.0,5,5,0.0,1.0,0.5111420612813371,160.16713091922006,1.0,160.16713091922006,0.5111420612813371,0.8109073300359152,0.5687050722445737,3.1238614678822856,0.8682373602977829,0.3870797376276799,0.38687359142379835,0.1443777469361297
103,gaussian,rank_normalized_logistic,0.8500000000000001,0.6489795918367348,rank_normalized_logistic,2.0,1436,49,2,0.04081632653061224,15,0,1.0,0.5919220055710307,0.44846796657381616,13.927576601671309,1.0,13.927576601671309,0.44846796657381616,0.7757586294768761,0.4835604971828234,3.7725576867256314,0.9039803817738281,0.4107595590831832,0.4106129239171052,0.14409639110520703
103,gaussian,class_conditional_logistic,0.9,0.6027210884353742,class_conditional_logistic,2.0,1436,49,0,0.0,15,0,1.0,0.17200557103064068,0.44707520891364905,0.0,1.0,0.0,0.44707520891364905,0.7701176098933747,0.4768189214310395,4.060339400717447,0.9142659251516091,0.41633605160068066,0.4161894164346026,0.14574722502334078
103,gaussian,logit_margin_difference,-0.6949587538838387,0.46122448979591835,logit_margin_difference,2.0,1436,49,49,1.0,15,14,0.06666666666666665,0.9965181058495822,0.4714484679665738,243.73259052924791,1.0,243.73259052924791,0.4714484679665738,0.7815488501227269,0.49239929328040094,3.4984199602875234,0.8671863391831668,0.37891177374793356,0.37882931622985583,0.1349972988192883
103,offset,rank_normalized_logistic,0.8500000000000001,0.873015873015873,rank_normalized_logistic,2.0,1436,42,0,0.0,3,0,1.0,0.7409470752089137,0.4610027855153203,0.0,1.0,0.0,0.4610027855153203,0.8041594187069219,0.5525720392059549,3.4125136907510676,0.9528937183069203,0.44681480062545964,0.4451631438696568,0.16169246978847548
103,offset,class_conditional_logistic,0.9,0.6190476190476191,class_conditional_logistic,2.0,1436,42,0,0.0,3,0,1.0,0.08983286908077995,0.4610027855153203,0.0,1.0,0.0,0.4610027855153203,0.7933324980250007,0.5365203971558499,3.860079032507197,0.973145924726385,0.45488770180541793,0.45323604504961484,0.16491128117072537
103,offset,logit_margin_difference,-0.6949587538838387,0.5634920634920635,logit_margin_difference,2.0,1436,42,39,0.9285714285714286,3,3,0.0,0.9965181058495822,0.4860724233983287,250.69637883008357,1.0,250.69637883008357,0.4860724233983287,0.8020235559168438,0.5497967913438638,3.3425733677454232,0.9149837176390944,0.4161603124100858,0.41491479652804536,0.152945333208563
103,stuck_at,rank_normalized_logistic,0.8500000000000001,0.7956043956043956,rank_normalized_logistic,2.0,1436,35,0,0.0,13,0,1.0,0.6364902506963789,0.4763231197771588,0.0,1.0,0.0,0.4763231197771588,0.8083459486348644,0.5544438627637814,2.7504328864994085,0.8683020423561069,0.38670285530957416,0.3857689609930223,0.14226540235784782
103,stuck_at,class_conditional_logistic,0.9,0.7098901098901099,class_conditional_logistic,2.0,1436,35,0,0.0,13,0,1.0,0.08495821727019498,0.4763231197771588,0.0,1.0,0.0,0.4763231197771588,0.8002414744938443,0.5445345862371848,3.058273385356503,0.8911996405363477,0.39831972276843436,0.3973858284518826,0.14719014036285671
103,stuck_at,logit_margin_difference,-0.6949587538838387,0.5208791208791209,logit_margin_difference,2.0,1436,35,35,1.0,13,13,0.0,1.0,0.49164345403899723,153.2033426183844,1.0,153.2033426183844,0.49164345403899723,0.8091234557598685,0.556959246616198,2.658942922304355,0.829490547146693,0.36326505351727933,0.36326505351727933,0.13353515646034966
