seed,fault_type,method,mean_forward_passes,n,correction_opportunities,corrections_retained,recovery_retention,harm_opportunities,harms_realized,negative_transfer_prevention,recovery_selection_rate,selected_accuracy,net_correct_change_per_10000,utility_ratio,utility_per_10000,accuracy,macro_auroc,macro_auprc,nll,brier,ece15_equal_width,ece15_equal_mass,classwise_ece15
103,drift,Always PDRF,1.0,1436,28,0,0.0,5,0,1.0,0.0,0.49512534818941506,0.0,1.0,0.0,0.49512534818941506,0.8061840355917056,0.5571826361375264,3.462134174382716,0.9047666418294835,0.41281783459897126,0.41169045861789916,0.15198531875518775
103,drift,Always RO-PDRF-Lite,1.0,1436,28,28,1.0,5,5,0.0,1.0,0.5111420612813371,160.16713091922006,1.0,160.16713091922006,0.5111420612813371,0.8109073300359152,0.5687050722445737,3.123861469160768,0.8682373604266791,0.3870797372614866,0.38687359105760505,0.14437774709075243
103,drift,Frozen Lite-CF (ungated),2.0,1436,28,0,0.0,5,0,1.0,0.6427576601671309,0.49512534818941506,0.0,1.0,0.0,0.49512534818941506,0.8121133494451996,0.5685464953610497,3.197693758257123,0.8986856995164267,0.41030736227487913,0.4091799862938068,0.15107542204197652
103,drift,Prospective gate Lite-CF,1.0,1436,28,0,0.0,5,0,1.0,0.0,0.49512534818941506,0.0,1.0,0.0,0.49512534818941506,0.8061840355917056,0.5571826361375264,3.462134174382716,0.9047666418294835,0.41281783459897126,0.41169045861789916,0.15198531875518775
103,drift,All-row multinomial (safety),2.0,1436,28,0,0.0,5,0,1.0,0.016016713091922007,0.49512534818941506,0.0,1.0,0.0,0.49512534818941506,0.806724768447514,0.5581440119751252,3.458294244789832,0.9026594469085253,0.41570768237880307,0.41458030639773097,0.1511415624181033
103,drift,All-row multinomial (utility 1:1),2.0,1436,28,27,0.9642857142857143,5,5,0.0,0.9923398328690808,0.5104456824512534,153.2033426183844,1.0,153.2033426183844,0.5104456824512534,0.8109836628708065,0.5690328911632948,3.123903814033705,0.8682802017514415,0.38824084977151396,0.3877455721263121,0.14418679829412043
103,gaussian,Always PDRF,1.0,1436,49,0,0.0,15,0,1.0,0.0,0.44707520891364905,0.0,1.0,0.0,0.44707520891364905,0.7694249613154086,0.4738324174880839,4.163939058459799,0.9145673794401421,0.4161377317134759,0.41599109654739785,0.14568111844563988
103,gaussian,Always RO-PDRF-Lite,1.0,1436,49,49,1.0,15,15,0.0,1.0,0.47075208913649025,236.76880222841226,1.0,236.76880222841226,0.47075208913649025,0.7817272630643446,0.49231922150990065,3.492984982756553,0.8662389415564703,0.37829005887611455,0.37820760135803666,0.13463757829773834
103,gaussian,Frozen Lite-CF (ungated),2.0,1436,49,0,0.0,15,0,1.0,0.48676880222841223,0.44707520891364905,0.0,1.0,0.0,0.44707520891364905,0.774255659737897,0.48108874172013466,3.8681893188422496,0.9129000597916969,0.41569763528160275,0.4155510001155246,0.14553441963501548
103,gaussian,Prospective gate Lite-CF,1.0,1436,49,0,0.0,15,0,1.0,0.0,0.44707520891364905,0.0,1.0,0.0,0.44707520891364905,0.7694249613154086,0.4738324174880839,4.163939058459799,0.9145673794401421,0.4161377317134759,0.41599109654739785,0.14568111844563988
103,gaussian,All-row multinomial (safety),2.0,1436,49,3,0.061224489795918366,15,0,1.0,0.013231197771587743,0.4491643454038997,20.891364902506965,1.0,20.891364902506965,0.4491643454038997,0.7703161645274905,0.4756659458568901,4.157911389239892,0.912767161815289,0.4168929873278745,0.41674635216179645,0.1458547353496147
103,gaussian,All-row multinomial (utility 1:1),2.0,1436,49,44,0.8979591836734694,15,13,0.1333333333333333,0.9846796657381616,0.46866295264623953,215.8774373259053,1.0,215.8774373259053,0.46866295264623953,0.7815245042837412,0.49185382376471026,3.5034003019521442,0.8682008979768603,0.3804761859401664,0.3804761859401663,0.1353969649448423
103,offset,Always PDRF,1.0,1436,42,0,0.0,3,0,1.0,0.0,0.4610027855153203,0.0,1.0,0.0,0.4610027855153203,0.7931424934604397,0.5368989239230508,3.858461086657976,0.9727784135520209,0.45394944242541346,0.45229778566961043,0.16463707549618506
103,offset,Always RO-PDRF-Lite,1.0,1436,42,42,1.0,3,3,0.0,1.0,0.4881615598885794,271.5877437325905,1.0,271.5877437325905,0.4881615598885794,0.8020726761144648,0.55014345265786,3.3361940831758123,0.9111123604105786,0.41270434890265545,0.4114588330206151,0.1524636774417841
