method,fault_type,batch,metric,n_fitted_cells,mean,fitting_ci_low,fitting_ci_high,median,q1,q3,minimum,maximum
Always RO-PDRF-Lite,offset,10,accuracy,10,0.48889830508474585,0.4792769621761387,0.498519647993353,0.4885593220338983,0.4822033898305085,0.4938559322033898,0.4661016949152542,0.511864406779661
Always RO-PDRF-Lite,offset,10,macro_auroc,10,0.8121738142792649,0.8018842302457322,0.8224633983127977,0.8196802292768853,0.8020368518574735,0.8237094438396595,0.7893718295165567,0.8253278547542925
Always RO-PDRF-Lite,offset,10,correction_opportunities,10,24.4,16.59856364825786,32.20143635174214,25.5,17.25,32.75,6.0,41.0
Always RO-PDRF-Lite,offset,10,harm_opportunities,10,12.9,5.854955086328213,19.945044913671786,11.5,5.75,18.75,1.0,33.0
Always RO-PDRF-Lite,offset,10,negative_transfer_prevention,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Always RO-PDRF-Lite,offset,10,recovery_retention,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Always RO-PDRF-Lite,offset,10,utility_per_10000,10,97.45762711864407,45.838605332164704,149.07664890512342,110.16949152542372,42.37288135593221,135.59322033898306,-8.474576271186441,211.864406779661
Always RO-PDRF-Lite,stuck_at,8,accuracy,10,0.5153846153846153,0.479561382384209,0.5512078483850217,0.5164835164835165,0.49725274725274726,0.532967032967033,0.43956043956043955,0.6263736263736264
Always RO-PDRF-Lite,stuck_at,8,macro_auroc,10,0.8891080718666551,0.8755604709400701,0.9026556727932401,0.887132640453969,0.8733548237316411,0.9016306593027525,0.8677278195111343,0.9256381276255894
Always RO-PDRF-Lite,stuck_at,8,correction_opportunities,10,4.0,0.8727273773643831,7.127272622635617,2.0,2.0,3.0,1.0,14.0
Always RO-PDRF-Lite,stuck_at,8,harm_opportunities,10,1.3,-0.3877976674930579,2.9877976674930578,0.0,0.0,1.0,0.0,7.0
Always RO-PDRF-Lite,stuck_at,8,negative_transfer_prevention,10,0.6,0.2305912822016925,0.9694087177983075,1.0,0.0,1.0,0.0,1.0
Always RO-PDRF-Lite,stuck_at,8,recovery_retention,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Always RO-PDRF-Lite,stuck_at,8,utility_per_10000,10,296.7032967032967,-41.00749841856015,634.4140918251535,219.78021978021977,109.89010989010988,302.1978021978022,-439.56043956043953,1098.901098901099
Always RO-PDRF-Lite,stuck_at,9,accuracy,10,0.5703030303030303,0.5311793288636326,0.609426731742428,0.5545454545454545,0.5454545454545454,0.5924242424242425,0.49696969696969695,0.696969696969697
Always RO-PDRF-Lite,stuck_at,9,macro_auroc,10,0.8793664590587525,0.8680463448581915,0.8906865732593136,0.8767896546362021,0.8665360902634616,0.8875814352045072,0.8627272938861313,0.9086701340340442
Always RO-PDRF-Lite,stuck_at,9,correction_opportunities,10,8.7,4.989786390350796,12.410213609649203,7.5,5.5,10.5,3.0,21.0
Always RO-PDRF-Lite,stuck_at,9,harm_opportunities,10,2.7,0.3624375983840977,5.037562401615903,1.0,1.0,4.25,0.0,10.0
Always RO-PDRF-Lite,stuck_at,9,negative_transfer_prevention,10,0.2,-0.10162095504721325,0.5016209550472133,0.0,0.0,0.0,0.0,1.0
Always RO-PDRF-Lite,stuck_at,9,recovery_retention,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Always RO-PDRF-Lite,stuck_at,9,utility_per_10000,10,363.6363636363636,67.46557592922392,659.8071513435034,303.030303030303,121.21212121212122,575.7575757575758,-303.030303030303,1212.121212121212
Always RO-PDRF-Lite,stuck_at,10,accuracy,10,0.4797457627118645,0.46548685645050386,0.4940046689732251,0.47966101694915253,0.4646186440677966,0.48686440677966103,0.4542372881355932,0.514406779661017
Always RO-PDRF-Lite,stuck_at,10,macro_auroc,10,0.8045645558333965,0.7965753866704641,0.8125537249963288,0.8056267363829094,0.7961791168845314,0.8131692294670383,0.7851922910600261,0.8217450462705301
Always RO-PDRF-Lite,stuck_at,10,correction_opportunities,10,26.0,16.826556781430238,35.17344321856976,22.5,18.0,32.75,8.0,51.0
Always RO-PDRF-Lite,stuck_at,10,harm_opportunities,10,13.6,8.223442554350257,18.976557445649743,11.0,9.25,18.25,2.0,25.0
Always RO-PDRF-Lite,stuck_at,10,negative_transfer_prevention,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Always RO-PDRF-Lite,stuck_at,10,recovery_retention,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Always RO-PDRF-Lite,stuck_at,10,utility_per_10000,10,105.08474576271185,27.59624484991089,182.5732466755128,101.69491525423729,57.20338983050847,125.0,-76.27118644067797,338.9830508474576
Frozen Lite-CF (ungated),drift,8,accuracy,10,0.5406593406593407,0.5127307325059747,0.5685879488127068,0.5494505494505495,0.5302197802197802,0.5576923076923077,0.4725274725274725,0.6043956043956044
Frozen Lite-CF (ungated),drift,8,macro_auroc,10,0.9205820089780341,0.9128070766520903,0.928356941303978,0.9235203525052798,0.9106446843608375,0.9270868215812861,0.9052790011306749,0.9354434831492321
Frozen Lite-CF (ungated),drift,8,correction_opportunities,10,2.0,0.03367194439668775,3.966328055603312,1.0,0.25,2.0,0.0,9.0
Frozen Lite-CF (ungated),drift,8,harm_opportunities,10,0.9,0.043561120557065736,1.7564388794429342,1.0,0.0,1.0,0.0,4.0
Frozen Lite-CF (ungated),drift,8,negative_transfer_prevention,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Frozen Lite-CF (ungated),drift,8,recovery_retention,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frozen Lite-CF (ungated),drift,8,utility_per_10000,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frozen Lite-CF (ungated),drift,9,accuracy,10,0.6309090909090909,0.5953069476049873,0.6665112342131945,0.6242424242424243,0.5878787878787879,0.6621212121212121,0.5757575757575758,0.7151515151515152
Frozen Lite-CF (ungated),drift,9,macro_auroc,10,0.9159783100271927,0.9076307093337604,0.9243259107206249,0.9191482598796727,0.9139764869436785,0.9230775194428018,0.8901471547180773,0.9296740976819834
Frozen Lite-CF (ungated),drift,9,correction_opportunities,10,5.5,1.421838178085702,9.578161821914298,3.5,1.25,8.0,0.0,17.0
Frozen Lite-CF (ungated),drift,9,harm_opportunities,10,2.3,0.752813856132029,3.8471861438679706,3.0,0.0,3.75,0.0,6.0
Frozen Lite-CF (ungated),drift,9,negative_transfer_prevention,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Frozen Lite-CF (ungated),drift,9,recovery_retention,10,0.14807692307692308,-0.07769682437435574,0.37385067052820187,0.0,0.0,0.17307692307692307,0.0,1.0
Frozen Lite-CF (ungated),drift,9,utility_per_10000,10,30.303030303030305,-11.830421277407908,72.43648188346852,0.0,0.0,45.45454545454545,0.0,181.8181818181818
Frozen Lite-CF (ungated),drift,10,accuracy,10,0.4977966101694916,0.48749973821042647,0.5080934821285568,0.49745762711864405,0.49173728813559325,0.5093220338983051,0.47372881355932206,0.514406779661017
Frozen Lite-CF (ungated),drift,10,macro_auroc,10,0.817261820744745,0.8065926840170334,0.8279309574724565,0.8240031020846075,0.8037196762391343,0.8299278017364784,0.7925353602472271,0.8314983527354195
Frozen Lite-CF (ungated),drift,10,correction_opportunities,10,17.2,12.211842289662174,22.188157710337826,17.5,13.5,20.75,3.0,29.0
