replicate,negative_transfer_prevention,recovery_retention,full_selection_rate,safe_minus_pdrf_auroc,safe_minus_full_auroc
27,0.9165580182529335,0.15075987841945288,0.4562848189415042,0.005593966309767939,-0.00031205826078894994
28,0.8939114391143912,0.1302710843373494,0.457224930362117,0.0035243363828832974,-0.001458943950998215
29,0.912540192926045,0.1634349030470914,0.38887534818941505,0.00558491509481529,-0.005506208932683165
30,0.926530612244898,0.06773211567732115,0.4317200557103064,0.003575147848478011,-3.6277605420353964e-05
31,0.8764568764568764,0.19391438886023724,0.48389623955431754,0.006497280051925958,-0.004898948928684033
32,0.8880760790051208,0.12053571428571429,0.45280292479108636,0.004180941427624041,-0.0007460805684539329
33,0.9097796143250689,0.13070422535211268,0.46145543175487463,0.00559943776824845,-0.003041177037686138
34,0.8975382568196939,0.1684652278177458,0.4165738161559889,0.004100377118627541,-0.002290335750423811
35,0.9339237057220708,0.06079664570230608,0.33372214484679663,0.004374506761839481,0.0007692197808695234
36,0.9106359649122807,0.09526592635885447,0.4729630919220056,0.005286905197050107,-0.0010380391918146659
37,0.8779527559055118,0.20652173913043478,0.51875,0.005752465288206943,-0.0024866513222123743
38,0.9034564958283671,0.16129032258064516,0.440041782729805,0.00569201937088426,-0.0023656081285762243
39,0.9221967963386728,0.07692307692307693,0.3592444289693593,0.003003873960771064,-0.0005585341091641771
40,0.9109364767518009,0.07923697725605282,0.4448293871866295,0.004015567452953062,0.0013664742387065054
41,0.9355322338830585,0.12876550502067335,0.5667653203342619,0.007139506738020107,-0.0014608503719323318
42,0.9098474341192788,0.15777653003930375,0.4166608635097493,0.004043424503722637,-0.0031839154246438017
43,0.885286783042394,0.2016244624940277,0.4171657381615599,0.005748603457835788,-0.004386959324687911
44,0.8756906077348067,0.18353510895883776,0.4634923398328691,0.005953276726301415,-0.005243243070509496
45,0.9100660066006601,0.13931190073322053,0.37228412256267407,0.00457829433925927,-0.004211596820693275
46,0.8891304347826087,0.23085106382978723,0.41624303621169917,0.0054942241908551015,-0.004887750017709802
47,0.866885784716516,0.24178782983306407,0.4243732590529248,0.004603012026556996,-0.005245839556994647
48,0.9234496124031008,0.08089668615984405,0.43245125348189417,0.0024530147953897297,0.0005880040479577797
49,0.9323548181238035,0.08356940509915015,0.4602889972144847,0.004447170178956128,0.0015843684465159935
50,0.8784355179704016,0.24777183600713013,0.5209435933147633,0.006245625805705535,-0.0037912423688755137
51,0.9194277108433735,0.11846689895470383,0.4465529247910863,0.004815655078166947,-0.0016581790970034982
52,0.902962962962963,0.20238095238095238,0.45442200557103063,0.005485035262967064,-0.0037378113298099924
53,0.9300699300699301,0.08413284132841328,0.45395194986072424,0.0038205713473350444,0.0001909174128466029
54,0.9011857707509882,0.2140449438202247,0.4871866295264624,0.006905355872555696,-0.003634043350652316
55,0.9202786377708978,0.065,0.4360201949860724,0.004318895257416466,-0.0012001621393862294
56,0.87677304964539,0.21210438645197113,0.512308495821727,0.005754214458242646,-0.0042803822265776725
57,0.8930704898446834,0.17819283190307925,0.4719881615598886,0.006702637850547699,-0.0034957702994896644
58,0.9044630404463041,0.1166077738515901,0.4982242339832869,0.006386415665727951,-0.0015079085598547204
59,0.9070442992011619,0.13002754820936638,0.37679317548746516,0.0033017736116484064,-0.0030322164604560387
60,0.9148264984227129,0.07987616099071207,0.43006615598885795,0.0039088073788022815,-0.0005521975744016139
61,0.9329863370201692,0.06325110689437065,0.45712047353760443,0.003920541071362416,0.00014423925934792248
62,0.9076402321083172,0.15151515151515152,0.4347493036211699,0.00505638322235169,-0.00046049096861222605
63,0.8842874543239951,0.24401664932362122,0.44193941504178275,0.006111843357660018,-0.006214076047407868
64,0.9140674729471674,0.08080110497237569,0.4088614206128134,0.004348670552558609,-0.0008510369212493263
65,0.8816254416961131,0.19397590361445782,0.43581128133704733,0.004413955802197611,-0.0028394592099159066
66,0.8962906888720666,0.13925645872715817,0.3999825905292479,0.004184777258879335,-0.002415720063379978
