seed,fault_type,feature_regime,threshold,preference_auroc,method,mean_forward_passes,n,correction_opportunities,corrections_retained,recovery_retention,harm_opportunities,harms_realized,negative_transfer_prevention,recovery_selection_rate,selected_accuracy,net_correct_change_per_10000,utility_ratio,utility_per_10000,accuracy,macro_auroc,macro_auprc,nll,brier,ece15_equal_width,ece15_equal_mass,classwise_ece15
109,gaussian,temperature_scaled,0.65,0.6583522297808012,Conditional Lite-CF,2.0,1436,49,0,0.0,27,0,1.0,0.0,0.49025069637883006,0.0,1.0,0.0,0.49025069637883006,0.7946309056950015,0.49956132128490155,3.306289402773228,0.8351273869184654,0.35216779331372133,0.3520142146974314,0.13162466041939572
109,offset,temperature_scaled,0.65,0.4714285714285714,Conditional Lite-CF,2.0,1436,49,0,0.0,20,0,1.0,0.0,0.46657381615598886,0.0,1.0,0.0,0.46657381615598886,0.8248426666438339,0.5788366123135366,3.1141334128579534,0.8604963751773814,0.37824058022521956,0.37730642756391786,0.14832526277301183
109,stuck_at,temperature_scaled,0.65,0.6623931623931624,Conditional Lite-CF,2.0,1436,36,0,0.0,13,0,1.0,0.0,0.4533426183844011,0.0,1.0,0.0,0.4533426183844011,0.8114678284655197,0.5619192841138625,3.0892112108996757,0.8739551784692093,0.3749740518004042,0.3713572975195806,0.14994721822205484
109,drift,uncalibrated_endpoints,0.9,0.5042283298097251,Conditional Lite-CF,2.0,1436,43,0,0.0,22,0,1.0,0.0,0.5215877437325905,0.0,1.0,0.0,0.5215877437325905,0.8344637890281148,0.6022905049932263,2.720143281078487,0.7753035338560612,0.32986954756099646,0.32901751690455394,0.13097472143855313
109,gaussian,uncalibrated_endpoints,0.9,0.6674225245653818,Conditional Lite-CF,2.0,1436,49,0,0.0,27,0,1.0,0.0,0.49025069637883006,0.0,1.0,0.0,0.49025069637883006,0.7946309056950015,0.49956132128490155,3.306289402773228,0.8351273869184654,0.35216779331372133,0.3520142146974314,0.13162466041939572
109,offset,uncalibrated_endpoints,0.9,0.5336734693877552,Conditional Lite-CF,2.0,1436,49,0,0.0,20,0,1.0,0.0,0.46657381615598886,0.0,1.0,0.0,0.46657381615598886,0.8248426666438339,0.5788366123135366,3.1141334128579534,0.8604963751773814,0.37824058022521956,0.37730642756391786,0.14832526277301183
109,stuck_at,uncalibrated_endpoints,0.9,0.6944444444444444,Conditional Lite-CF,2.0,1436,36,0,0.0,13,0,1.0,0.0,0.4533426183844011,0.0,1.0,0.0,0.4533426183844011,0.8114678284655197,0.5619192841138625,3.0892112108996757,0.8739551784692093,0.3749740518004042,0.3713572975195806,0.14994721822205484
110,drift,temperature_scaled,0.575,0.6029411764705883,Conditional Lite-CF,2.0,1436,17,2,0.11764705882352941,4,0,1.0,0.14763231197771587,0.5250696378830083,13.927576601671309,1.0,13.927576601671309,0.5250696378830083,0.811031302351422,0.5666374640108623,3.0654890518836964,0.8336788133892354,0.3532862301851866,0.3518216675604293,0.1420168764221484
110,gaussian,temperature_scaled,0.575,0.5056022408963585,Conditional Lite-CF,2.0,1436,42,12,0.2857142857142857,17,4,0.7647058823529411,0.23885793871866295,0.4637883008356546,55.710306406685234,1.0,55.710306406685234,0.4637883008356546,0.7743503062820013,0.46382046611990857,3.3882982155714028,0.8587465929684237,0.3642739864498099,0.36427398644981,0.13179939781599484
110,offset,temperature_scaled,0.575,0.545138888888889,Conditional Lite-CF,2.0,1436,32,3,0.09375,9,0,1.0,0.15041782729805014,0.49025069637883006,20.891364902506965,1.0,20.891364902506965,0.49025069637883006,0.8045818220485567,0.5483271377097442,3.331601896985423,0.8902517755573305,0.3867227064772786,0.3867227064772786,0.15377112569607718
110,stuck_at,temperature_scaled,0.575,0.5142045454545454,Conditional Lite-CF,2.0,1436,32,6,0.1875,11,1,0.9090909090909091,0.16504178272980502,0.5188022284122563,34.81894150417827,1.0,34.81894150417827,0.5188022284122563,0.7989161222161801,0.5606945852617095,2.884964199497274,0.8207479600201899,0.3290633582172227,0.3243858349619163,0.13701095910847252
110,drift,uncalibrated_endpoints,0.6,0.6029411764705882,Conditional Lite-CF,2.0,1436,17,2,0.11764705882352941,4,0,1.0,0.0745125348189415,0.5250696378830083,13.927576601671309,1.0,13.927576601671309,0.5250696378830083,0.8117898583547084,0.5672190185377245,3.068346959018404,0.8352480898789234,0.3551396487738827,0.3536750861491255,0.141973350547514
