seed,repeat,fold,feature,standardized_coefficient
101,6,1,recovery_confidence,0.47934989727611516
101,6,1,confidence_delta,0.1352142890117175
101,6,1,base_entropy,-0.3094702101285977
101,6,1,recovery_entropy,-0.14726006395180213
101,6,1,entropy_delta,0.17956006376168318
101,6,2,base_confidence,0.38492104818413037
101,6,2,recovery_confidence,0.4844914323973923
101,6,2,confidence_delta,0.09549821919033696
101,6,2,base_entropy,-0.2926638841336133
101,6,2,recovery_entropy,-0.13263414835539833
101,6,2,entropy_delta,0.1845417481613877
101,6,3,base_confidence,0.389881303917761
101,6,3,recovery_confidence,0.4407063984090051
101,6,3,confidence_delta,0.042173006319521714
101,6,3,base_entropy,-0.3584590756842395
101,6,3,recovery_entropy,-0.19729596751082004
101,6,3,entropy_delta,0.1987610048909782
101,6,4,base_confidence,0.359710947925845
101,6,4,recovery_confidence,0.48134050598476485
101,6,4,confidence_delta,0.12720682158651125
101,6,4,base_entropy,-0.385922281102772
101,6,4,recovery_entropy,-0.20210992351481227
101,6,4,entropy_delta,0.20235548673042633
101,6,5,base_confidence,0.3821568407321292
101,6,5,recovery_confidence,0.5126836789068573
101,6,5,confidence_delta,0.12031963316048246
101,6,5,base_entropy,-0.35625525677489916
101,6,5,recovery_entropy,-0.17194402524683278
101,6,5,entropy_delta,0.21692345006229072
101,7,1,base_confidence,0.35500688980328404
101,7,1,recovery_confidence,0.4946150599929259
101,7,1,confidence_delta,0.13852647861727838
101,7,1,base_entropy,-0.3548320852084523
101,7,1,recovery_entropy,-0.17381231972386255
101,7,1,entropy_delta,0.18857688354724203
101,7,2,base_confidence,0.36737585167455034
101,7,2,recovery_confidence,0.45858402068296905
101,7,2,confidence_delta,0.11007620667645669
101,7,2,base_entropy,-0.30513361535140654
101,7,2,recovery_entropy,-0.13058450009134204
101,7,2,entropy_delta,0.20820650199267987
101,7,3,base_confidence,0.3587032337382906
101,7,3,recovery_confidence,0.4928260244988194
101,7,3,confidence_delta,0.10909659891668386
101,7,3,base_entropy,-0.33263815281309944
101,7,3,recovery_entropy,-0.1388312069451104
101,7,3,entropy_delta,0.24037695334864662
101,7,4,base_confidence,0.39603135951216034
101,7,4,recovery_confidence,0.49965762079545056
101,7,4,confidence_delta,0.1019483282409235
101,7,4,base_entropy,-0.3491345388799858
101,7,4,recovery_entropy,-0.18953517211069093
101,7,4,entropy_delta,0.18209761584803102
101,7,5,base_confidence,0.3993971802577284
101,7,5,recovery_confidence,0.4605192032688808
101,7,5,confidence_delta,0.06638333341325406
101,7,5,base_entropy,-0.3534369353897745
101,7,5,recovery_entropy,-0.2115862937669802
101,7,5,entropy_delta,0.16217296872565226
101,8,1,base_confidence,0.3462173322019039
101,8,1,recovery_confidence,0.5024688684082564
101,8,1,confidence_delta,0.14659005652295073
101,8,1,base_entropy,-0.39491159815952487
101,8,1,recovery_entropy,-0.18633436768989148
101,8,1,entropy_delta,0.24940416170191093
101,8,2,base_confidence,0.40193255993710014
101,8,2,recovery_confidence,0.4739393750822771
101,8,2,confidence_delta,0.06199372142748415
101,8,2,base_entropy,-0.2841464122950229
101,8,2,recovery_entropy,-0.15840881357663933
101,8,2,entropy_delta,0.14661686930617093
101,8,3,base_confidence,0.4024571500338794
101,8,3,recovery_confidence,0.4608866327146324
101,8,3,confidence_delta,0.06483252746635211
101,8,3,base_entropy,-0.35137433635331106
101,8,3,recovery_entropy,-0.18228110690159316
101,8,3,entropy_delta,0.1981497082172418
101,8,4,base_confidence,0.3419772922405205
101,8,4,recovery_confidence,0.4809572043530472
101,8,4,confidence_delta,0.14061326694015838
101,8,4,base_entropy,-0.3806613058467227
101,8,4,recovery_entropy,-0.19095109085560596
101,8,4,entropy_delta,0.21430143263767276
101,8,5,base_confidence,0.38357563786226617
101,8,5,recovery_confidence,0.48716234119906915
101,8,5,confidence_delta,0.11188744582228394
101,8,5,base_entropy,-0.2923644729667915
101,8,5,recovery_entropy,-0.133378917024029
101,8,5,entropy_delta,0.17494618673689258
101,9,1,base_confidence,0.3909875887929849
101,9,1,recovery_confidence,0.5018450701350592
101,9,1,confidence_delta,0.08438837857778994
101,9,1,base_entropy,-0.3273268988653354
101,9,1,recovery_entropy,-0.16623675343351824
101,9,1,entropy_delta,0.20124003781644184
101,9,2,base_confidence,0.3633180096467366
101,9,2,recovery_confidence,0.48727142353482905
101,9,2,confidence_delta,0.10889555302980392
101,9,2,base_entropy,-0.3505401030132733
101,9,2,recovery_entropy,-0.15779866526747383
101,9,2,entropy_delta,0.22974881633630584
101,9,3,base_confidence,0.355219025592244
101,9,3,recovery_confidence,0.46951665888132843
101,9,3,confidence_delta,0.11651388875517327
101,9,3,base_entropy,-0.34881984153998724
101,9,3,recovery_entropy,-0.16344042053464222
101,9,3,entropy_delta,0.21292380955929402
101,9,4,base_confidence,0.39992063889662066
101,9,4,recovery_confidence,0.4894571790652951
101,9,4,confidence_delta,0.09745787692556449
101,9,4,base_entropy,-0.313585031714776
101,9,4,recovery_entropy,-0.1722668709306298
101,9,4,entropy_delta,0.15819149523311415
101,9,5,base_confidence,0.36765999513942305
101,9,5,recovery_confidence,0.4606948781923479
101,9,5,confidence_delta,0.11602800194594552
101,9,5,base_entropy,-0.36007630086657233
101,9,5,recovery_entropy,-0.19024730618324787
101,9,5,entropy_delta,0.17818422159587397
101,10,1,base_confidence,0.3770296027213357
101,10,1,recovery_confidence,0.5050818106320335
101,10,1,confidence_delta,0.10815866488589876
101,10,1,base_entropy,-0.27482391015586155
101,10,1,recovery_entropy,-0.11040285958983231
101,10,1,entropy_delta,0.19186208592877815
101,10,2,base_confidence,0.3855105349694234
101,10,2,recovery_confidence,0.48043794592957784
101,10,2,confidence_delta,0.10373606586247767
101,10,2,base_entropy,-0.29290060613908886
101,10,2,recovery_entropy,-0.11790802688898831
101,10,2,entropy_delta,0.19988801410071835
101,10,3,base_confidence,0.35907218054864565
101,10,3,recovery_confidence,0.49989661701455174
101,10,3,confidence_delta,0.1407550898839793
101,10,3,base_entropy,-0.3945196917089351
101,10,3,recovery_entropy,-0.1941126426083837
101,10,3,entropy_delta,0.22354818513114735
101,10,4,base_confidence,0.35748855430481036
101,10,4,recovery_confidence,0.4862195133534923
101,10,4,confidence_delta,0.1263296259851508
101,10,4,base_entropy,-0.3211851318069374
101,10,4,recovery_entropy,-0.17602968907066274
101,10,4,entropy_delta,0.17099958233483847
101,10,5,base_confidence,0.40603893593361956
101,10,5,recovery_confidence,0.4346342465159597
101,10,5,confidence_delta,0.038446748079877774
101,10,5,base_entropy,-0.422977535475097
101,10,5,recovery_entropy,-0.2557206180192729
