seed,fault_type,fault_scale,fault_prevalence,stream,method,n,accuracy,macro_auroc,macro_auprc,nll,brier,ece15_equal_width,ece15_equal_mass,classwise_ece15
107,drift,1.0,0.4,strict_fault_applied_available,RO-PDRF-Lite,1436,0.5738161559888579,0.8543671480196257,0.6444160883510247,1.7124385367540957,0.6298810442316243,0.22055155307411176,0.21720735793754206,0.09450361036609461
107,drift,1.0,0.4,strict_fault_applied_available,Lite-CF-6,1436,0.5564066852367688,0.8539707410891832,0.6425056102684059,1.7119845842898116,0.63365978257587,0.23160711188941396,0.23160711188941394,0.09604101002753046
107,stuck_at,1.0,0.4,strict_fault_applied_available,PDRF,1436,0.49930362116991645,0.8261032123606905,0.5876957358737124,1.7089744713568455,0.6914267060120401,0.2129498066163047,0.21294980661630472,0.0995553976159904
107,stuck_at,1.0,0.4,strict_fault_applied_available,RO-PDRF-Lite,1436,0.5243732590529248,0.835175200714147,0.6066053710539289,1.6551702500310832,0.6597202955411253,0.19598699052387725,0.1958986887169221,0.09380760179521182
107,stuck_at,1.0,0.4,strict_fault_applied_available,Lite-CF-6,1436,0.5,0.8330594130528577,0.6036789088482643,1.6647211791659844,0.6721918652633426,0.21206230112223504,0.212062301122235,0.09547027419408917
108,gaussian,1.0,0.4,strict_fault_applied_available,PDRF,1436,0.5438718662952646,0.8290744633399294,0.5728244457421395,2.3251382641396647,0.7190777098810898,0.2940089538945626,0.2940089538945627,0.11095693180133515
108,gaussian,1.0,0.4,strict_fault_applied_available,RO-PDRF-Lite,1436,0.5473537604456824,0.8305858714158775,0.5763590461977022,2.442511034685,0.7368652351507281,0.3036361865539424,0.3036361865539425,0.11603816026713286
108,gaussian,1.0,0.4,strict_fault_applied_available,Lite-CF-6,1436,0.5438718662952646,0.8290744633399294,0.5728244457421395,2.3251382641396647,0.7190777098810898,0.2940089538945626,0.2940089538945627,0.11095693180133515
108,offset,1.0,0.4,strict_fault_applied_available,PDRF,1436,0.5076601671309192,0.8267988326360541,0.585624638401188,2.5532108062876864,0.7791498847694418,0.3396423982775937,0.3396423982775937,0.12898952882697515
108,offset,1.0,0.4,strict_fault_applied_available,RO-PDRF-Lite,1436,0.5083565459610028,0.8276152010469602,0.5858111121573405,2.65729585643571,0.7919356073206725,0.3510729619585279,0.35107296195852805,0.12931803042095638
108,offset,1.0,0.4,strict_fault_applied_available,Lite-CF-6,1436,0.5076601671309192,0.8267503669900186,0.585433252320524,2.553585561175638,0.7793957356484656,0.33936652058669126,0.33936652058669114,0.1290006903612261
108,drift,1.0,0.4,strict_fault_applied_available,PDRF,1436,0.5424791086350975,0.8344591627383315,0.5960449651135227,2.4305989329384907,0.7383680825378554,0.3113606788333947,0.3073888227149957,0.12001788404572504
108,drift,1.0,0.4,strict_fault_applied_available,RO-PDRF-Lite,1436,0.5306406685236769,0.8331672271152525,0.5939441015418572,2.5632433403949855,0.7607002231304519,0.3298428838944179,0.32933779681061714,0.12380088786814936
108,drift,1.0,0.4,strict_fault_applied_available,Lite-CF-6,1436,0.5424791086350975,0.8344591627383315,0.5960449651135227,2.4305989329384907,0.7383680825378554,0.3113606788333947,0.3073888227149957,0.12001788404572504
108,stuck_at,1.0,0.4,strict_fault_applied_available,PDRF,1436,0.49651810584958217,0.8171601213790688,0.5731384233945463,2.380315881007429,0.788112934341098,0.3297960823670058,0.3297960823670058,0.13181682969049235
108,stuck_at,1.0,0.4,strict_fault_applied_available,RO-PDRF-Lite,1436,0.5020891364902507,0.8205494561189769,0.5740337305454023,2.479606584319803,0.7948130598970516,0.3401891542482097,0.3401891542482099,0.13137031968028348
108,stuck_at,1.0,0.4,strict_fault_applied_available,Lite-CF-6,1436,0.49651810584958217,0.8171601213790688,0.5731384233945463,2.380315881007429,0.788112934341098,0.3297960823670058,0.3297960823670058,0.13181682969049235
109,gaussian,1.0,0.4,strict_fault_applied_available,PDRF,1436,0.5557103064066853,0.835689729063629,0.5868940753313335,2.320246556686366,0.6977159756844238,0.2709688006242592,0.270710385143077,0.10675029056265035
109,gaussian,1.0,0.4,strict_fault_applied_available,RO-PDRF-Lite,1436,0.5724233983286908,0.8444172575027813,0.5994742052288189,2.177273587363413,0.6771473853430275,0.2599141061074124,0.2599141061074124,0.10293855832807652
109,gaussian,1.0,0.4,strict_fault_applied_available,Lite-CF-6,1436,0.5557103064066853,0.835689729063629,0.5868940753313335,2.320246556686366,0.6977159756844238,0.2709688006242592,0.270710385143077,0.10675029056265035
109,offset,1.0,0.4,strict_fault_applied_available,PDRF,1436,0.5389972144846796,0.8476132802302896,0.6217947390499292,2.461748210126135,0.7376200490308517,0.3134881164137581,0.3134881164137582,0.12320525592779663
109,offset,1.0,0.4,strict_fault_applied_available,RO-PDRF-Lite,1436,0.5508356545961003,0.8516946992196788,0.6232797463514826,2.3503808922387948,0.7195268079096443,0.30136787977140467,0.30079697263105853,0.11823958443332327
109,offset,1.0,0.4,strict_fault_applied_available,Lite-CF-6,1436,0.5389972144846796,0.8476132802302896,0.6217947390499292,2.461748210126135,0.7376200490308517,0.3134881164137581,0.3134881164137582,0.12320525592779663
109,drift,1.0,0.4,strict_fault_applied_available,PDRF,1436,0.5759052924791086,0.8541541782399772,0.6282148312337658,2.347051036473924,0.6916595326759651,0.28350773266884255,0.2835077326688425,0.11247172664807586
109,drift,1.0,0.4,strict_fault_applied_available,RO-PDRF-Lite,1436,0.5793871866295265,0.8569049012075524,0.6291891024028617,2.270006970076266,0.685771185641672,0.2764957057480555,0.2763152061640742,0.11077776743515594
109,drift,1.0,0.4,strict_fault_applied_available,Lite-CF-6,1436,0.5759052924791086,0.8541541782399772,0.6282148312337658,2.347051036473924,0.6916595326759651,0.28350773266884255,0.2835077326688425,0.11247172664807586
109,stuck_at,1.0,0.4,strict_fault_applied_available,PDRF,1436,0.5146239554317549,0.8286453986481862,0.5947322861015228,2.3218439246874545,0.763338916502859,0.3002643118898907,0.2942114158725783,0.12888488087936462
109,stuck_at,1.0,0.4,strict_fault_applied_available,RO-PDRF-Lite,1436,0.5355153203342619,0.8375794708902591,0.6020651429198708,2.248349807699993,0.7407918774067179,0.29231764743861055,0.28888223600063373,0.12261411943431709
109,stuck_at,1.0,0.4,strict_fault_applied_available,Lite-CF-6,1436,0.5146239554317549,0.8286453986481862,0.5947322861015228,2.3218439246874545,0.763338916502859,0.3002643118898907,0.2942114158725783,0.12888488087936462
110,gaussian,1.0,0.4,strict_fault_applied_available,PDRF,1436,0.5389972144846796,0.8198678532170179,0.5623595291453558,2.5962842529308574,0.7435480141187616,0.3110249029587102,0.3105356253437124,0.11556620181832185
110,gaussian,1.0,0.4,strict_fault_applied_available,RO-PDRF-Lite,1436,0.541782729805014,0.8252981169988622,0.5804710973457575,2.429620263402881,0.7287318461040376,0.30467767552949804,0.30467767552949815,0.11220492734945602
110,gaussian,1.0,0.4,strict_fault_applied_available,Lite-CF-6,1436,0.541782729805014,0.823678587205474,0.5699162647172092,2.491926561356236,0.7170530144342508,0.2868904570821492,0.2868904570821492,0.10933300544909741
110,offset,1.0,0.4,strict_fault_applied_available,PDRF,1436,0.5278551532033426,0.8212166400663574,0.5825711093579515,2.9215951993200187,0.8130312413931846,0.35633335749875145,0.35539853673527183,0.13773663372334177
110,offset,1.0,0.4,strict_fault_applied_available,RO-PDRF-Lite,1436,0.532033426183844,0.8205184902493525,0.5879688154691444,2.776538245805004,0.804613132870688,0.35001000345211264,0.34907472074592616,0.13550352024071602
110,offset,1.0,0.4,strict_fault_applied_available,Lite-CF-6,1436,0.5285515320334262,0.8204145546270359,0.5833500988186014,2.8833577860372066,0.8040564914688881,0.3474629199598561,0.34559281649018997,0.1361010069475404
110,drift,1.0,0.4,strict_fault_applied_available,PDRF,1436,0.5564066852367688,0.8311186330855974,0.6002123110255779,2.755830136880426,0.7577050426870026,0.32717911472424055,0.32717911472424055,0.12536991231092218
110,drift,1.0,0.4,strict_fault_applied_available,RO-PDRF-Lite,1436,0.5522284122562674,0.8288778439059051,0.6041098011473852,2.641059449717656,0.7572069574243434,0.329094979770448,0.3251084821330559,0.1260792974386538
110,drift,1.0,0.4,strict_fault_applied_available,Lite-CF-6,1436,0.557799442896936,0.8292091815038715,0.5996009898259138,2.735241524584878,0.7531622326204688,0.3166476278340695,0.314060038607821,0.1261927098256308
110,stuck_at,1.0,0.4,strict_fault_applied_available,PDRF,1436,0.504874651810585,0.8096494087910514,0.5716188486739675,2.4750757181767487,0.7848713389984624,0.3236893036945656,0.3222315356029781,0.12786525203017704
110,stuck_at,1.0,0.4,strict_fault_applied_available,RO-PDRF-Lite,1436,0.5236768802228412,0.8147789613845716,0.5870156468392979,2.3566827885047785,0.7596408382747057,0.307204015837212,0.305766955926837,0.12151561460660192
110,stuck_at,1.0,0.4,strict_fault_applied_available,Lite-CF-6,1436,0.5083565459610028,0.8098729602655722,0.5736500871895357,2.4240184467878687,0.7638804664131287,0.30664040644231505,0.30517320574240664,0.12460480107317103
