seed,repeat,auroc,auprc,brier,threshold,threshold_tie_count
105,10,0.32692307692307687,0.7177147073285334,0.2721671700413877,0.55,1
106,1,0.8259803921568628,0.893965015391116,0.17529268069276077,0.65,1
106,2,0.8284313725490197,0.8954982718035205,0.17422382705192652,0.625,1
106,3,0.8302696078431373,0.8954851630806934,0.17329540560575762,0.625,1
106,4,0.8394607843137255,0.8999146455529076,0.17188186272911382,0.625,1
106,5,0.8308823529411765,0.8969899281481821,0.17516726674657895,0.625,1
106,6,0.8308823529411765,0.8958520451066407,0.17188904996099524,0.625,1
106,7,0.8363970588235294,0.8991591932850599,0.17451021355209115,0.625,1
106,8,0.8186274509803921,0.8889415177309663,0.1768365095542333,0.625,1
106,9,0.8345588235294118,0.897688526095072,0.17260356818700506,0.625,1
106,10,0.8308823529411765,0.8955470311432678,0.1724259169916015,0.625,1
107,1,0.7634680134680135,0.9353535209674169,0.24037773601372192,0.55,1
107,2,0.6826599326599327,0.9049730110507086,0.23482731069332533,0.6,1
107,3,0.7138047138047139,0.9110726020370139,0.23927351754272472,0.6,1
107,4,0.7542087542087541,0.9345523465002397,0.23152552736177417,0.55,1
107,5,0.7744107744107744,0.9431819444022471,0.23531016675729644,0.525,1
107,6,0.7213804713804716,0.8969867370464552,0.23359715659010907,0.625,1
107,7,0.7651515151515151,0.9207410920532855,0.23604906744563978,0.6,1
107,8,0.6574074074074074,0.8990538543862523,0.2421064484052429,0.575,1
107,9,0.6767676767676768,0.8927633293177242,0.2430897195144473,0.65,1
107,10,0.7239057239057238,0.9188425318817011,0.2336073534280357,0.6,1
108,1,0.6719924812030075,0.43342154409460026,0.22682061139192522,0.775,1
108,2,0.6837406015037594,0.4556891997309489,0.22763244822693465,0.9,6
108,3,0.6583646616541353,0.4203581214505624,0.23116062529344192,0.9,8
108,4,0.6954887218045113,0.45478234685674457,0.2258709311111599,0.9,5
108,5,0.6433270676691728,0.4429961668760739,0.23345765954677425,0.725,2
108,6,0.612312030075188,0.33833312362594814,0.23690150856091635,0.9,3
108,7,0.6325187969924811,0.3365596226076041,0.2372630557708414,0.9,6
