analysis_set,seed,fault_type,prevalence,stream,method,mean_forward_passes,n,correction_opportunities,corrections_retained,recovery_retention,harm_opportunities,harms_realized,negative_transfer_prevention,recovery_selection_rate,selected_accuracy,net_correct_change_per_10000,accuracy,macro_auroc,macro_auprc,nll,brier,ece15_equal_width,ece15_equal_mass,classwise_ece15
strict,102,gaussian,0.4,strict_fault_applied_available,Cascade-25,3.13091922005571,1436,49,5,0.10204081632653061,15,1,0.9333333333333333,0.5487465181058496,0.4742339832869081,27.855153203342617,0.4742339832869081,0.7926225351123293,0.5130531860867117,2.6458289620908375,0.8224174919566558,0.34037388794895723,0.33934787762795193,0.12427339291445372
strict,102,gaussian,0.4,strict_fault_applied_available,Always PDRF,1.0,1436,49,0,0.0,15,0,1.0,0.0,0.4714484679665738,0.0,0.4714484679665738,0.7862003761367841,0.5016691422782378,2.9683837172862226,0.8333847211073275,0.34186101986209333,0.340835009541088,0.12639295299850725
strict,102,gaussian,0.4,strict_fault_applied_available,Always RO-PDRF-Full,1.0,1436,49,49,1.0,15,15,0.0,1.0,0.49512534818941506,236.76880222841226,0.49512534818941506,0.8011415954146894,0.5245948242678492,2.3369331149575796,0.7629611993332667,0.28201370232131545,0.2820137023213155,0.10949596667540125
strict,102,offset,0.4,strict_fault_applied_available,Safe-CF-12,6.0,1436,11,0,0.0,2,0,1.0,0.5689415041782729,0.5111420612813371,0.0,0.5111420612813371,0.8282428855295171,0.5867536765046918,2.207038956186195,0.802884684933175,0.33719700479564907,0.33719700479564907,0.1318462862145674
strict,102,offset,0.4,strict_fault_applied_available,Shrink-6,2.0,1436,11,0,0.0,2,0,1.0,0.7681058495821727,0.5111420612813371,0.0,0.5111420612813371,0.8282823786090687,0.5871562875643863,2.1378063069008486,0.7847036134618338,0.3245968296366731,0.32459682963667313,0.1275126739353766
strict,102,offset,0.4,strict_fault_applied_available,Tree-6,2.0,1436,11,0,0.0,2,0,1.0,0.0,0.5111420612813371,0.0,0.5111420612813371,0.8248632341445395,0.5842026104190533,2.4338803955531465,0.8116993491606392,0.34347408917631367,0.3434740891763136,0.13478164012964483
strict,102,offset,0.4,strict_fault_applied_available,Three-outcome-6,2.0,1436,11,1,0.09090909090909091,2,0,1.0,0.012534818941504178,0.5118384401114207,6.963788300835654,0.5118384401114207,0.82502730641247,0.5841256502873028,2.421284784428237,0.8113867133241153,0.3446016798596748,0.3439180272133377,0.1347133979538269
strict,102,offset,0.4,strict_fault_applied_available,Cascade-25,3.3983286908077996,1436,11,0,0.0,2,0,1.0,0.5689415041782729,0.5111420612813371,0.0,0.5111420612813371,0.8282428855295171,0.5867536765046918,2.207038956186195,0.802884684933175,0.33719700479564907,0.33719700479564907,0.1318462862145674
strict,102,offset,0.4,strict_fault_applied_available,Always PDRF,1.0,1436,11,0,0.0,2,0,1.0,0.0,0.5111420612813371,0.0,0.5111420612813371,0.8248632341445395,0.5842026104190533,2.4338803955531465,0.8116993491606392,0.34347408917631367,0.3434740891763136,0.13478164012964483
strict,102,offset,0.4,strict_fault_applied_available,Always RO-PDRF-Full,1.0,1436,11,11,1.0,2,2,0.0,1.0,0.5174094707520891,62.674094707520894,0.5174094707520891,0.82972167596385,0.5880525172454109,2.083236817962888,0.7686963697050416,0.30745561243768715,0.3060115141254303,0.12332854297135892
strict,102,stuck_at,0.4,strict_fault_applied_available,Safe-CF-12,6.0,1436,17,1,0.058823529411764705,4,0,1.0,0.4575208913649025,0.5146239554317549,6.963788300835654,0.5146239554317549,0.823240693647695,0.5843981314923535,1.9472391716042825,0.7220809517242452,0.26743204267000753,0.26377431868325973,0.10997942675687139
strict,102,stuck_at,0.4,strict_fault_applied_available,Shrink-6,2.0,1436,17,0,0.0,4,0,1.0,0.5842618384401114,0.5139275766016713,0.0,0.5139275766016713,0.8250343516316955,0.5866560775614834,1.9076342964779547,0.7150377784679204,0.26319635903099303,0.25953863504424524,0.10898534641909652
strict,102,stuck_at,0.4,strict_fault_applied_available,Tree-6,2.0,1436,17,0,0.0,4,0,1.0,0.0,0.5139275766016713,0.0,0.5139275766016713,0.8226905085073303,0.584262274885964,2.052777011851355,0.7267302437222519,0.2716721390013584,0.2680144150146106,0.11195104981260455
strict,102,stuck_at,0.4,strict_fault_applied_available,Three-outcome-6,2.0,1436,17,4,0.23529411764705882,4,0,1.0,0.011838440111420613,0.5167130919220055,27.855153203342617,0.5167130919220055,0.8228399474565506,0.5845963250450608,2.0483351496423867,0.7257711260123503,0.26961982091846565,0.26596209693171785,0.11172888261852436
strict,102,stuck_at,0.4,strict_fault_applied_available,Cascade-25,3.317548746518106,1436,17,1,0.058823529411764705,4,0,1.0,0.4575208913649025,0.5146239554317549,6.963788300835654,0.5146239554317549,0.823240693647695,0.5843981314923535,1.9472391716042825,0.7220809517242452,0.26743204267000753,0.26377431868325973,0.10997942675687139
strict,102,stuck_at,0.4,strict_fault_applied_available,Always PDRF,1.0,1436,17,0,0.0,4,0,1.0,0.0,0.5139275766016713,0.0,0.5139275766016713,0.8226905085073303,0.584262274885964,2.052777011851355,0.7267302437222519,0.2716721390013584,0.2680144150146106,0.11195104981260455
strict,102,stuck_at,0.4,strict_fault_applied_available,Always RO-PDRF-Full,1.0,1436,17,17,1.0,4,4,0.0,1.0,0.5229805013927576,90.5292479108635,0.5229805013927576,0.8289838902693929,0.5875989382064749,1.82895383075681,0.6976772521190314,0.23681645778153093,0.23612346077034316,0.10565604600583951
strict,103,drift,0.4,strict_fault_applied_available,Safe-CF-12,6.0,1436,18,0,0.0,4,0,1.0,0.8871866295264624,0.49512534818941506,0.0,0.49512534818941506,0.8132776175100563,0.5676074564280914,3.1564325754902636,0.8871534565292792,0.4081905696149036,0.40706319363383137,0.14820392054364195
strict,103,drift,0.4,strict_fault_applied_available,Shrink-6,2.0,1436,18,0,0.0,4,0,1.0,0.7688022284122563,0.49512534818941506,0.0,0.49512534818941506,0.8134370853712305,0.5673237962746446,3.1788923240162394,0.8954233455024679,0.40878480262269085,0.40765742664161864,0.15035887684568652
strict,103,drift,0.4,strict_fault_applied_available,Tree-6,2.0,1436,18,0,0.0,4,0,1.0,0.0,0.49512534818941506,0.0,0.49512534818941506,0.8061840355917056,0.5571826361375264,3.462134174382716,0.9047666418294835,0.41281783459897126,0.41169045861789916,0.15198531875518775
strict,103,drift,0.4,strict_fault_applied_available,Three-outcome-6,2.0,1436,18,0,0.0,4,0,1.0,0.0,0.49512534818941506,0.0,0.49512534818941506,0.8061840355917056,0.5571826361375264,3.462134174382716,0.9047666418294835,0.41281783459897126,0.41169045861789916,0.15198531875518775
strict,103,drift,0.4,strict_fault_applied_available,Cascade-25,2.668523676880223,1436,18,0,0.0,4,0,1.0,0.8154596100278552,0.49512534818941506,0.0,0.49512534818941506,0.8136251669871567,0.5675371200766982,3.164598680202175,0.8916059590005726,0.4081784299195934,0.4070510539385212,0.14992309128650805
strict,103,drift,0.4,strict_fault_applied_available,Always PDRF,1.0,1436,18,0,0.0,4,0,1.0,0.0,0.49512534818941506,0.0,0.49512534818941506,0.8061840355917056,0.5571826361375264,3.462134174382716,0.9047666418294835,0.41281783459897126,0.41169045861789916,0.15198531875518775
strict,103,drift,0.4,strict_fault_applied_available,Always RO-PDRF-Full,1.0,1436,18,18,1.0,4,4,0.0,1.0,0.504874651810585,97.49303621169916,0.504874651810585,0.8128697063386444,0.5667366408547023,3.148288955539058,0.8806834251367185,0.3970815568994964,0.394863896746918,0.1470886796298232
