seed,held_out_fault,calibration_faults,safe_threshold,pdrf_macro_auroc,full_macro_auroc,safe_macro_auroc,n,recovery_opportunities,recovery_retained,recovery_retention,negative_transfer_opportunities,negative_transfer_remaining,negative_transfer_rate,negative_transfer_prevention,full_selection_rate,selected_accuracy
105,drift,gaussian+offset+stuck_at,0.875,0.8441991225697406,0.8189272278710847,0.8382935788916405,1436,45,0,0.0,128,12,0.09375,0.90625,0.40459610027855153,0.5201949860724234
105,stuck_at,gaussian+offset+drift,0.875,0.8153848501703312,0.7961450421187743,0.8160113022834624,1436,23,0,0.0,135,5,0.037037037037037035,0.962962962962963,0.011838440111420613,0.4505571030640669
106,gaussian,offset+drift+stuck_at,0.625,0.7894612243428046,0.8000420823181272,0.7989813062005764,1436,33,13,0.3939393939393939,17,5,0.29411764705882354,0.7058823529411764,0.8607242339832869,0.47214484679665736
106,offset,gaussian+drift+stuck_at,0.9,0.8363096549260515,0.8346153709495504,0.8358866243436034,1436,18,1,0.05555555555555555,16,3,0.1875,0.8125,0.009052924791086351,0.5062674094707521
106,drift,gaussian+offset+stuck_at,0.8,0.843812245491003,0.842734771577741,0.8438109317638257,1436,15,1,0.06666666666666667,15,2,0.13333333333333333,0.8666666666666667,0.5034818941504178,0.5222841225626741
106,stuck_at,gaussian+offset+drift,0.9,0.8278654069721845,0.828092421510207,0.8278296658783258,1436,20,0,0.0,19,0,0.0,1.0,0.005571030640668524,0.504874651810585
107,gaussian,offset+drift+stuck_at,0.875,0.7773266035997143,0.8045485571890093,0.7847811963908393,1436,120,24,0.2,51,6,0.11764705882352941,0.8823529411764706,0.2137883008356546,0.4700557103064067
107,offset,gaussian+drift+stuck_at,0.9,0.8265891364336649,0.8372915143194716,0.8265632182088386,1436,124,5,0.04032258064516129,90,4,0.044444444444444446,0.9555555555555556,0.019498607242339833,0.4658774373259053
107,drift,gaussian+offset+stuck_at,0.825,0.8393721365423227,0.8476784967481011,0.8475096510786383,1436,72,5,0.06944444444444445,74,1,0.013513513513513514,0.9864864864864865,0.2938718662952646,0.5111420612813371
107,stuck_at,gaussian+offset+drift,0.9,0.8051039631857649,0.8156169854684383,0.8091849829753922,1436,103,9,0.08737864077669903,63,4,0.06349206349206349,0.9365079365079365,0.44428969359331477,0.4401114206128134
108,gaussian,offset+drift+stuck_at,0.9,0.7935224966298747,0.8112163948389157,0.8032523862429811,1436,59,7,0.11864406779661017,17,0,0.0,1.0,0.6532033426183844,0.49930362116991645
108,offset,gaussian+drift+stuck_at,0.9,0.8084434061980912,0.8233700645946493,0.8207080490972912,1436,41,7,0.17073170731707318,29,12,0.41379310344827586,0.5862068965517242,0.8662952646239555,0.4700557103064067
108,drift,gaussian+offset+stuck_at,0.9,0.8158518612474239,0.8306031364786355,0.8236559067810653,1436,37,0,0.0,12,0,0.0,1.0,0.6086350974930362,0.49164345403899723
108,stuck_at,gaussian+offset+drift,0.825,0.8004835451691653,0.8201028939653806,0.8102724110928805,1436,40,6,0.15,8,0,0.0,1.0,0.6392757660167131,0.467966573816156
109,gaussian,offset+drift+stuck_at,0.675,0.794579420923727,0.8088447424702064,0.7989941966045508,1436,50,33,0.66,25,15,0.6,0.4,0.27298050139275765,0.5027855153203342
109,offset,gaussian+drift+stuck_at,0.8500000000000001,0.8248693512785459,0.8323222283457677,0.8249702702783107,1436,49,1,0.02040816326530612,26,0,0.0,1.0,0.001392757660167131,0.4672701949860724
109,drift,gaussian+offset+stuck_at,0.8500000000000001,0.8344635212646891,0.84116168631794,0.8344134599864774,1436,45,2,0.044444444444444446,24,1,0.041666666666666664,0.9583333333333334,0.003481894150417827,0.5222841225626741
109,stuck_at,gaussian+offset+drift,0.775,0.8114865186569071,0.8192708561000829,0.8117327666019301,1436,44,1,0.022727272727272728,29,0,0.0,1.0,0.004178272980501393,0.45403899721448465
110,gaussian,offset+drift+stuck_at,0.6,0.7683121804879862,0.7828315974895897,0.7705754067463699,1436,57,43,0.7543859649122807,28,14,0.5,0.5,0.5612813370473537,0.47841225626740946
110,offset,gaussian+drift+stuck_at,0.5,0.8044881937684996,0.8034613667758222,0.804891746186739,1436,34,10,0.29411764705882354,13,6,0.46153846153846156,0.5384615384615384,0.8043175487465181,0.4909470752089137
110,drift,gaussian+offset+stuck_at,0.525,0.810758189446136,0.8089280487792289,0.8107838751541084,1436,18,4,0.2222222222222222,10,1,0.1,0.9,0.46866295264623953,0.525766016713092
110,stuck_at,gaussian+offset+drift,0.75,0.7996767295906668,0.8029090621169769,0.8015076984054673,1436,24,4,0.16666666666666666,18,8,0.4444444444444444,0.5555555555555556,0.31754874651810583,0.5125348189415042
