seed,fault_type,stream,fault_prevalence,harm_to_correction_cost_ratio,pass_penalty_equivalent_corrections_per_10000,corrections_retained_per_10000,harms_realized_per_10000,net_utility_per_10000
106,stuck_at,full_mixed_stream,0.4,1.0,0.0,2.2914757103574703,2.2914757103574703,0.0
106,stuck_at,full_mixed_stream,0.4,1.0,0.5,2.2914757103574703,2.2914757103574703,-0.5
106,stuck_at,full_mixed_stream,0.4,1.0,2.0,2.2914757103574703,2.2914757103574703,-2.0
106,stuck_at,full_mixed_stream,0.4,2.0,0.0,2.2914757103574703,2.2914757103574703,-2.2914757103574703
106,stuck_at,full_mixed_stream,0.4,2.0,0.5,2.2914757103574703,2.2914757103574703,-2.7914757103574703
106,stuck_at,full_mixed_stream,0.4,2.0,2.0,2.2914757103574703,2.2914757103574703,-4.291475710357471
106,stuck_at,full_mixed_stream,0.4,5.0,0.0,2.2914757103574703,2.2914757103574703,-9.165902841429881
106,stuck_at,full_mixed_stream,0.4,5.0,0.5,2.2914757103574703,2.2914757103574703,-9.665902841429881
106,stuck_at,full_mixed_stream,0.4,5.0,2.0,2.2914757103574703,2.2914757103574703,-11.165902841429881
106,stuck_at,full_mixed_70pct,0.7,1.0,0.0,2.2914757103574703,2.2914757103574703,0.0
106,stuck_at,full_mixed_70pct,0.7,1.0,0.5,2.2914757103574703,2.2914757103574703,-0.5
106,stuck_at,full_mixed_70pct,0.7,1.0,2.0,2.2914757103574703,2.2914757103574703,-2.0
106,stuck_at,full_mixed_70pct,0.7,2.0,0.0,2.2914757103574703,2.2914757103574703,-2.2914757103574703
106,stuck_at,full_mixed_70pct,0.7,2.0,0.5,2.2914757103574703,2.2914757103574703,-2.7914757103574703
106,stuck_at,full_mixed_70pct,0.7,2.0,2.0,2.2914757103574703,2.2914757103574703,-4.291475710357471
106,stuck_at,full_mixed_70pct,0.7,5.0,0.0,2.2914757103574703,2.2914757103574703,-9.165902841429881
106,stuck_at,full_mixed_70pct,0.7,5.0,0.5,2.2914757103574703,2.2914757103574703,-9.665902841429881
106,stuck_at,full_mixed_70pct,0.7,5.0,2.0,2.2914757103574703,2.2914757103574703,-11.165902841429881
106,none,clean_no_imposed_fault,0.0,1.0,0.0,2.2914757103574703,2.2914757103574703,0.0
106,none,clean_no_imposed_fault,0.0,1.0,0.5,2.2914757103574703,2.2914757103574703,-0.5
106,none,clean_no_imposed_fault,0.0,1.0,2.0,2.2914757103574703,2.2914757103574703,-2.0
106,none,clean_no_imposed_fault,0.0,2.0,0.0,2.2914757103574703,2.2914757103574703,-2.2914757103574703
106,none,clean_no_imposed_fault,0.0,2.0,0.5,2.2914757103574703,2.2914757103574703,-2.7914757103574703
106,none,clean_no_imposed_fault,0.0,2.0,2.0,2.2914757103574703,2.2914757103574703,-4.291475710357471
106,none,clean_no_imposed_fault,0.0,5.0,0.0,2.2914757103574703,2.2914757103574703,-9.165902841429881
106,none,clean_no_imposed_fault,0.0,5.0,0.5,2.2914757103574703,2.2914757103574703,-9.665902841429881
106,none,clean_no_imposed_fault,0.0,5.0,2.0,2.2914757103574703,2.2914757103574703,-11.165902841429881
107,gaussian,full_mixed_10pct,0.1,1.0,0.0,11.45737855178735,2.2914757103574703,9.16590284142988
107,gaussian,full_mixed_10pct,0.1,1.0,0.5,11.45737855178735,2.2914757103574703,8.66590284142988
107,gaussian,full_mixed_10pct,0.1,1.0,2.0,11.45737855178735,2.2914757103574703,7.1659028414298795
107,gaussian,full_mixed_10pct,0.1,2.0,0.0,11.45737855178735,2.2914757103574703,6.87442713107241
107,gaussian,full_mixed_10pct,0.1,2.0,0.5,11.45737855178735,2.2914757103574703,6.37442713107241
107,gaussian,full_mixed_10pct,0.1,2.0,2.0,11.45737855178735,2.2914757103574703,4.87442713107241
107,gaussian,full_mixed_10pct,0.1,5.0,0.0,11.45737855178735,2.2914757103574703,-1.7763568394002505e-15
107,gaussian,full_mixed_10pct,0.1,5.0,0.5,11.45737855178735,2.2914757103574703,-0.5000000000000018
107,gaussian,full_mixed_10pct,0.1,5.0,2.0,11.45737855178735,2.2914757103574703,-2.0000000000000018
107,gaussian,full_mixed_stream,0.4,1.0,0.0,36.663611365719525,9.165902841429881,27.497708524289642
107,gaussian,full_mixed_stream,0.4,1.0,0.5,36.663611365719525,9.165902841429881,26.997708524289642
107,gaussian,full_mixed_stream,0.4,1.0,2.0,36.663611365719525,9.165902841429881,25.497708524289642
107,gaussian,full_mixed_stream,0.4,2.0,0.0,36.663611365719525,9.165902841429881,18.331805682859763
107,gaussian,full_mixed_stream,0.4,2.0,0.5,36.663611365719525,9.165902841429881,17.831805682859763
107,gaussian,full_mixed_stream,0.4,2.0,2.0,36.663611365719525,9.165902841429881,16.331805682859763
107,gaussian,full_mixed_stream,0.4,5.0,0.0,36.663611365719525,9.165902841429881,-9.165902841429883
107,gaussian,full_mixed_stream,0.4,5.0,0.5,36.663611365719525,9.165902841429881,-9.665902841429883
107,gaussian,full_mixed_stream,0.4,5.0,2.0,36.663611365719525,9.165902841429881,-11.165902841429883
107,gaussian,full_mixed_70pct,0.7,1.0,0.0,61.86984417965169,6.8744271310724105,54.995417048579284
107,gaussian,full_mixed_70pct,0.7,1.0,0.5,61.86984417965169,6.8744271310724105,54.495417048579284
107,gaussian,full_mixed_70pct,0.7,1.0,2.0,61.86984417965169,6.8744271310724105,52.995417048579284
107,gaussian,full_mixed_70pct,0.7,2.0,0.0,61.86984417965169,6.8744271310724105,48.120989917506876
107,gaussian,full_mixed_70pct,0.7,2.0,0.5,61.86984417965169,6.8744271310724105,47.620989917506876
107,gaussian,full_mixed_70pct,0.7,2.0,2.0,61.86984417965169,6.8744271310724105,46.120989917506876
107,gaussian,full_mixed_70pct,0.7,5.0,0.0,61.86984417965169,6.8744271310724105,27.497708524289642
107,gaussian,full_mixed_70pct,0.7,5.0,0.5,61.86984417965169,6.8744271310724105,26.997708524289642
107,gaussian,full_mixed_70pct,0.7,5.0,2.0,61.86984417965169,6.8744271310724105,25.497708524289642
107,offset,full_mixed_10pct,0.1,1.0,0.0,4.582951420714941,0.0,4.582951420714941
107,offset,full_mixed_10pct,0.1,1.0,0.5,4.582951420714941,0.0,4.082951420714941
107,offset,full_mixed_10pct,0.1,1.0,2.0,4.582951420714941,0.0,2.5829514207149407
107,offset,full_mixed_10pct,0.1,2.0,0.0,4.582951420714941,0.0,4.582951420714941
107,offset,full_mixed_10pct,0.1,2.0,0.5,4.582951420714941,0.0,4.082951420714941
107,offset,full_mixed_10pct,0.1,2.0,2.0,4.582951420714941,0.0,2.5829514207149407
107,offset,full_mixed_10pct,0.1,5.0,0.0,4.582951420714941,0.0,4.582951420714941
107,offset,full_mixed_10pct,0.1,5.0,0.5,4.582951420714941,0.0,4.082951420714941
107,offset,full_mixed_10pct,0.1,5.0,2.0,4.582951420714941,0.0,2.5829514207149407
107,offset,full_mixed_stream,0.4,1.0,0.0,13.748854262144821,0.0,13.748854262144821
107,offset,full_mixed_stream,0.4,1.0,0.5,13.748854262144821,0.0,13.248854262144821
107,offset,full_mixed_stream,0.4,1.0,2.0,13.748854262144821,0.0,11.748854262144821
107,offset,full_mixed_stream,0.4,2.0,0.0,13.748854262144821,0.0,13.748854262144821
107,offset,full_mixed_stream,0.4,2.0,0.5,13.748854262144821,0.0,13.248854262144821
107,offset,full_mixed_stream,0.4,2.0,2.0,13.748854262144821,0.0,11.748854262144821
107,offset,full_mixed_stream,0.4,5.0,0.0,13.748854262144821,0.0,13.748854262144821
107,offset,full_mixed_stream,0.4,5.0,0.5,13.748854262144821,0.0,13.248854262144821
107,offset,full_mixed_stream,0.4,5.0,2.0,13.748854262144821,0.0,11.748854262144821
107,offset,full_mixed_70pct,0.7,1.0,0.0,22.9147571035747,0.0,22.9147571035747
107,offset,full_mixed_70pct,0.7,1.0,0.5,22.9147571035747,0.0,22.4147571035747
107,offset,full_mixed_70pct,0.7,1.0,2.0,22.9147571035747,0.0,20.9147571035747
107,offset,full_mixed_70pct,0.7,2.0,0.0,22.9147571035747,0.0,22.9147571035747
107,offset,full_mixed_70pct,0.7,2.0,0.5,22.9147571035747,0.0,22.4147571035747
107,offset,full_mixed_70pct,0.7,2.0,2.0,22.9147571035747,0.0,20.9147571035747
107,offset,full_mixed_70pct,0.7,5.0,0.0,22.9147571035747,0.0,22.9147571035747
107,offset,full_mixed_70pct,0.7,5.0,0.5,22.9147571035747,0.0,22.4147571035747
107,offset,full_mixed_70pct,0.7,5.0,2.0,22.9147571035747,0.0,20.9147571035747
107,drift,full_mixed_10pct,0.1,1.0,0.0,2.2914757103574703,0.0,2.2914757103574703
107,drift,full_mixed_10pct,0.1,1.0,0.5,2.2914757103574703,0.0,1.7914757103574703
107,drift,full_mixed_10pct,0.1,1.0,2.0,2.2914757103574703,0.0,0.29147571035747033
107,drift,full_mixed_10pct,0.1,2.0,0.0,2.2914757103574703,0.0,2.2914757103574703
107,drift,full_mixed_10pct,0.1,2.0,0.5,2.2914757103574703,0.0,1.7914757103574703
107,drift,full_mixed_10pct,0.1,2.0,2.0,2.2914757103574703,0.0,0.29147571035747033
107,drift,full_mixed_10pct,0.1,5.0,0.0,2.2914757103574703,0.0,2.2914757103574703
107,drift,full_mixed_10pct,0.1,5.0,0.5,2.2914757103574703,0.0,1.7914757103574703
107,drift,full_mixed_10pct,0.1,5.0,2.0,2.2914757103574703,0.0,0.29147571035747033
107,drift,full_mixed_stream,0.4,1.0,0.0,11.45737855178735,0.0,11.45737855178735
