method,view,measure,metric,n_fitted_cells,mean,fitting_ci_low,fitting_ci_high,median,q1,q3,minimum,maximum
Frozen Lite-CF (ungated),B8-9_pooled,utility_per_10000,estimate,10,39.0625,-8.20364367978862,86.32864367978863,29.296875,0.0,46.38671875,-19.53125,214.84375
Frozen Lite-CF (ungated),equal_weight_batches,accuracy,estimate,10,0.521169024008007,0.5031781894077401,0.539159858608274,0.5280140057682431,0.5063407813937475,0.5411378287437609,0.4731380201719184,0.5488622018283036
Frozen Lite-CF (ungated),equal_weight_batches,macro_auroc,estimate,10,0.8573522419231798,0.850210544793517,0.8644939390528427,0.8564298942171185,0.8539797379414811,0.8601418899239586,0.8393724341877498,0.8796179095205128
Frozen Lite-CF (ungated),equal_weight_batches,utility_per_10000,estimate,10,28.732120045679363,-6.486096248993608,63.95033634035234,23.560949408407033,0.0,33.00783491461458,-19.727447693549387,157.96115372386558
Frozen Lite-CF (ungated),observation_weighted_overall,accuracy,estimate,10,0.48852715877437325,0.4793371546999491,0.4977171628487974,0.48781337047353757,0.481241295264624,0.49708391364902504,0.46988161559888575,0.5094011142061281
Frozen Lite-CF (ungated),observation_weighted_overall,macro_auroc,estimate,10,0.8150818014117908,0.8067607966219815,0.8234028062016,0.8184426833448303,0.805750742714971,0.8244747976155709,0.7972198882245399,0.8291507301637688
Frozen Lite-CF (ungated),observation_weighted_overall,utility_per_10000,estimate,10,15.842618384401115,-0.01360845972398117,31.69884522852621,6.963788300835653,0.0,29.1608635097493,-6.963788300835654,62.674094707520894
Frozen Lite-CF (ungated),worst_batch,accuracy,estimate,10,0.4704120879120879,0.4594989482350228,0.48132522758915297,0.4736228813559322,0.46520127118644067,0.47812499999999997,0.43956043956043955,0.4913135593220339
Frozen Lite-CF (ungated),worst_batch,macro_auroc,estimate,10,0.802169554907822,0.7926552007348188,0.8116839090808253,0.8074103372779545,0.7922452131853575,0.8109665540427434,0.7787369036392698,0.8185426053481114
Frozen Lite-CF (ungated),worst_batch,utility_per_10000,estimate,10,1.9137642018997958,-14.89156628321497,18.71909468701456,0.0,-1.5889830508474576,14.30084745762712,-54.94505494505494,29.661016949152543
Prospective gate Lite-CF,B10,accuracy,estimate,10,0.47468220338983047,0.4661447721825661,0.4832196345970948,0.47277542372881354,0.4679025423728813,0.47812499999999997,0.45826271186440676,0.4972457627118644
Prospective gate Lite-CF,B10,macro_auroc,estimate,10,0.8005077910268323,0.790738311549865,0.8102772705037997,0.8036580940973178,0.792244160771566,0.8094674249977943,0.7787369036392698,0.8185426053481114
Prospective gate Lite-CF,B10,utility_per_10000,estimate,10,6.355932203389831,-3.8485178032777645,16.560382210057426,0.0,0.0,4.766949152542373,-4.2372881355932215,33.898305084745765
Prospective gate Lite-CF,B8-9_pooled,accuracy,estimate,10,0.54765625,0.5203907193390666,0.5749217806609334,0.5595703125,0.52783203125,0.56494140625,0.462890625,0.5927734375
Prospective gate Lite-CF,B8-9_pooled,macro_auroc,estimate,10,0.8721045972661006,0.8586865978224228,0.8855225967097783,0.8697122577461632,0.8637052632174322,0.8845938211073995,0.8394339974885855,0.902023256213431
Prospective gate Lite-CF,B8-9_pooled,utility_per_10000,estimate,10,12.6953125,-3.115421257092926,28.506046257092926,0.0,0.0,29.296875,-19.53125,48.828125
Prospective gate Lite-CF,equal_weight_batches,accuracy,estimate,10,0.5192463821489245,0.4988106684190615,0.5396820958787875,0.5279122360690157,0.5063407813937475,0.540331137788765,0.4573419047995319,0.5488622018283036
Prospective gate Lite-CF,equal_weight_batches,macro_auroc,estimate,10,0.8550203665151017,0.8456816528669525,0.8643590801632509,0.8558968832548056,0.8535603443177551,0.8601418899239586,0.829727749804969,0.8796179095205128
Prospective gate Lite-CF,equal_weight_batches,utility_per_10000,estimate,10,9.505701454853996,-3.5280866585992197,22.53948956830721,0.0,0.0,24.65284244945262,-19.727447693549387,40.65896438777795
Prospective gate Lite-CF,observation_weighted_overall,accuracy,estimate,10,0.48769150417827295,0.47784225560344734,0.49754075275309856,0.4868558495821727,0.4813718662952646,0.49699686629526457,0.46692200557103064,0.5094011142061281
Prospective gate Lite-CF,observation_weighted_overall,macro_auroc,estimate,10,0.8131791244812504,0.8042652782712062,0.8220929706912946,0.8142281310181196,0.8057534567626331,0.8231858883694296,0.7920516172143531,0.8291507301637688
Prospective gate Lite-CF,observation_weighted_overall,utility_per_10000,estimate,10,7.486072423398328,-2.984002415620548,17.956147262417204,0.0,0.0,8.704735376044567,-6.963788300835654,36.559888579387184
Prospective gate Lite-CF,worst_batch,accuracy,estimate,10,0.4677912553548147,0.4524225383866966,0.4831599723229328,0.47277542372881354,0.4653601694915254,0.47812499999999997,0.4148351648351648,0.4913135593220339
Prospective gate Lite-CF,worst_batch,macro_auroc,estimate,10,0.8005077910268323,0.790738311549865,0.8102772705037997,0.8036580940973178,0.792244160771566,0.8094674249977944,0.7787369036392698,0.8185426053481114
Prospective gate Lite-CF,worst_batch,utility_per_10000,estimate,10,-2.5353883404730864,-17.1721053189486,12.101328638002425,0.0,0.0,0.0,-54.94505494505494,27.47252747252747
