analysis_set,seed,fault_type,prevalence,stream,method,class,n,auroc,auprc,recall
strict,106,gaussian,0.4,strict_fault_applied_available,Tree-6,1,230,0.7806943543153796,0.4955002068837597,0.6217391304347826
strict,106,gaussian,0.4,strict_fault_applied_available,Tree-6,2,220,0.8437537380382776,0.5986721912518369,0.4909090909090909
strict,106,gaussian,0.4,strict_fault_applied_available,Tree-6,3,230,0.8733001658374793,0.7014106351991543,0.6695652173913044
strict,106,gaussian,0.4,strict_fault_applied_available,Tree-6,4,253,0.7397318400662883,0.3179669722586874,0.1383399209486166
strict,106,gaussian,0.4,strict_fault_applied_available,Tree-6,5,266,0.8426177623546044,0.7244756820158296,0.650375939849624
strict,106,gaussian,0.4,strict_fault_applied_available,Tree-6,6,237,0.7095645808919528,0.29103724403021713,0.31223628691983124
strict,106,gaussian,0.4,strict_fault_applied_available,Three-outcome-6,1,230,0.7791783834450934,0.4670734085798073,0.6217391304347826
strict,106,gaussian,0.4,strict_fault_applied_available,Three-outcome-6,2,220,0.8318966806220095,0.5846710248209921,0.4909090909090909
strict,106,gaussian,0.4,strict_fault_applied_available,Three-outcome-6,3,230,0.8690767178599756,0.6896092794937111,0.6695652173913044
strict,106,gaussian,0.4,strict_fault_applied_available,Three-outcome-6,4,253,0.7250107751779993,0.3094715731182847,0.13438735177865613
strict,106,gaussian,0.4,strict_fault_applied_available,Three-outcome-6,5,266,0.8357415975837028,0.7170891908510296,0.650375939849624
strict,106,gaussian,0.4,strict_fault_applied_available,Three-outcome-6,6,237,0.7035433888296506,0.2866166555815993,0.3037974683544304
strict,106,gaussian,0.4,strict_fault_applied_available,Cascade-25,1,230,0.7804672290720311,0.4942882405957864,0.6260869565217392
strict,106,gaussian,0.4,strict_fault_applied_available,Cascade-25,2,220,0.841282894736842,0.5954393251071002,0.4772727272727273
strict,106,gaussian,0.4,strict_fault_applied_available,Cascade-25,3,230,0.873260509048958,0.7005988587943873,0.6608695652173913
strict,106,gaussian,0.4,strict_fault_applied_available,Cascade-25,4,253,0.7414759153889587,0.31817970427514974,0.13438735177865613
strict,106,gaussian,0.4,strict_fault_applied_available,Cascade-25,5,266,0.8420875907718014,0.7240651662800214,0.6466165413533834
strict,106,gaussian,0.4,strict_fault_applied_available,Cascade-25,6,237,0.7089909664523532,0.2889933058214328,0.29957805907172996
strict,106,gaussian,0.4,strict_fault_applied_available,Always PDRF,1,230,0.7787241329583964,0.4665282874287583,0.6260869565217392
strict,106,gaussian,0.4,strict_fault_applied_available,Always PDRF,2,220,0.8311789772727274,0.582330352590144,0.4727272727272727
strict,106,gaussian,0.4,strict_fault_applied_available,Always PDRF,3,230,0.8671191145720671,0.6860055115650435,0.6608695652173913
strict,106,gaussian,0.4,strict_fault_applied_available,Always PDRF,4,253,0.7238413760152891,0.3079993116102359,0.12648221343873517
strict,106,gaussian,0.4,strict_fault_applied_available,Always PDRF,5,266,0.836178587494377,0.7168283995657881,0.6353383458646616
strict,106,gaussian,0.4,strict_fault_applied_available,Always PDRF,6,237,0.6997251577439709,0.28299232031270394,0.2911392405063291
strict,106,gaussian,0.4,strict_fault_applied_available,Always RO-PDRF-Full,1,230,0.7791477395630543,0.494676079631583,0.6086956521739131
strict,106,gaussian,0.4,strict_fault_applied_available,Always RO-PDRF-Full,2,220,0.8441910885167465,0.6029040162985932,0.509090909090909
strict,106,gaussian,0.4,strict_fault_applied_available,Always RO-PDRF-Full,3,230,0.8752649794505732,0.7049656491157335,0.6478260869565218
strict,106,gaussian,0.4,strict_fault_applied_available,Always RO-PDRF-Full,4,253,0.7444528715431726,0.3235926843035456,0.12648221343873517
strict,106,gaussian,0.4,strict_fault_applied_available,Always RO-PDRF-Full,5,266,0.8410047554784397,0.7238004159355039,0.6578947368421053
strict,106,gaussian,0.4,strict_fault_applied_available,Always RO-PDRF-Full,6,237,0.7161910593567775,0.2960447998436053,0.3291139240506329
strict,106,offset,0.4,strict_fault_applied_available,Safe-CF-12,1,230,0.7810548705746629,0.5634201686279536,0.5478260869565217
strict,106,offset,0.4,strict_fault_applied_available,Safe-CF-12,2,220,0.8902325059808612,0.6964105335309451,0.4863636363636364
strict,106,offset,0.4,strict_fault_applied_available,Safe-CF-12,3,230,0.912408969644531,0.8148742239401374,0.5304347826086957
strict,106,offset,0.4,strict_fault_applied_available,Safe-CF-12,4,253,0.7737814025439443,0.3564866014897578,0.1067193675889328
strict,106,offset,0.4,strict_fault_applied_available,Safe-CF-12,5,266,0.8488593278066962,0.735268087370897,0.5864661654135338
strict,106,offset,0.4,strict_fault_applied_available,Safe-CF-12,6,237,0.8090673310740666,0.40472175712636776,0.8016877637130801
strict,106,offset,0.4,strict_fault_applied_available,Shrink-6,1,230,0.761889826231163,0.5516595566052876,0.5478260869565217
strict,106,offset,0.4,strict_fault_applied_available,Shrink-6,2,220,0.8896456339712919,0.7041014309880848,0.4863636363636364
strict,106,offset,0.4,strict_fault_applied_available,Shrink-6,3,230,0.9164611723988751,0.8172091472976086,0.5260869565217391
strict,106,offset,0.4,strict_fault_applied_available,Shrink-6,4,253,0.7895749735214619,0.3720869155174424,0.1067193675889328
strict,106,offset,0.4,strict_fault_applied_available,Shrink-6,5,266,0.8529400424137266,0.743403908577037,0.5902255639097744
strict,106,offset,0.4,strict_fault_applied_available,Shrink-6,6,237,0.8082508982520595,0.4046949424228961,0.8016877637130801
strict,106,offset,0.4,strict_fault_applied_available,Tree-6,1,230,0.7650767899632274,0.5543607145203511,0.5478260869565217
strict,106,offset,0.4,strict_fault_applied_available,Tree-6,2,220,0.8916753887559808,0.7110830747158945,0.4863636363636364
strict,106,offset,0.4,strict_fault_applied_available,Tree-6,3,230,0.9162845194318263,0.8169396741507874,0.5347826086956522
strict,106,offset,0.4,strict_fault_applied_available,Tree-6,4,253,0.7891406252610267,0.36903827628901803,0.1067193675889328
strict,106,offset,0.4,strict_fault_applied_available,Tree-6,5,266,0.8537047747574064,0.7458268260214977,0.6052631578947368
strict,106,offset,0.4,strict_fault_applied_available,Tree-6,6,237,0.8113934607953884,0.40851690711464395,0.7974683544303798
strict,106,offset,0.4,strict_fault_applied_available,Three-outcome-6,1,230,0.7816929843535945,0.5634346003592724,0.5478260869565217
strict,106,offset,0.4,strict_fault_applied_available,Three-outcome-6,2,220,0.8903595992822967,0.6949624638196393,0.4863636363636364
strict,106,offset,0.4,strict_fault_applied_available,Three-outcome-6,3,230,0.9120124017593193,0.8141578431886634,0.5217391304347826
strict,106,offset,0.4,strict_fault_applied_available,Three-outcome-6,4,253,0.7779578281250522,0.36196026648288415,0.1067193675889328
strict,106,offset,0.4,strict_fault_applied_available,Three-outcome-6,5,266,0.8467354283143758,0.7320349484320204,0.5902255639097744
strict,106,offset,0.4,strict_fault_applied_available,Three-outcome-6,6,237,0.8118509447042719,0.4069419173804808,0.8059071729957806
strict,106,offset,0.4,strict_fault_applied_available,Cascade-25,1,230,0.7659095825221718,0.5540687964573328,0.5478260869565217
strict,106,offset,0.4,strict_fault_applied_available,Cascade-25,2,220,0.8910287081339715,0.7081383566369742,0.4863636363636364
strict,106,offset,0.4,strict_fault_applied_available,Cascade-25,3,230,0.9171858100800346,0.8183754215300778,0.5304347826086957
strict,106,offset,0.4,strict_fault_applied_available,Cascade-25,4,253,0.7821275714252303,0.3629801394439585,0.1067193675889328
