seed,fault_type,batch,n,full_minus_pdrf_auroc,safe_minus_pdrf_auroc,safe_minus_full_auroc
105,drift,9,165,-0.007983450425872007,0.0011336165994140224,0.00911706702528603
105,drift,10,1180,-0.02786822477790807,-0.007841969483415201,0.020026255294492867
105,gaussian,8,91,0.028474063049356513,0.0278547033183848,-0.0006193597309717136
105,gaussian,9,165,0.02775312593735224,0.02309436465323078,-0.00465876128412146
105,gaussian,10,1180,0.0054791498341687506,0.0027942373274786325,-0.002684912506690118
105,offset,8,91,-0.04070081087961408,0.012602960055274282,0.05330377093488836
105,offset,9,165,-0.018250535593271056,0.007475341690770354,0.02572587728404141
105,offset,10,1180,-0.02702626823295473,-0.0067031436287328106,0.02032312460422192
105,stuck_at,8,91,-0.033688241542114694,0.004478581556079275,0.03816682309819397
105,stuck_at,9,165,-0.017550038534851375,0.010990127110599102,0.028540165645450477
105,stuck_at,10,1180,-0.01784199486021487,-0.008543645454540227,0.009298349405674644
106,drift,8,91,0.009414572306395641,0.0017902399054861018,-0.007624332400909539
106,drift,9,165,0.007763276138648911,0.0026001605111097836,-0.005163115627539128
106,drift,10,1180,-0.0031875812553187055,0.0002638807308941171,0.0034514619862128226
106,gaussian,8,91,0.009838130006359802,0.0001463992409965753,-0.009691730765363227
106,gaussian,9,165,0.016229136660697363,0.004477735261477989,-0.011751401399219374
106,gaussian,10,1180,0.009466950584929301,0.002744137015541992,-0.006722813569387309
106,offset,8,91,0.009644880880041562,0.002926885039730265,-0.006717995840311297
106,offset,9,165,0.012510516941616756,0.0020879864558377426,-0.010422530485779014
106,offset,10,1180,-0.004141491611231896,-0.0010296195803622954,0.0031118720308696
106,stuck_at,8,91,0.004225525387323459,0.00040492387431145804,-0.003820601513012001
106,stuck_at,9,165,0.009293386480176302,-0.00013092222092880856,-0.00942430870110511
106,stuck_at,10,1180,-0.0009219037075149927,0.0001406432557649051,0.0010625469632798978
107,drift,8,91,0.016639655701947142,0.0,-0.016639655701947142
107,drift,9,165,0.014709986668090758,0.003699157661638086,-0.011010829006452671
107,drift,10,1180,0.007072207232053596,0.00828593852082038,0.001213731288766784
107,gaussian,8,91,0.03902963767267198,0.01245562925600796,-0.02657400841666402
107,gaussian,9,165,0.06182585335843416,0.01178228606927334,-0.05004356728916082
107,gaussian,10,1180,0.02310433616136709,0.009060796691790163,-0.014043539469576927
107,offset,8,91,0.0364402679462037,0.011905841967785658,-0.02453442597841804
107,offset,9,165,0.03737955910604507,0.01004454971529456,-0.02733500939075051
107,offset,10,1180,0.008828111853686371,0.005695763149674238,-0.0031323487040121334
107,stuck_at,8,91,0.02887188913192784,0.0,-0.02887188913192784
107,stuck_at,9,165,0.02492605843109652,0.004928389728903859,-0.01999766870219266
107,stuck_at,10,1180,0.008382980783195548,0.0017152061911533956,-0.006667774592042153
108,drift,8,91,-0.003701150173072265,0.0025815970127026633,0.006282747185774928
