seed,fault_type,score_calibration,threshold,preference_n,preference_auroc,preference_nll,preference_brier,preference_ece10,method,mean_forward_passes,n,correction_opportunities,corrections_retained,recovery_retention,harm_opportunities,harms_realized,negative_transfer_prevention,recovery_selection_rate,selected_accuracy,net_correct_change_per_10000,utility_ratio,utility_per_10000,accuracy,macro_auroc,macro_auprc,nll,brier,ece15_equal_width,ece15_equal_mass,classwise_ece15
101,stuck_at,platt,0.8425548488150146,81,0.5832258064516129,0.7230402195470217,0.2583444874370559,0.1566545024327073,Conditional Lite-CF,2.0,1436,50,8,0.16,31,4,0.8709677419354839,0.7597493036211699,0.47701949860724235,27.855153203342617,1.0,27.855153203342617,0.47701949860724235,0.8338331191943019,0.5934616696081315,2.3686784781508146,0.7885336025043365,0.3260579305927724,0.32605793059277255,0.1283048430856598
101,stuck_at,isotonic,0.999999,81,0.5445161290322581,1.6125931037809684,0.2879929659557869,0.19396274682605608,Conditional Lite-CF,2.0,1436,50,10,0.2,31,6,0.8064516129032258,0.7792479108635098,0.47701949860724235,27.855153203342617,1.0,27.855153203342617,0.47701949860724235,0.833811049718555,0.593824731003855,2.363780985071573,0.7876159466309092,0.3251996989514873,0.32519969895148737,0.1282393113017332
102,drift,raw_logistic,0.775,11,0.8666666666666667,0.5738249379590005,0.19685733406135955,0.19074956340633417,Conditional Lite-CF,2.0,1436,5,2,0.4,6,0,1.0,0.8328690807799443,0.5383008356545961,13.927576601671309,1.0,13.927576601671309,0.5383008356545961,0.8415057110884901,0.609697677428514,2.0578719327605985,0.7407573780366353,0.30217385257672713,0.29683340179176276,0.12036947397795388
102,drift,platt,0.8676158677229662,11,0.8666666666666667,0.5161311565226165,0.17542250874534548,0.17065178458820374,Conditional Lite-CF,2.0,1436,5,2,0.4,6,0,1.0,0.8328690807799443,0.5383008356545961,13.927576601671309,1.0,13.927576601671309,0.5383008356545961,0.8415057110884901,0.609697677428514,2.0578719327605985,0.7407573780366353,0.30217385257672713,0.29683340179176276,0.12036947397795388
102,drift,isotonic,0.999999,11,0.8833333333333334,0.5673429116541316,0.19358909403029206,0.20881872266833648,Conditional Lite-CF,2.0,1436,5,2,0.4,6,0,1.0,0.8328690807799443,0.5383008356545961,13.927576601671309,1.0,13.927576601671309,0.5383008356545961,0.8415057110884901,0.609697677428514,2.0578719327605985,0.7407573780366353,0.30217385257672713,0.29683340179176276,0.12036947397795388
102,gaussian,raw_logistic,0.775,53,0.3935810810810811,0.8644774796977938,0.32255068313131313,0.26818317622565246,Conditional Lite-CF,2.0,1436,37,2,0.05405405405405406,16,0,1.0,0.7249303621169917,0.47284122562674097,13.927576601671309,1.0,13.927576601671309,0.47284122562674097,0.795527533651283,0.5166476602876645,2.6160041771043105,0.8062952117379093,0.33512362189507366,0.33409761157406825,0.1209336655608682
102,gaussian,platt,0.8676158677229662,53,0.3935810810810811,1.2229982972492937,0.41531088304629615,0.4714581453580492,Conditional Lite-CF,2.0,1436,37,2,0.05405405405405406,16,0,1.0,0.7249303621169917,0.47284122562674097,13.927576601671309,1.0,13.927576601671309,0.47284122562674097,0.795527533651283,0.5166476602876645,2.6160041771043105,0.8062952117379093,0.33512362189507366,0.33409761157406825,0.1209336655608682
102,gaussian,isotonic,0.999999,53,0.35726351351351354,3.125197415412647,0.46453779608729795,0.44382531360759875,Conditional Lite-CF,2.0,1436,37,2,0.05405405405405406,16,0,1.0,0.7256267409470752,0.47284122562674097,13.927576601671309,1.0,13.927576601671309,0.47284122562674097,0.7955847140333723,0.5166632360274386,2.614693060967317,0.8063222121597143,0.3351574296355106,0.3341314193145052,0.12093704390940702
102,offset,raw_logistic,0.775,13,0.43333333333333335,0.7868198312692568,0.28535314592806815,0.3937150626261064,Conditional Lite-CF,2.0,1436,10,1,0.1,3,0,1.0,0.8467966573816156,0.5118384401114207,6.963788300835654,1.0,6.963788300835654,0.5118384401114207,0.831162542120846,0.5907857539124874,2.209193618842175,0.7873217173048184,0.33069480329198103,0.33069480329198103,0.12855876495465077
102,offset,platt,0.8676158677229662,13,0.43333333333333335,1.1274602413052828,0.353997874163398,0.47191180240206904,Conditional Lite-CF,2.0,1436,10,1,0.1,3,0,1.0,0.8467966573816156,0.5118384401114207,6.963788300835654,1.0,6.963788300835654,0.5118384401114207,0.831162542120846,0.5907857539124874,2.209193618842175,0.7873217173048184,0.33069480329198103,0.33069480329198103,0.12855876495465077
102,offset,isotonic,0.999999,13,0.45,3.665662124848114,0.38577704818568076,0.4238515275197051,Conditional Lite-CF,2.0,1436,10,1,0.1,3,0,1.0,0.8474930362116991,0.5118384401114207,6.963788300835654,1.0,6.963788300835654,0.5118384401114207,0.8311589809619413,0.5907614940006608,2.20923882092351,0.7873634053082513,0.3306666729496275,0.33066667294962754,0.1284750726855178
102,stuck_at,raw_logistic,0.775,18,0.34375,0.6559701586902477,0.2300123663840298,0.34448524132087255,Conditional Lite-CF,2.0,1436,16,1,0.0625,2,0,1.0,0.7158774373259053,0.5146239554317549,6.963788300835654,1.0,6.963788300835654,0.5146239554317549,0.8266953214060736,0.5874255100895556,1.955976327732502,0.7171847866366877,0.2677689118745112,0.26411118788776344,0.10938039635780113
