calibration_regime,heldout_or_test_mechanism,seed,method,mean_forward_passes,n,correction_opportunities,corrections_retained,recovery_retention,harm_opportunities,harms_realized,negative_transfer_prevention,recovery_selection_rate,selected_accuracy,net_correct_change_per_10000,utility_ratio,utility_per_10000,accuracy,macro_auroc,macro_auprc,nll,brier,ece15_equal_width,ece15_equal_mass,classwise_ece15
gaussian_only,stuck_at,101,All-row multinomial,2.0,1436,50,3,0.06,31,5,0.8387096774193549,0.13161559888579388,0.47284122562674097,-13.927576601671309,1.0,-13.927576601671309,0.47284122562674097,0.8282826395437413,0.5857648934973033,2.535464816878894,0.787758526615533,0.3179306125073863,0.3179306125073862,0.1299569074820357
leave_one_mechanism_out,gaussian,102,Conditional Lite-CF,2.0,1436,37,0,0.0,16,0,1.0,0.584958217270195,0.4714484679665738,0.0,1.0,0.0,0.4714484679665738,0.7936254930102741,0.5130838713699712,2.693108834679598,0.8218955854314475,0.3423785601227681,0.3413525498017628,0.12386627550255445
leave_one_mechanism_out,gaussian,102,All-row multinomial,2.0,1436,37,9,0.24324324324324326,16,5,0.6875,0.08565459610027855,0.4742339832869081,27.855153203342617,1.0,27.855153203342617,0.4742339832869081,0.7875912254507629,0.5049175090139869,2.940549321035176,0.8292429254866143,0.3479159827512317,0.34688997243022635,0.12565268381318337
leave_one_mechanism_out,offset,102,Conditional Lite-CF,2.0,1436,10,2,0.2,3,1,0.6666666666666667,0.8850974930362117,0.5118384401114207,6.963788300835654,1.0,6.963788300835654,0.5118384401114207,0.8312508440622443,0.5912706403924403,2.2010980832928704,0.7848232957817891,0.3292464178430832,0.3292464178430833,0.1283076946382297
leave_one_mechanism_out,offset,102,All-row multinomial,2.0,1436,10,6,0.6,3,0,1.0,0.07381615598885793,0.5153203342618384,41.78272980501393,1.0,41.78272980501393,0.5153203342618384,0.8254963530163982,0.5853148227755605,2.4168789186967983,0.8076150520833241,0.34090126980370083,0.339693867377155,0.13387733902476961
leave_one_mechanism_out,drift,102,Conditional Lite-CF,2.0,1436,5,1,0.2,6,0,1.0,0.7959610027855153,0.5376044568245125,6.963788300835654,1.0,6.963788300835654,0.5376044568245125,0.8409606075589794,0.6090918163179201,2.067292058028645,0.7434960905606256,0.30344538498431434,0.29810493419934997,0.12135415804486237
leave_one_mechanism_out,drift,102,All-row multinomial,2.0,1436,5,0,0.0,6,0,1.0,0.00766016713091922,0.536908077994429,0.0,1.0,0.0,0.536908077994429,0.8348378874352477,0.6028615885436148,2.2722591573144713,0.768289781857696,0.31836545510762243,0.313025004322658,0.12688063739508562
leave_one_mechanism_out,stuck_at,102,Conditional Lite-CF,2.0,1436,16,2,0.125,2,0,1.0,0.7235376044568245,0.5153203342618384,13.927576601671309,1.0,13.927576601671309,0.5153203342618384,0.8266016040596368,0.5873227724133981,1.9560158970469548,0.7172090336948193,0.26727754696623723,0.2636198229794895,0.10936492709015853
leave_one_mechanism_out,stuck_at,102,All-row multinomial,2.0,1436,16,4,0.25,2,0,1.0,0.035515320334261836,0.5167130919220055,27.855153203342617,1.0,27.855153203342617,0.5167130919220055,0.8230276017140611,0.5847829415634305,2.0498118037738524,0.7258931858402496,0.27077205965677187,0.2671143356700241,0.11188024539494908
gaussian_only,gaussian,102,Conditional Lite-CF,2.0,1436,37,1,0.02702702702702703,16,0,1.0,0.7486072423398329,0.47214484679665736,6.963788300835654,1.0,6.963788300835654,0.47214484679665736,0.7963779995948196,0.5171799433081007,2.595030563831676,0.8024604149443029,0.3317815641401067,0.3307555538191013,0.1201567162267692
gaussian_only,offset,102,Conditional Lite-CF,2.0,1436,10,1,0.1,3,0,1.0,0.862116991643454,0.5118384401114207,6.963788300835654,1.0,6.963788300835654,0.5118384401114207,0.8311976270884598,0.5911040790878249,2.204405209368521,0.785692592998995,0.3292636014053845,0.3292636014053846,0.12831167042446678
gaussian_only,drift,102,Conditional Lite-CF,2.0,1436,5,2,0.4,6,0,1.0,0.8523676880222841,0.5383008356545961,13.927576601671309,1.0,13.927576601671309,0.5383008356545961,0.8416836838457474,0.6103748481352983,2.0497599078116537,0.7379362287369996,0.3003299941721536,0.29498954338718925,0.12006779656386231
gaussian_only,stuck_at,102,Conditional Lite-CF,2.0,1436,16,1,0.0625,2,1,0.5,0.7332869080779945,0.5139275766016713,0.0,1.0,0.0,0.5139275766016713,0.8269011185726601,0.5872273526010326,1.9468220868523212,0.7161933380332163,0.26708922294100057,0.26343149895425283,0.10911207846805611
gaussian_only,gaussian,102,All-row multinomial,2.0,1436,37,4,0.10810810810810811,16,2,0.875,0.23746518105849582,0.47284122562674097,13.927576601671309,1.0,13.927576601671309,0.47284122562674097,0.7883951242236272,0.5053046152946774,2.8891154340621195,0.8281419156041505,0.347116318842832,0.34609030852182676,0.12596809219268343
