method,seed,view,metric,value
All-row multinomial (utility 1:1),110,B8-9_pooled,macro_auroc,0.9004970038283673
All-row multinomial (utility 1:1),110,B10,macro_auroc,0.7838996517611359
All-row multinomial (utility 1:1),110,observation_weighted_overall,utility_per_10000,104.45682451253481
All-row multinomial (utility 1:1),110,equal_weight_batches,utility_per_10000,128.78411607225166
All-row multinomial (utility 1:1),110,worst_batch,utility_per_10000,54.94505494505494
All-row multinomial (utility 1:1),110,B8-9_pooled,utility_per_10000,175.78125
All-row multinomial (utility 1:1),110,B10,utility_per_10000,88.98305084745763
Always PDRF,101,observation_weighted_overall,accuracy,0.4857242339832869
Always PDRF,101,equal_weight_batches,accuracy,0.5135922457956357
Always PDRF,101,worst_batch,accuracy,0.4745762711864407
Always PDRF,101,B8-9_pooled,accuracy,0.537109375
Always PDRF,101,B10,accuracy,0.4745762711864407
Always PDRF,101,observation_weighted_overall,macro_auroc,0.8243229706556878
Always PDRF,101,equal_weight_batches,macro_auroc,0.8692076596490305
Always PDRF,101,worst_batch,macro_auroc,0.8155938717508983
Always PDRF,101,B8-9_pooled,macro_auroc,0.884137066339844
Always PDRF,101,B10,macro_auroc,0.8155938717508983
Always PDRF,101,observation_weighted_overall,utility_per_10000,0.0
Always PDRF,101,equal_weight_batches,utility_per_10000,0.0
Always PDRF,101,worst_batch,utility_per_10000,0.0
Always PDRF,101,B8-9_pooled,utility_per_10000,0.0
Always PDRF,101,B10,utility_per_10000,0.0
Always PDRF,102,observation_weighted_overall,accuracy,0.5083565459610028
Always PDRF,102,equal_weight_batches,accuracy,0.528729086356205
Always PDRF,102,worst_batch,accuracy,0.4835164835164835
Always PDRF,102,B8-9_pooled,accuracy,0.5625
Always PDRF,102,B10,accuracy,0.4966101694915254
Always PDRF,102,observation_weighted_overall,macro_auroc,0.8171444369234849
Always PDRF,102,equal_weight_batches,macro_auroc,0.8503805300083501
Always PDRF,102,worst_batch,macro_auroc,0.8033344990553071
Always PDRF,102,B8-9_pooled,macro_auroc,0.868164998833433
Always PDRF,102,B10,macro_auroc,0.803334499055307
Always PDRF,102,observation_weighted_overall,utility_per_10000,0.0
Always PDRF,102,equal_weight_batches,utility_per_10000,0.0
Always PDRF,102,worst_batch,utility_per_10000,0.0
Always PDRF,102,B8-9_pooled,utility_per_10000,0.0
Always PDRF,102,B10,utility_per_10000,0.0
Always PDRF,103,observation_weighted_overall,accuracy,0.46988161559888575
Always PDRF,103,equal_weight_batches,accuracy,0.4912268757607741
Always PDRF,103,worst_batch,accuracy,0.45329670329670335
Always PDRF,103,B8-9_pooled,accuracy,0.5234375
Always PDRF,103,B10,accuracy,0.45826271186440676
Always PDRF,103,observation_weighted_overall,macro_auroc,0.7920516172143531
Always PDRF,103,equal_weight_batches,macro_auroc,0.829727749804969
Always PDRF,103,worst_batch,macro_auroc,0.7809664908497018
Always PDRF,103,B8-9_pooled,macro_auroc,0.8394339974885855
Always PDRF,103,B10,macro_auroc,0.7809664908497018
Always PDRF,103,observation_weighted_overall,utility_per_10000,0.0
Always PDRF,103,equal_weight_batches,utility_per_10000,0.0
Always PDRF,103,worst_batch,utility_per_10000,0.0
Always PDRF,103,B8-9_pooled,utility_per_10000,0.0
Always PDRF,103,B10,utility_per_10000,0.0
Always PDRF,104,observation_weighted_overall,accuracy,0.4902506963788301
Always PDRF,104,equal_weight_batches,accuracy,0.547512280563128
Always PDRF,104,worst_batch,accuracy,0.46864406779661016
Always PDRF,104,B8-9_pooled,accuracy,0.58984375
Always PDRF,104,B10,accuracy,0.4686440677966102
Always PDRF,104,observation_weighted_overall,macro_auroc,0.8066296030785541
Always PDRF,104,equal_weight_batches,macro_auroc,0.8598969667667885
Always PDRF,104,worst_batch,macro_auroc,0.7915809570964697
Always PDRF,104,B8-9_pooled,macro_auroc,0.8838682222233935
Always PDRF,104,B10,macro_auroc,0.7915809570964697
Always PDRF,104,observation_weighted_overall,utility_per_10000,0.0
Always PDRF,104,equal_weight_batches,utility_per_10000,0.0
Always PDRF,104,worst_batch,utility_per_10000,0.0
Always PDRF,104,B8-9_pooled,utility_per_10000,0.0
Always PDRF,104,B10,utility_per_10000,0.0
Always PDRF,105,observation_weighted_overall,accuracy,0.48763927576601673
Always PDRF,105,equal_weight_batches,accuracy,0.5305926418214554
Always PDRF,105,worst_batch,accuracy,0.4713983050847458
Always PDRF,105,B8-9_pooled,accuracy,0.5625
Always PDRF,105,B10,accuracy,0.47139830508474573
Always PDRF,105,observation_weighted_overall,macro_auroc,0.8215752222776992
Always PDRF,105,equal_weight_batches,macro_auroc,0.8536800621619943
Always PDRF,105,worst_batch,macro_auroc,0.808091039579745
Always PDRF,105,B8-9_pooled,macro_auroc,0.8672288539051777
Always PDRF,105,B10,macro_auroc,0.808091039579745
Always PDRF,105,observation_weighted_overall,utility_per_10000,0.0
Always PDRF,105,equal_weight_batches,utility_per_10000,0.0
Always PDRF,105,worst_batch,utility_per_10000,0.0
