seed,repeat,C,auroc,auprc,brier,threshold,threshold_tie_count
104,5,0.1,0.7581699346405228,0.7542307095452963,0.21043525127655727,0.65,1
104,1,0.5,0.7426470588235293,0.6896861035065488,0.20182776079728842,0.9,4
104,2,0.5,0.8145424836601307,0.7589244515342524,0.17554669792525704,0.8,1
104,3,0.5,0.8308823529411765,0.8067046706087669,0.17415648575114387,0.725,1
104,4,0.5,0.7883986928104576,0.776804456814678,0.19387794801154476,0.725,1
104,5,0.5,0.803921568627451,0.7689487536017051,0.1818009791952302,0.75,1
104,1,1.0,0.7745098039215685,0.7201604079534503,0.18665226102163512,0.825,1
104,2,1.0,0.8080065359477124,0.7544127841759378,0.1781677909397921,0.825,1
104,3,1.0,0.801470588235294,0.7508473924079436,0.18307790352487252,0.8500000000000001,2
104,4,1.0,0.7859477124183006,0.7372222582915703,0.18833089024777236,0.825,1
104,5,1.0,0.8112745098039215,0.7717349236208157,0.17556849389726387,0.825,1
104,1,5.0,0.8243464052287581,0.7734760179175675,0.1680768226213015,0.9,2
104,2,5.0,0.7949346405228758,0.7402238805090372,0.1811541942655358,0.875,1
104,3,5.0,0.7916666666666666,0.7584790098783316,0.1835103541110337,0.9,1
104,4,5.0,0.7883986928104575,0.7079619035385237,0.18426947609507155,0.9,1
104,5,5.0,0.8088235294117646,0.7479583762177952,0.1750687958442612,0.9,2
105,1,0.01,0.4769230769230769,0.7987714775627734,0.25088295395694754,0.525,1
105,2,0.01,0.5230769230769231,0.8184014526552552,0.2483495657618152,0.525,1
105,3,0.01,0.4884615384615385,0.8151914516624488,0.2510239303415022,0.525,1
105,4,0.01,0.6038461538461539,0.8587738981218787,0.24691092207362583,0.525,1
105,5,0.01,0.5153846153846153,0.8220705210895541,0.2480097992962144,0.525,1
105,1,0.05,0.5346153846153846,0.8330331152586701,0.24483253881505807,0.55,1
105,2,0.05,0.49615384615384617,0.8117269234807261,0.2525273390281761,0.55,1
105,3,0.05,0.5346153846153847,0.8278490199195645,0.24750419885001232,0.6,2
105,4,0.05,0.49999999999999994,0.8151988139091382,0.25017799214097464,0.55,1
105,5,0.05,0.5961538461538461,0.8444655356743047,0.24122043519460204,0.55,1
105,1,0.1,0.5846153846153845,0.8481933548858829,0.23656416492572063,0.575,1
105,2,0.1,0.576923076923077,0.845372128670008,0.24282631550309755,0.575,1
105,3,0.1,0.573076923076923,0.8504688196773733,0.24687461223431478,0.55,1
105,4,0.1,0.4269230769230769,0.7651546119722237,0.2656317671005518,0.575,1
105,5,0.1,0.5923076923076923,0.8516845789542373,0.23678829957839978,0.55,1
105,1,0.5,0.47307692307692306,0.771432130315882,0.271100481249716,0.6,2
105,2,0.5,0.7384615384615385,0.8886533840113806,0.21578494127983971,0.65,2
105,3,0.5,0.6884615384615385,0.8871600280367367,0.22943484794769167,0.525,1
105,4,0.5,0.6730769230769231,0.8715919770425824,0.2341963471927247,0.575,1
105,5,0.5,0.6576923076923077,0.8597147395614104,0.23168004287292435,0.6,1
105,1,1.0,0.5961538461538461,0.8451734372008783,0.2567595413119581,0.6,1
105,2,1.0,0.7461538461538462,0.8994951348072567,0.2000913746076921,0.575,1
105,3,1.0,0.7115384615384616,0.8880585263184452,0.20842495613487977,0.6,2
105,4,1.0,0.6923076923076923,0.8690167411071177,0.2204335224506372,0.625,3
105,5,1.0,0.7884615384615384,0.9193020255745494,0.1990907736780115,0.525,1
105,1,5.0,0.7692307692307693,0.902912092105671,0.1918093679967337,0.7,2
105,2,5.0,0.75,0.8908819791242404,0.21356136173294935,0.8,1
105,3,5.0,0.7230769230769231,0.882157968961007,0.21738239958341024,0.725,3
105,4,5.0,0.7692307692307692,0.9034811159360302,0.1831866736722516,0.775,5
105,5,5.0,0.7923076923076923,0.9096318766425817,0.16490949763761076,0.775,4
106,1,0.01,0.8253676470588235,0.8918252032306875,0.2033064436298196,0.575,1
106,2,0.01,0.821078431372549,0.8911484765812484,0.2049554446208829,0.55,1
106,3,0.01,0.8265931372549019,0.8914396375152502,0.20406004420865184,0.575,1
106,4,0.01,0.8302696078431372,0.8956197005227734,0.2031439865641151,0.575,1
106,5,0.01,0.823529411764706,0.8949992022180178,0.2049437468005978,0.55,1
106,1,0.05,0.8302696078431373,0.8987841289200915,0.1754587748307782,0.625,1
106,2,0.05,0.8186274509803921,0.8882915667906985,0.17537448439871758,0.65,1
106,3,0.05,0.829656862745098,0.8960348499135423,0.17447142230652363,0.625,1
106,4,0.05,0.829656862745098,0.8929104785318609,0.17404532374900092,0.625,1
106,5,0.05,0.8345588235294118,0.8976510908293682,0.1730526107695828,0.625,1
106,1,0.1,0.8431372549019608,0.9038186844786118,0.16331625326602012,0.65,1
106,2,0.1,0.8296568627450981,0.8943194200535847,0.16803234929808142,0.675,1
106,3,0.1,0.8259803921568627,0.8929635604359519,0.1714613142003033,0.675,1
106,4,0.1,0.8321078431372548,0.8959623789937944,0.16793478390950237,0.675,1
106,5,0.1,0.8412990196078431,0.903604341313079,0.16399036331817468,0.65,1
106,1,0.5,0.8602941176470589,0.9140576141088135,0.1515073514054946,0.725,1
106,2,0.5,0.854779411764706,0.9110390658492579,0.15432930922737184,0.775,1
106,3,0.5,0.8382352941176471,0.9027990095477068,0.16246191215465644,0.8,1
106,4,0.5,0.84375,0.9043574854387519,0.16197607801904676,0.8,1
106,5,0.5,0.8541666666666666,0.9114638843980676,0.15381943499227066,0.75,1
106,1,1.0,0.8633578431372549,0.9181270028480806,0.15196825327483035,0.8,1
106,2,1.0,0.8737745098039216,0.9247966277595787,0.14580363240092295,0.775,1
106,3,1.0,0.8737745098039216,0.9197450240247024,0.14645449107345887,0.825,1
106,4,1.0,0.863970588235294,0.9118608668246837,0.1495369957987328,0.8500000000000001,1
106,5,1.0,0.8621323529411764,0.9144658633271052,0.14705908483652336,0.8,1
106,1,5.0,0.886029411764706,0.9298390337299494,0.14390900060552925,0.8500000000000001,1
106,2,5.0,0.8731617647058824,0.9189439490324002,0.151624355706594,0.9,1
106,3,5.0,0.8774509803921569,0.9224913058714961,0.14344319510924253,0.9,1
106,4,5.0,0.8872549019607844,0.9275353942015598,0.1400413667705565,0.875,1
106,5,5.0,0.8688725490196078,0.9132992829493691,0.15454204148342396,0.9,1
107,1,0.01,0.7028619528619529,0.9069851244702595,0.24550316853978882,0.55,1
107,2,0.01,0.6994949494949496,0.9079247468461461,0.2435293452249816,0.55,1
107,3,0.01,0.6607744107744108,0.8742139376665466,0.24726231132223192,0.9,14
107,4,0.01,0.6632996632996633,0.885572640580568,0.2474068680120596,0.55,1
107,5,0.01,0.6599326599326599,0.8905957829126238,0.2459047279883112,0.55,1
107,1,0.05,0.7205387205387206,0.9175448270549578,0.23541908922857702,0.6,1
107,2,0.05,0.6380471380471382,0.8592032858136917,0.24430838862791374,0.675,1
107,3,0.05,0.6414141414141414,0.8810773617845815,0.24474608764455835,0.625,1
107,4,0.05,0.7836700336700336,0.9412082172697966,0.23205412984678683,0.575,1
107,5,0.05,0.6691919191919193,0.8860032035695683,0.24025752685485458,0.625,1
107,1,0.1,0.7786195286195285,0.9418288827764789,0.2286315660324079,0.575,1
107,2,0.1,0.7146464646464646,0.9149531107561136,0.22831838958383724,0.625,1
107,3,0.1,0.7744107744107743,0.9427596674316059,0.2305936532794816,0.55,1
107,4,0.1,0.787878787878788,0.9445634080137988,0.22300081477955272,0.575,1
107,5,0.1,0.7769360269360269,0.9415625022885482,0.22753080866071837,0.55,1
107,1,0.5,0.7861952861952861,0.9476158030555278,0.20971336507777916,0.525,1
107,2,0.5,0.7533670033670035,0.9380856810847972,0.22364923580415047,0.575,1
107,3,0.5,0.8526936026936027,0.9643450381005028,0.1900635580867062,0.55,1
107,4,0.5,0.8106060606060607,0.954152939560101,0.20727885324997422,0.525,1
107,5,0.5,0.8240740740740741,0.9565064811379126,0.19603198890739285,0.55,1
107,1,1.0,0.8299663299663299,0.9588992105770558,0.1917984887346074,0.575,1
107,2,1.0,0.8308080808080808,0.958188659653811,0.1900316276754806,0.525,1
107,3,1.0,0.7340067340067339,0.9306198081405943,0.21796579410041345,0.65,1
107,4,1.0,0.7760942760942762,0.9423723228279623,0.2066309702484246,0.65,1
107,5,1.0,0.8249158249158248,0.9567190232432785,0.18825904761240425,0.625,1
107,1,5.0,0.8358585858585859,0.9597828782173796,0.1765561555429513,0.575,1
