seed,fraction,repeat,calibration_groups,calibration_rows,informative_rows,threshold,n,correction_opportunities,corrections_retained,recovery_retention,harm_opportunities,harms_realized,negative_transfer_prevention,recovery_selection_rate,selected_accuracy,net_correct_change_per_10000,accuracy,macro_auroc,macro_auprc,nll,brier,ece15_equal_width,ece15_equal_mass,classwise_ece15
105,0.25,8,171,479,40,0.9,5744,205,0,0.0,533,0,1.0,0.0,0.48763927576601673,0.0,0.48763927576601673,0.8167898064630963,0.5639064181080168,1.994920063143211,0.7415484461898417,0.26461874266906094,0.26444522719954777,0.1112104030975735
105,0.25,9,171,480,46,0.9,5744,205,0,0.0,533,0,1.0,0.0,0.48763927576601673,0.0,0.48763927576601673,0.8167898064630963,0.5639064181080168,1.994920063143211,0.7415484461898417,0.26461874266906094,0.26444522719954777,0.1112104030975735
105,0.25,10,171,471,46,0.9,5744,205,0,0.0,533,0,1.0,0.0,0.48763927576601673,0.0,0.48763927576601673,0.8167898064630963,0.5639064181080168,1.994920063143211,0.7415484461898417,0.26461874266906094,0.26444522719954777,0.1112104030975735
105,0.5,1,342,945,89,0.9,5744,205,0,0.0,533,0,1.0,0.0,0.48763927576601673,0.0,0.48763927576601673,0.8167898064630963,0.5639064181080168,1.994920063143211,0.7415484461898417,0.26461874266906094,0.26444522719954777,0.1112104030975735
105,0.5,2,342,920,104,0.9,5744,205,0,0.0,533,0,1.0,0.0,0.48763927576601673,0.0,0.48763927576601673,0.8167898064630963,0.5639064181080168,1.994920063143211,0.7415484461898417,0.26461874266906094,0.26444522719954777,0.1112104030975735
105,0.5,3,342,920,103,0.9,5744,205,0,0.0,533,0,1.0,0.0,0.48763927576601673,0.0,0.48763927576601673,0.8167898064630963,0.5639064181080168,1.994920063143211,0.7415484461898417,0.26461874266906094,0.26444522719954777,0.1112104030975735
105,0.5,4,342,926,94,0.9,5744,205,0,0.0,533,0,1.0,0.0,0.48763927576601673,0.0,0.48763927576601673,0.8167898064630963,0.5639064181080168,1.994920063143211,0.7415484461898417,0.26461874266906094,0.26444522719954777,0.1112104030975735
105,0.5,5,342,959,102,0.9,5744,205,0,0.0,533,0,1.0,0.0,0.48763927576601673,0.0,0.48763927576601673,0.8167898064630963,0.5639064181080168,1.994920063143211,0.7415484461898417,0.26461874266906094,0.26444522719954777,0.1112104030975735
105,0.5,6,342,948,104,0.9,5744,205,0,0.0,533,0,1.0,0.0,0.48763927576601673,0.0,0.48763927576601673,0.8167898064630963,0.5639064181080168,1.994920063143211,0.7415484461898417,0.26461874266906094,0.26444522719954777,0.1112104030975735
105,0.5,7,342,916,89,0.9,5744,205,0,0.0,533,0,1.0,0.0,0.48763927576601673,0.0,0.48763927576601673,0.8167898064630963,0.5639064181080168,1.994920063143211,0.7415484461898417,0.26461874266906094,0.26444522719954777,0.1112104030975735
105,0.5,8,342,953,100,0.9,5744,205,0,0.0,533,0,1.0,0.0,0.48763927576601673,0.0,0.48763927576601673,0.8167898064630963,0.5639064181080168,1.994920063143211,0.7415484461898417,0.26461874266906094,0.26444522719954777,0.1112104030975735
105,0.5,9,342,928,94,0.675,5744,205,10,0.04878048780487805,533,39,0.926829268292683,0.05483983286908078,0.48259052924791085,-50.4874651810585,0.48259052924791085,0.817048781996062,0.5663290097387759,1.9682407612750725,0.7377228947666656,0.25370254680985244,0.25352903134033916,0.11099655207924652
105,0.5,10,342,923,94,0.9,5744,205,0,0.0,533,0,1.0,0.0,0.48763927576601673,0.0,0.48763927576601673,0.8167898064630963,0.5639064181080168,1.994920063143211,0.7415484461898417,0.26461874266906094,0.26444522719954777,0.1112104030975735
105,0.75,1,514,1417,150,0.9,5744,205,0,0.0,533,0,1.0,0.0,0.48763927576601673,0.0,0.48763927576601673,0.8167898064630963,0.5639064181080168,1.994920063143211,0.7415484461898417,0.26461874266906094,0.26444522719954777,0.1112104030975735
105,0.75,2,514,1385,147,0.725,5744,205,1,0.004878048780487805,533,5,0.9906191369606003,0.006267409470752089,0.4869428969359331,-6.963788300835654,0.4869428969359331,0.8170187724620414,0.5655966495598694,1.9825033769544267,0.7399405905755083,0.26280527442890833,0.2626317589593952,0.11080776481726869
105,0.75,3,514,1396,154,0.9,5744,205,0,0.0,533,0,1.0,0.0,0.48763927576601673,0.0,0.48763927576601673,0.8167898064630963,0.5639064181080168,1.994920063143211,0.7415484461898417,0.26461874266906094,0.26444522719954777,0.1112104030975735
105,0.75,4,514,1406,147,0.725,5744,205,4,0.01951219512195122,533,12,0.9774859287054409,0.01932451253481894,0.48624651810584957,-13.927576601671309,0.48624651810584957,0.8171634815653007,0.5671699610839799,1.9757787464369772,0.7378632978302683,0.2590663564901981,0.25889284102068494,0.11057337062778154
