method,calibration_severity,test_severity,metric,n_fitted_cells,mean,fitting_ci_low,fitting_ci_high,median,q1,q3,minimum,maximum
Conditional Lite-CF,1.0,3.0,macro_auroc,40,0.8148643728969365,0.8086423098125934,0.8210864359812795,0.8123664997936844,0.8028965162905641,0.8321167754440196,0.7693822510175111,0.8427450856491374
Conditional Lite-CF,2.0,1.0,negative_transfer_prevention,40,0.8905180105191984,0.8454695339110895,0.9355664871273074,0.9761904761904762,0.8,1.0,0.5,1.0
Conditional Lite-CF,2.0,1.0,recovery_retention,40,0.10192370477442073,0.052889813093090605,0.15095759645575085,0.04195804195804196,0.0,0.16328828828828829,0.0,0.75
Conditional Lite-CF,2.0,1.0,utility_per_10000,40,7.834261838440111,1.101916255344368,14.566607421535853,0.0,0.0,13.927576601671309,-34.81894150417827,55.710306406685234
Conditional Lite-CF,2.0,1.0,macro_auroc,40,0.8353110229716771,0.8313681798761271,0.8392538660672272,0.8339795309142608,0.8264700315926676,0.84710069403316,0.8102581265491313,0.855322598074581
Conditional Lite-CF,2.0,2.0,negative_transfer_prevention,40,0.8739500416896012,0.8218283392955249,0.9260717440836775,1.0,0.7305555555555555,1.0,0.5,1.0
Conditional Lite-CF,2.0,2.0,recovery_retention,40,0.13703790260841162,0.07971895503303472,0.1943568501837885,0.06186224489795918,0.0,0.1859903381642512,0.0,0.7142857142857143
Conditional Lite-CF,2.0,2.0,utility_per_10000,40,15.49442896935933,6.201776881414753,24.787081057303908,6.963788300835654,0.0,27.855153203342617,-41.78272980501393,104.45682451253482
Conditional Lite-CF,2.0,2.0,macro_auroc,40,0.8241301427243071,0.8192846520455076,0.8289756334031065,0.822318165086714,0.8137063421174858,0.8368054602973223,0.796255804978505,0.8501138921041358
Conditional Lite-CF,2.0,3.0,negative_transfer_prevention,40,0.8676891106660907,0.8174049093070271,0.9179733120251542,0.9230769230769231,0.8068362480127186,1.0,0.375,1.0
Conditional Lite-CF,2.0,3.0,recovery_retention,40,0.15321471639918505,0.09322738843776171,0.21320204436060838,0.096875,0.0,0.23728139904610493,0.0,0.6875
Conditional Lite-CF,2.0,3.0,utility_per_10000,40,17.931754874651812,7.486970515288418,28.376539234015205,3.481894150417827,0.0,27.855153203342617,-13.927576601671309,132.31197771587745
Conditional Lite-CF,2.0,3.0,macro_auroc,40,0.8142198307479749,0.8079291476329159,0.8205105138630339,0.8118782029709095,0.800442449532347,0.8318526327209231,0.7715565056654298,0.8453354569491984
Conditional Lite-CF,3.0,1.0,negative_transfer_prevention,40,0.959509068079937,0.9365244967049466,0.9824936394549273,1.0,0.9271978021978022,1.0,0.72,1.0
Conditional Lite-CF,3.0,1.0,recovery_retention,40,0.05319835114472539,0.02535089849573249,0.08104580379371829,0.0,0.0,0.06958128078817734,0.0,0.3333333333333333
Conditional Lite-CF,3.0,1.0,utility_per_10000,40,4.004178272980502,-1.210064445889392,9.218420991850396,0.0,0.0,6.963788300835654,-48.74651810584958,41.78272980501393
Conditional Lite-CF,3.0,1.0,macro_auroc,40,0.8357364721684821,0.8317701714254234,0.8397027729115408,0.8348687395131602,0.8281716407336444,0.8475608912839684,0.8098729602655722,0.8551180649907945
Conditional Lite-CF,3.0,2.0,negative_transfer_prevention,40,0.9472485101191019,0.9159953021438147,0.9785017180943891,1.0,0.9307692307692308,1.0,0.6428571428571428,1.0
Conditional Lite-CF,3.0,2.0,recovery_retention,40,0.08558965890920181,0.05164330313364033,0.1195360146847633,0.04880952380952381,0.0,0.1805337519623234,0.0,0.35
Conditional Lite-CF,3.0,2.0,utility_per_10000,40,12.534818941504179,5.380936950497657,19.688700932510702,3.481894150417827,0.0,20.891364902506965,-34.81894150417827,69.63788300835654
Conditional Lite-CF,3.0,2.0,macro_auroc,40,0.8248278359941338,0.8199210491892481,0.8297346227990194,0.8232277362744749,0.8126392667652736,0.8391866010351604,0.793103309202105,0.8514094488145699
Conditional Lite-CF,3.0,3.0,negative_transfer_prevention,40,0.9467198197538383,0.9169730083094129,0.9764666311982638,1.0,0.9083806818181818,1.0,0.5945945945945945,1.0
Conditional Lite-CF,3.0,3.0,recovery_retention,40,0.09674689941050929,0.05982617505437199,0.1336676237666466,0.05202702702702703,0.0,0.16360465116279072,0.0,0.4
Conditional Lite-CF,3.0,3.0,utility_per_10000,40,15.842618384401112,6.300128354212237,25.385108414589986,6.963788300835654,0.0,34.81894150417827,-41.78272980501393,97.49303621169916
