seed,fault_type,method,class,n,auroc,auprc,recall
101,stuck_at,PDRF,1,230,0.808167495854063,0.4717191599306815,0.7391304347826086
101,stuck_at,PDRF,2,220,0.8885092703349282,0.70802185321195,0.38636363636363635
101,stuck_at,PDRF,3,230,0.9006020621530031,0.7473322027572037,0.5434782608695652
101,stuck_at,PDRF,4,253,0.7215794239205611,0.3369442487324313,0.043478260869565216
101,stuck_at,PDRF,5,266,0.8648672964462439,0.7670948840344951,0.6090225563909775
101,stuck_at,PDRF,6,237,0.7688316212877819,0.47361433987017987,0.540084388185654
101,stuck_at,RO-PDRF-Lite,1,230,0.806465859110246,0.48964524751270694,0.6434782608695652
101,stuck_at,RO-PDRF-Lite,2,220,0.8961759868421053,0.7256861380782058,0.5
101,stuck_at,RO-PDRF-Lite,3,230,0.9001622323166775,0.7488876890496462,0.5260869565217391
101,stuck_at,RO-PDRF-Lite,4,253,0.7381381160645375,0.33895104531658216,0.03162055335968379
101,stuck_at,RO-PDRF-Lite,5,266,0.8585855664803035,0.754917890889431,0.6203007518796992
101,stuck_at,RO-PDRF-Lite,6,237,0.7919521542213448,0.5019292813247429,0.6244725738396625
101,stuck_at,Lite-CF,1,230,0.811058836253515,0.49012295448886073,0.7217391304347827
101,stuck_at,Lite-CF,2,220,0.8935668361244017,0.7152448950711838,0.39545454545454545
101,stuck_at,Lite-CF,3,230,0.9003136491455764,0.7471157492565391,0.5434782608695652
101,stuck_at,Lite-CF,4,253,0.7342991456703831,0.33927184851131886,0.043478260869565216
101,stuck_at,Lite-CF,5,266,0.8644238802133539,0.7638164888803861,0.6090225563909775
101,stuck_at,Lite-CF,6,237,0.7994372947920736,0.50521153911611,0.5654008438818565
102,drift,PDRF,1,230,0.7504866969500325,0.5230386203270159,0.4782608695652174
102,drift,PDRF,2,220,0.9083844198564592,0.7564234252707681,0.5136363636363637
102,drift,PDRF,3,230,0.9230478044559809,0.8177831021984371,0.6608695652173913
102,drift,PDRF,4,253,0.7375133227976037,0.32371682381022754,0.043478260869565216
102,drift,PDRF,5,266,0.8388937086305506,0.7256545562711535,0.6240601503759399
102,drift,PDRF,6,237,0.8506174273216427,0.4710414840730784,0.9240506329113924
102,drift,RO-PDRF-Lite,1,230,0.7567993366500829,0.5397909903351351,0.49130434782608695
102,drift,RO-PDRF-Lite,2,220,0.921912380382775,0.7798956708880163,0.509090909090909
102,drift,RO-PDRF-Lite,3,230,0.9286502271252435,0.8213730588911308,0.6652173913043479
102,drift,RO-PDRF-Lite,4,253,0.754396105566674,0.32883542466105,0.043478260869565216
102,drift,RO-PDRF-Lite,5,266,0.8387716085084506,0.7251201178377386,0.6240601503759399
102,drift,RO-PDRF-Lite,6,237,0.8474467119223825,0.4638820884973442,0.9071729957805907
102,drift,Lite-CF,1,230,0.7534609560891197,0.5359765508093345,0.48695652173913045
102,drift,Lite-CF,2,220,0.9225478468899522,0.7740594596132485,0.5136363636363637
102,drift,Lite-CF,3,230,0.9305429374864808,0.823801674881838,0.6608695652173913
102,drift,Lite-CF,4,253,0.753844817389968,0.3327773061091968,0.043478260869565216
102,drift,Lite-CF,5,266,0.838884069147227,0.7263395029370783,0.6240601503759399
102,drift,Lite-CF,6,237,0.8497552461087475,0.465239172620817,0.9240506329113924
102,gaussian,PDRF,1,230,0.7669658951618717,0.397273892154915,0.6347826086956522
102,gaussian,PDRF,2,220,0.8364683014354066,0.5850386351083042,0.4590909090909091
102,gaussian,PDRF,3,230,0.8802437089912756,0.7355235372449117,0.6826086956521739
102,gaussian,PDRF,4,253,0.7099455728218269,0.29089663092764056,0.1976284584980237
102,gaussian,PDRF,5,266,0.8345527279737806,0.7193523210313414,0.6203007518796992
102,gaussian,PDRF,6,237,0.6889954005271622,0.28186425845007856,0.24472573839662448
102,gaussian,RO-PDRF-Lite,1,230,0.7701853053572717,0.42673499860947606,0.6173913043478261
102,gaussian,RO-PDRF-Lite,2,220,0.8608365729665072,0.6217893359054153,0.5045454545454545
102,gaussian,RO-PDRF-Lite,3,230,0.8985254884995313,0.7620759909988262,0.6826086956521739
102,gaussian,RO-PDRF-Lite,4,253,0.726280408554656,0.2981909790565598,0.18181818181818182
102,gaussian,RO-PDRF-Lite,5,266,0.8362444572970889,0.7257496030865338,0.6466165413533834
102,gaussian,RO-PDRF-Lite,6,237,0.7114297075974001,0.3041355032371801,0.29535864978902954
102,gaussian,Lite-CF,1,230,0.7690568894657149,0.4255192210258779,0.6347826086956522
102,gaussian,Lite-CF,2,220,0.8529829545454545,0.6051873992027559,0.4636363636363636
102,gaussian,Lite-CF,3,230,0.8940370610714543,0.75442688799777,0.6826086956521739
102,gaussian,Lite-CF,4,253,0.7225316489530536,0.29688162130313067,0.1976284584980237
102,gaussian,Lite-CF,5,266,0.8367714157187841,0.7255051920350271,0.6240601503759399
102,gaussian,Lite-CF,6,237,0.6978705883594979,0.2923807259316996,0.24472573839662448
102,offset,PDRF,1,230,0.7509589732496936,0.5243346268455291,0.4782608695652174
102,offset,PDRF,2,220,0.8937163576555024,0.7269714576075428,0.40454545454545454
102,offset,PDRF,3,230,0.9177446102819238,0.8065787461235279,0.6260869565217392
102,offset,PDRF,4,253,0.7237411418013424,0.30395661119497025,0.03162055335968379
102,offset,PDRF,5,266,0.8320464623096202,0.7169773218978702,0.6090225563909775
102,offset,PDRF,6,237,0.8309702529886015,0.4262860616494463,0.9324894514767933
102,offset,RO-PDRF-Lite,1,230,0.7544631912899271,0.5392926547762663,0.4826086956521739
102,offset,RO-PDRF-Lite,2,220,0.9080068779904307,0.7380908021657809,0.4318181818181818
102,offset,RO-PDRF-Lite,3,230,0.9241041170956811,0.8121517026692757,0.6391304347826087
102,offset,RO-PDRF-Lite,4,253,0.7358962108125987,0.3102088929909696,0.03162055335968379
102,offset,RO-PDRF-Lite,5,266,0.8328240472977315,0.717226180250843,0.6015037593984962
102,offset,RO-PDRF-Lite,6,237,0.8330007777226451,0.43009917258100105,0.9282700421940928
102,offset,Lite-CF,1,230,0.7522135698319994,0.53654410592323,0.4826086956521739
102,offset,Lite-CF,2,220,0.9086647727272728,0.7321991730818085,0.40454545454545454
102,offset,Lite-CF,3,230,0.9255209459946643,0.8159354822581893,0.6260869565217392
102,offset,Lite-CF,4,253,0.7349406446396414,0.31179638591249814,0.03162055335968379
102,offset,Lite-CF,5,266,0.8323549257759785,0.7177911059975314,0.6090225563909775
102,offset,Lite-CF,6,237,0.8332787871749665,0.43029968254871087,0.9324894514767933
102,stuck_at,PDRF,1,230,0.7676490734732137,0.5318371770384103,0.5260869565217391
102,stuck_at,PDRF,2,220,0.8866215610047847,0.7340892705336326,0.45
102,stuck_at,PDRF,3,230,0.9114139447689091,0.8100301393130157,0.6434782608695652
102,stuck_at,PDRF,4,253,0.7422644245386721,0.3087197912640022,0.043478260869565216
102,stuck_at,PDRF,5,266,0.8303579461474199,0.7322329079898204,0.6240601503759399
102,stuck_at,PDRF,6,237,0.797836101110982,0.3886643631769031,0.8143459915611815
