seed,method,requested_intraop_threads,actual_intraop_threads,interop_threads,cpu_model,torch_version,batch_size,latency_batch_ms_median,latency_batch_ms_q1,latency_batch_ms_q3,throughput_observations_per_second,latency_batch1_ms_median,latency_batch1_ms_q1,latency_batch1_ms_q3,forward_passes_per_observation,stored_parameters
105,PDRF,12,12,12,13th Gen Intel(R) Core(TM) i5-13500H,2.12.1+cpu,4364,3.292199980933219,3.0124500044621527,3.421249974053353,1325557.3857220437,0.30449999030679464,0.3012500237673521,0.31064997892826796,1,19740
105,RO-PDRF-Lite,12,12,12,13th Gen Intel(R) Core(TM) i5-13500H,2.12.1+cpu,4364,2.7471999637782574,2.5201500102411956,3.271950001362711,1588526.5206534648,0.29229995561763644,0.2906500012613833,0.2929000183939934,1,19740
105,Lite-CF-6,12,12,12,13th Gen Intel(R) Core(TM) i5-13500H,2.12.1+cpu,4364,10.209199972450733,9.700050024548545,10.49430001876317,427457.5884277067,1.4480000245384872,1.437900005839765,1.4740499900653958,2,39487
106,PDRF,1,1,12,13th Gen Intel(R) Core(TM) i5-13500H,2.12.1+cpu,4364,10.344999958761036,10.190000000875443,10.39790001232177,421846.304243258,0.22849999368190765,0.22640000679530203,0.2294000005349517,1,19740
106,RO-PDRF-Lite,1,1,12,13th Gen Intel(R) Core(TM) i5-13500H,2.12.1+cpu,4364,5.37079997593537,5.079199996544048,5.659049988025799,812541.8968409772,0.22330001229420304,0.22260000696405768,0.22560000070370734,1,19740
106,Lite-CF-6,1,1,12,13th Gen Intel(R) Core(TM) i5-13500H,2.12.1+cpu,4364,12.317400018218905,12.010700011160225,15.601049992255867,354295.5488613768,1.951000012923032,1.815700001316145,2.0000499789603055,2,39487
106,PDRF,12,12,12,13th Gen Intel(R) Core(TM) i5-13500H,2.12.1+cpu,4364,4.725200007669628,4.32265002746135,5.365550023270771,923558.7896632202,0.8210000232793391,0.8119499834720045,0.823200010927394,1,19740
106,RO-PDRF-Lite,12,12,12,13th Gen Intel(R) Core(TM) i5-13500H,2.12.1+cpu,4364,3.977399959694594,3.3522000012453645,4.157600022153929,1097199.1864592594,0.812400016002357,0.8094000222627074,0.815350009361282,1,19740
106,Lite-CF-6,12,12,12,13th Gen Intel(R) Core(TM) i5-13500H,2.12.1+cpu,4364,15.438699978403747,12.9847000062,16.0191000031773,282666.28706461895,3.485299996100366,3.4297000092919916,3.577499999664724,2,39487
107,PDRF,1,1,12,13th Gen Intel(R) Core(TM) i5-13500H,2.12.1+cpu,4364,9.757500025443733,9.644000005209818,9.85634999233298,447245.7072631719,0.22639997769147158,0.22615003399550915,0.22854996495880187,1,19740
107,RO-PDRF-Lite,1,1,12,13th Gen Intel(R) Core(TM) i5-13500H,2.12.1+cpu,4364,4.384799976833165,4.277800006093457,7.527500012656674,995256.3453423053,0.2240000176243484,0.22280000848695636,0.22789998911321163,1,19740
107,Lite-CF-6,1,1,12,13th Gen Intel(R) Core(TM) i5-13500H,2.12.1+cpu,4364,12.012000021059066,10.517349990550429,12.565999990329146,363303.3626664311,1.4913000050000846,1.4415000332519412,1.5085999912116677,2,39487
107,PDRF,12,12,12,13th Gen Intel(R) Core(TM) i5-13500H,2.12.1+cpu,4364,4.341299994848669,4.0270499885082245,4.737499984912574,1005228.8496943926,0.845799979288131,0.8343499794136733,0.8567000331822783,1,19740
107,RO-PDRF-Lite,12,12,12,13th Gen Intel(R) Core(TM) i5-13500H,2.12.1+cpu,4364,4.048999981023371,3.1196499767247587,4.804300027899444,1077796.9919617074,0.7690000347793102,0.766099983593449,0.7879000040702522,1,19740
107,Lite-CF-6,12,12,12,13th Gen Intel(R) Core(TM) i5-13500H,2.12.1+cpu,4364,10.124200023710728,7.799599989084527,10.773350019007921,431046.4026569582,3.321099968161434,3.090650017838925,3.4770499914884567,2,39487
108,PDRF,1,1,12,13th Gen Intel(R) Core(TM) i5-13500H,2.12.1+cpu,4364,5.367400008253753,5.212749994825572,5.458900006487966,813056.5997110764,0.22879999596625566,0.22489999537356198,0.2327999973203987,1,19740
108,RO-PDRF-Lite,1,1,12,13th Gen Intel(R) Core(TM) i5-13500H,2.12.1+cpu,4364,5.197899998165667,4.988050030078739,5.271650035865605,839569.8265722793,0.2395000192336738,0.23669996880926192,0.2501499839127064,1,19740
108,Lite-CF-6,1,1,12,13th Gen Intel(R) Core(TM) i5-13500H,2.12.1+cpu,4364,12.218899966683239,11.595049989409745,12.873500003479421,357151.62673392333,2.5780999567359686,1.435250014765188,3.2088000152725726,2,39487
108,PDRF,12,12,12,13th Gen Intel(R) Core(TM) i5-13500H,2.12.1+cpu,4364,4.0766000165604055,3.7859499861951917,4.283749993192032,1070499.922060562,0.8007999858818948,0.7978999929036945,0.8114000083878636,1,19740
108,RO-PDRF-Lite,12,12,12,13th Gen Intel(R) Core(TM) i5-13500H,2.12.1+cpu,4364,4.196199995931238,3.2874500029720366,4.5144000032451,1039988.5620874758,0.793500046711415,0.7920500065665692,0.7992499740794301,1,19740
108,Lite-CF-6,12,12,12,13th Gen Intel(R) Core(TM) i5-13500H,2.12.1+cpu,4364,10.409600043203682,8.835099986754358,12.539250019472092,419228.4028096939,3.033099987078458,2.9234499961603433,3.1125000095926225,2,39487
109,PDRF,1,1,12,13th Gen Intel(R) Core(TM) i5-13500H,2.12.1+cpu,4364,10.241300042252988,9.960499999579042,10.4400499840267,426117.77625840966,0.23639999562874436,0.23264999617822468,0.23934998898766935,1,19740
109,RO-PDRF-Lite,1,1,12,13th Gen Intel(R) Core(TM) i5-13500H,2.12.1+cpu,4364,5.368899961467832,4.990200017346069,8.740250021219254,812829.4494812868,0.22559997159987688,0.22440002067014575,0.2344499807804823,1,19740
109,Lite-CF-6,1,1,12,13th Gen Intel(R) Core(TM) i5-13500H,2.12.1+cpu,4364,10.8155999914743,10.64379999297671,10.902599984547123,403491.2536928183,1.1836000485345721,1.1729999969247729,1.213099982123822,2,39487
109,PDRF,12,12,12,13th Gen Intel(R) Core(TM) i5-13500H,2.12.1+cpu,4364,5.755099991802126,3.706600022269413,5.8841500140260905,758283.957918423,0.8013999904505908,0.7959000067785382,0.8321499917656183,1,19740
109,RO-PDRF-Lite,12,12,12,13th Gen Intel(R) Core(TM) i5-13500H,2.12.1+cpu,4364,4.17069997638464,4.041100008180365,4.757349990541115,1046347.1418970112,0.7667999598197639,0.7650500338058919,0.7710500212851912,1,19740
109,Lite-CF-6,12,12,12,13th Gen Intel(R) Core(TM) i5-13500H,2.12.1+cpu,4364,9.816300007514656,9.717449982417747,11.227649985812604,444566.689756755,2.785600023344159,2.7711000002454966,2.7872500068042427,2,39487
110,PDRF,1,1,12,13th Gen Intel(R) Core(TM) i5-13500H,2.12.1+cpu,4364,10.490000015124679,10.32744999974966,10.773599991807714,416015.25202172576,0.46449998626485467,0.46159999328665435,0.47584998537786305,1,19740
110,RO-PDRF-Lite,1,1,12,13th Gen Intel(R) Core(TM) i5-13500H,2.12.1+cpu,4364,5.067699996288866,4.942899977322668,5.1377000054344535,861140.1628343838,0.4463999648578465,0.4360500315669924,0.47339999582618475,1,19740
110,Lite-CF-6,1,1,12,13th Gen Intel(R) Core(TM) i5-13500H,2.12.1+cpu,4364,10.558699956163764,10.354950005421415,11.190850025741383,413308.458249395,1.8074999679811299,1.6159499937202781,2.093199989758432,2,39487
110,PDRF,12,12,12,13th Gen Intel(R) Core(TM) i5-13500H,2.12.1+cpu,4364,3.3785999985411763,3.2460000074934214,3.699800028698519,1291659.267709792,0.784900039434433,0.7766499766148627,0.8086000161711127,1,19740
110,RO-PDRF-Lite,12,12,12,13th Gen Intel(R) Core(TM) i5-13500H,2.12.1+cpu,4364,2.486299956217408,2.4494499957654625,3.2199000124819577,1755218.6288251702,0.7981000235304236,0.7799000013619661,0.8307999814860523,1,19740
110,Lite-CF-6,12,12,12,13th Gen Intel(R) Core(TM) i5-13500H,2.12.1+cpu,4364,8.171299996320158,6.625399983022362,10.85794999380596,534064.3474068107,3.4079999895766377,3.3374499762430787,3.568950021872297,2,39487
