seed,repeat,features,C,auroc,auprc,brier,threshold
105,2,confidence_entropy_6,0.5,0.6361566484517304,0.7057766652027657,0.23583924371218104,0.9
105,3,confidence_entropy_6,0.5,0.6530054644808744,0.7159187262866896,0.23112172665388575,0.825
105,4,confidence_entropy_6,0.5,0.6314890710382514,0.7126318205955197,0.23369566687461726,0.775
105,5,confidence_entropy_6,0.5,0.6508424408014573,0.7147792507351713,0.23100308622063753,0.825
105,1,confidence_entropy_6,1.0,0.6361566484517304,0.7107077065563081,0.23674380883727209,0.8
105,2,confidence_entropy_6,1.0,0.6456056466302368,0.7060297581703308,0.23308129018238508,0.875
105,3,confidence_entropy_6,1.0,0.6585837887067396,0.730909432657049,0.2291161050949447,0.875
105,4,confidence_entropy_6,1.0,0.6552823315118397,0.7246471067981141,0.23017964994730877,0.875
105,5,confidence_entropy_6,1.0,0.6615437158469946,0.7188951587996175,0.22869293343371389,0.8500000000000001
105,1,confidence_entropy_6,5.0,0.649476320582878,0.7171795204103748,0.23224012476709044,0.9
105,2,confidence_entropy_6,5.0,0.6384335154826958,0.7049339071459593,0.23526771401944888,0.8
105,3,confidence_entropy_6,5.0,0.6479963570127504,0.7229090699024011,0.23098146955612953,0.8
105,4,confidence_entropy_6,5.0,0.6555100182149363,0.7218369228969941,0.23021789337589552,0.825
105,5,confidence_entropy_6,5.0,0.6419626593806923,0.7073338721213753,0.2350623326657227,0.9
106,1,confidence_entropy_6,0.01,0.8075268817204301,0.9108925139692245,0.20806894415436403,0.6
106,2,confidence_entropy_6,0.01,0.8118279569892474,0.9128280925231798,0.20603321280652764,0.6
106,3,confidence_entropy_6,0.01,0.8064516129032259,0.910830294740232,0.20791573088695356,0.575
106,4,confidence_entropy_6,0.01,0.8091397849462365,0.9106420441062102,0.2077302344209087,0.575
106,5,confidence_entropy_6,0.01,0.8075268817204301,0.9113474601081394,0.2063294854872348,0.6
106,1,confidence_entropy_6,0.05,0.8129032258064516,0.9118417652129449,0.18225270817053457,0.675
106,2,confidence_entropy_6,0.05,0.8064516129032258,0.9100604660268778,0.18272417120799486,0.675
106,3,confidence_entropy_6,0.05,0.8145161290322581,0.9118791406439979,0.1826772650375332,0.7
106,4,confidence_entropy_6,0.05,0.8112903225806452,0.9139174507164604,0.18574412570722967,0.625
106,5,confidence_entropy_6,0.05,0.8150537634408603,0.9137609854136624,0.18195019420230785,0.675
106,1,confidence_entropy_6,0.1,0.8155913978494623,0.9123911949697063,0.17843799608364472,0.725
106,2,confidence_entropy_6,0.1,0.8231182795698925,0.9150999343910668,0.17350022512524454,0.75
106,3,confidence_entropy_6,0.1,0.8139784946236559,0.9099405165013295,0.18060909466535371,0.75
106,4,confidence_entropy_6,0.1,0.8236559139784946,0.9201008790736186,0.1756894352069301,0.675
106,5,confidence_entropy_6,0.1,0.817204301075269,0.9134786623407227,0.17619888975904424,0.75
106,1,confidence_entropy_6,0.5,0.8231182795698925,0.9146121689677491,0.16888696329401948,0.8500000000000001
106,2,confidence_entropy_6,0.5,0.8301075268817204,0.9190683938629591,0.16828140482977624,0.8
106,3,confidence_entropy_6,0.5,0.8317204301075268,0.9208195854912348,0.16647987559517927,0.75
106,4,confidence_entropy_6,0.5,0.8333333333333334,0.9220858809185761,0.1688602546852872,0.8
106,5,confidence_entropy_6,0.5,0.8397849462365592,0.9246528086594149,0.16192323332067246,0.8
106,1,confidence_entropy_6,1.0,0.8338709677419356,0.917041192901331,0.16765221953515247,0.875
106,2,confidence_entropy_6,1.0,0.8446236559139785,0.92299919496861,0.1627913617297141,0.875
106,3,confidence_entropy_6,1.0,0.8387096774193549,0.9240332588043645,0.16414397422310556,0.8
106,4,confidence_entropy_6,1.0,0.8317204301075268,0.9218458690019212,0.16299318828306958,0.825
106,5,confidence_entropy_6,1.0,0.8301075268817205,0.9174061927713812,0.16737168545937298,0.825
106,1,confidence_entropy_6,5.0,0.8172043010752689,0.9036607505419882,0.17295147136662245,0.825
106,2,confidence_entropy_6,5.0,0.8053763440860215,0.9024787395745222,0.1849994470944117,0.775
106,3,confidence_entropy_6,5.0,0.8456989247311828,0.9224716383694338,0.15809164874678058,0.9
106,4,confidence_entropy_6,5.0,0.8295698924731183,0.9146691247205732,0.16321498985159225,0.9
106,5,confidence_entropy_6,5.0,0.8306451612903225,0.9144943866928577,0.1646620858558718,0.775
107,1,confidence_entropy_6,0.01,0.6057373737373738,0.5112491502428589,0.24520908965881025,0.9
107,2,confidence_entropy_6,0.01,0.580040404040404,0.48097460832475447,0.24665594528874843,0.9
107,3,confidence_entropy_6,0.01,0.599919191919192,0.5163928693129118,0.24522774781879816,0.625
107,4,confidence_entropy_6,0.01,0.6104242424242424,0.5331498868678753,0.24449099107802494,0.6
