rule,matching,threshold,target,calibration_n,calibration_recovery_opportunities,calibration_recovery_retained,calibration_recovery_retention,calibration_negative_transfer_opportunities,calibration_negative_transfer_remaining,calibration_negative_transfer_rate,calibration_negative_transfer_prevention,calibration_full_selection_rate,calibration_selected_accuracy,seed
Lower-LOO-disagreement,retention_matched,0.06653786465700676,0.4344262295081967,1866.0,122.0,50.0,0.4098360655737705,72.0,49.0,0.6805555555555556,0.3194444444444444,0.17041800643086816,0.5787781350482315,105
Higher-JS-disagreement,prevention_matched,0.6408179998397827,0.9861111111111112,1866.0,122.0,1.0,0.00819672131147541,72.0,0.0,0.0,1.0,0.0005359056806002144,0.5787781350482315,105
Higher-JS-disagreement,retention_matched,0.11600686162710194,0.4344262295081967,1866.0,122.0,55.0,0.45081967213114754,72.0,34.0,0.4722222222222222,0.5277777777777778,0.09003215434083602,0.5894962486602358,105
Higher-confidence,prevention_matched,0.16049090862274165,1.0,1869.0,62.0,8.0,0.12903225806451613,30.0,0.0,0.0,1.0,0.04012841091492777,0.685928303905832,106
Higher-confidence,retention_matched,-0.035979938507080075,0.5161290322580645,1869.0,62.0,31.0,0.5,30.0,20.0,0.6666666666666666,0.33333333333333337,0.7998929909042268,0.6875334403424291,106
Lower-entropy,prevention_matched,0.122919176856832,1.0,1869.0,62.0,4.0,0.06451612903225806,30.0,0.0,0.0,1.0,0.04012841091492777,0.6837881219903692,106
Lower-entropy,retention_matched,-0.03496275882105689,0.5161290322580645,1869.0,62.0,32.0,0.5161290322580645,30.0,24.0,0.8,0.19999999999999996,0.7501337613697164,0.685928303905832,106
Lower-LOO-disagreement,prevention_matched,0.06458866385962657,1.0,1869.0,62.0,2.0,0.03225806451612903,30.0,0.0,0.0,1.0,0.020331728196896735,0.6827180310326377,106
Lower-LOO-disagreement,retention_matched,-0.012377669579971244,0.5161290322580645,1869.0,62.0,32.0,0.5161290322580645,30.0,29.0,0.9666666666666667,0.033333333333333326,0.889780631353665,0.6832530765115035,106
Higher-JS-disagreement,prevention_matched,0.08171151489019389,1.0,1869.0,62.0,7.0,0.11290322580645161,30.0,0.0,0.0,1.0,0.010165864098448368,0.6853932584269663,106
Higher-JS-disagreement,retention_matched,0.03479644671082497,0.5161290322580645,1869.0,62.0,32.0,0.5161290322580645,30.0,5.0,0.16666666666666666,0.8333333333333334,0.07009095773140717,0.6960941680042804,106
Higher-confidence,prevention_matched,0.33217350244522104,0.976,1829.0,99.0,4.0,0.04040404040404041,125.0,2.0,0.016,0.984,0.020229633679606344,0.6331328594860579,107
Higher-confidence,retention_matched,0.1563973379135132,0.25252525252525254,1829.0,99.0,24.0,0.24242424242424243,125.0,21.0,0.168,0.832,0.11044286495352652,0.6336796063422635,107
Lower-entropy,prevention_matched,0.2965129585697069,0.976,1829.0,99.0,4.0,0.04040404040404041,125.0,3.0,0.024,0.976,0.020229633679606344,0.6325861126298524,107
Lower-entropy,retention_matched,0.0775494604958607,0.25252525252525254,1829.0,99.0,26.0,0.26262626262626265,125.0,23.0,0.184,0.8160000000000001,0.2099507927829415,0.6336796063422635,107
Lower-LOO-disagreement,prevention_matched,0.4090333441337274,0.976,1829.0,99.0,0.0,0.0,125.0,1.0,0.008,0.992,0.0005467468562055768,0.6314926189174412,107
Lower-LOO-disagreement,retention_matched,0.0807746760159942,0.25252525252525254,1829.0,99.0,24.0,0.24242424242424243,125.0,74.0,0.592,0.40800000000000003,0.160196828868234,0.604702022963368,107
Higher-JS-disagreement,prevention_matched,0.6879664659500122,0.976,1829.0,99.0,0.0,0.0,125.0,0.0,0.0,1.0,0.0005467468562055768,0.6320393657736468,107
Higher-JS-disagreement,retention_matched,0.13130598723888398,0.25252525252525254,1829.0,99.0,25.0,0.25252525252525254,125.0,43.0,0.344,0.656,0.0803717878622198,0.6221979223619464,107
Higher-confidence,prevention_matched,0.12892212867736824,0.9411764705882353,1853.0,54.0,7.0,0.12962962962962962,68.0,4.0,0.058823529411764705,0.9411764705882353,0.05018888289260658,0.6972477064220184,108
Higher-confidence,retention_matched,0.04536797761917114,0.2777777777777778,1853.0,54.0,15.0,0.2777777777777778,68.0,17.0,0.25,0.75,0.12034538586076632,0.6945493793847815,108
Lower-entropy,prevention_matched,0.09076456721163635,0.9411764705882353,1853.0,54.0,4.0,0.07407407407407407,68.0,5.0,0.07352941176470588,0.9264705882352942,0.060442525634106854,0.6950890447922288,108
Lower-entropy,retention_matched,0.0260294786026981,0.2777777777777778,1853.0,54.0,15.0,0.2777777777777778,68.0,14.0,0.20588235294117646,0.7941176470588236,0.15002698327037237,0.6961683756071236,108
Lower-LOO-disagreement,prevention_matched,0.06754327700387694,0.9411764705882353,1853.0,54.0,2.0,0.037037037037037035,68.0,4.0,0.058823529411764705,0.9411764705882353,0.030221262817053427,0.6945493793847815,108
Lower-LOO-disagreement,retention_matched,0.01948577585368806,0.2777777777777778,1853.0,54.0,15.0,0.2777777777777778,68.0,44.0,0.6470588235294118,0.3529411764705882,0.229897463572585,0.6799784133837021,108
Higher-JS-disagreement,prevention_matched,0.09725193291902548,0.9411764705882353,1853.0,54.0,6.0,0.1111111111111111,68.0,3.0,0.04411764705882353,0.9558823529411765,0.01025364274150027,0.6972477064220184,108
Higher-JS-disagreement,retention_matched,0.05917827203869828,0.2777777777777778,1853.0,54.0,14.0,0.25925925925925924,68.0,8.0,0.11764705882352941,0.8823529411764706,0.030221262817053427,0.6988667026443605,108
Higher-confidence,prevention_matched,0.1424869650602341,0.9285714285714286,1880.0,108.0,27.0,0.25,14.0,1.0,0.07142857142857142,0.9285714285714286,0.07021276595744681,0.7202127659574468,109
Higher-confidence,retention_matched,-0.09622359037399295,0.6759259259259259,1880.0,108.0,73.0,0.6759259259259259,14.0,11.0,0.7857142857142857,0.2142857142857143,0.8797872340425532,0.7393617021276596,109
Lower-entropy,prevention_matched,0.05869282712859033,0.9285714285714286,1880.0,108.0,29.0,0.26851851851851855,14.0,1.0,0.07142857142857142,0.9285714285714286,0.1702127659574468,0.7212765957446808,109
Lower-entropy,retention_matched,-0.09735581176412916,0.6759259259259259,1880.0,108.0,74.0,0.6851851851851852,14.0,13.0,0.9285714285714286,0.0714285714285714,0.8797872340425532,0.7388297872340426,109
Lower-LOO-disagreement,prevention_matched,0.09275219543960389,0.9285714285714286,1880.0,108.0,13.0,0.12037037037037036,14.0,1.0,0.07142857142857142,0.9285714285714286,0.02021276595744681,0.7127659574468085,109
Lower-LOO-disagreement,retention_matched,-0.013506377874783775,0.6759259259259259,1880.0,108.0,74.0,0.6851851851851852,14.0,14.0,1.0,0.0,0.8898936170212766,0.7382978723404255,109
Higher-JS-disagreement,prevention_matched,0.11082207456231101,0.9285714285714286,1880.0,108.0,40.0,0.37037037037037035,14.0,1.0,0.07142857142857142,0.9285714285714286,0.03031914893617021,0.7271276595744681,109
