seed,fault_type,prevalence,stream,method,harm_to_correction_cost_ratio,pass_penalty_equivalent_corrections_per_10000,corrections_per_10000,harms_per_10000,mean_forward_passes,net_utility_per_10000,energy_note
101,drift,0.1,full_mixed_stream,Safe-CF-12,1.0,0.0,0.0,13.748854262144821,6.0,-13.748854262144821,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.1,full_mixed_stream,Safe-CF-12,1.0,0.5,0.0,13.748854262144821,6.0,-16.24885426214482,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.1,full_mixed_stream,Safe-CF-12,1.0,2.0,0.0,13.748854262144821,6.0,-23.74885426214482,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.1,full_mixed_stream,Safe-CF-12,2.0,0.0,0.0,13.748854262144821,6.0,-27.497708524289642,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.1,full_mixed_stream,Safe-CF-12,2.0,0.5,0.0,13.748854262144821,6.0,-29.997708524289642,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.1,full_mixed_stream,Safe-CF-12,2.0,2.0,0.0,13.748854262144821,6.0,-37.49770852428964,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.1,full_mixed_stream,Safe-CF-12,5.0,0.0,0.0,13.748854262144821,6.0,-68.7442713107241,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.1,full_mixed_stream,Safe-CF-12,5.0,0.5,0.0,13.748854262144821,6.0,-71.2442713107241,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.1,full_mixed_stream,Safe-CF-12,5.0,2.0,0.0,13.748854262144821,6.0,-78.7442713107241,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.1,full_mixed_stream,Safe-CF-12,10.0,0.0,0.0,13.748854262144821,6.0,-137.4885426214482,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.1,full_mixed_stream,Safe-CF-12,10.0,0.5,0.0,13.748854262144821,6.0,-139.9885426214482,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.1,full_mixed_stream,Safe-CF-12,10.0,2.0,0.0,13.748854262144821,6.0,-147.4885426214482,forward-pass/FLOP penalty proxy; energy was not measured
101,stuck_at,0.1,full_mixed_stream,Always PDRF,1.0,0.0,0.0,0.0,1.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
101,stuck_at,0.1,full_mixed_stream,Always PDRF,1.0,0.5,0.0,0.0,1.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
101,stuck_at,0.1,full_mixed_stream,Always PDRF,1.0,2.0,0.0,0.0,1.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
