analysis_set,seed,fault_type,prevalence,stream,method,subset,n,accuracy,macro_auroc,macro_auprc,nll,brier,ece15_equal_width,ece15_equal_mass,classwise_ece15
complete_stream,101,gaussian,0.4,full_mixed_stream,Tree-6,endpoint_class_disagreement,345,0.2898550724637681,0.738697231598629,0.3315898324978412,2.164175145432503,0.8704371703459287,0.27630251105688386,0.2650734931748151,0.1274725350285656
complete_stream,101,gaussian,0.4,full_mixed_stream,Three-outcome-6,endpoint_class_agreement,4019,0.5755162975864643,0.8497165301957258,0.5986962594346968,2.2310947751825103,0.6953420485216528,0.291740416402622,0.2917404164026219,0.10618105994573235
complete_stream,101,gaussian,0.4,full_mixed_stream,Three-outcome-6,endpoint_class_disagreement,345,0.28695652173913044,0.7374845562898216,0.335641701120589,2.1708494667429634,0.8688368846286869,0.26507800092600514,0.25817549595842165,0.12450730219307722
complete_stream,101,gaussian,0.4,full_mixed_stream,Cascade-25,endpoint_class_agreement,4019,0.5755162975864643,0.8506805705399817,0.5943733033553493,2.0224463870576326,0.6861384236319147,0.2803740931474895,0.2803740931474895,0.10339301986006134
complete_stream,101,gaussian,0.4,full_mixed_stream,Cascade-25,endpoint_class_disagreement,345,0.28405797101449276,0.7357280100737823,0.3333960822304403,2.1594956359469957,0.8614137789076524,0.25554750737384035,0.24891077353537489,0.1202876432857178
complete_stream,101,gaussian,0.4,full_mixed_stream,Always PDRF,endpoint_class_agreement,4019,0.5755162975864643,0.8498643037243037,0.5991231855446192,2.241109834441275,0.6931411215233657,0.28990947367679226,0.28990947367679226,0.10640602885716767
complete_stream,101,gaussian,0.4,full_mixed_stream,Always PDRF,endpoint_class_disagreement,345,0.28695652173913044,0.7351462062357,0.33434134592342657,2.1684486160931473,0.8601639525951448,0.2524677657938406,0.24583103195537523,0.12075234256732992
complete_stream,101,gaussian,0.4,full_mixed_stream,Always RO-PDRF-Full,endpoint_class_agreement,4019,0.5755162975864643,0.8494428687548224,0.5943864614827649,1.9839368804803643,0.681428818572129,0.2715312843508658,0.2715312843508659,0.0998953712778559
complete_stream,101,gaussian,0.4,full_mixed_stream,Always RO-PDRF-Full,endpoint_class_disagreement,345,0.2898550724637681,0.7454446653635566,0.35810006941758843,2.0956009986160504,0.8549734929088291,0.2260861801192118,0.22608618011921183,0.11957096065205856
complete_stream,101,none,0.0,clean_no_imposed_fault,Safe-CF-12,endpoint_class_agreement,4092,0.5999511241446726,0.8716216786867808,0.6499771853578725,1.7974312743261325,0.6350306054590386,0.2548606835551805,0.25486068355518054,0.09711650391109707
complete_stream,101,none,0.0,clean_no_imposed_fault,Safe-CF-12,endpoint_class_disagreement,272,0.31985294117647056,0.7809571115817259,0.40366112101030943,1.909844554711288,0.8196231425242407,0.19041334104684177,0.19443895792013605,0.13697097352641974
