analysis_set,seed,fault_type,method,criterion,threshold,n,correction_opportunities,corrections_retained,recovery_retention,harm_opportunities,harms_realized,negative_transfer_prevention,recovery_selection_rate,selected_accuracy,net_correct_change_per_10000,mean_forward_passes,utility_ratio,utility_per_10000,accuracy,macro_auroc,macro_auprc,nll,brier,ece15_equal_width,ece15_equal_mass,classwise_ece15
calibration_oof,106,all_calibration_families,Entropy difference,matched_prevention,0.15649871171076837,1869,48,5,0.10416666666666667,34,0,1.0,0.030497592295345103,0.6843231674692349,26.75227394328518,,,,,,,,,,,
calibration_oof,106,all_calibration_families,Entropy difference,matched_retention,-0.020940617276881335,1869,48,24,0.5,34,25,0.2647058823529411,0.7800963081861958,0.6811128945960406,-5.350454788657036,,,,,,,,,,,
calibration_oof,106,all_calibration_families,Random,matched_prevention,0.9996630520403647,1869,48,0,0.0,34,0,1.0,0.0,0.6816479400749064,0.0,,,,,,,,,,,
calibration_oof,106,all_calibration_families,Random,matched_retention,0.5176916953410592,1869,48,24,0.5,34,17,0.5,0.5002675227394329,0.6853932584269663,37.453183520599254,,,,,,,,,,,
calibration_oof,107,all_calibration_families,Conditional Lite-CF,matched_prevention,0.5756376674703138,1829,66,15,0.22727272727272727,18,0,1.0,0.8600328048113723,0.6402405686167304,82.01202843083652,,,,,,,,,,,
calibration_oof,107,all_calibration_families,Conditional Lite-CF,matched_retention,0.5756376674703138,1829,66,15,0.22727272727272727,18,0,1.0,0.8600328048113723,0.6402405686167304,82.01202843083652,,,,,,,,,,,
calibration_oof,107,all_calibration_families,All-row multinomial,matched_prevention,0.2603689440309843,1829,66,17,0.25757575757575757,18,0,1.0,0.13996719518862766,0.6413340623291416,92.94696555494806,,,,,,,,,,,
calibration_oof,107,all_calibration_families,All-row multinomial,matched_retention,0.2726225485846301,1829,66,15,0.22727272727272727,18,0,1.0,0.13012575177692728,0.6402405686167304,82.01202843083652,,,,,,,,,,,
calibration_oof,107,all_calibration_families,Two-stage,matched_prevention,0.05566942700743457,1829,66,33,0.5,18,0,1.0,0.27009294696555497,0.6500820120284309,180.42646254784034,,,,,,,,,,,
calibration_oof,107,all_calibration_families,Two-stage,matched_retention,0.10640877415898675,1829,66,14,0.21212121212121213,18,0,1.0,0.15035538545653362,0.6396938217605249,76.54455986878075,,,,,,,,,,,
calibration_oof,107,all_calibration_families,Shallow tree,matched_prevention,0.8947368421052632,1829,66,6,0.09090909090909091,18,0,1.0,0.07818480043739748,0.6353198469108803,32.80481137233461,,,,,,,,,,,
calibration_oof,107,all_calibration_families,Shallow tree,matched_retention,0.5000000000000007,1829,66,18,0.2727272727272727,18,3,0.8333333333333334,0.27227993439037723,0.6402405686167304,82.01202843083652,,,,,,,,,,,
calibration_oof,107,all_calibration_families,Confidence difference,matched_prevention,0.10153013467788699,1829,66,9,0.13636363636363635,18,0,1.0,0.05030071077091307,0.636960087479497,49.20721705850191,,,,,,,,,,,
calibration_oof,107,all_calibration_families,Confidence difference,matched_retention,0.049453549385070766,1829,66,15,0.22727272727272727,18,5,0.7222222222222222,0.11044286495352652,0.6375068343357025,54.67468562055768,,,,,,,,,,,
calibration_oof,107,all_calibration_families,Base uncertainty,matched_prevention,-0.27064853806631467,1829,66,0,0.0,18,0,1.0,0.0,0.6320393657736468,0.0,,,,,,,,,,,
calibration_oof,107,all_calibration_families,Base uncertainty,matched_retention,-0.4424065172672272,1829,66,14,0.21212121212121213,18,4,0.7777777777777778,0.04045926735921269,0.6375068343357025,54.67468562055768,,,,,,,,,,,
calibration_oof,107,all_calibration_families,Entropy difference,matched_prevention,0.061558367115538866,1829,66,8,0.12121212121212122,18,0,1.0,0.06998359759431383,0.6364133406232915,43.73974849644615,,,,,,,,,,,
calibration_oof,107,all_calibration_families,Entropy difference,matched_retention,0.0018240432275263131,1829,66,15,0.22727272727272727,18,7,0.6111111111111112,0.43028977583378897,0.6364133406232915,43.73974849644615,,,,,,,,,,,
calibration_oof,107,all_calibration_families,Random,matched_prevention,0.879989545443783,1829,66,10,0.15151515151515152,18,0,1.0,0.1202843083652269,0.6375068343357025,54.67468562055768,,,,,,,,,,,
calibration_oof,107,all_calibration_families,Random,matched_retention,0.8096536533428573,1829,66,14,0.21212121212121213,18,2,0.8888888888888888,0.19026790595954074,0.6386003280481137,65.60962274466922,,,,,,,,,,,
calibration_oof,108,all_calibration_families,Conditional Lite-CF,matched_prevention,0.9003286041774836,1853,28,0,0.0,76,0,1.0,0.0,0.6956287101996762,0.0,,,,,,,,,,,
calibration_oof,108,all_calibration_families,Conditional Lite-CF,matched_retention,0.9003286041774836,1853,28,0,0.0,76,0,1.0,0.0,0.6956287101996762,0.0,,,,,,,,,,,
calibration_oof,108,all_calibration_families,All-row multinomial,matched_prevention,0.8974205093350444,1853,28,0,0.0,76,0,1.0,0.0,0.6956287101996762,0.0,,,,,,,,,,,
calibration_oof,108,all_calibration_families,All-row multinomial,matched_retention,0.8974205093350444,1853,28,0,0.0,76,0,1.0,0.0,0.6956287101996762,0.0,,,,,,,,,,,
calibration_oof,108,all_calibration_families,Two-stage,matched_prevention,0.2797699709295541,1853,28,0,0.0,76,0,1.0,0.0,0.6956287101996762,0.0,,,,,,,,,,,
