seed,outcome,bin,n,mean_probability,observed_frequency
104,recovery_better,1,187,0.04044430192599439,0.0053475935828877
104,recovery_better,2,187,0.059651716501395,0.0
104,recovery_better,3,187,0.06999382154964447,0.0
104,recovery_better,4,187,0.07070751500486064,0.0053475935828877
104,recovery_better,5,187,0.07501803782957336,0.0
104,recovery_better,6,187,0.08358353699824603,0.0
104,recovery_better,7,187,0.0902287255626698,0.0053475935828877
104,recovery_better,8,187,0.14755762412066373,0.0
104,recovery_better,9,186,0.3223020524263945,0.021505376344086023
104,recovery_better,10,186,0.5746432073955532,0.14516129032258066
105,base_better,1,187,0.001361764582657316,0.0
105,base_better,2,187,0.002492043785928861,0.0
105,base_better,3,187,0.003089854175799154,0.0
105,base_better,4,187,0.0035928544616711956,0.0
105,base_better,5,187,0.003992717792312938,0.0
105,base_better,6,187,0.007369037468607827,0.0
105,base_better,7,186,0.021017302490682715,0.0
105,base_better,8,186,0.07354875714934765,0.0
105,base_better,9,186,0.2133210525029266,0.005376344086021506
105,base_better,10,186,0.4935636813170122,0.04838709677419355
105,recovery_better,1,187,0.01587495111194576,0.0
105,recovery_better,2,187,0.019564409128104896,0.0
105,recovery_better,3,187,0.02222524130181604,0.0
105,recovery_better,4,187,0.02559274634005264,0.0
105,recovery_better,5,187,0.034907698108003996,0.0
105,recovery_better,6,187,0.06437742619749945,0.0
105,recovery_better,7,186,0.14187812938491765,0.005376344086021506
105,recovery_better,8,186,0.2734248373264963,0.03763440860215054
105,recovery_better,9,186,0.39688360123772104,0.05913978494623656
105,recovery_better,10,186,0.5590398906489208,0.03763440860215054
106,base_better,1,187,0.00016519812899758754,0.0
106,base_better,2,187,0.00020292833306960153,0.0
106,base_better,3,187,0.00022132270577344092,0.0
106,base_better,4,187,0.0002702296952793839,0.0
106,base_better,5,187,0.0003916688726086162,0.0
106,base_better,6,187,0.001153352659517823,0.0
106,base_better,7,187,0.008013767054179102,0.0
106,base_better,8,187,0.05756620061696356,0.0
106,base_better,9,187,0.2222916302641489,0.016042780748663103
106,base_better,10,186,0.5904340772141526,0.16666666666666666
106,recovery_better,1,187,0.07306520262682407,0.0
106,recovery_better,2,187,0.08082919004421653,0.0
106,recovery_better,3,187,0.08863391876518689,0.0
106,recovery_better,4,187,0.09208159890497718,0.0
106,recovery_better,5,187,0.09893913153569638,0.0
106,recovery_better,6,187,0.12001290514282861,0.0053475935828877
106,recovery_better,7,187,0.20333011140409693,0.0053475935828877
106,recovery_better,8,187,0.34395105393090436,0.053475935828877004
106,recovery_better,9,187,0.46678988022855605,0.06951871657754011
106,recovery_better,10,186,0.5756589066659267,0.12365591397849462
107,base_better,1,183,7.074146478621043e-05,0.0
107,base_better,2,183,0.000489959189304545,0.0
107,base_better,3,183,0.0007918190592784497,0.0
107,base_better,4,183,0.0010857473377709902,0.0
107,base_better,5,183,0.0017011925321007248,0.0
107,base_better,6,183,0.004689137088718905,0.0
107,base_better,7,183,0.02012926493395637,0.0
107,base_better,8,183,0.08049772826897376,0.0
107,base_better,9,183,0.23480065765418218,0.00546448087431694
107,base_better,10,182,0.4893617058292406,0.09340659340659341
107,recovery_better,1,183,0.005295912297200727,0.0
107,recovery_better,2,183,0.006230708520230064,0.0
107,recovery_better,3,183,0.008666418789021786,0.0
107,recovery_better,4,183,0.01339191707020372,0.0
107,recovery_better,5,183,0.022374389971399896,0.0
107,recovery_better,6,183,0.05741149806504427,0.0
107,recovery_better,7,183,0.14464711856140605,0.03278688524590164
107,recovery_better,8,183,0.31210336958136253,0.060109289617486336
107,recovery_better,9,183,0.4483930527561696,0.12021857923497267
107,recovery_better,10,182,0.6052226485317121,0.14835164835164835
108,base_better,1,186,0.007619970747992284,0.0
108,base_better,2,186,0.009929046362844666,0.0
108,base_better,3,186,0.012085488843921436,0.0
108,base_better,4,185,0.014602190704802651,0.0
108,base_better,5,185,0.018534297630201813,0.0
108,base_better,6,185,0.031522117010554594,0.0
108,base_better,7,185,0.07640115070667723,0.005405405405405406
108,base_better,8,185,0.18524785578792682,0.032432432432432434
108,base_better,9,185,0.3210793503527683,0.11351351351351352
108,base_better,10,185,0.6382757051785706,0.2594594594594595
108,recovery_better,1,186,0.015217286723654263,0.0
108,recovery_better,2,186,0.025296259639302897,0.0
108,recovery_better,3,186,0.031230231814444287,0.0
108,recovery_better,4,185,0.03665784120098426,0.0
108,recovery_better,5,185,0.04329599659361045,0.0
108,recovery_better,6,185,0.05312326391672061,0.0
108,recovery_better,7,185,0.08899476238690421,0.005405405405405406
108,recovery_better,8,185,0.19674568471880313,0.016216216216216217
108,recovery_better,9,185,0.3653015624868481,0.03783783783783784
108,recovery_better,10,185,0.6202307935692053,0.0918918918918919
109,base_better,1,188,0.018753375640707393,0.0
109,base_better,2,188,0.03353789089298148,0.0
109,base_better,3,188,0.041559442768393955,0.0
109,base_better,4,188,0.04406618209408037,0.0
109,base_better,5,188,0.04636354867819587,0.005319148936170213
109,base_better,6,188,0.053413811196745126,0.0
109,base_better,7,188,0.0696727632902166,0.0
109,base_better,8,188,0.14260359113938514,0.0
109,base_better,9,188,0.2790119910066579,0.015957446808510637
109,base_better,10,188,0.5077528787727145,0.07446808510638298
109,recovery_better,1,188,0.053503175815884235,0.0
109,recovery_better,2,188,0.06382390257439845,0.0
109,recovery_better,3,188,0.0662915389998515,0.005319148936170213
109,recovery_better,4,188,0.07451467713357635,0.0
109,recovery_better,5,188,0.08143242682563137,0.005319148936170213
109,recovery_better,6,188,0.11240776253659537,0.010638297872340425
109,recovery_better,7,188,0.20556157326815855,0.05319148936170213
109,recovery_better,8,188,0.3221275248509801,0.0797872340425532
109,recovery_better,9,188,0.4427931148177127,0.1595744680851064
109,recovery_better,10,188,0.588355184669443,0.1595744680851064
110,base_better,1,195,0.003698601729571621,0.0
110,base_better,2,195,0.009010044531102263,0.0
110,base_better,3,195,0.011851786356027306,0.0
110,base_better,4,195,0.015344225907712358,0.0
110,base_better,5,195,0.017693195870221445,0.0
110,base_better,6,195,0.019698834318104843,0.0
110,base_better,7,195,0.04172229481740323,0.0
110,base_better,8,194,0.10771359488003471,0.0
110,base_better,9,194,0.25217526942221974,0.015463917525773196
110,base_better,10,194,0.4907105860338148,0.14432989690721648
110,recovery_better,1,195,0.029400560011101685,0.0
110,recovery_better,2,195,0.032868727943789595,0.0
110,recovery_better,3,195,0.03596271340425789,0.0
110,recovery_better,4,195,0.04115666587685834,0.0
110,recovery_better,5,195,0.04403645018990612,0.0
110,recovery_better,6,195,0.07114868615879884,0.0
110,recovery_better,7,195,0.1393300232572507,0.005128205128205128
110,recovery_better,8,194,0.2908905796691635,0.05154639175257732
110,recovery_better,9,194,0.4435089251566904,0.10824742268041238
110,recovery_better,10,194,0.6845207495930903,0.08762886597938144
