seed,repeat,fold,feature,standardized_coefficient
101,4,5,base_recovery_js,1.1683618053129028
101,4,5,base_consensus_js,-0.3423394647649981
101,4,5,recovery_consensus_js,0.689363658302386
101,4,5,base_consensus_agreement,0.5826935313228766
101,4,5,recovery_consensus_agreement,0.03147082081723388
101,4,5,removal_fraction,-0.5006443812333612
101,5,1,base_confidence,-0.0372802259027368
101,5,1,recovery_confidence,0.440484014097397
101,5,1,confidence_delta,0.4238729151194981
101,5,1,base_entropy,-0.40638098780332466
101,5,1,recovery_entropy,-0.11139524798121543
101,5,1,entropy_delta,0.3732863232313867
101,5,1,base_recovery_js,1.3268598326502288
101,5,1,base_consensus_js,0.0105317748631137
101,5,1,recovery_consensus_js,0.4484230841566944
101,5,1,base_consensus_agreement,0.6123155205202498
101,5,1,recovery_consensus_agreement,0.24409406181437973
101,5,1,removal_fraction,-0.2480434791018778
101,5,2,base_confidence,-0.11075376564802528
101,5,2,recovery_confidence,0.5847080963354873
101,5,2,confidence_delta,0.5882405100286258
101,5,2,base_entropy,-0.4456341851879714
101,5,2,recovery_entropy,0.014870573480865096
101,5,2,entropy_delta,0.5788122013937143
101,5,2,base_recovery_js,1.1418630776576049
101,5,2,base_consensus_js,-0.28094655124868345
101,5,2,recovery_consensus_js,0.5148380144506409
101,5,2,base_consensus_agreement,0.553511327822179
101,5,2,recovery_consensus_agreement,-0.024239381152775803
101,5,2,removal_fraction,-0.3963354686298639
101,5,3,base_confidence,-0.04832130891845135
101,5,3,recovery_confidence,0.3806765605602614
101,5,3,confidence_delta,0.3664752097827299
101,5,3,base_entropy,-0.4801540079950234
101,5,3,recovery_entropy,-0.27645392620486825
101,5,3,entropy_delta,0.23827425368797117
101,5,3,base_recovery_js,0.7531658705618196
101,5,3,base_consensus_js,0.5009702552435494
101,5,3,recovery_consensus_js,1.0848887058017855
101,5,3,base_consensus_agreement,0.5577265230733123
101,5,3,recovery_consensus_agreement,-0.06539006706150911
101,5,3,removal_fraction,-0.1540578909802224
101,5,4,base_confidence,-0.15735566672130635
101,5,4,recovery_confidence,0.45461678935347843
101,5,4,confidence_delta,0.516861326844598
101,5,4,base_entropy,-0.3293879481178425
101,5,4,recovery_entropy,0.04596506699456499
101,5,4,entropy_delta,0.4743543009086321
101,5,4,base_recovery_js,1.0578116809520597
101,5,4,base_consensus_js,-0.3491971670548573
101,5,4,recovery_consensus_js,0.6611842722415339
101,5,4,base_consensus_agreement,0.7744050922215705
101,5,4,recovery_consensus_agreement,0.008007124035266138
101,5,4,removal_fraction,-0.2628850788610778
101,5,5,base_confidence,-0.205664631315742
101,5,5,recovery_confidence,0.3659650327920792
101,5,5,confidence_delta,0.4671452925146344
101,5,5,base_entropy,-0.435242210755751
101,5,5,recovery_entropy,-0.10098333621468782
101,5,5,entropy_delta,0.4395485985063789
101,5,5,base_recovery_js,1.1283303681238452
101,5,5,base_consensus_js,-0.24571313951273416
101,5,5,recovery_consensus_js,0.813459731284887
101,5,5,base_consensus_agreement,0.6694748210345528
101,5,5,recovery_consensus_agreement,0.09579677799523106
101,5,5,removal_fraction,-0.22210220259196956
101,6,1,base_confidence,-0.3598677783811293
101,6,1,recovery_confidence,0.5410262950683215
101,6,1,confidence_delta,0.7413726228969159
101,6,1,base_entropy,-0.5513855000138658
101,6,1,recovery_entropy,0.06078467506113174
101,6,1,entropy_delta,0.762133343762871
101,6,1,base_recovery_js,1.2395357285711026
101,6,1,base_consensus_js,-0.31781914199598144
101,6,1,recovery_consensus_js,0.6783708053163243
101,6,1,base_consensus_agreement,0.5322232959672972
101,6,1,recovery_consensus_agreement,0.04269538298229729
101,6,1,removal_fraction,-0.33418908510203577
101,6,2,base_confidence,-0.21090435157027512
101,6,2,recovery_confidence,0.3882497561939971
101,6,2,confidence_delta,0.5130817895275505
101,6,2,base_entropy,-0.48043725427801964
101,6,2,recovery_entropy,-0.07955927917183751
101,6,2,entropy_delta,0.5259363009428278
101,6,2,base_recovery_js,1.0946389137151369
101,6,2,base_consensus_js,-0.22395046008760588
101,6,2,recovery_consensus_js,0.7168314761977032
101,6,2,base_consensus_agreement,0.6012877181787211
101,6,2,recovery_consensus_agreement,0.005751540760429143
101,6,2,removal_fraction,-0.21908247276034565
101,6,3,base_confidence,0.12141517091288449
101,6,3,recovery_confidence,0.49861458811587583
101,6,3,confidence_delta,0.3087047710703336
101,6,3,base_entropy,-0.2001786611748386
101,6,3,recovery_entropy,-0.06711081894998369
101,6,3,entropy_delta,0.17134216356760248
101,6,3,base_recovery_js,0.6197459094231328
101,6,3,base_consensus_js,0.7062495824291699
101,6,3,recovery_consensus_js,1.106329488052824
101,6,3,base_consensus_agreement,0.6455977264348849
101,6,3,recovery_consensus_agreement,0.0009129023732824281
101,6,3,removal_fraction,0.02978741460964662
101,6,4,base_confidence,0.0003656985681570858
101,6,4,recovery_confidence,0.40266699076953055
101,6,4,confidence_delta,0.3487637077813803
101,6,4,base_entropy,-0.548453334383923
101,6,4,recovery_entropy,-0.19147978962479384
101,6,4,entropy_delta,0.43251238692813376
101,6,4,base_recovery_js,1.2521483679926564
101,6,4,base_consensus_js,-0.27986330658415776
101,6,4,recovery_consensus_js,0.5271708295340546
101,6,4,base_consensus_agreement,0.668644370404173
101,6,4,recovery_consensus_agreement,0.13362482325757707
101,6,4,removal_fraction,-0.417312371873194
101,6,5,base_confidence,-0.12450908525867944
101,6,5,recovery_confidence,0.3034342819237267
101,6,5,confidence_delta,0.3660949289904687
101,6,5,base_entropy,-0.3133920980241672
101,6,5,recovery_entropy,-0.19749767602315835
101,6,5,entropy_delta,0.14104488112247723
101,6,5,base_recovery_js,1.283405643182398
101,6,5,base_consensus_js,-0.23825151566039315
101,6,5,recovery_consensus_js,0.5459010991603481
101,6,5,base_consensus_agreement,0.6445817923096815
101,6,5,recovery_consensus_agreement,0.04257024232018838
101,6,5,removal_fraction,-0.35564141507282576
101,7,1,base_confidence,-0.04024153183642593
101,7,1,recovery_confidence,0.4109810862183554
101,7,1,confidence_delta,0.3797096365753949
101,7,1,base_entropy,-0.5358722929146098
101,7,1,recovery_entropy,-0.22393980012500134
101,7,1,entropy_delta,0.4073745084751149
101,7,1,base_recovery_js,0.6542013046461367
101,7,1,base_consensus_js,0.6765017825355895
101,7,1,recovery_consensus_js,1.2505043796075364
101,7,1,base_consensus_agreement,0.5719954927468283
101,7,1,recovery_consensus_agreement,0.056600345024987904
101,7,1,removal_fraction,-0.09418675205213893
101,7,2,base_confidence,-0.036566921500628645
101,7,2,recovery_confidence,0.39847690785330037
101,7,2,confidence_delta,0.3711199961561196
101,7,2,base_entropy,-0.3360057190969574
101,7,2,recovery_entropy,-0.04121273337843079
101,7,2,entropy_delta,0.39230153924261796
101,7,2,base_recovery_js,0.9765959001237181
101,7,2,base_consensus_js,-0.2998196258544754
101,7,2,recovery_consensus_js,0.7795501896818172
101,7,2,base_consensus_agreement,0.7956742682216047
101,7,2,recovery_consensus_agreement,0.3096188678964802
101,7,2,removal_fraction,-0.29484559432842483
101,7,3,base_confidence,-0.14699054633214786
101,7,3,recovery_confidence,0.42513286232540837
101,7,3,confidence_delta,0.48607988068835345
101,7,3,base_entropy,-0.49115432590943764
101,7,3,recovery_entropy,-0.14705992225616418
101,7,3,entropy_delta,0.42265171141382823
101,7,3,base_recovery_js,1.2612120260282462
101,7,3,base_consensus_js,-0.2209916711756323
101,7,3,recovery_consensus_js,0.643394747522594
101,7,3,base_consensus_agreement,0.5582238169827506
101,7,3,recovery_consensus_agreement,-0.06488813606005099
101,7,3,removal_fraction,-0.34482267255942817
101,7,4,base_confidence,-0.18682178277134573
101,7,4,recovery_confidence,0.5504235250736298
101,7,4,confidence_delta,0.6076065273399532
101,7,4,base_entropy,-0.4249685363729426
101,7,4,recovery_entropy,0.03165640372686435
101,7,4,entropy_delta,0.5638428051259895
101,7,4,base_recovery_js,1.1934374015941172
101,7,4,base_consensus_js,-0.3476888007924688
101,7,4,recovery_consensus_js,0.570754082817871
101,7,4,base_consensus_agreement,0.7306014218945954
101,7,4,recovery_consensus_agreement,0.1426127777010998
101,7,4,removal_fraction,-0.49361996375048267
101,7,5,base_confidence,-0.1260751413699478
101,7,5,recovery_confidence,0.41415790201636576
101,7,5,confidence_delta,0.46255383565257163
101,7,5,base_entropy,-0.30008811595531254
101,7,5,recovery_entropy,-0.07994313751697867
101,7,5,entropy_delta,0.2781184408043364
101,7,5,base_recovery_js,1.2280262016072194
101,7,5,base_consensus_js,-0.026373479175863957
101,7,5,recovery_consensus_js,0.34954380445975186
101,7,5,base_consensus_agreement,0.6065108761311923
101,7,5,recovery_consensus_agreement,-0.049521389419746424
101,7,5,removal_fraction,-0.07905688611283083
101,8,1,base_confidence,-0.12467469033638544
101,8,1,recovery_confidence,0.4654847780697694
101,8,1,confidence_delta,0.48822430894832514
101,8,1,base_entropy,-0.40761543752029267
101,8,1,recovery_entropy,-0.003799475665133353
101,8,1,entropy_delta,0.5179576366957415
101,8,1,base_recovery_js,1.1861424693283118
101,8,1,base_consensus_js,-0.24143436294845874
101,8,1,recovery_consensus_js,0.7251533958483929
101,8,1,base_consensus_agreement,0.604665551381715
101,8,1,recovery_consensus_agreement,0.15858349605177757
101,8,1,removal_fraction,-0.2666134382574984
101,8,2,base_confidence,0.168121751295998
101,8,2,recovery_confidence,0.408045013626017
101,8,2,confidence_delta,0.21637907205140056
101,8,2,base_entropy,-0.22436578356152725
101,8,2,recovery_entropy,-0.13295943480264016
101,8,2,entropy_delta,0.10393050584140355
101,8,2,base_recovery_js,1.0700237504261325
101,8,2,base_consensus_js,0.5306934577665888
101,8,2,recovery_consensus_js,1.0168351130698232
101,8,2,base_consensus_agreement,0.6600515467418122
101,8,2,recovery_consensus_agreement,-0.017480709385849624
