method,selection_fraction,negative_transfer_prevention,recovery_retention,utility_ratio1_per_10000
Confidence difference,0.7250000000000001,0.4702031502495049,0.5967288001546598,86.525069637883
Confidence difference,0.75,0.437424843160536,0.6116025383005587,86.6991643454039
Confidence difference,0.775,0.4202219138047959,0.630195192692383,88.7883008356546
Confidence difference,0.8,0.3803578200279498,0.6582676764305526,91.22562674094708
Confidence difference,0.8250000000000001,0.3542627653990361,0.6840129853973882,94.70752089136491
Confidence difference,0.8500000000000001,0.30924875367655946,0.7158821514461405,97.49303621169916
Confidence difference,0.875,0.2735014385437752,0.743975659466542,100.45264623955431
Confidence difference,0.9,0.23011058007970425,0.7842343666635776,104.28272980501393
Confidence difference,0.925,0.17902651112671028,0.8442861947999465,112.29108635097494
Confidence difference,0.9500000000000001,0.13282205355148943,0.8909653741434356,118.9066852367688
Confidence difference,0.9750000000000001,0.0691229070369905,0.9360792160002062,123.78133704735376
Confidence difference,1.0,0.0,1.0,132.13788300835654
Entropy difference,0.0,1.0,0.0,0.0
Entropy difference,0.025,0.9836999953906913,0.02321438361303519,4.5264623955431755
Entropy difference,0.05,0.9730456872363831,0.05782472443925396,12.534818941504177
Entropy difference,0.07500000000000001,0.9491631488869331,0.09505037491853784,17.93175487465181
Entropy difference,0.1,0.9325764945736686,0.13338282055848916,24.721448467966574
Entropy difference,0.125,0.920005166800135,0.16226642969191135,30.2924791086351
Entropy difference,0.15000000000000002,0.8901679306669431,0.19976314899328312,36.90807799442897
Entropy difference,0.17500000000000002,0.8614862582032498,0.233103882321457,42.82729805013928
Entropy difference,0.2,0.8360862690288563,0.27092049473164254,49.09470752089136
Entropy difference,0.225,0.8055044592038924,0.2965378184318018,52.05431754874652
Entropy difference,0.25,0.7862628976577175,0.3259804702173214,56.40668523676881
Entropy difference,0.275,0.7729585399999115,0.35483689354040077,60.4108635097493
Entropy difference,0.30000000000000004,0.7549817196081836,0.37956924439066275,64.24094707520892
Entropy difference,0.325,0.7400425305991949,0.40460467983651316,68.24512534818942
Entropy difference,0.35000000000000003,0.7267188880108464,0.42823959442075915,71.90111420612814
Entropy difference,0.375,0.7168429687095238,0.44558957220475204,75.03481894150418
Entropy difference,0.4,0.6857870958889452,0.4690815528507513,77.64623955431755
Entropy difference,0.42500000000000004,0.6725531943737937,0.4748297606568822,77.99442896935933
Entropy difference,0.45,0.6592800092256085,0.4816751318338083,77.99442896935933
Entropy difference,0.47500000000000003,0.6460321447464433,0.4968983435293949,79.38718662952647
Entropy difference,0.5,0.6278245710701197,0.5101992657586284,80.95403899721448
Entropy difference,0.525,0.6089707889566393,0.5310252951166884,83.39136490250696
Entropy difference,0.55,0.5878117935048839,0.5510956029451892,85.65459610027855
Entropy difference,0.5750000000000001,0.5676661175068004,0.5723141255381099,88.44011142061281
Entropy difference,0.6000000000000001,0.5433831531022753,0.5969275774422875,91.22562674094708
Entropy difference,0.625,0.5133412694637892,0.6143537092864412,92.6183844011142
Entropy difference,0.65,0.47531110926451137,0.6402633745924999,96.62256267409471
Entropy difference,0.675,0.44974295210865256,0.6697744218313886,102.19359331476323
Entropy difference,0.7000000000000001,0.41279063569891206,0.6985764069374423,104.45682451253481
Entropy difference,0.7250000000000001,0.3714713391026022,0.7274413483551463,107.0682451253482
Entropy difference,0.75,0.33747589003679307,0.7516106383342163,110.02785515320333
Entropy difference,0.775,0.27952458698231164,0.7839126078059474,110.20194986072424
Entropy difference,0.8,0.2251692338872437,0.8171934788481353,112.11699164345404
Entropy difference,0.8250000000000001,0.19586676596297173,0.8541849322879156,117.1657381615599
Entropy difference,0.8500000000000001,0.1630150610511653,0.8880892958724929,121.51810584958216
Entropy difference,0.875,0.1280823116018983,0.9109142964077328,123.43314763231197
Entropy difference,0.9,0.09033210737508404,0.9347010344711963,125.52228412256268
Entropy difference,0.925,0.06764176952564377,0.9536867333097359,126.9150417827298
Entropy difference,0.9500000000000001,0.04582250076101496,0.9736075333315799,129.52646239554318
Entropy difference,0.9750000000000001,0.03375462371468964,0.9856202922311142,131.44150417827296
Entropy difference,1.0,0.0,1.0,132.13788300835654
Logit-margin difference,0.0,1.0,0.0,0.0
Logit-margin difference,0.025,0.9494866231626131,0.0879471830207931,14.798050139275764
Logit-margin difference,0.05,0.915086928535511,0.13908730679465037,24.37325905292479
Logit-margin difference,0.07500000000000001,0.8691390240537474,0.19804838399387353,32.90389972144847
Logit-margin difference,0.1,0.817606648648237,0.25436915726290776,42.65320334261838
Logit-margin difference,0.125,0.7883450161904471,0.30405168040230207,49.268802228412255
Logit-margin difference,0.15000000000000002,0.7463812553811244,0.34943854524239465,53.62116991643454
Logit-margin difference,0.17500000000000002,0.7132482616633818,0.3849193936279937,58.4958217270195
Logit-margin difference,0.2,0.6911417157320285,0.4109344980422505,61.28133704735376
Logit-margin difference,0.225,0.6580511817223769,0.4363210810581954,64.06685236768803
Logit-margin difference,0.25,0.6392015923796334,0.45721018572095673,67.02646239554318
Logit-margin difference,0.275,0.5992741421108316,0.47179233126438114,68.59331476323119
Logit-margin difference,0.30000000000000004,0.573462090983428,0.4840251049229548,68.41922005571031
Logit-margin difference,0.325,0.5617127309276164,0.49632139413651366,70.16016713091922
Logit-margin difference,0.35000000000000003,0.5529401072652868,0.5088767771764011,72.7715877437326
Logit-margin difference,0.375,0.5471695639947435,0.5160183842996231,73.81615598885794
Logit-margin difference,0.4,0.5384713716991514,0.5193098441691636,73.64206128133705
Logit-margin difference,0.42500000000000004,0.530517727001555,0.5217706807324711,73.46796657381616
Logit-margin difference,0.45,0.5290471387662609,0.5227558228513342,73.64206128133705
Logit-margin difference,0.47500000000000003,0.5257351729542952,0.5227558228513342,73.29387186629526
Logit-margin difference,0.5,0.5234624456815679,0.5233968484923598,73.29387186629526
Logit-margin difference,0.525,0.5227048699239921,0.5263503545899209,73.64206128133705
Logit-margin difference,0.55,0.5199018396209618,0.527852338716905,73.81615598885794
Logit-margin difference,0.5750000000000001,0.5169504507320729,0.5300998210431688,74.16434540389972
Logit-margin difference,0.6000000000000001,0.5138712718464424,0.5367786845459342,75.55710306406685
Logit-margin difference,0.625,0.502607593395264,0.5430571949459704,76.25348189415041
Logit-margin difference,0.65,0.4942370091930265,0.5499939748803023,77.12395543175487
Logit-margin difference,0.675,0.482130527711545,0.5648589659550713,79.38718662952645
Logit-margin difference,0.7000000000000001,0.46538834902400633,0.5775445907321519,80.95403899721448
Logit-margin difference,0.7250000000000001,0.43366507698458434,0.5871309064349088,80.77994428969359
Logit-margin difference,0.75,0.4176954928863504,0.6064010874954306,83.04317548746518
Logit-margin difference,0.775,0.3958776764913281,0.622237797646984,84.6100278551532
Logit-margin difference,0.8,0.372395403407445,0.6441228840574887,87.22144846796657
Logit-margin difference,0.8250000000000001,0.34614353357576017,0.6729336280596205,91.57381615598885
Logit-margin difference,0.8500000000000001,0.3050889100106674,0.7058488767645359,94.35933147632312
Logit-margin difference,0.875,0.2562592065880442,0.7344979344618114,96.62256267409471
Logit-margin difference,0.9,0.22017589471777743,0.7724999175783236,101.14902506963787
Logit-margin difference,0.925,0.177071872968028,0.8309005569768662,109.33147632311977
Logit-margin difference,0.9500000000000001,0.134522784496172,0.878604972209916,115.77298050139275
