mixture,test_mechanism,seed,threshold,method,mean_forward_passes,n,correction_opportunities,corrections_retained,recovery_retention,harm_opportunities,harms_realized,negative_transfer_prevention,recovery_selection_rate,selected_accuracy,net_correct_change_per_10000,utility_ratio,utility_per_10000,accuracy,macro_auroc,macro_auprc,nll,brier,ece15_equal_width,ece15_equal_mass,classwise_ece15
gaussian_70pct,offset,103,0.575,Conditional Lite-CF,2.0,1436,42,21,0.5,3,0,1.0,0.9192200557103064,0.4756267409470752,146.23955431754874,1.0,146.23955431754874,0.4756267409470752,0.8025883445833744,0.5506791077691603,3.368219804393785,0.9289353418150529,0.43337484789363406,0.4324448494429002,0.15481114539872462
gaussian_70pct,drift,103,0.575,Conditional Lite-CF,2.0,1436,28,16,0.5714285714285714,5,0,1.0,0.915041782729805,0.5062674094707521,111.42061281337047,1.0,111.42061281337047,0.5062674094707521,0.8118096843550778,0.5696935806680825,3.135967613598879,0.8743797035988107,0.3965577750624524,0.3960624974172505,0.14563847055715848
gaussian_70pct,stuck_at,103,0.575,Conditional Lite-CF,2.0,1436,35,13,0.37142857142857144,13,0,1.0,0.8711699164345403,0.4853760445682451,90.5292479108635,1.0,90.5292479108635,0.4853760445682451,0.8093899223673322,0.5566289629929512,2.693226603987568,0.8434855472880529,0.37765967903685604,0.37672578472030427,0.13645757913554374
offset_70pct,gaussian,103,0.9,Conditional Lite-CF,2.0,1436,49,0,0.0,15,0,1.0,0.0,0.44707520891364905,0.0,1.0,0.0,0.44707520891364905,0.7694249613154086,0.4738324174880839,4.163939058459799,0.9145673794401421,0.4161377317134759,0.41599109654739785,0.14568111844563988
offset_70pct,offset,103,0.9,Conditional Lite-CF,2.0,1436,42,0,0.0,3,0,1.0,0.0,0.4610027855153203,0.0,1.0,0.0,0.4610027855153203,0.7931424934604397,0.5368989239230508,3.858461086657976,0.9727784135520209,0.45394944242541346,0.45229778566961043,0.16463707549618506
offset_70pct,drift,103,0.9,Conditional Lite-CF,2.0,1436,28,0,0.0,5,0,1.0,0.0,0.49512534818941506,0.0,1.0,0.0,0.49512534818941506,0.8061840355917056,0.5571826361375264,3.462134174382716,0.9047666418294835,0.41281783459897126,0.41169045861789916,0.15198531875518775
offset_70pct,stuck_at,103,0.9,Conditional Lite-CF,2.0,1436,35,0,0.0,13,0,1.0,0.0,0.4763231197771588,0.0,1.0,0.0,0.4763231197771588,0.7994549784898589,0.5449567487962206,3.058786132774741,0.8913021099071131,0.3972088937862211,0.3962749994696694,0.14722022895729928
drift_70pct,gaussian,103,0.9,Conditional Lite-CF,2.0,1436,49,0,0.0,15,0,1.0,0.3816155988857939,0.44707520891364905,0.0,1.0,0.0,0.44707520891364905,0.7725481572093708,0.4780603993033791,3.9836495441476254,0.9157081758140351,0.4184123225335057,0.41826568736742775,0.14636827928900956
drift_70pct,offset,103,0.9,Conditional Lite-CF,2.0,1436,42,0,0.0,3,0,1.0,0.44707520891364905,0.4610027855153203,0.0,1.0,0.0,0.4610027855153203,0.799978300143071,0.5428536586422126,3.6284742435890585,0.9723159626304569,0.45489342471950334,0.4532417679637004,0.16452427563161534
drift_70pct,drift,103,0.9,Conditional Lite-CF,2.0,1436,28,0,0.0,5,0,1.0,0.4456824512534819,0.49512534818941506,0.0,1.0,0.0,0.49512534818941506,0.809837374407334,0.5620568775589401,3.3199024950189493,0.9042328182705939,0.41362215012108666,0.4124947741400144,0.1517208261776152
