seed,repeat,features,C,auroc,auprc,brier,threshold,threshold_tie_count
106,6,all_12,0.5,0.9376344086021504,0.9638041368996817,0.08105978253740483,0.9,1
106,7,all_12,0.5,0.9623655913978495,0.9810621154991439,0.07213164287803035,0.8500000000000001,1
106,8,all_12,0.5,0.9215053763440861,0.9496201684857909,0.0808259673518604,0.9,1
106,9,all_12,0.5,0.9489247311827957,0.9722371940722616,0.07691034729586577,0.875,1
106,10,all_12,0.5,0.9435483870967741,0.9695017072702514,0.08279555005784316,0.875,1
107,1,all_12,0.5,0.7702626262626262,0.7555374492323259,0.1937151664114742,0.9,1
107,2,all_12,0.5,0.7923232323232323,0.7679712090531094,0.18573125763948647,0.875,1
107,3,all_12,0.5,0.7825454545454547,0.7637785392952132,0.1885952250778539,0.875,1
107,4,all_12,0.5,0.7999999999999999,0.7706447443686271,0.18390065602868286,0.9,1
107,5,all_12,0.5,0.7967676767676767,0.7786620780236779,0.1858635536237038,0.9,1
107,6,all_12,0.5,0.7897373737373738,0.766566761443165,0.18785206405933266,0.9,1
107,7,all_12,0.5,0.7858585858585858,0.7665882687180401,0.1887981546071666,0.9,2
107,8,all_12,0.5,0.7962020202020202,0.7452592545881923,0.18957455632542913,0.9,1
107,9,all_12,0.5,0.7827878787878788,0.7633141614501473,0.19291132976579067,0.9,1
107,10,all_12,0.5,0.786989898989899,0.7636328761235353,0.18899896863117885,0.875,1
108,1,all_12,0.5,0.8183551198257081,0.8073150890403153,0.17254678005618154,0.9,1
108,2,all_12,0.5,0.8150871459694988,0.7495450317849488,0.17738982039314113,0.9,1
108,3,all_12,0.5,0.8129084967320261,0.7894895144770395,0.17652411888437355,0.9,1
108,4,all_12,0.5,0.812091503267974,0.8032327530273883,0.17581062155969765,0.9,1
108,5,all_12,0.5,0.7916666666666666,0.7637756110734893,0.1869419415848716,0.9,1
108,6,all_12,0.5,0.829248366013072,0.7995450872916445,0.17012682498589113,0.875,1
108,7,all_12,0.5,0.8333333333333334,0.8172132724347642,0.16381968881921996,0.9,1
108,8,all_12,0.5,0.8142701525054467,0.7866416065927934,0.1754557612918701,0.9,1
108,9,all_12,0.5,0.8360566448801743,0.7900096848987457,0.1668145489961221,0.9,1
108,10,all_12,0.5,0.8202614379084967,0.7859486532974478,0.17480894147620316,0.8500000000000001,1
109,1,all_12,0.5,0.8538359788359788,0.9740538539480446,0.13527513405554256,0.675,1
109,2,all_12,0.5,0.792989417989418,0.9617348054094012,0.14562594127059628,0.775,1
109,3,all_12,0.5,0.8657407407407407,0.9781221039781998,0.12548770559052694,0.9,1
