seed,fault_type,view,method,mean_forward_passes,n,correction_opportunities,corrections_retained,recovery_retention,harm_opportunities,harms_realized,negative_transfer_prevention,recovery_selection_rate,selected_accuracy,net_correct_change_per_10000,utility_ratio,utility_per_10000,accuracy,macro_auroc,macro_auprc,nll,brier,ece15_equal_width,ece15_equal_mass,classwise_ece15
101,offset,B8-9_pooled,Frozen Lite-CF (ungated),2.0,256,6,1,0.16666666666666666,4,0,1.0,0.72265625,0.515625,39.0625,1.0,39.0625,0.515625,0.9165216666677113,0.7985425739969273,1.319506295413537,0.6414718849794212,0.258234585702694,0.26142759930224735,0.12129611475134981
101,offset,B8-9_pooled,Prospective gate Lite-CF,2.0,256,6,1,0.16666666666666666,4,0,1.0,0.72265625,0.515625,39.0625,1.0,39.0625,0.515625,0.9165216666677113,0.7985425739969273,1.319506295413537,0.6414718849794212,0.258234585702694,0.26142759930224735,0.12129611475134981
101,offset,B8-9_pooled,All-row multinomial (utility 1:1),2.0,256,6,5,0.8333333333333334,4,0,1.0,0.90625,0.53125,195.3125,1.0,195.3125,0.53125,0.9119250133145999,0.784847644463914,1.3352365576315655,0.6340656164837951,0.2471908870536085,0.25927131886802296,0.11524293387579117
101,offset,B10,Always PDRF,1.0,1180,41,0,0.0,33,0,1.0,0.0,0.47796610169491527,0.0,1.0,0.0,0.47796610169491527,0.8278044993314265,0.5536408059641083,2.8833123793610866,0.841097518197415,0.36349336869394255,0.3629088258058158,0.13912840407198188
101,offset,B10,Always RO-PDRF-Lite,1.0,1180,41,41,1.0,33,33,0.0,1.0,0.4847457627118644,67.79661016949153,1.0,67.79661016949153,0.4847457627118644,0.8253278547542925,0.5596308727716227,2.730949057019455,0.8394618886733426,0.35385997657911206,0.35385997657911217,0.1390924633978856
101,offset,B10,Frozen Lite-CF (ungated),2.0,1180,41,8,0.1951219512195122,33,15,0.5454545454545454,0.8186440677966101,0.47203389830508474,-59.32203389830509,1.0,-59.32203389830509,0.47203389830508474,0.8281593840297236,0.5615440766934706,2.7298303220348257,0.83962920801982,0.3647212936113515,0.36413675072322477,0.13709803792535522
101,offset,B10,Prospective gate Lite-CF,2.0,1180,41,8,0.1951219512195122,33,15,0.5454545454545454,0.8186440677966101,0.47203389830508474,-59.32203389830509,1.0,-59.32203389830509,0.47203389830508474,0.8281593840297236,0.5615440766934706,2.7298303220348257,0.83962920801982,0.3647212936113515,0.36413675072322477,0.13709803792535522
101,offset,B10,All-row multinomial (utility 1:1),2.0,1180,41,36,0.8780487804878049,33,29,0.12121212121212122,0.9677966101694915,0.48389830508474574,59.32203389830509,1.0,59.32203389830509,0.48389830508474574,0.8273498999920209,0.5608764915228954,2.7185963030636215,0.8359613574933122,0.35502309623122785,0.35502309623122796,0.13709213766697217
101,stuck_at,B8-9_pooled,Always PDRF,1.0,256,11,0,0.0,6,0,1.0,0.0,0.515625,0.0,1.0,0.0,0.515625,0.8751258403355041,0.7590408275486009,1.7195386452826031,0.744240904380555,0.27079531980233,0.2730306940524552,0.14809119555900926
101,stuck_at,B8-9_pooled,Always RO-PDRF-Lite,1.0,256,11,11,1.0,6,6,0.0,1.0,0.53515625,195.3125,1.0,195.3125,0.53515625,0.8942482834652603,0.7556144237830075,1.4106327975376398,0.6504789705910726,0.23442604273682627,0.22776836753035404,0.1244699037406755
101,stuck_at,B8-9_pooled,Frozen Lite-CF (ungated),2.0,256,11,1,0.09090909090909091,6,0,1.0,0.6640625,0.51953125,39.0625,1.0,39.0625,0.51953125,0.9046029876888849,0.7686373441639908,1.388714548440665,0.6577219850386946,0.2340818933154144,0.23661670103584317,0.1312952138742719
101,stuck_at,B8-9_pooled,Prospective gate Lite-CF,2.0,256,11,1,0.09090909090909091,6,0,1.0,0.6640625,0.51953125,39.0625,1.0,39.0625,0.51953125,0.9046029876888849,0.7686373441639908,1.388714548440665,0.6577219850386946,0.2340818933154144,0.23661670103584317,0.1312952138742719
101,stuck_at,B8-9_pooled,All-row multinomial (utility 1:1),2.0,256,11,6,0.5454545454545454,6,1,0.8333333333333334,0.87890625,0.53515625,195.3125,1.0,195.3125,0.53515625,0.8969738164065677,0.7580471498661665,1.4023349282235018,0.6502189532266882,0.24476383412892228,0.23422979470824049,0.1237806384002594
101,stuck_at,B10,Always PDRF,1.0,1180,39,0,0.0,25,0,1.0,0.0,0.4652542372881356,0.0,1.0,0.0,0.4652542372881356,0.8182375136267437,0.5588623814032795,2.827639445011191,0.8474823481024115,0.36546059668617936,0.36546059668617936,0.14107463643128368
101,stuck_at,B10,Always RO-PDRF-Lite,1.0,1180,39,39,1.0,25,25,0.0,1.0,0.47711864406779664,118.64406779661017,1.0,118.64406779661017,0.47711864406779664,0.8217450462705301,0.569654095247361,2.560807214082331,0.8063297135408283,0.33073768116862423,0.3307395786282912,0.13256233790250016
101,stuck_at,B10,Frozen Lite-CF (ungated),2.0,1180,39,7,0.1794871794871795,25,4,0.84,0.7805084745762711,0.46779661016949153,25.423728813559322,1.0,25.423728813559322,0.46779661016949153,0.8239421046210372,0.5691031118484712,2.581280823648001,0.8169130721977138,0.34601205390872414,0.3460139513683911,0.13397794029056917
101,stuck_at,B10,Prospective gate Lite-CF,2.0,1180,39,7,0.1794871794871795,25,4,0.84,0.7805084745762711,0.46779661016949153,25.423728813559322,1.0,25.423728813559322,0.46779661016949153,0.8239421046210372,0.5691031118484712,2.581280823648001,0.8169130721977138,0.34601205390872414,0.3460139513683911,0.13397794029056917
101,stuck_at,B10,All-row multinomial (utility 1:1),2.0,1180,39,36,0.9230769230769231,25,18,0.28,0.9584745762711865,0.48050847457627116,152.54237288135593,1.0,152.54237288135593,0.48050847457627116,0.8236579350744369,0.5709755417957733,2.5519530345572146,0.8022403020177841,0.3278256072214112,0.32782750468107824,0.13062763626841883
102,drift,B8-9_pooled,Always PDRF,1.0,256,2,0,0.0,4,0,1.0,0.0,0.64453125,0.0,1.0,0.0,0.64453125,0.9111204540696484,0.7465684748557403,1.1439141537849837,0.5556018476872449,0.19041054535260155,0.18072625801951236,0.1035834757514877
102,drift,B8-9_pooled,Always RO-PDRF-Lite,1.0,256,2,2,1.0,4,4,0.0,1.0,0.63671875,-78.125,1.0,-78.125,0.63671875,0.9084998112701915,0.7514872533992888,1.092710218841158,0.5344551842129943,0.15382772693161112,0.16866153879710924,0.09421586192771185
102,drift,B8-9_pooled,Frozen Lite-CF (ungated),2.0,256,2,1,0.5,4,0,1.0,0.65234375,0.6484375,39.0625,1.0,39.0625,0.6484375,0.9123049780004844,0.7514262112732992,1.099368082526847,0.5353588920288508,0.18239405641994938,0.17236951257795977,0.10098079316409116
102,drift,B8-9_pooled,Prospective gate Lite-CF,2.0,256,2,1,0.5,4,0,1.0,0.65234375,0.6484375,39.0625,1.0,39.0625,0.6484375,0.9123049780004844,0.7514262112732992,1.099368082526847,0.5353588920288508,0.18239405641994938,0.17236951257795977,0.10098079316409116
102,drift,B8-9_pooled,All-row multinomial (utility 1:1),2.0,256,2,2,1.0,4,0,1.0,0.05859375,0.65234375,78.125,1.0,78.125,0.65234375,0.9122876092923257,0.7488812460090092,1.1388014550158676,0.5502854936002279,0.18013270202426812,0.18049721533754504,0.10177245334963726
102,drift,B10,Always PDRF,1.0,1180,3,0,0.0,2,0,1.0,0.0,0.5135593220338983,0.0,1.0,0.0,0.5135593220338983,0.8200794354012194,0.5846401954368955,2.518865395859593,0.8145875780489104,0.3585651450815974,0.3585651450815974,0.13745560671407447
