seed,fault_type,method,extra_passes,extra_passes_per_retained_correction,extra_passes_per_net_correction,number_needed_to_route_per_retained_correction,number_needed_to_route_per_net_correction
105,offset,All-row multinomial (utility 1:1),1436.0,46.32258064516129,119.66666666666667,45.54838709677419,117.66666666666667
105,stuck_at,Always PDRF,0.0,inf,inf,inf,inf
105,stuck_at,Always RO-PDRF-Lite,0.0,0.0,0.0,31.91111111111111,42.23529411764706
105,stuck_at,Frozen Lite-CF (ungated),1436.0,1436.0,1436.0,1035.0,1035.0
105,stuck_at,Prospective gate Lite-CF,0.0,inf,inf,inf,inf
105,stuck_at,All-row multinomial (safety),1436.0,inf,inf,inf,inf
105,stuck_at,All-row multinomial (utility 1:1),1436.0,37.78947368421053,46.32258064516129,37.026315789473685,45.38709677419355
106,drift,Always PDRF,0.0,inf,inf,inf,inf
106,drift,Always RO-PDRF-Lite,0.0,0.0,0.0,68.38095238095238,239.33333333333334
106,drift,Frozen Lite-CF (ungated),1436.0,205.14285714285714,239.33333333333334,177.57142857142858,207.16666666666666
106,drift,Prospective gate Lite-CF,1436.0,205.14285714285714,239.33333333333334,177.57142857142858,207.16666666666666
106,drift,All-row multinomial (safety),1436.0,inf,inf,inf,inf
106,drift,All-row multinomial (utility 1:1),1436.0,119.66666666666667,287.2,42.916666666666664,103.0
106,gaussian,Always PDRF,0.0,inf,inf,inf,inf
106,gaussian,Always RO-PDRF-Lite,0.0,0.0,0.0,37.78947368421053,57.44
106,gaussian,Frozen Lite-CF (ungated),1436.0,102.57142857142857,102.57142857142857,86.57142857142857,86.57142857142857
106,gaussian,Prospective gate Lite-CF,1436.0,102.57142857142857,102.57142857142857,86.57142857142857,86.57142857142857
106,gaussian,All-row multinomial (safety),1436.0,inf,inf,inf,inf
106,gaussian,All-row multinomial (utility 1:1),1436.0,62.43478260869565,71.8,22.130434782608692,25.449999999999996
106,offset,Always PDRF,0.0,inf,inf,inf,inf
106,offset,Always RO-PDRF-Lite,0.0,0.0,0.0,65.27272727272727,119.66666666666667
106,offset,Frozen Lite-CF (ungated),1436.0,718.0,1436.0,622.0,1244.0
106,offset,Prospective gate Lite-CF,1436.0,718.0,1436.0,622.0,1244.0
106,offset,All-row multinomial (safety),1436.0,inf,inf,inf,inf
106,offset,All-row multinomial (utility 1:1),1436.0,159.55555555555554,359.0,59.77777777777778,134.5
106,stuck_at,Always PDRF,0.0,inf,inf,inf,inf
106,stuck_at,Always RO-PDRF-Lite,0.0,0.0,inf,68.38095238095238,inf
106,stuck_at,Frozen Lite-CF (ungated),1436.0,inf,inf,inf,inf
106,stuck_at,Prospective gate Lite-CF,1436.0,inf,inf,inf,inf
106,stuck_at,All-row multinomial (safety),1436.0,inf,inf,inf,inf
106,stuck_at,All-row multinomial (utility 1:1),1436.0,478.6666666666667,inf,192.66666666666666,inf
107,drift,Always PDRF,0.0,inf,inf,inf,inf
107,drift,Always RO-PDRF-Lite,0.0,0.0,0.0,44.875,65.27272727272727
107,drift,Frozen Lite-CF (ungated),1436.0,287.2,287.2,240.6,240.6
107,drift,Prospective gate Lite-CF,0.0,inf,inf,inf,inf
107,drift,All-row multinomial (safety),1436.0,inf,inf,inf,inf
107,drift,All-row multinomial (utility 1:1),1436.0,44.875,65.27272727272727,44.875,65.27272727272727
107,gaussian,Always PDRF,0.0,inf,inf,inf,inf
107,gaussian,Always RO-PDRF-Lite,0.0,0.0,0.0,25.642857142857142,34.19047619047619
107,gaussian,Frozen Lite-CF (ungated),1436.0,89.75,119.66666666666667,74.8125,99.75
107,gaussian,Prospective gate Lite-CF,0.0,inf,inf,inf,inf
107,gaussian,All-row multinomial (safety),1436.0,718.0,inf,55.5,inf
107,gaussian,All-row multinomial (utility 1:1),1436.0,25.642857142857142,34.19047619047619,25.625,34.166666666666664
107,offset,Always PDRF,0.0,inf,inf,inf,inf
107,offset,Always RO-PDRF-Lite,0.0,0.0,0.0,37.78947368421053,71.8
107,offset,Frozen Lite-CF (ungated),1436.0,239.33333333333334,239.33333333333334,202.16666666666666,202.16666666666666
107,offset,Prospective gate Lite-CF,0.0,inf,inf,inf,inf
107,offset,All-row multinomial (safety),1436.0,inf,inf,inf,inf
107,offset,All-row multinomial (utility 1:1),1436.0,37.78947368421053,71.8,37.76315789473684,71.75
107,stuck_at,Always PDRF,0.0,inf,inf,inf,inf
107,stuck_at,Always RO-PDRF-Lite,0.0,0.0,0.0,16.697674418604652,20.514285714285716
107,stuck_at,Frozen Lite-CF (ungated),1436.0,95.73333333333333,110.46153846153847,72.53333333333333,83.6923076923077
107,stuck_at,Prospective gate Lite-CF,0.0,inf,inf,inf,inf
107,stuck_at,All-row multinomial (safety),1436.0,718.0,1436.0,73.5,147.0
107,stuck_at,All-row multinomial (utility 1:1),1436.0,16.697674418604652,20.514285714285716,16.697674418604652,20.514285714285716
108,drift,Always PDRF,0.0,inf,inf,inf,inf
108,drift,Always RO-PDRF-Lite,0.0,0.0,0.0,84.47058823529412,239.33333333333334
108,drift,Frozen Lite-CF (ungated),1436.0,inf,inf,inf,inf
108,drift,Prospective gate Lite-CF,0.0,inf,inf,inf,inf
108,drift,All-row multinomial (safety),1436.0,inf,inf,inf,inf
108,drift,All-row multinomial (utility 1:1),1436.0,130.54545454545453,1436.0,18.181818181818183,200.0
108,gaussian,Always PDRF,0.0,inf,inf,inf,inf
108,gaussian,Always RO-PDRF-Lite,0.0,0.0,0.0,36.82051282051282,95.73333333333333
108,gaussian,Frozen Lite-CF (ungated),1436.0,inf,inf,inf,inf
108,gaussian,Prospective gate Lite-CF,0.0,inf,inf,inf,inf
108,gaussian,All-row multinomial (safety),1436.0,inf,inf,inf,inf
108,gaussian,All-row multinomial (utility 1:1),1436.0,84.47058823529412,1436.0,11.705882352941174,198.99999999999997
108,offset,Always PDRF,0.0,inf,inf,inf,inf
108,offset,Always RO-PDRF-Lite,0.0,0.0,0.0,68.38095238095238,205.14285714285714
108,offset,Frozen Lite-CF (ungated),1436.0,inf,inf,inf,inf
108,offset,Prospective gate Lite-CF,0.0,inf,inf,inf,inf
108,offset,All-row multinomial (safety),1436.0,inf,inf,inf,inf
108,offset,All-row multinomial (utility 1:1),1436.0,95.73333333333333,359.0,14.866666666666665,55.74999999999999
108,stuck_at,Always PDRF,0.0,inf,inf,inf,inf
108,stuck_at,Always RO-PDRF-Lite,0.0,0.0,0.0,57.44,179.5
108,stuck_at,Frozen Lite-CF (ungated),1436.0,inf,inf,inf,inf
108,stuck_at,Prospective gate Lite-CF,0.0,inf,inf,inf,inf
108,stuck_at,All-row multinomial (safety),1436.0,inf,inf,inf,inf
108,stuck_at,All-row multinomial (utility 1:1),1436.0,68.38095238095238,287.2,10.333333333333334,43.4
109,drift,Always PDRF,0.0,inf,inf,inf,inf
109,drift,Always RO-PDRF-Lite,0.0,0.0,0.0,33.395348837209305,68.38095238095238
109,drift,Frozen Lite-CF (ungated),1436.0,inf,inf,inf,inf
109,drift,Prospective gate Lite-CF,0.0,inf,inf,inf,inf
109,drift,All-row multinomial (safety),1436.0,718.0,1436.0,40.0,80.0
109,drift,All-row multinomial (utility 1:1),1436.0,51.285714285714285,110.46153846153847,49.285714285714285,106.15384615384616
109,gaussian,Always PDRF,0.0,inf,inf,inf,inf
109,gaussian,Always RO-PDRF-Lite,0.0,0.0,0.0,29.306122448979593,65.27272727272727
109,gaussian,Frozen Lite-CF (ungated),1436.0,inf,inf,inf,inf
109,gaussian,Prospective gate Lite-CF,0.0,inf,inf,inf,inf
109,gaussian,All-row multinomial (safety),1436.0,179.5,287.2,15.875,25.4
109,gaussian,All-row multinomial (utility 1:1),1436.0,31.91111111111111,51.285714285714285,30.955555555555556,49.75
109,offset,Always PDRF,0.0,inf,inf,inf,inf
109,offset,Always RO-PDRF-Lite,0.0,0.0,0.0,29.306122448979593,49.51724137931034
109,offset,Frozen Lite-CF (ungated),1436.0,inf,inf,inf,inf
109,offset,Prospective gate Lite-CF,0.0,inf,inf,inf,inf
109,offset,All-row multinomial (safety),1436.0,718.0,718.0,29.0,29.0
109,offset,All-row multinomial (utility 1:1),1436.0,46.32258064516129,89.75,44.25806451612903,85.75
109,stuck_at,Always PDRF,0.0,inf,inf,inf,inf
109,stuck_at,Always RO-PDRF-Lite,0.0,0.0,0.0,39.888888888888886,62.43478260869565
109,stuck_at,Frozen Lite-CF (ungated),1436.0,inf,inf,inf,inf
109,stuck_at,Prospective gate Lite-CF,0.0,inf,inf,inf,inf
109,stuck_at,All-row multinomial (safety),1436.0,1436.0,1436.0,64.0,64.0
109,stuck_at,All-row multinomial (utility 1:1),1436.0,55.23076923076923,71.8,52.30769230769231,68.0
110,drift,Always PDRF,0.0,inf,inf,inf,inf
110,drift,Always RO-PDRF-Lite,0.0,0.0,0.0,84.47058823529412,110.46153846153847
110,drift,Frozen Lite-CF (ungated),1436.0,718.0,718.0,106.0,106.0
110,drift,Prospective gate Lite-CF,1436.0,718.0,718.0,106.0,106.0
110,drift,All-row multinomial (safety),1436.0,1436.0,1436.0,14.0,14.0
110,drift,All-row multinomial (utility 1:1),1436.0,130.54545454545453,159.55555555555554,125.36363636363636,153.22222222222223
110,gaussian,Always PDRF,0.0,inf,inf,inf,inf
110,gaussian,Always RO-PDRF-Lite,0.0,0.0,0.0,34.19047619047619,57.44
110,gaussian,Frozen Lite-CF (ungated),1436.0,119.66666666666667,179.5,28.583333333333332,42.875
110,gaussian,Prospective gate Lite-CF,1436.0,119.66666666666667,179.5,28.583333333333332,42.875
110,gaussian,All-row multinomial (safety),1436.0,287.2,359.0,14.2,17.75
110,gaussian,All-row multinomial (utility 1:1),1436.0,46.32258064516129,79.77777777777777,43.58064516129032,75.05555555555556
110,offset,Always PDRF,0.0,inf,inf,inf,inf
110,offset,Always RO-PDRF-Lite,0.0,0.0,0.0,44.875,62.43478260869565
110,offset,Frozen Lite-CF (ungated),1436.0,478.6666666666667,478.6666666666667,72.0,72.0
110,offset,Prospective gate Lite-CF,1436.0,478.6666666666667,478.6666666666667,72.0,72.0
110,offset,All-row multinomial (safety),1436.0,1436.0,1436.0,13.0,13.0
110,offset,All-row multinomial (utility 1:1),1436.0,79.77777777777777,95.73333333333333,75.61111111111111,90.73333333333333
110,stuck_at,Always PDRF,0.0,inf,inf,inf,inf
110,stuck_at,Always RO-PDRF-Lite,0.0,0.0,0.0,44.875,68.38095238095238
110,stuck_at,Frozen Lite-CF (ungated),1436.0,239.33333333333334,287.2,39.5,47.4
110,stuck_at,Prospective gate Lite-CF,1436.0,239.33333333333334,287.2,39.5,47.4
110,stuck_at,All-row multinomial (safety),1436.0,1436.0,inf,22.0,inf
110,stuck_at,All-row multinomial (utility 1:1),1436.0,53.18518518518518,79.77777777777777,50.925925925925924,76.38888888888889
