seed,fault_type,method,subset,n,accuracy,macro_auroc,macro_auprc,nll,brier,ece15_equal_width,ece15_equal_mass,classwise_ece15
101,stuck_at,Lite-CF,endpoint_class_agreement,1240,0.5241935483870968,0.8503929355799684,0.614757612153238,2.200223645067046,0.7470778445435703,0.31512315095791016,0.31512552311430425,0.12115257554022717
101,stuck_at,Lite-CF,endpoint_class_disagreement,196,0.17857142857142858,0.6560472178816166,0.3373252837537252,3.4344131450118103,1.050804725148882,0.3952371485368977,0.39523714853689773,0.19985173681484983
102,drift,PDRF,endpoint_class_agreement,1409,0.5429382540809085,0.8368543877827714,0.6060737164146318,2.2640731405536285,0.7639187873700212,0.3196062544485024,0.313322756472788,0.12620052626636233
102,drift,PDRF,endpoint_class_disagreement,27,0.2222222222222222,0.699724855617304,0.5186318215483959,2.7786716830819667,1.0031793963440268,0.28465968990601226,0.2998973150695866,0.19357126370625885
102,drift,RO-PDRF-Lite,endpoint_class_agreement,1409,0.5429382540809085,0.8436350819124905,0.6129759779691295,2.0205579983652853,0.7277453645779265,0.29546921449132546,0.29284339482386507,0.11747016183476783
102,drift,RO-PDRF-Lite,endpoint_class_disagreement,27,0.18518518518518517,0.680896988848934,0.4951570264142135,2.6410078747473253,0.9684697522047405,0.3388279692202886,0.43261026099484473,0.18995495899751016
102,drift,Lite-CF,endpoint_class_agreement,1409,0.5429382540809085,0.8436866383248091,0.6127688030107988,2.0450130070336496,0.7366432216375263,0.3048460444449806,0.29856254646926633,0.11959385944289092
102,drift,Lite-CF,endpoint_class_disagreement,27,0.2962962962962963,0.7321687370600415,0.5724308860306482,2.7289171293991084,0.9554553133367993,0.2331241361048528,0.2754728070479363,0.1909824236509028
102,gaussian,PDRF,endpoint_class_agreement,1339,0.4936519790888723,0.7914769631717055,0.5096820765120875,2.962811276566618,0.8234258686438503,0.3409447232825863,0.3409447232825864,0.12625266405423632
102,gaussian,PDRF,endpoint_class_disagreement,97,0.16494845360824742,0.6368200876953737,0.30770407282406426,3.045306378353756,0.9708579525361518,0.3572253388129872,0.35678980802473403,0.1692268702066234
102,gaussian,RO-PDRF-Lite,endpoint_class_agreement,1339,0.4936519790888723,0.805812081278597,0.5303474446487874,2.4645407804470114,0.7728315596315425,0.3196386273125813,0.3196386273125814,0.11382986615040308
102,gaussian,RO-PDRF-Lite,endpoint_class_disagreement,97,0.38144329896907214,0.6497540000343204,0.31297574149983803,2.5585827241878194,0.8299710192978476,0.1288937405642461,0.17825012216249295,0.1318266619052337
102,gaussian,Lite-CF,endpoint_class_agreement,1339,0.4936519790888723,0.8016743269462133,0.5254861245613416,2.5849572303432224,0.7950723161219362,0.33512958529476305,0.33512958529476305,0.11994727973841751
102,gaussian,Lite-CF,endpoint_class_disagreement,97,0.18556701030927836,0.6363185950256888,0.30592391713476813,3.0445800498781237,0.9612174617637675,0.3377569543774272,0.33764332709355555,0.16718154990091247
102,offset,PDRF,endpoint_class_agreement,1410,0.5184397163120568,0.8268254469258446,0.5880336599001633,2.4303961705328425,0.8090009789564594,0.34939198279348305,0.3430483632665358,0.13424670605697497
102,offset,PDRF,endpoint_class_disagreement,26,0.11538461538461539,0.6764029790660225,0.4303095851373715,2.622832598577314,0.9580340410027051,0.3665615327450332,0.40514068366807593,0.21893042375744018
102,offset,RO-PDRF-Lite,endpoint_class_agreement,1410,0.5184397163120568,0.8334152634047999,0.5949110045578471,2.1818988687841396,0.7773706540963499,0.32824416217678837,0.327035977762724,0.12663225989467847
102,offset,RO-PDRF-Lite,endpoint_class_disagreement,26,0.38461538461538464,0.6564811939268461,0.3613996613925104,2.4445866624510733,0.9014598981737436,0.1813242684143384,0.3126929577841125,0.21433809722633038
102,offset,Lite-CF,endpoint_class_agreement,1410,0.5184397163120568,0.8332610196698446,0.59466412095919,2.2018517241049316,0.7844566347559317,0.33571863560591464,0.3307220496074549,0.12787128449559665
102,offset,Lite-CF,endpoint_class_disagreement,26,0.15384615384615385,0.6900140901771336,0.45530958513737146,2.607350005799041,0.9426972671222427,0.3292171723019466,0.397331739364436,0.2238138326627347
102,stuck_at,PDRF,endpoint_class_agreement,1399,0.5260900643316655,0.8253999057589146,0.5883329608907166,2.039959387401141,0.7212144057113704,0.2677537121648025,0.2630982281001816,0.11108617550707602
102,stuck_at,PDRF,endpoint_class_disagreement,37,0.05405405405405406,0.5940429821074982,0.36475715786634955,2.5374217849824032,0.9352885512147648,0.4616119857080078,0.4538994283466696,0.19356128261412886
102,stuck_at,RO-PDRF-Lite,endpoint_class_agreement,1399,0.5260900643316655,0.8320751202487134,0.59306274111264,1.8981989977241582,0.7018039337490826,0.25737511574574357,0.25627659702537453,0.10742247401979395
102,stuck_at,RO-PDRF-Lite,endpoint_class_disagreement,37,0.43243243243243246,0.6300399600399601,0.4367909261506586,2.3379298964151904,0.8459960527731043,0.14874777022366556,0.2334259478487017,0.19576589796910282
102,stuck_at,Lite-CF,endpoint_class_agreement,1399,0.5260900643316655,0.8295107781616037,0.5915046746665117,1.9407392411422715,0.7115561869595614,0.26440447550329005,0.2597489914386693,0.10902777085546424
102,stuck_at,Lite-CF,endpoint_class_disagreement,37,0.08108108108108109,0.5970230128294644,0.37617140777684005,2.532102880481938,0.9300066611273973,0.4367619206546075,0.4290493632932695,0.19722928589560462
103,drift,PDRF,endpoint_class_agreement,1386,0.5093795093795094,0.8065917609796086,0.5569453438507196,3.5086764981163627,0.9037578783043895,0.41528491814729884,0.41036420781262495,0.15035220788185483
103,drift,PDRF,endpoint_class_disagreement,50,0.1,0.6803832033990886,0.4958379238729252,2.1719809604860507,0.9327295667450848,0.4484541309400955,0.4484541309400955,0.21557442319663891
103,drift,RO-PDRF-Lite,endpoint_class_agreement,1386,0.5093795093795094,0.8113559311487237,0.5686737942207959,3.1708559955464697,0.875484923033038,0.40140917635064455,0.4011955934150212,0.14430434746888396
103,drift,RO-PDRF-Lite,endpoint_class_disagreement,50,0.56,0.7474574498187816,0.5364684864107526,1.8211731977490873,0.6673349249784111,0.189551420750248,0.3095997193104524,0.15995936730621865
103,drift,Lite-CF,endpoint_class_agreement,1386,0.5093795093795094,0.8126443256887402,0.5686659619972144,3.2346963844393413,0.8974575657780193,0.41268388044354976,0.40776317010887575,0.14940948661188994
103,drift,Lite-CF,endpoint_class_disagreement,50,0.1,0.6803832033990886,0.4958379238729252,2.1719809604860507,0.9327295667450848,0.4484541309400955,0.4484541309400955,0.21557442319663891
103,gaussian,PDRF,endpoint_class_agreement,1325,0.47320754716981134,0.7775953263508426,0.48639031927203424,4.217844585059043,0.9024873835909915,0.41491510963556477,0.4142920500525194,0.1441913691129205
103,gaussian,PDRF,endpoint_class_disagreement,111,0.13513513513513514,0.6132455692252323,0.24301901938288825,3.520472186892251,1.0587655280899126,0.43923639128668657,0.4395597719622622,0.1841797111401328
103,gaussian,RO-PDRF-Lite,endpoint_class_agreement,1325,0.47320754716981134,0.7881934083003777,0.5017688660599776,3.561236702849793,0.8704247915973992,0.4005140361082802,0.4005140361082802,0.1378306765289907
103,gaussian,RO-PDRF-Lite,endpoint_class_disagreement,111,0.44144144144144143,0.6942864231237068,0.3958826737593064,2.678268504166076,0.8162727135904286,0.12867961409440445,0.13729689276722828,0.13928672799988126
103,gaussian,Lite-CF,endpoint_class_agreement,1325,0.47320754716981134,0.7829457238890849,0.494451260368627,3.8973188295188157,0.9006803865984123,0.41443814474788954,0.41381508516484405,0.1440323808170287
103,gaussian,Lite-CF,endpoint_class_disagreement,111,0.13513513513513514,0.6132455692252323,0.24301901938288825,3.520472186892251,1.0587655280899126,0.43923639128668657,0.4395597719622622,0.1841797111401328
103,offset,PDRF,endpoint_class_agreement,1373,0.47997086671522216,0.7926033792979045,0.5347036210659737,3.924777594523367,0.9714632608844608,0.45249378978575683,0.4479119621611185,0.16300428256365382
103,offset,PDRF,endpoint_class_disagreement,63,0.047619047619047616,0.7400374851311438,0.49725564144556883,2.413182272385237,1.0014403915291614,0.5478808916562655,0.5478808916562655,0.218634220279281
103,offset,RO-PDRF-Lite,endpoint_class_agreement,1373,0.47997086671522216,0.8015065667160535,0.5480320373548079,3.4048329662792387,0.9254221217360477,0.4345348072093468,0.4341299435277138,0.15305852579361837
103,offset,RO-PDRF-Lite,endpoint_class_disagreement,63,0.6666666666666666,0.7885755059381628,0.5414396743410503,1.8403022339535329,0.5992504191428215,0.1379384304019321,0.17250274008805555,0.1536698161037919
103,offset,Lite-CF,endpoint_class_agreement,1373,0.47997086671522216,0.8034359065235805,0.5490250339683856,3.5185863226655893,0.9637071270341213,0.4493667891640728,0.4447849615394346,0.16191290413519013
103,offset,Lite-CF,endpoint_class_disagreement,63,0.047619047619047616,0.7400374851311438,0.49725564144556883,2.413182272385237,1.0014403915291614,0.5478808916562655,0.5478808916562655,0.218634220279281
103,stuck_at,PDRF,endpoint_class_agreement,1357,0.49447310243183495,0.8005943824665472,0.5469075051296965,3.101968017798052,0.8867774594104251,0.3967877898814743,0.3967877898814742,0.14605344011854635
103,stuck_at,PDRF,endpoint_class_disagreement,79,0.16455696202531644,0.6975155400504441,0.4452649964853845,2.3170416014249486,0.9690230051476886,0.40444228617535294,0.42227497239239575,0.18590104877018443
103,stuck_at,RO-PDRF-Lite,endpoint_class_agreement,1357,0.49447310243183495,0.8104961068382072,0.5594614231060072,2.6995344296043338,0.8334056138271881,0.3788370233524405,0.37883702335244046,0.13501488007027077
103,stuck_at,RO-PDRF-Lite,endpoint_class_disagreement,79,0.4430379746835443,0.7307158835873566,0.47418455588975794,1.9616938345631203,0.7622405977453467,0.1385757352117743,0.21034559989037493,0.1466198791919391
103,stuck_at,Lite-CF,endpoint_class_agreement,1357,0.49447310243183495,0.8096752200539434,0.5565115385596292,2.8645372624506575,0.87934396550537,0.3934214091759566,0.3934214091759564,0.14479582012220044
103,stuck_at,Lite-CF,endpoint_class_disagreement,79,0.16455696202531644,0.6975155400504441,0.4452649964853845,2.3170416014249486,0.9690230051476886,0.40444228617535294,0.42227497239239575,0.18590104877018443
104,drift,PDRF,endpoint_class_agreement,1333,0.5386346586646662,0.8294073326173291,0.5778499969737957,2.7224335163885636,0.7885261376894184,0.3456596518688592,0.3407383658050186,0.13178560447881074
104,drift,PDRF,endpoint_class_disagreement,103,0.17475728155339806,0.7091051288049829,0.3906579391840883,3.163050137060191,1.0401443601796114,0.37822883339836194,0.378228833398362,0.19686959727802936
104,drift,RO-PDRF-Lite,endpoint_class_agreement,1333,0.5386346586646662,0.8270930355415512,0.5805804813825634,2.647136450017773,0.7928476503466249,0.3499589480153092,0.3499308776969808,0.1309720761260118
104,drift,RO-PDRF-Lite,endpoint_class_disagreement,103,0.23300970873786409,0.723064148564409,0.41031157438464305,3.085988986377067,1.026230322576243,0.3420436823989617,0.33152346777600195,0.19741577291328136
104,drift,Lite-CF,endpoint_class_agreement,1333,0.5386346586646662,0.8295437128947208,0.5827855865282344,2.64318547056755,0.7855481407253251,0.3427157639380809,0.33779447787424044,0.13039826153965592
