seed,fault_type,batch,method,mean_forward_passes,n,correction_opportunities,corrections_retained,recovery_retention,harm_opportunities,harms_realized,negative_transfer_prevention,recovery_selection_rate,selected_accuracy,net_correct_change_per_10000,utility_ratio,utility_per_10000,accuracy,macro_auroc,macro_auprc,nll,brier,ece15_equal_width,ece15_equal_mass,classwise_ece15
109,drift,10,All-row multinomial (utility 1:1),2.0,1180,29,21,0.7241379310344828,21,14,0.33333333333333337,0.964406779661017,0.5152542372881356,59.32203389830509,1.0,59.32203389830509,0.5152542372881356,0.8264108019889232,0.5751531310732996,2.9114043567698773,0.7995317998525883,0.3497630047165133,0.34410503734715436,0.13608496180076235
109,gaussian,8,Always PDRF,1.0,91,4,0,0.0,0,0,1.0,0.0,0.5384615384615384,0.0,1.0,0.0,0.5384615384615384,0.8425531519834282,0.5717282249182548,2.098544210632726,0.6996547228344313,0.2821984365719664,0.27701673813833205,0.13889124338244796
109,gaussian,8,Always RO-PDRF-Lite,1.0,91,4,4,1.0,0,0,1.0,1.0,0.5824175824175825,439.56043956043953,1.0,439.56043956043953,0.5824175824175825,0.8562212390675482,0.6121830567276003,1.678670906958713,0.5884711980504087,0.24403660529160648,0.2487550721896006,0.11691546773784278
109,gaussian,8,Frozen Lite-CF (ungated),2.0,91,4,0,0.0,0,0,1.0,0.0,0.5384615384615384,0.0,1.0,0.0,0.5384615384615384,0.8425531519834282,0.5717282249182548,2.098544210632726,0.6996547228344313,0.2821984365719664,0.27701673813833205,0.13889124338244796
109,gaussian,8,Prospective gate Lite-CF,1.0,91,4,0,0.0,0,0,1.0,0.0,0.5384615384615384,0.0,1.0,0.0,0.5384615384615384,0.8425531519834282,0.5717282249182548,2.098544210632726,0.6996547228344313,0.2821984365719664,0.27701673813833205,0.13889124338244796
109,gaussian,8,All-row multinomial (utility 1:1),2.0,91,4,4,1.0,0,0,1.0,0.978021978021978,0.5824175824175825,439.56043956043953,1.0,439.56043956043953,0.5824175824175825,0.8565619974648627,0.6131727368973648,1.6867524766505126,0.5948671364614841,0.2307868400406919,0.24592813738262315,0.11562516966319157
109,gaussian,9,Always PDRF,1.0,165,5,0,0.0,3,0,1.0,0.0,0.5878787878787879,0.0,1.0,0.0,0.5878787878787879,0.8447138546244491,0.6184718677700886,2.747569919995014,0.6610652701663438,0.24225221960396032,0.2536558752885285,0.11771984417424076
109,gaussian,9,Always RO-PDRF-Lite,1.0,165,5,5,1.0,3,3,0.0,1.0,0.6,121.21212121212122,1.0,121.21212121212122,0.6,0.8657810819019064,0.6595729530791835,2.2760126903691282,0.6252731820866841,0.2316668843797539,0.23968078301468407,0.11725448609010758
109,gaussian,9,Frozen Lite-CF (ungated),2.0,165,5,0,0.0,3,0,1.0,0.0,0.5878787878787879,0.0,1.0,0.0,0.5878787878787879,0.8447138546244491,0.6184718677700886,2.747569919995014,0.6610652701663438,0.24225221960396032,0.2536558752885285,0.11771984417424076
109,gaussian,9,Prospective gate Lite-CF,1.0,165,5,0,0.0,3,0,1.0,0.0,0.5878787878787879,0.0,1.0,0.0,0.5878787878787879,0.8447138546244491,0.6184718677700886,2.747569919995014,0.6610652701663438,0.24225221960396032,0.2536558752885285,0.11771984417424076
109,gaussian,9,All-row multinomial (utility 1:1),2.0,165,5,5,1.0,3,2,0.33333333333333337,0.9696969696969697,0.6060606060606061,181.8181818181818,1.0,181.8181818181818,0.6060606060606061,0.8647497624338573,0.6578197503842164,2.2978816918352916,0.6259833175546747,0.23113037181714818,0.23514565045762556,0.11633788564116299
109,gaussian,10,Always PDRF,1.0,1180,40,0,0.0,24,0,1.0,0.0,0.4728813559322034,0.0,1.0,0.0,0.4728813559322034,0.7828838742804974,0.4831440830638545,3.4775551055257847,0.8699140510253074,0.37642999342364414,0.37377429327713263,0.13950753755437031
109,gaussian,10,Always RO-PDRF-Lite,1.0,1180,40,40,1.0,24,24,0.0,1.0,0.4864406779661017,135.59322033898306,1.0,135.59322033898306,0.4864406779661017,0.7965753452960719,0.5001741908762408,3.0918803775500883,0.8290443311146513,0.3627856466303889,0.35924184140911253,0.1285837467515496
109,gaussian,10,Frozen Lite-CF (ungated),2.0,1180,40,0,0.0,24,0,1.0,0.0,0.4728813559322034,0.0,1.0,0.0,0.4728813559322034,0.7828838742804974,0.4831440830638545,3.4775551055257847,0.8699140510253074,0.37642999342364414,0.37377429327713263,0.13950753755437031
109,gaussian,10,Prospective gate Lite-CF,1.0,1180,40,0,0.0,24,0,1.0,0.0,0.4728813559322034,0.0,1.0,0.0,0.4728813559322034,0.7828838742804974,0.4831440830638545,3.4775551055257847,0.8699140510253074,0.37642999342364414,0.37377429327713263,0.13950753755437031
109,gaussian,10,All-row multinomial (utility 1:1),2.0,1180,40,36,0.9,24,15,0.375,0.9694915254237289,0.4906779661016949,177.96610169491527,1.0,177.96610169491527,0.4906779661016949,0.7964153315841438,0.5002801458880448,3.1020511719427146,0.8298294316149957,0.36065640515169173,0.35711259993041533,0.12980164503896888
