seed,fault_type,prevalence,stream,variant,n,recovery_opportunities,recovery_retained,recovery_retention,negative_transfer_opportunities,negative_transfer_remaining,negative_transfer_rate,negative_transfer_prevention,full_selection_rate,selected_accuracy,no_fault_recovery_selection_rate,harmful_switch_rate
103,drift,0.4,full_mixed_stream,Balanced-CF,4364,50,20,0.4,52,12,0.23076923076923078,0.7692307692307692,0.9145279560036663,0.557057745187901,,
103,drift,0.4,full_mixed_stream,Safe-CF,4364,50,8,0.16,52,2,0.038461538461538464,0.9615384615384616,0.8100366636113657,0.5565994500458296,,
103,stuck_at,0.4,full_mixed_stream,Balanced-CF,4364,63,20,0.31746031746031744,52,13,0.25,0.75,0.9074243813015582,0.5506416131989,,
103,stuck_at,0.4,full_mixed_stream,Safe-CF,4364,63,10,0.15873015873015872,52,2,0.038461538461538464,0.9615384615384616,0.7907882676443629,0.5508707607699358,,
103,gaussian,0.7,full_mixed_stream,Balanced-CF,4364,91,47,0.5164835164835165,63,23,0.36507936507936506,0.6349206349206349,0.8996333638863429,0.5153528872593951,,
103,gaussian,0.7,full_mixed_stream,Safe-CF,4364,91,21,0.23076923076923078,63,7,0.1111111111111111,0.8888888888888888,0.7836846929422548,0.5130614115490376,,
103,offset,0.7,full_mixed_stream,Balanced-CF,4364,61,39,0.639344262295082,37,8,0.21621621621621623,0.7837837837837838,0.9372135655362053,0.5183318056828597,,
103,offset,0.7,full_mixed_stream,Safe-CF,4364,61,18,0.29508196721311475,37,2,0.05405405405405406,0.9459459459459459,0.8517415215398717,0.5148945921173236,,
103,drift,0.7,full_mixed_stream,Balanced-CF,4364,55,20,0.36363636363636365,36,8,0.2222222222222222,0.7777777777777778,0.9337763519706691,0.5339138405132906,,
103,drift,0.7,full_mixed_stream,Safe-CF,4364,55,8,0.14545454545454545,36,2,0.05555555555555555,0.9444444444444444,0.8489917506874427,0.532538955087076,,
103,stuck_at,0.7,full_mixed_stream,Balanced-CF,4364,74,19,0.25675675675675674,40,11,0.275,0.725,0.9204857928505957,0.5229147571035747,,
103,stuck_at,0.7,full_mixed_stream,Safe-CF,4364,74,10,0.13513513513513514,40,2,0.05,0.95,0.8123281393217232,0.5229147571035747,,
103,none,0.0,clean_no_imposed_fault,Balanced-CF,4364,44,20,0.45454545454545453,69,16,0.2318840579710145,0.7681159420289855,0.8893217231897342,0.5785976168652612,0.8893217231897342,0.0036663611365719525
103,none,0.0,clean_no_imposed_fault,Safe-CF,4364,44,8,0.18181818181818182,69,2,0.028985507246376812,0.9710144927536232,0.7600824931255729,0.5790559120073328,0.7600824931255729,0.00045829514207149406
104,gaussian,0.1,full_mixed_stream,Balanced-CF,4364,40,10,0.25,36,7,0.19444444444444445,0.8055555555555556,0.8437213565536206,0.5708065994500459,,
104,gaussian,0.1,full_mixed_stream,Safe-CF,4364,40,7,0.175,36,1,0.027777777777777776,0.9722222222222222,0.7032538955087076,0.571494042163153,,
104,offset,0.1,full_mixed_stream,Balanced-CF,4364,33,4,0.12121212121212122,39,5,0.1282051282051282,0.8717948717948718,0.842346471127406,0.5730980751604033,,
104,offset,0.1,full_mixed_stream,Safe-CF,4364,33,2,0.06060606060606061,39,1,0.02564102564102564,0.9743589743589743,0.7025664527956004,0.5735563703024747,,
104,drift,0.1,full_mixed_stream,Balanced-CF,4364,30,2,0.06666666666666667,33,4,0.12121212121212122,0.8787878787878788,0.8446379468377635,0.5724106324472961,,
104,drift,0.1,full_mixed_stream,Safe-CF,4364,30,1,0.03333333333333333,33,0,0.0,1.0,0.7021081576535289,0.5730980751604033,,
104,stuck_at,0.1,full_mixed_stream,Balanced-CF,4364,33,3,0.09090909090909091,33,4,0.12121212121212122,0.8787878787878788,0.8416590284142988,0.5733272227314391,,
104,stuck_at,0.1,full_mixed_stream,Safe-CF,4364,33,1,0.030303030303030304,33,1,0.030303030303030304,0.9696969696969697,0.6989000916590284,0.5735563703024747,,
104,gaussian,0.4,full_mixed_stream,Balanced-CF,4364,59,26,0.4406779661016949,42,12,0.2857142857142857,0.7142857142857143,0.867781851512374,0.5488084326306141,,
104,gaussian,0.4,full_mixed_stream,Safe-CF,4364,59,11,0.1864406779661017,42,5,0.11904761904761904,0.8809523809523809,0.7254812098991751,0.5469752520623281,,
104,offset,0.4,full_mixed_stream,Balanced-CF,4364,52,10,0.19230769230769232,51,6,0.11764705882352941,0.8823529411764706,0.8556370302474794,0.5575160403299725,,
104,offset,0.4,full_mixed_stream,Safe-CF,4364,52,6,0.11538461538461539,51,2,0.0392156862745098,0.9607843137254902,0.7076076993583869,0.5575160403299725,,
104,drift,0.4,full_mixed_stream,Balanced-CF,4364,36,3,0.08333333333333333,40,6,0.15,0.85,0.8588450962419798,0.5604949587534372,,
104,drift,0.4,full_mixed_stream,Safe-CF,4364,36,1,0.027777777777777776,40,0,0.0,1.0,0.7055453712190651,0.5614115490375802,,
104,stuck_at,0.4,full_mixed_stream,Balanced-CF,4364,60,13,0.21666666666666667,45,6,0.13333333333333333,0.8666666666666667,0.8503666361136571,0.5536205316223648,,
104,stuck_at,0.4,full_mixed_stream,Safe-CF,4364,60,3,0.05,45,4,0.08888888888888889,0.9111111111111111,0.693858845096242,0.5517873510540788,,
104,gaussian,0.7,full_mixed_stream,Balanced-CF,4364,106,66,0.6226415094339622,42,18,0.42857142857142855,0.5714285714285714,0.8785517873510541,0.5174152153987168,,
104,gaussian,0.7,full_mixed_stream,Safe-CF,4364,106,32,0.3018867924528302,42,0,0.0,1.0,0.7353345554537122,0.5137488542621448,,
104,offset,0.7,full_mixed_stream,Balanced-CF,4364,76,15,0.19736842105263158,69,12,0.17391304347826086,0.8260869565217391,0.8574702108157654,0.535288725939505,,
104,offset,0.7,full_mixed_stream,Safe-CF,4364,76,6,0.07894736842105263,69,4,0.057971014492753624,0.9420289855072463,0.7133363886342805,0.5350595783684693,,
104,drift,0.7,full_mixed_stream,Balanced-CF,4364,52,8,0.15384615384615385,48,9,0.1875,0.8125,0.8604491292392301,0.5419340054995417,,
104,drift,0.7,full_mixed_stream,Safe-CF,4364,52,1,0.019230769230769232,48,0,0.0,1.0,0.71012832263978,0.5423923006416131,,
104,stuck_at,0.7,full_mixed_stream,Balanced-CF,4364,99,25,0.25252525252525254,61,11,0.18032786885245902,0.819672131147541,0.8434922089825848,0.5291017415215399,,
104,stuck_at,0.7,full_mixed_stream,Safe-CF,4364,99,7,0.0707070707070707,61,7,0.11475409836065574,0.8852459016393442,0.6897341888175985,0.5258936755270394,,
104,none,0.0,clean_no_imposed_fault,Balanced-CF,4364,28,3,0.10714285714285714,31,3,0.0967741935483871,0.9032258064516129,0.8414298808432631,0.5797433547204399,0.8414298808432631,0.000687442713107241
104,none,0.0,clean_no_imposed_fault,Safe-CF,4364,28,1,0.03571428571428571,31,0,0.0,1.0,0.6998166819431714,0.5799725022914757,0.6998166819431714,0.0
105,gaussian,0.1,full_mixed_stream,Balanced-CF,4364,270,35,0.12962962962962962,196,34,0.17346938775510204,0.826530612244898,0.5845554537121906,0.5680568285976169,,
105,gaussian,0.1,full_mixed_stream,Safe-CF,4364,270,14,0.05185185185185185,196,12,0.061224489795918366,0.9387755102040817,0.362282309807516,0.5682859761686526,,
105,offset,0.1,full_mixed_stream,Balanced-CF,4364,244,21,0.0860655737704918,213,40,0.18779342723004694,0.812206572769953,0.5765352887259395,0.5671402383134739,,
105,offset,0.1,full_mixed_stream,Safe-CF,4364,244,6,0.02459016393442623,213,13,0.06103286384976526,0.9389671361502347,0.35609532538955085,0.5698900091659028,,
105,drift,0.1,full_mixed_stream,Balanced-CF,4364,248,23,0.09274193548387097,203,35,0.1724137931034483,0.8275862068965517,0.5804307974335472,0.5710357470210816,,
105,drift,0.1,full_mixed_stream,Safe-CF,4364,248,7,0.028225806451612902,203,13,0.06403940886699508,0.9359605911330049,0.3599908340971586,0.5724106324472961,,
105,stuck_at,0.1,full_mixed_stream,Balanced-CF,4364,242,22,0.09090909090909091,210,35,0.16666666666666666,0.8333333333333334,0.576076993583868,0.5662236480293309,,
105,stuck_at,0.1,full_mixed_stream,Safe-CF,4364,242,7,0.028925619834710745,210,12,0.05714285714285714,0.9428571428571428,0.3572410632447296,0.5680568285976169,,
105,gaussian,0.4,full_mixed_stream,Balanced-CF,4364,267,58,0.21722846441947566,216,54,0.25,0.75,0.611365719523373,0.5465169569202566,,
105,gaussian,0.4,full_mixed_stream,Safe-CF,4364,267,24,0.0898876404494382,216,22,0.10185185185185185,0.8981481481481481,0.383134738771769,0.5460586617781852,,
105,offset,0.4,full_mixed_stream,Balanced-CF,4364,208,26,0.125,302,53,0.17549668874172186,0.8245033112582781,0.5701191567369386,0.5494958753437214,,
105,offset,0.4,full_mixed_stream,Safe-CF,4364,208,6,0.028846153846153848,302,19,0.06291390728476821,0.9370860927152318,0.3473877176901925,0.5527039413382218,,
105,drift,0.4,full_mixed_stream,Balanced-CF,4364,214,23,0.10747663551401869,252,53,0.21031746031746032,0.7896825396825397,0.59051329055912,0.5584326306141155,,
105,drift,0.4,full_mixed_stream,Safe-CF,4364,214,7,0.03271028037383177,252,24,0.09523809523809523,0.9047619047619048,0.3675527039413382,0.5614115490375802,,
105,stuck_at,0.4,full_mixed_stream,Balanced-CF,4364,192,21,0.109375,259,44,0.16988416988416988,0.8301158301158301,0.5689734188817599,0.5355178735105408,,
105,stuck_at,0.4,full_mixed_stream,Safe-CF,4364,192,6,0.03125,259,21,0.08108108108108109,0.9189189189189189,0.35311640696608615,0.5373510540788268,,
105,gaussian,0.7,full_mixed_stream,Balanced-CF,4364,269,86,0.31970260223048325,229,64,0.2794759825327511,0.7205240174672489,0.6331347387717691,0.5252062328139322,,
105,gaussian,0.7,full_mixed_stream,Safe-CF,4364,269,44,0.16356877323420074,229,28,0.1222707423580786,0.8777292576419214,0.3971127406049496,0.5238313473877176,,
105,offset,0.7,full_mixed_stream,Balanced-CF,4364,163,28,0.17177914110429449,371,76,0.20485175202156333,0.7951482479784366,0.5687442713107241,0.5256645279560037,,
105,offset,0.7,full_mixed_stream,Safe-CF,4364,163,6,0.03680981595092025,371,24,0.0646900269541779,0.9353099730458221,0.3354720439963336,0.532538955087076,,
105,drift,0.7,full_mixed_stream,Balanced-CF,4364,177,28,0.15819209039548024,301,72,0.23920265780730898,0.760797342192691,0.6038038496791934,0.5465169569202566,,
105,drift,0.7,full_mixed_stream,Safe-CF,4364,177,8,0.04519774011299435,301,31,0.10299003322259136,0.8970099667774086,0.36732355637030245,0.5513290559120073,,
105,stuck_at,0.7,full_mixed_stream,Balanced-CF,4364,149,25,0.16778523489932887,312,63,0.20192307692307693,0.7980769230769231,0.5618698441796517,0.5041246562786434,,
105,stuck_at,0.7,full_mixed_stream,Safe-CF,4364,149,9,0.06040268456375839,312,32,0.10256410256410256,0.8974358974358975,0.34624197983501376,0.5075618698441796,,
105,none,0.0,clean_no_imposed_fault,Balanced-CF,4364,259,23,0.0888030888030888,185,29,0.15675675675675677,0.8432432432432433,0.5790559120073328,0.5751604032997251,0.5790559120073328,0.006645279560036663
