calibration_regime,method,heldout_or_test_mechanism,metric,n_fitted_cells,mean,fitting_ci_low,fitting_ci_high,median,q1,q3,minimum,maximum
leave_one_mechanism_out,Conditional Lite-CF,drift,negative_transfer_prevention,10,0.9689655172413794,0.8987606397734935,1.0391703947092652,1.0,1.0,1.0,0.6896551724137931,1.0
leave_one_mechanism_out,Conditional Lite-CF,drift,recovery_retention,10,0.05803571428571429,0.00675018834914496,0.10932124022228362,0.03125,0.0,0.09375,0.0,0.2
leave_one_mechanism_out,Conditional Lite-CF,drift,utility_per_10000,10,1.3927576601671299,-10.764327932069511,13.54984325240377,0.0,0.0,12.186629526462395,-41.78272980501393,20.891364902506965
leave_one_mechanism_out,Conditional Lite-CF,drift,macro_auroc,10,0.8310286199853196,0.8210125350953142,0.841044704875325,0.8368648527977482,0.8177374869514917,0.8426352768847805,0.8109438421430539,0.845739947334993
leave_one_mechanism_out,Conditional Lite-CF,gaussian,negative_transfer_prevention,10,0.9275210084033614,0.8696574637013769,0.9853845531053459,0.9411764705882353,0.875,1.0,0.7857142857142857,1.0
leave_one_mechanism_out,Conditional Lite-CF,gaussian,recovery_retention,10,0.12027986633249792,0.011928042939888181,0.22863168972510767,0.05952380952380952,0.0,0.19642857142857142,0.0,0.42105263157894735
leave_one_mechanism_out,Conditional Lite-CF,gaussian,utility_per_10000,10,27.85515320334262,-1.5695373029133783,57.27984370959862,10.445682451253482,0.0,52.228412256267404,-20.891364902506965,111.42061281337047
leave_one_mechanism_out,Conditional Lite-CF,gaussian,macro_auroc,10,0.7895850367006053,0.7817376442583995,0.7974324291428111,0.7937552592252534,0.7827705470618744,0.7955200587333486,0.7706889724828715,0.8055228100344873
leave_one_mechanism_out,Conditional Lite-CF,offset,negative_transfer_prevention,10,0.863118833118833,0.7383113780089722,0.9879262882286938,0.9722222222222222,0.7000000000000001,1.0,0.5714285714285714,1.0
leave_one_mechanism_out,Conditional Lite-CF,offset,recovery_retention,10,0.12460745977613279,0.035912348391497775,0.21330257116076778,0.12440191387559808,0.0,0.2140625,0.0,0.3404255319148936
leave_one_mechanism_out,Conditional Lite-CF,offset,utility_per_10000,10,10.44568245125348,-2.681970536525645,23.573335439032604,0.0,0.0,17.40947075208914,-6.963788300835654,48.74651810584958
leave_one_mechanism_out,Conditional Lite-CF,offset,macro_auroc,10,0.8242103866813121,0.8152862802608192,0.833134493101805,0.828046476924667,0.8129745789167874,0.8344618496598262,0.8035200782294513,0.838129184179884
leave_one_mechanism_out,Conditional Lite-CF,stuck_at,negative_transfer_prevention,10,0.966263440860215,0.9264788952497536,1.0060479864706764,1.0,0.9375,1.0,0.8709677419354839,1.0
leave_one_mechanism_out,Conditional Lite-CF,stuck_at,recovery_retention,10,0.06980221528959477,0.01902406955413829,0.12058036102505124,0.058807588075880754,0.0,0.12718023255813954,0.0,0.1875
leave_one_mechanism_out,Conditional Lite-CF,stuck_at,utility_per_10000,10,15.32033426183844,-0.04294630763471474,30.683614831311594,6.963788300835654,0.0,19.15041782729805,0.0,62.674094707520894
leave_one_mechanism_out,Conditional Lite-CF,stuck_at,macro_auroc,10,0.8148677780352381,0.8065350484350526,0.8232005076354236,0.8132858895106778,0.8064566856926695,0.8245399122439986,0.7994549784898589,0.8335080116511956
