run_id,seed,fault_type,prevalence,stream,method,metric,value,n
CEE-CF10-R2,101,gaussian,0.1,unaffected,PDRF,ece15,0.2559017827246661,3953
CEE-CF10-R2,101,gaussian,0.1,unaffected,RO-PDRF-Full,accuracy,0.5742474070326334,3953
CEE-CF10-R2,101,gaussian,0.1,unaffected,RO-PDRF-Full,macro_f1,0.552348400989901,3953
CEE-CF10-R2,101,gaussian,0.1,unaffected,RO-PDRF-Full,macro_auroc,0.8602120150922721,3953
CEE-CF10-R2,101,gaussian,0.1,unaffected,RO-PDRF-Full,macro_auprc,0.6286927085542865,3953
CEE-CF10-R2,101,gaussian,0.1,unaffected,RO-PDRF-Full,nll,1.784214882897615,3953
CEE-CF10-R2,101,gaussian,0.1,unaffected,RO-PDRF-Full,brier,0.6568123377067976,3953
CEE-CF10-R2,101,gaussian,0.1,unaffected,RO-PDRF-Full,ece15,0.24577301729337614,3953
CEE-CF10-R2,101,gaussian,0.1,unaffected,SR-PDRF-Balanced-CF,accuracy,0.5798128004047559,3953
CEE-CF10-R2,101,gaussian,0.1,unaffected,SR-PDRF-Balanced-CF,macro_f1,0.5567030936016742,3953
CEE-CF10-R2,101,gaussian,0.1,unaffected,SR-PDRF-Balanced-CF,macro_auroc,0.8649367829714043,3953
CEE-CF10-R2,101,gaussian,0.1,unaffected,SR-PDRF-Balanced-CF,macro_auprc,0.635513329510078,3953
CEE-CF10-R2,101,gaussian,0.1,unaffected,SR-PDRF-Balanced-CF,nll,1.771098084286187,3953
CEE-CF10-R2,101,gaussian,0.1,unaffected,SR-PDRF-Balanced-CF,brier,0.6522611566304184,3953
CEE-CF10-R2,101,gaussian,0.1,unaffected,SR-PDRF-Balanced-CF,ece15,0.24904979562234675,3953
CEE-CF10-R2,101,gaussian,0.1,unaffected,SR-PDRF-Safe-CF,accuracy,0.5800657728307614,3953
CEE-CF10-R2,101,gaussian,0.1,unaffected,SR-PDRF-Safe-CF,macro_f1,0.5570035471043321,3953
CEE-CF10-R2,101,gaussian,0.1,unaffected,SR-PDRF-Safe-CF,macro_auroc,0.8655232523928978,3953
CEE-CF10-R2,101,gaussian,0.1,unaffected,SR-PDRF-Safe-CF,macro_auprc,0.6412202075356455,3953
CEE-CF10-R2,101,gaussian,0.1,unaffected,SR-PDRF-Safe-CF,nll,1.8023108942010928,3953
CEE-CF10-R2,101,gaussian,0.1,unaffected,SR-PDRF-Safe-CF,brier,0.6523055016696281,3953
CEE-CF10-R2,101,gaussian,0.1,unaffected,SR-PDRF-Safe-CF,ece15,0.25214085677983095,3953
CEE-CF10-R2,101,offset,0.1,full_mixed_stream,PDRF,accuracy,0.5792850595783685,4364
CEE-CF10-R2,101,offset,0.1,full_mixed_stream,PDRF,macro_f1,0.5567006504670139,4364
CEE-CF10-R2,101,offset,0.1,full_mixed_stream,PDRF,macro_auroc,0.8645591043468169,4364
CEE-CF10-R2,101,offset,0.1,full_mixed_stream,PDRF,macro_auprc,0.641494979159203,4364
CEE-CF10-R2,101,offset,0.1,full_mixed_stream,PDRF,nll,1.9112698284769114,4364
CEE-CF10-R2,101,offset,0.1,full_mixed_stream,PDRF,brier,0.6578171390109556,4364
CEE-CF10-R2,101,offset,0.1,full_mixed_stream,PDRF,ece15,0.2595341279897856,4364
CEE-CF10-R2,101,offset,0.1,full_mixed_stream,RO-PDRF-Full,accuracy,0.5724106324472961,4364
CEE-CF10-R2,101,offset,0.1,full_mixed_stream,RO-PDRF-Full,macro_f1,0.5503536552200746,4364
CEE-CF10-R2,101,offset,0.1,full_mixed_stream,RO-PDRF-Full,macro_auroc,0.8590947562681376,4364
CEE-CF10-R2,101,offset,0.1,full_mixed_stream,RO-PDRF-Full,macro_auprc,0.6224791469827857,4364
CEE-CF10-R2,101,offset,0.1,full_mixed_stream,RO-PDRF-Full,nll,1.815896259686401,4364
CEE-CF10-R2,101,offset,0.1,full_mixed_stream,RO-PDRF-Full,brier,0.6621746922532921,4364
CEE-CF10-R2,101,offset,0.1,full_mixed_stream,RO-PDRF-Full,ece15,0.24935011336909424,4364
CEE-CF10-R2,101,offset,0.1,full_mixed_stream,SR-PDRF-Balanced-CF,accuracy,0.5774518790100825,4364
CEE-CF10-R2,101,offset,0.1,full_mixed_stream,SR-PDRF-Balanced-CF,macro_f1,0.5548056152822946,4364
CEE-CF10-R2,101,offset,0.1,full_mixed_stream,SR-PDRF-Balanced-CF,macro_auroc,0.8636761668899188,4364
CEE-CF10-R2,101,offset,0.1,full_mixed_stream,SR-PDRF-Balanced-CF,macro_auprc,0.629428696883975,4364
CEE-CF10-R2,101,offset,0.1,full_mixed_stream,SR-PDRF-Balanced-CF,nll,1.8039513600476718,4364
CEE-CF10-R2,101,offset,0.1,full_mixed_stream,SR-PDRF-Balanced-CF,brier,0.6578855617252819,4364
CEE-CF10-R2,101,offset,0.1,full_mixed_stream,SR-PDRF-Balanced-CF,ece15,0.2530395939509111,4364
CEE-CF10-R2,101,offset,0.1,full_mixed_stream,SR-PDRF-Safe-CF,accuracy,0.577910174152154,4364
CEE-CF10-R2,101,offset,0.1,full_mixed_stream,SR-PDRF-Safe-CF,macro_f1,0.5553338668158316,4364
CEE-CF10-R2,101,offset,0.1,full_mixed_stream,SR-PDRF-Safe-CF,macro_auroc,0.864442452006879,4364
CEE-CF10-R2,101,offset,0.1,full_mixed_stream,SR-PDRF-Safe-CF,macro_auprc,0.6354464585701702,4364
CEE-CF10-R2,101,offset,0.1,full_mixed_stream,SR-PDRF-Safe-CF,nll,1.8353090058497874,4364
CEE-CF10-R2,101,offset,0.1,full_mixed_stream,SR-PDRF-Safe-CF,brier,0.6580928203659435,4364
CEE-CF10-R2,101,offset,0.1,full_mixed_stream,SR-PDRF-Safe-CF,ece15,0.25616812848722464,4364
CEE-CF10-R2,101,offset,0.1,strict_fault_applied_available,PDRF,accuracy,0.5510835913312694,323
CEE-CF10-R2,101,offset,0.1,strict_fault_applied_available,PDRF,macro_f1,0.5331019727255448,323
CEE-CF10-R2,101,offset,0.1,strict_fault_applied_available,PDRF,macro_auroc,0.8577386632911274,323
CEE-CF10-R2,101,offset,0.1,strict_fault_applied_available,PDRF,macro_auprc,0.6411102411913174,323
CEE-CF10-R2,101,offset,0.1,strict_fault_applied_available,PDRF,nll,2.2592736804445424,323
CEE-CF10-R2,101,offset,0.1,strict_fault_applied_available,PDRF,brier,0.7264214108213237,323
CEE-CF10-R2,101,offset,0.1,strict_fault_applied_available,PDRF,ece15,0.2982042604371121,323
CEE-CF10-R2,101,offset,0.1,strict_fault_applied_available,RO-PDRF-Full,accuracy,0.541795665634675,323
