seed,calibration_group,test_group,fault_type,threshold,method,mean_forward_passes,n,correction_opportunities,corrections_retained,recovery_retention,harm_opportunities,harms_realized,negative_transfer_prevention,recovery_selection_rate,selected_accuracy,net_correct_change_per_10000,utility_ratio,utility_per_10000,accuracy,macro_auroc,macro_auprc,nll,brier,ece15_equal_width,ece15_equal_mass,classwise_ece15
102,1,2,stuck_at,0.775,Conditional Lite-CF,2.0,1397,35,18,0.5142857142857142,3,1,0.6666666666666667,0.9319971367215462,0.3779527559055118,121.68933428775948,1.0,121.68933428775948,0.3779527559055118,0.796007271388433,0.49335549787450145,4.360849379031846,1.081742374722396,0.5132589361715965,0.5132589361715965,0.18545270241495934
102,1,2,stuck_at,0.5,All-row multinomial,2.0,1397,35,26,0.7428571428571429,3,1,0.6666666666666667,0.08661417322834646,0.3836793128131711,178.9549033643522,1.0,178.9549033643522,0.3836793128131711,0.784239284402174,0.47929921283916244,5.124125022006312,1.118343942509653,0.5246414500361363,0.5246414500361363,0.19166289297665873
102,1,3,drift,0.775,Conditional Lite-CF,2.0,1401,15,5,0.3333333333333333,1,0,1.0,0.894361170592434,0.396859386152748,35.6887937187723,1.0,35.6887937187723,0.396859386152748,0.8171447202987213,0.5623873174206245,3.0942020488132367,1.0435097006695726,0.5017430623299421,0.4935506906710965,0.179891312997677
102,1,3,drift,0.5,All-row multinomial,2.0,1401,15,7,0.4666666666666667,1,0,1.0,0.03354746609564597,0.39828693790149894,49.96431120628123,1.0,49.96431120628123,0.39828693790149894,0.803021403249531,0.5454876419985384,3.687123736925048,1.088989930962529,0.5180830883613605,0.5125017129320304,0.18669225763421762
102,1,3,gaussian,0.775,Conditional Lite-CF,2.0,1401,32,9,0.28125,11,3,0.7272727272727273,0.8179871520342612,0.45467523197715914,42.82655246252676,1.0,42.82655246252676,0.45467523197715914,0.7796708724209314,0.47539224815222986,3.1373172508582003,0.882400699965394,0.3928085049426179,0.3927447071947542,0.13647409317302941
102,1,3,gaussian,0.5,All-row multinomial,2.0,1401,32,13,0.40625,11,3,0.7272727272727273,0.05710206995003569,0.45753033547466093,71.3775874375446,1.0,71.3775874375446,0.45753033547466093,0.7714077806784632,0.46610207011802074,3.567288097297219,0.9062565771223188,0.40444558779772216,0.4039080645815774,0.14027340319639683
102,1,3,offset,0.775,Conditional Lite-CF,2.0,1401,52,21,0.40384615384615385,1,0,1.0,0.913633119200571,0.32762312633832974,149.89293361884367,1.0,149.89293361884367,0.32762312633832974,0.800587231208632,0.5356162157078704,3.9251434159670535,1.196731158136339,0.5908599582558515,0.5898879428161299,0.20869781040175717
102,1,3,offset,0.5,All-row multinomial,2.0,1401,52,19,0.36538461538461536,1,0,1.0,0.054960742326909354,0.3261955745895789,135.61741613133475,1.0,135.61741613133475,0.3261955745895789,0.7845056360828359,0.5136296496297225,4.818319300852847,1.2468655180106274,0.6088775041669365,0.6079054887272151,0.2160980447645704
102,1,3,stuck_at,0.775,Conditional Lite-CF,2.0,1401,45,26,0.5777777777777777,0,0,1.0,0.9514632405424697,0.27480371163454675,185.581727337616,1.0,185.581727337616,0.27480371163454675,0.7755966378959175,0.5032900891166603,4.4328203851588315,1.309106918897209,0.653809633597285,0.653809633597285,0.22747985511086843
102,1,3,stuck_at,0.5,All-row multinomial,2.0,1401,45,24,0.5333333333333333,0,0,1.0,0.029978586723768737,0.27337615988579583,171.30620985010705,1.0,171.30620985010705,0.27337615988579583,0.7601931161167911,0.4853554909305952,5.523617492946178,1.378398095309429,0.6792291471033516,0.6790097666308405,0.2367367210971195
102,1,4,drift,0.775,Conditional Lite-CF,2.0,1393,34,7,0.20588235294117646,21,4,0.8095238095238095,0.7832017229002154,0.45226130653266333,21.536252692031585,1.0,21.536252692031585,0.45226130653266333,0.8336072851749318,0.5774136953812183,2.654476029127551,0.8424129377129497,0.3570127361936925,0.35701273619369245,0.1489265097371342
102,1,4,drift,0.5,All-row multinomial,2.0,1393,34,14,0.4117647058823529,21,10,0.5238095238095238,0.0890165111270639,0.4529791816223977,28.71500358937545,1.0,28.71500358937545,0.4529791816223977,0.827818946460574,0.569472195806877,2.949152474076932,0.8708721384778139,0.37225814258491086,0.37225814258491097,0.15380846885497726
102,1,4,gaussian,0.775,Conditional Lite-CF,2.0,1393,25,7,0.28,12,2,0.8333333333333334,0.791816223977028,0.4178033022254128,35.89375448671931,1.0,35.89375448671931,0.4178033022254128,0.7488415477849019,0.41897874807274565,3.7199476377982106,0.9434505344227709,0.4258747181740625,0.4244650102340598,0.14811494200883682
102,1,4,gaussian,0.5,All-row multinomial,2.0,1393,25,9,0.36,12,3,0.75,0.07106963388370424,0.41852117731514715,43.07250538406317,1.0,43.07250538406317,0.41852117731514715,0.7344886236245936,0.40185224645879264,4.366893504351556,0.9741860745182405,0.43956015418338323,0.4381504462433805,0.15426609780039133
102,1,4,offset,0.775,Conditional Lite-CF,2.0,1393,24,5,0.20833333333333334,16,8,0.5,0.8169418521177315,0.4005743000717875,-21.536252692031585,1.0,-21.536252692031585,0.4005743000717875,0.8283921805672351,0.5629506668507921,3.157835927744439,0.9476759700591654,0.4213488841786443,0.4211185936125964,0.17260998700694574
