seed,fold,feature_set,n_features,fit_rows,fit_recovery_positive,fit_negative_transfer,validation_rows,validation_groups,validation_informative,validation_recovery_positive,validation_negative_transfer,one_class_fit,n_iter,convergence_warning,converged
107,5,base_confidence+recovery_confidence+confidence_delta+base_entropy+recovery_entropy+entropy_delta+base_recovery_js+base_consensus_js+recovery_consensus_js+base_consensus_agreement+recovery_consensus_agreement+removal_fraction,12,181,81,100,362,141,43,18,25,False,14,False,True
108,1,base_confidence+recovery_confidence+confidence_delta+base_entropy+recovery_entropy+entropy_delta+base_recovery_js+base_consensus_js+recovery_consensus_js+base_consensus_agreement+recovery_consensus_agreement+removal_fraction,12,94,40,54,364,140,28,14,14,False,14,False,True
108,2,base_confidence+recovery_confidence+confidence_delta+base_entropy+recovery_entropy+entropy_delta+base_recovery_js+base_consensus_js+recovery_consensus_js+base_consensus_agreement+recovery_consensus_agreement+removal_fraction,12,96,44,52,386,143,26,10,16,False,13,False,True
108,3,base_confidence+recovery_confidence+confidence_delta+base_entropy+recovery_entropy+entropy_delta+base_recovery_js+base_consensus_js+recovery_consensus_js+base_consensus_agreement+recovery_consensus_agreement+removal_fraction,12,97,41,56,353,136,25,13,12,False,13,False,True
108,4,base_confidence+recovery_confidence+confidence_delta+base_entropy+recovery_entropy+entropy_delta+base_recovery_js+base_consensus_js+recovery_consensus_js+base_consensus_agreement+recovery_consensus_agreement+removal_fraction,12,97,43,54,387,139,25,11,14,False,13,False,True
108,5,base_confidence+recovery_confidence+confidence_delta+base_entropy+recovery_entropy+entropy_delta+base_recovery_js+base_consensus_js+recovery_consensus_js+base_consensus_agreement+recovery_consensus_agreement+removal_fraction,12,104,48,56,363,138,18,6,12,False,14,False,True
109,1,base_confidence+recovery_confidence+confidence_delta+base_entropy+recovery_entropy+entropy_delta+base_recovery_js+base_consensus_js+recovery_consensus_js+base_consensus_agreement+recovery_consensus_agreement+removal_fraction,12,104,91,13,390,140,18,17,1,False,13,False,True
109,2,base_confidence+recovery_confidence+confidence_delta+base_entropy+recovery_entropy+entropy_delta+base_recovery_js+base_consensus_js+recovery_consensus_js+base_consensus_agreement+recovery_consensus_agreement+removal_fraction,12,97,87,10,389,140,25,21,4,False,15,False,True
109,3,base_confidence+recovery_confidence+confidence_delta+base_entropy+recovery_entropy+entropy_delta+base_recovery_js+base_consensus_js+recovery_consensus_js+base_consensus_agreement+recovery_consensus_agreement+removal_fraction,12,98,87,11,350,134,24,21,3,False,16,False,True
109,4,base_confidence+recovery_confidence+confidence_delta+base_entropy+recovery_entropy+entropy_delta+base_recovery_js+base_consensus_js+recovery_consensus_js+base_consensus_agreement+recovery_consensus_agreement+removal_fraction,12,92,82,10,380,136,30,26,4,False,13,False,True
109,5,base_confidence+recovery_confidence+confidence_delta+base_entropy+recovery_entropy+entropy_delta+base_recovery_js+base_consensus_js+recovery_consensus_js+base_consensus_agreement+recovery_consensus_agreement+removal_fraction,12,97,85,12,371,135,25,23,2,False,15,False,True
110,1,base_confidence+recovery_confidence+confidence_delta+base_entropy+recovery_entropy+entropy_delta+base_recovery_js+base_consensus_js+recovery_consensus_js+base_consensus_agreement+recovery_consensus_agreement+removal_fraction,12,78,43,35,407,140,21,13,8,False,13,False,True
110,2,base_confidence+recovery_confidence+confidence_delta+base_entropy+recovery_entropy+entropy_delta+base_recovery_js+base_consensus_js+recovery_consensus_js+base_consensus_agreement+recovery_consensus_agreement+removal_fraction,12,79,45,34,376,136,20,11,9,False,13,False,True
110,3,base_confidence+recovery_confidence+confidence_delta+base_entropy+recovery_entropy+entropy_delta+base_recovery_js+base_consensus_js+recovery_consensus_js+base_consensus_agreement+recovery_consensus_agreement+removal_fraction,12,74,44,30,418,138,25,12,13,False,11,False,True
110,4,base_confidence+recovery_confidence+confidence_delta+base_entropy+recovery_entropy+entropy_delta+base_recovery_js+base_consensus_js+recovery_consensus_js+base_consensus_agreement+recovery_consensus_agreement+removal_fraction,12,77,43,34,366,140,22,13,9,False,13,False,True
110,5,base_confidence+recovery_confidence+confidence_delta+base_entropy+recovery_entropy+entropy_delta+base_recovery_js+base_consensus_js+recovery_consensus_js+base_consensus_agreement+recovery_consensus_agreement+removal_fraction,12,88,49,39,380,140,11,7,4,False,13,False,True
