seed,fault_type,batch,n,lite_minus_pdrf_auroc,lite_cf_minus_pdrf_auroc,lite_cf_minus_lite_auroc
106,gaussian,10,1180,0.00731219538376271,0.007042857876291442,-0.00026933750747126783
106,offset,8,91,0.0048958303860264785,0.006817326898692744,0.0019214965126662653
106,offset,9,165,0.013028432982565286,0.012708035599221734,-0.0003203973833435514
106,offset,10,1180,-0.0032617679966762125,-0.002190590477616494,0.0010711775190597184
106,stuck_at,8,91,-0.0008613065235714146,-0.0008921381603786971,-3.0831636807282514e-05
106,stuck_at,9,165,0.008613634890329624,0.004340269430267885,-0.00427336546006174
106,stuck_at,10,1180,-0.002059532647263773,-0.0008208183844597983,0.001238714262803975
107,drift,8,91,0.009724983467813808,0.011363907435669285,0.0016389239678554768
107,drift,9,165,0.006164778468242482,0.003758359711540149,-0.002406418756702333
107,drift,10,1180,0.003368929742442961,0.0033731407463409857,4.211003898024757e-06
107,gaussian,8,91,0.02081916926212357,0.020924914114059612,0.00010574485193604044
107,gaussian,9,165,0.026414191690574573,0.018124156786490042,-0.008290034904084531
107,gaussian,10,1180,0.014996806100811888,0.012179020878932523,-0.0028177852218793653
107,offset,8,91,0.012631026436548676,0.013255409587275668,0.0006243831507269926
107,offset,9,165,0.0153544319703669,0.01770709990456165,0.002352667934194752
107,offset,10,1180,0.004604215624641972,0.004897311867054999,0.0002930962424130268
107,stuck_at,8,91,0.02423293190933562,0.012121792760714678,-0.012111139148620942
107,stuck_at,9,165,0.010048084312955119,0.0038864807227150244,-0.0061616035902400945
107,stuck_at,10,1180,0.012854250554656832,0.009568471952765112,-0.00328577860189172
108,drift,8,91,0.0018161858297913724,0.0,-0.0018161858297913724
108,drift,9,165,0.0014743187991470563,0.0,-0.0014743187991470563
108,drift,10,1180,0.002985219716651888,0.00010171557377514073,-0.002883504142876747
108,gaussian,8,91,0.011939683446985594,0.0,-0.011939683446985594
108,gaussian,9,165,0.012819993099668858,0.0,-0.012819993099668858
108,gaussian,10,1180,0.00781900443301764,-2.2233565928120314e-05,-0.00784123799894576
108,offset,8,91,0.007384040677357984,0.0,-0.007384040677357984
108,offset,9,165,0.008634614646068517,0.0,-0.008634614646068517
108,offset,10,1180,0.0029090142070152814,-7.386913429263675e-05,-0.002982883341307918
108,stuck_at,8,91,0.009302065871848342,0.0,-0.009302065871848342
108,stuck_at,9,165,0.01006839659987735,0.0,-0.01006839659987735
108,stuck_at,10,1180,0.00703944996737782,0.0,-0.00703944996737782
109,drift,8,91,-0.0024671500795284684,0.0,0.0024671500795284684
109,drift,9,165,0.004034560257507369,0.0,-0.004034560257507369
109,drift,10,1180,0.004981767527900249,0.0,-0.004981767527900249
109,gaussian,8,91,0.01366808708412004,0.0,-0.01366808708412004
109,gaussian,9,165,0.021067227277457246,0.0,-0.021067227277457246
109,gaussian,10,1180,0.013691471015574441,0.0,-0.013691471015574441
109,offset,8,91,-0.0019274665133010016,0.0,0.0019274665133010016
109,offset,9,165,0.010800123327038613,0.0,-0.010800123327038613
109,offset,10,1180,0.005855380394822807,0.0,-0.005855380394822807
109,stuck_at,8,91,-0.0008218529261092566,0.0,0.0008218529261092566
109,stuck_at,9,165,0.008000692632518014,0.0,-0.008000692632518014
109,stuck_at,10,1180,0.009818598437830395,0.0,-0.009818598437830395
110,drift,8,91,0.0022762672489230473,-0.0008090842557962885,-0.003085351504719336
110,drift,9,165,0.005011821837141772,0.002147656849970536,-0.002864164987171236
110,drift,10,1180,0.002297151668840036,0.00030032007573266295,-0.0019968315931073732
110,gaussian,8,91,0.022913579843180987,0.006646670212096417,-0.01626690963108457
110,gaussian,9,165,0.025793371067281967,0.009476639258175656,-0.01631673180910631
110,gaussian,10,1180,0.013353349541328274,0.005365391421816246,-0.007987958119512029
110,offset,8,91,0.008449421134495094,0.0013750954927425063,-0.007074325641752588
110,offset,9,165,0.01237439764456072,0.002798142599618636,-0.009576255044942084
110,offset,10,1180,0.003114679671976095,-0.0003693226825212115,-0.0034840023544973064
110,stuck_at,8,91,0.02131438433959465,-0.0010305709585419764,-0.022344955298136626
