seed,fault_type,method,harm_to_correction_cost_ratio,pass_penalty_equivalent_corrections_per_10000,corrections_per_10000,harms_per_10000,mean_forward_passes,net_utility_per_10000,energy_note
103,gaussian,Lite-CF,1.0,2.0,0.0,0.0,2.0,-2.0,forward-pass/FLOP penalty proxy; energy was not measured
103,gaussian,Lite-CF,2.0,0.0,0.0,0.0,2.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
103,gaussian,Lite-CF,2.0,0.5,0.0,0.0,2.0,-0.5,forward-pass/FLOP penalty proxy; energy was not measured
103,gaussian,Lite-CF,2.0,2.0,0.0,0.0,2.0,-2.0,forward-pass/FLOP penalty proxy; energy was not measured
103,gaussian,Lite-CF,5.0,0.0,0.0,0.0,2.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
103,gaussian,Lite-CF,5.0,0.5,0.0,0.0,2.0,-0.5,forward-pass/FLOP penalty proxy; energy was not measured
103,gaussian,Lite-CF,5.0,2.0,0.0,0.0,2.0,-2.0,forward-pass/FLOP penalty proxy; energy was not measured
103,gaussian,Lite-CF,10.0,0.0,0.0,0.0,2.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
103,gaussian,Lite-CF,10.0,0.5,0.0,0.0,2.0,-0.5,forward-pass/FLOP penalty proxy; energy was not measured
103,gaussian,Lite-CF,10.0,2.0,0.0,0.0,2.0,-2.0,forward-pass/FLOP penalty proxy; energy was not measured
103,offset,Lite-CF,1.0,0.0,0.0,0.0,2.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
103,offset,Lite-CF,1.0,0.5,0.0,0.0,2.0,-0.5,forward-pass/FLOP penalty proxy; energy was not measured
103,offset,Lite-CF,1.0,2.0,0.0,0.0,2.0,-2.0,forward-pass/FLOP penalty proxy; energy was not measured
103,offset,Lite-CF,2.0,0.0,0.0,0.0,2.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
103,offset,Lite-CF,2.0,0.5,0.0,0.0,2.0,-0.5,forward-pass/FLOP penalty proxy; energy was not measured
103,offset,Lite-CF,2.0,2.0,0.0,0.0,2.0,-2.0,forward-pass/FLOP penalty proxy; energy was not measured
103,offset,Lite-CF,5.0,0.0,0.0,0.0,2.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
103,offset,Lite-CF,5.0,0.5,0.0,0.0,2.0,-0.5,forward-pass/FLOP penalty proxy; energy was not measured
103,offset,Lite-CF,5.0,2.0,0.0,0.0,2.0,-2.0,forward-pass/FLOP penalty proxy; energy was not measured
103,offset,Lite-CF,10.0,0.0,0.0,0.0,2.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
103,offset,Lite-CF,10.0,0.5,0.0,0.0,2.0,-0.5,forward-pass/FLOP penalty proxy; energy was not measured
103,offset,Lite-CF,10.0,2.0,0.0,0.0,2.0,-2.0,forward-pass/FLOP penalty proxy; energy was not measured
103,drift,Lite-CF,1.0,0.0,0.0,0.0,2.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
103,drift,Lite-CF,1.0,0.5,0.0,0.0,2.0,-0.5,forward-pass/FLOP penalty proxy; energy was not measured
103,drift,Lite-CF,1.0,2.0,0.0,0.0,2.0,-2.0,forward-pass/FLOP penalty proxy; energy was not measured
103,drift,Lite-CF,2.0,0.0,0.0,0.0,2.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
103,drift,Lite-CF,2.0,0.5,0.0,0.0,2.0,-0.5,forward-pass/FLOP penalty proxy; energy was not measured
103,drift,Lite-CF,2.0,2.0,0.0,0.0,2.0,-2.0,forward-pass/FLOP penalty proxy; energy was not measured
103,drift,Lite-CF,5.0,0.0,0.0,0.0,2.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
103,drift,Lite-CF,5.0,0.5,0.0,0.0,2.0,-0.5,forward-pass/FLOP penalty proxy; energy was not measured
103,drift,Lite-CF,5.0,2.0,0.0,0.0,2.0,-2.0,forward-pass/FLOP penalty proxy; energy was not measured
103,drift,Lite-CF,10.0,0.0,0.0,0.0,2.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
103,drift,Lite-CF,10.0,0.5,0.0,0.0,2.0,-0.5,forward-pass/FLOP penalty proxy; energy was not measured
103,drift,Lite-CF,10.0,2.0,0.0,0.0,2.0,-2.0,forward-pass/FLOP penalty proxy; energy was not measured
103,stuck_at,Lite-CF,1.0,0.0,0.0,0.0,2.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
103,stuck_at,Lite-CF,1.0,0.5,0.0,0.0,2.0,-0.5,forward-pass/FLOP penalty proxy; energy was not measured
103,stuck_at,Lite-CF,1.0,2.0,0.0,0.0,2.0,-2.0,forward-pass/FLOP penalty proxy; energy was not measured
103,stuck_at,Lite-CF,2.0,0.0,0.0,0.0,2.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
103,stuck_at,Lite-CF,2.0,0.5,0.0,0.0,2.0,-0.5,forward-pass/FLOP penalty proxy; energy was not measured
103,stuck_at,Lite-CF,2.0,2.0,0.0,0.0,2.0,-2.0,forward-pass/FLOP penalty proxy; energy was not measured
103,stuck_at,Lite-CF,5.0,0.0,0.0,0.0,2.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
103,stuck_at,Lite-CF,5.0,0.5,0.0,0.0,2.0,-0.5,forward-pass/FLOP penalty proxy; energy was not measured
103,stuck_at,Lite-CF,5.0,2.0,0.0,0.0,2.0,-2.0,forward-pass/FLOP penalty proxy; energy was not measured
103,stuck_at,Lite-CF,10.0,0.0,0.0,0.0,2.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
