held_out_building,seed,method,metric,value
auditorium,102,ENT-PD,class_1_auprc,0.9995924168006411
auditorium,102,ENT-PD,class_2_precision,0.4658753709198813
auditorium,102,ENT-PD,class_2_recall,0.9546304957904583
auditorium,102,ENT-PD,class_2_f1,0.6261696579229943
auditorium,102,ENT-PD,class_2_auroc,0.9890142638241638
auditorium,102,ENT-PD,class_2_auprc,0.7948749201772304
auditorium,102,ENT-PD,balanced_accuracy,0.9578861640512597
auditorium,102,ENT-PD,native_sensor_fault_recall,0.9546304957904583
auditorium,102,ENT-PD,mean_temperature_group_weight_on_faults,0.28090882301330566
auditorium,102,ENT-PD,train_seconds,25.326115799995023
auditorium,102,ENT-PD,inference_seconds,0.032499200009624474
auditorium,102,PDRF-NOQ,accuracy,0.9496928973491349
auditorium,102,PDRF-NOQ,macro_f1,0.7678669428181173
auditorium,102,PDRF-NOQ,macro_auroc,0.9835622914466344
auditorium,102,PDRF-NOQ,macro_auprc,0.8158276549179679
auditorium,102,PDRF-NOQ,nll,0.18341474796549745
auditorium,102,PDRF-NOQ,class_1_precision,0.9978718208142902
auditorium,102,PDRF-NOQ,class_1_recall,0.9499327454790016
auditorium,102,PDRF-NOQ,class_1_f1,0.9733123484622911
auditorium,102,PDRF-NOQ,class_1_auroc,0.9835622972719575
auditorium,102,PDRF-NOQ,class_1_auprc,0.9993980362947457
auditorium,102,PDRF-NOQ,class_2_precision,0.4007155635062612
auditorium,102,PDRF-NOQ,class_2_recall,0.9429373246024322
auditorium,102,PDRF-NOQ,class_2_f1,0.5624215371739434
auditorium,102,PDRF-NOQ,class_2_auroc,0.9835622856213113
auditorium,102,PDRF-NOQ,class_2_auprc,0.6322572735411902
auditorium,102,PDRF-NOQ,balanced_accuracy,0.9464350350407169
auditorium,102,PDRF-NOQ,native_sensor_fault_recall,0.9429373246024322
auditorium,102,PDRF-NOQ,mean_temperature_group_weight_on_faults,0.40605998039245605
auditorium,102,PDRF-NOQ,train_seconds,32.21769160000258
auditorium,102,PDRF-NOQ,inference_seconds,0.030711600003996864
auditorium,102,RC-PDRF-NOQ,accuracy,0.9600686370415511
auditorium,102,RC-PDRF-NOQ,macro_f1,0.7975765964382246
auditorium,102,RC-PDRF-NOQ,macro_auroc,0.9836364691700363
auditorium,102,RC-PDRF-NOQ,macro_auprc,0.8094765181129049
auditorium,102,RC-PDRF-NOQ,nll,0.16324453907514969
auditorium,102,RC-PDRF-NOQ,class_1_precision,0.9976037374799593
auditorium,102,RC-PDRF-NOQ,class_1_recall,0.9609591657118185
auditorium,102,RC-PDRF-NOQ,class_1_f1,0.9789386429381016
auditorium,102,RC-PDRF-NOQ,class_1_auroc,0.9836364614029387
auditorium,102,RC-PDRF-NOQ,class_1_auprc,0.9994010435161422
auditorium,102,RC-PDRF-NOQ,class_2_precision,0.4595402298850575
auditorium,102,RC-PDRF-NOQ,class_2_recall,0.9349859681945744
auditorium,102,RC-PDRF-NOQ,class_2_f1,0.6162145499383477
auditorium,102,RC-PDRF-NOQ,class_2_auroc,0.983636476937134
auditorium,102,RC-PDRF-NOQ,class_2_auprc,0.6195519927096674
auditorium,102,RC-PDRF-NOQ,balanced_accuracy,0.9479725669531964
