dataset,task,seed,method,training_forward_paths,inference_forward_paths,parameters,train_seconds,epochs,inference_ms_per_observation
chemical,gas_class,106,PDRF,3,1,19740,14.130984399991576,19,0.0021529789130189767
chemical,gas_class,106,RO-PDRF,3,1,19740,16.789930900005857,19,0.0022112053140249245
chemical,gas_class,107,CAGF,3,1,26588,10.670393999986118,18,0.0018837305276051136
chemical,gas_class,107,RO-CAGF,3,1,26588,12.887959499988938,18,0.002046608614215011
chemical,gas_class,107,PDRF,3,1,19740,14.21185410002363,19,0.002212213564345717
chemical,gas_class,107,RO-PDRF,3,1,19740,22.318380500015337,25,0.0020757103572521906
chemical,gas_class,108,CAGF,3,1,26588,20.107104399998207,34,0.0018080201671790846
chemical,gas_class,108,RO-CAGF,3,1,26588,19.01282080000965,26,0.001987580203941633
chemical,gas_class,108,PDRF,3,1,19740,30.28724949999014,41,0.0022469752488015896
chemical,gas_class,108,RO-PDRF,3,1,19740,32.69714490001206,37,0.0021128322596543946
chemical,gas_class,109,CAGF,3,1,26588,10.47030309998081,18,0.0018783684669589193
chemical,gas_class,109,RO-CAGF,3,1,26588,11.51328270000522,16,0.0022017644355705264
chemical,gas_class,109,PDRF,3,1,19740,20.94886149998638,28,0.002012534371037702
chemical,gas_class,109,RO-PDRF,3,1,19740,24.895415300008608,28,0.0021832263959664765
chemical,gas_class,110,CAGF,3,1,26588,18.865549100009957,32,0.0027802933117811843
chemical,gas_class,110,RO-CAGF,3,1,26588,15.969264400016982,22,0.0020843492197700863
chemical,gas_class,110,PDRF,3,1,19740,24.455750099994475,33,0.0022181713998750516
chemical,gas_class,110,RO-PDRF,3,1,19740,29.09929369998281,33,0.0020588451009849813
hydraulic,cooler,101,CAGF,3,1,37844,3.057761299976846,26,0.01248990830649203
hydraulic,cooler,101,RO-CAGF,3,1,37844,3.153472599980887,25,0.014089908340834765
hydraulic,cooler,101,PDRF,3,1,29300,7.525909199990565,52,0.01153027518105548
hydraulic,cooler,101,RO-PDRF,3,1,29300,8.718766600009985,54,0.011261009211745967
hydraulic,cooler,102,CAGF,3,1,37844,7.560975600004895,66,0.011856880769509515
hydraulic,cooler,102,RO-CAGF,3,1,37844,3.7029782999888994,29,0.015616513721414184
hydraulic,cooler,102,PDRF,3,1,29300,7.419885299983434,52,0.012452752327273062
hydraulic,cooler,102,RO-PDRF,3,1,29300,9.3509294000105,58,0.013354587114475873
hydraulic,cooler,103,CAGF,3,1,37844,3.420040800003335,30,0.011388532184021668
hydraulic,cooler,103,RO-CAGF,3,1,37844,4.341551799996523,34,0.015189908306037477
hydraulic,cooler,103,PDRF,3,1,29300,6.902115100005176,49,0.011476146862543094
hydraulic,cooler,103,RO-PDRF,3,1,29300,9.023802600015188,56,0.009911009078469434
hydraulic,cooler,104,CAGF,3,1,37844,2.4987901999847963,24,0.010827064157437977
hydraulic,cooler,104,RO-CAGF,3,1,37844,3.1392147000005934,25,0.013010091748549987
hydraulic,cooler,104,PDRF,3,1,29300,9.00399350002408,58,0.013285321066019321
hydraulic,cooler,104,RO-PDRF,3,1,29300,8.739333399978932,51,0.01264036696622097
hydraulic,cooler,105,CAGF,3,1,37844,3.106194800027879,25,0.013509632965096982
hydraulic,cooler,105,RO-CAGF,3,1,37844,3.846606100007193,28,0.036273394479553016
hydraulic,cooler,105,PDRF,3,1,29300,7.579806699999608,48,0.011869266051414569
hydraulic,cooler,105,RO-PDRF,3,1,29300,8.791690099984407,51,0.01287889902356055
hydraulic,valve,101,CAGF,3,1,38009,7.417659400001867,62,0.011441743197859428
