dataset,task,seed,method,environment,fault_type,group,scale,prevalence,subset,metric,value
chemical,gas_class,101,CAGF,type:linear_drift,linear_drift,1,,0.4,affected,accuracy,0.5151338766006985
chemical,gas_class,101,CAGF,type:linear_drift,linear_drift,1,,0.4,affected,macro_f1,0.4815982238916094
chemical,gas_class,101,CAGF,type:linear_drift,linear_drift,1,,0.4,affected,macro_auroc,0.8225421523726825
chemical,gas_class,101,CAGF,type:linear_drift,linear_drift,1,,0.4,affected,macro_auprc,0.5529809145590434
chemical,gas_class,101,CAGF,type:linear_drift,linear_drift,1,,0.4,affected,nll,1.7727874047186463
chemical,gas_class,101,CAGF,type:linear_drift,linear_drift,1,,0.4,affected,brier,0.6893618563518195
chemical,gas_class,101,CAGF,type:linear_drift,linear_drift,1,,0.4,affected,ece15,0.23757115747168125
chemical,gas_class,101,CAGF,type:linear_drift,linear_drift,1,,0.4,unaffected,accuracy,0.5532879818594104
chemical,gas_class,101,CAGF,type:linear_drift,linear_drift,1,,0.4,unaffected,macro_f1,0.5276622099785245
chemical,gas_class,101,CAGF,type:linear_drift,linear_drift,1,,0.4,unaffected,macro_auroc,0.8363617394567306
chemical,gas_class,101,CAGF,type:linear_drift,linear_drift,1,,0.4,unaffected,macro_auprc,0.5863862469689637
chemical,gas_class,101,CAGF,type:linear_drift,linear_drift,1,,0.4,unaffected,nll,1.7044536831387989
chemical,gas_class,101,CAGF,type:linear_drift,linear_drift,1,,0.4,unaffected,brier,0.6497226552656208
chemical,gas_class,101,CAGF,type:linear_drift,linear_drift,1,,0.4,unaffected,ece15,0.208992720945532
chemical,gas_class,101,CAGF,type:stuck_at,stuck_at,1,,0.4,all,accuracy,0.48900091659028416
chemical,gas_class,101,CAGF,type:stuck_at,stuck_at,1,,0.4,all,macro_f1,0.4962779943722688
chemical,gas_class,101,CAGF,type:stuck_at,stuck_at,1,,0.4,all,macro_auroc,0.8017166308466303
chemical,gas_class,101,CAGF,type:stuck_at,stuck_at,1,,0.4,all,macro_auprc,0.5331707335096985
chemical,gas_class,101,CAGF,type:stuck_at,stuck_at,1,,0.4,all,nll,1.7453144436164523
chemical,gas_class,101,CAGF,type:stuck_at,stuck_at,1,,0.4,all,brier,0.7218404767028553
chemical,gas_class,101,CAGF,type:stuck_at,stuck_at,1,,0.4,all,ece15,0.2501177517961844
chemical,gas_class,101,CAGF,type:stuck_at,stuck_at,1,,0.4,affected,accuracy,0.3915014164305949
chemical,gas_class,101,CAGF,type:stuck_at,stuck_at,1,,0.4,affected,macro_f1,0.38113640130482457
chemical,gas_class,101,CAGF,type:stuck_at,stuck_at,1,,0.4,affected,macro_auroc,0.7475770733021377
chemical,gas_class,101,CAGF,type:stuck_at,stuck_at,1,,0.4,affected,macro_auprc,0.4434152815605188
chemical,gas_class,101,CAGF,type:stuck_at,stuck_at,1,,0.4,affected,nll,1.8674842210217217
chemical,gas_class,101,CAGF,type:stuck_at,stuck_at,1,,0.4,affected,brier,0.8413166464501343
chemical,gas_class,101,CAGF,type:stuck_at,stuck_at,1,,0.4,affected,ece15,0.31573262547298464
chemical,gas_class,101,CAGF,type:stuck_at,stuck_at,1,,0.4,unaffected,accuracy,0.5552135436706426
chemical,gas_class,101,CAGF,type:stuck_at,stuck_at,1,,0.4,unaffected,macro_f1,0.5346707690952518
chemical,gas_class,101,CAGF,type:stuck_at,stuck_at,1,,0.4,unaffected,macro_auroc,0.8406844417475048
chemical,gas_class,101,CAGF,type:stuck_at,stuck_at,1,,0.4,unaffected,macro_auprc,0.6008800451040965
chemical,gas_class,101,CAGF,type:stuck_at,stuck_at,1,,0.4,unaffected,nll,1.6623480499572374
chemical,gas_class,101,CAGF,type:stuck_at,stuck_at,1,,0.4,unaffected,brier,0.640703331799451
chemical,gas_class,101,CAGF,type:stuck_at,stuck_at,1,,0.4,unaffected,ece15,0.2083184074878509
chemical,gas_class,101,CAGF,type:clipping,clipping,1,,0.4,all,accuracy,0.5286434463794684
chemical,gas_class,101,CAGF,type:clipping,clipping,1,,0.4,all,macro_f1,0.4974460782646906
chemical,gas_class,101,CAGF,type:clipping,clipping,1,,0.4,all,macro_auroc,0.8220083596460227
chemical,gas_class,101,CAGF,type:clipping,clipping,1,,0.4,all,macro_auprc,0.5558054180147316
chemical,gas_class,101,CAGF,type:clipping,clipping,1,,0.4,all,nll,1.7124221249725227
chemical,gas_class,101,CAGF,type:clipping,clipping,1,,0.4,all,brier,0.6813555097250494
chemical,gas_class,101,CAGF,type:clipping,clipping,1,,0.4,all,ece15,0.21962929980045715
chemical,gas_class,101,CAGF,type:clipping,clipping,1,,0.4,affected,accuracy,0.5105053946621237
chemical,gas_class,101,CAGF,type:clipping,clipping,1,,0.4,affected,macro_f1,0.4608420480318102
chemical,gas_class,101,CAGF,type:clipping,clipping,1,,0.4,affected,macro_auroc,0.8046373428705746
chemical,gas_class,101,CAGF,type:clipping,clipping,1,,0.4,affected,macro_auprc,0.5131360824665915
chemical,gas_class,101,CAGF,type:clipping,clipping,1,,0.4,affected,nll,1.7552579601818885
chemical,gas_class,101,CAGF,type:clipping,clipping,1,,0.4,affected,brier,0.7131432526441944
chemical,gas_class,101,CAGF,type:clipping,clipping,1,,0.4,affected,ece15,0.21718891260300355
chemical,gas_class,101,CAGF,type:clipping,clipping,1,,0.4,unaffected,accuracy,0.5409143296196696
chemical,gas_class,101,CAGF,type:clipping,clipping,1,,0.4,unaffected,macro_f1,0.5151544267504827
chemical,gas_class,101,CAGF,type:clipping,clipping,1,,0.4,unaffected,macro_auroc,0.835671358553538
chemical,gas_class,101,CAGF,type:clipping,clipping,1,,0.4,unaffected,macro_auprc,0.585571337316754
chemical,gas_class,101,CAGF,type:clipping,clipping,1,,0.4,unaffected,nll,1.683442522281899
chemical,gas_class,101,CAGF,type:clipping,clipping,1,,0.4,unaffected,brier,0.6598502406967688
chemical,gas_class,101,CAGF,type:clipping,clipping,1,,0.4,unaffected,ece15,0.2212928512258526
chemical,gas_class,101,CAGF,type:correlated_dual,correlated_dual,1,,0.4,all,accuracy,0.5316223648029331
chemical,gas_class,101,CAGF,type:correlated_dual,correlated_dual,1,,0.4,all,macro_f1,0.5011290723528737
chemical,gas_class,101,CAGF,type:correlated_dual,correlated_dual,1,,0.4,all,macro_auroc,0.8291394900705548
chemical,gas_class,101,CAGF,type:correlated_dual,correlated_dual,1,,0.4,all,macro_auprc,0.5544665290200949
chemical,gas_class,101,CAGF,type:correlated_dual,correlated_dual,1,,0.4,all,nll,1.7990219579941744
chemical,gas_class,101,CAGF,type:correlated_dual,correlated_dual,1,,0.4,all,brier,0.670662981282865
chemical,gas_class,101,CAGF,type:correlated_dual,correlated_dual,1,,0.4,all,ece15,0.2213747177945704
chemical,gas_class,101,CAGF,type:correlated_dual,correlated_dual,1,,0.4,affected,accuracy,0.4784853700516351
chemical,gas_class,101,CAGF,type:correlated_dual,correlated_dual,1,,0.4,affected,macro_f1,0.44661152360612194
chemical,gas_class,101,CAGF,type:correlated_dual,correlated_dual,1,,0.4,affected,macro_auroc,0.8101059345357767
chemical,gas_class,101,CAGF,type:correlated_dual,correlated_dual,1,,0.4,affected,macro_auprc,0.5186682019791374
chemical,gas_class,101,CAGF,type:correlated_dual,correlated_dual,1,,0.4,affected,nll,2.0885737321847424
chemical,gas_class,101,CAGF,type:correlated_dual,correlated_dual,1,,0.4,affected,brier,0.7341285005661365
chemical,gas_class,101,CAGF,type:correlated_dual,correlated_dual,1,,0.4,affected,ece15,0.25745581467467626
chemical,gas_class,101,CAGF,type:correlated_dual,correlated_dual,1,,0.4,unaffected,accuracy,0.566959175887066
chemical,gas_class,101,CAGF,type:correlated_dual,correlated_dual,1,,0.4,unaffected,macro_f1,0.5382376274907578
chemical,gas_class,101,CAGF,type:correlated_dual,correlated_dual,1,,0.4,unaffected,macro_auroc,0.8469195323391842
chemical,gas_class,101,CAGF,type:correlated_dual,correlated_dual,1,,0.4,unaffected,macro_auprc,0.5988947048020992
chemical,gas_class,101,CAGF,type:correlated_dual,correlated_dual,1,,0.4,unaffected,nll,1.6064661615751894
chemical,gas_class,101,CAGF,type:correlated_dual,correlated_dual,1,,0.4,unaffected,brier,0.6284575634611397
chemical,gas_class,101,CAGF,type:correlated_dual,correlated_dual,1,,0.4,unaffected,ece15,0.19738032691854412
chemical,gas_class,101,CAGF,group:1,silent_gaussian,1,3.0,0.4,all,accuracy,0.5309349220898258
chemical,gas_class,101,CAGF,group:1,silent_gaussian,1,3.0,0.4,all,macro_f1,0.49916095414369416
chemical,gas_class,101,CAGF,group:1,silent_gaussian,1,3.0,0.4,all,macro_auroc,0.8310217528108758
chemical,gas_class,101,CAGF,group:1,silent_gaussian,1,3.0,0.4,all,macro_auprc,0.5677851257487964
