seed,method,fault,metric,value,affected_fraction
101,MOME_A,delayed_quality,macro_auroc,0.7662464091057603,0.4010082493125573
101,MOME_A,delayed_quality,nll,2.7910910887749294,0.4010082493125573
101,MOME_A,delayed_quality,ece,0.2716434703069362,0.4010082493125573
101,MOME_A,delayed_quality,aurc,0.3594809316383176,0.4010082493125573
101,CFA,silent_gaussian,accuracy,0.5064161319890009,0.4010082493125573
101,CFA,silent_gaussian,macro_f1,0.4869931118093956,0.4010082493125573
101,CFA,silent_gaussian,macro_auroc,0.7937072168597177,0.4010082493125573
101,CFA,silent_gaussian,nll,2.6620860315900186,0.4010082493125573
101,CFA,silent_gaussian,ece,0.2920383709106393,0.4010082493125573
101,CFA,silent_gaussian,aurc,0.3201593381305894,0.4010082493125573
101,CFA,bias,accuracy,0.5071035747021082,0.4010082493125573
101,CFA,bias,macro_f1,0.516540434235111,0.4010082493125573
101,CFA,bias,macro_auroc,0.8044461955256637,0.4010082493125573
101,CFA,bias,nll,2.4564891494042715,0.4010082493125573
101,CFA,bias,ece,0.2528622710956115,0.4010082493125573
101,CFA,bias,aurc,0.2709267337415676,0.4010082493125573
101,CFA,clipping,accuracy,0.5536205316223648,0.4010082493125573
101,CFA,clipping,macro_f1,0.5365076306856458,0.4010082493125573
101,CFA,clipping,macro_auroc,0.8480886522429284,0.4010082493125573
101,CFA,clipping,nll,1.7431127390826806,0.4010082493125573
101,CFA,clipping,ece,0.2105350937083103,0.4010082493125573
101,CFA,clipping,aurc,0.2280514274094542,0.4010082493125573
101,CFA,burst,accuracy,0.5268102658111824,0.4000916590284143
101,CFA,burst,macro_f1,0.5045741450068775,0.4000916590284143
101,CFA,burst,macro_auroc,0.8061641398677567,0.4000916590284143
101,CFA,burst,nll,2.5043240416538133,0.4000916590284143
101,CFA,burst,ece,0.2689577409302718,0.4000916590284143
101,CFA,burst,aurc,0.2976196681226638,0.4000916590284143
101,CFA,correlated,accuracy,0.4846471127406049,0.4010082493125573
101,CFA,correlated,macro_f1,0.4687772170014933,0.4010082493125573
101,CFA,correlated,macro_auroc,0.7685118584273306,0.4010082493125573
101,CFA,correlated,nll,3.1693693127500047,0.4010082493125573
101,CFA,correlated,ece,0.3283613957976879,0.4010082493125573
101,CFA,correlated,aurc,0.3559777521765617,0.4010082493125573
101,CFA,misleading_quality,accuracy,0.4713565536205316,0.4010082493125573
101,CFA,misleading_quality,macro_f1,0.4590351514728108,0.4010082493125573
101,CFA,misleading_quality,macro_auroc,0.7395517330657566,0.4010082493125573
101,CFA,misleading_quality,nll,3.719998588829596,0.4010082493125573
101,CFA,misleading_quality,ece,0.3439378766607626,0.4010082493125573
101,CFA,misleading_quality,aurc,0.3940338838990241,0.4010082493125573
101,CFA,delayed_quality,accuracy,0.5240604949587534,0.4010082493125573
101,CFA,delayed_quality,macro_f1,0.5024311836093373,0.4010082493125573
101,CFA,delayed_quality,macro_auroc,0.8127775551525342,0.4010082493125573
101,CFA,delayed_quality,nll,2.3111286008082788,0.4010082493125573
101,CFA,delayed_quality,ece,0.2662412980340906,0.4010082493125573
101,CFA,delayed_quality,aurc,0.2851331465493554,0.4010082493125573
101,CRF_NR,silent_gaussian,accuracy,0.5240604949587534,0.4010082493125573
101,CRF_NR,silent_gaussian,macro_f1,0.5015118658512098,0.4010082493125573
101,CRF_NR,silent_gaussian,macro_auroc,0.8025281257656731,0.4010082493125573
101,CRF_NR,silent_gaussian,nll,2.416665090585132,0.4010082493125573
101,CRF_NR,silent_gaussian,ece,0.2687503946321913,0.4010082493125573
101,CRF_NR,silent_gaussian,aurc,0.2947665996231975,0.4010082493125573
101,CRF_NR,bias,accuracy,0.5341429880843263,0.4010082493125573
101,CRF_NR,bias,macro_f1,0.5428725170007017,0.4010082493125573
101,CRF_NR,bias,macro_auroc,0.8024022802592438,0.4010082493125573
101,CRF_NR,bias,nll,2.419319939363949,0.4010082493125573
101,CRF_NR,bias,ece,0.2510807412914679,0.4010082493125573
101,CRF_NR,bias,aurc,0.2639187382542635,0.4010082493125573
101,CRF_NR,clipping,accuracy,0.5733272227314391,0.4010082493125573
101,CRF_NR,clipping,macro_f1,0.5466663281774423,0.4010082493125573
101,CRF_NR,clipping,macro_auroc,0.8498965527537359,0.4010082493125573
101,CRF_NR,clipping,nll,1.660514603255472,0.4010082493125573
101,CRF_NR,clipping,ece,0.1862875006471501,0.4010082493125573
101,CRF_NR,clipping,aurc,0.2187382875330976,0.4010082493125573
101,CRF_NR,burst,accuracy,0.5368927589367553,0.4000916590284143
101,CRF_NR,burst,macro_f1,0.5112983149636053,0.4000916590284143
101,CRF_NR,burst,macro_auroc,0.8118621017627415,0.4000916590284143
101,CRF_NR,burst,nll,2.290313429847191,0.4000916590284143
101,CRF_NR,burst,ece,0.2532346177945216,0.4000916590284143
101,CRF_NR,burst,aurc,0.2758029165956107,0.4000916590284143
101,CRF_NR,correlated,accuracy,0.4967919340054995,0.4010082493125573
101,CRF_NR,correlated,macro_f1,0.4760645551209303,0.4010082493125573
101,CRF_NR,correlated,macro_auroc,0.7749037908764751,0.4010082493125573
101,CRF_NR,correlated,nll,2.9525589780467683,0.4010082493125573
101,CRF_NR,correlated,ece,0.3123370440903877,0.4010082493125573
101,CRF_NR,correlated,aurc,0.3373211823363699,0.4010082493125573
101,CRF_NR,misleading_quality,accuracy,0.4885426214482126,0.4010082493125573
101,CRF_NR,misleading_quality,macro_f1,0.4716755663578082,0.4010082493125573
101,CRF_NR,misleading_quality,macro_auroc,0.7507344329257771,0.4010082493125573
101,CRF_NR,misleading_quality,nll,3.413164302575752,0.4010082493125573
101,CRF_NR,misleading_quality,ece,0.3224896234754681,0.4010082493125573
101,CRF_NR,misleading_quality,aurc,0.368351855501685,0.4010082493125573
101,CRF_NR,delayed_quality,accuracy,0.5364344637946837,0.4010082493125573
101,CRF_NR,delayed_quality,macro_f1,0.5100166116410428,0.4010082493125573
101,CRF_NR,delayed_quality,macro_auroc,0.8182271420654764,0.4010082493125573
101,CRF_NR,delayed_quality,nll,2.1479466514665835,0.4010082493125573
101,CRF_NR,delayed_quality,ece,0.2492746127501307,0.4010082493125573
101,CRF_NR,delayed_quality,aurc,0.2705105756458721,0.4010082493125573
101,CRF,silent_gaussian,accuracy,0.5391842346471127,0.4010082493125573
101,CRF,silent_gaussian,macro_f1,0.5128427045460627,0.4010082493125573
101,CRF,silent_gaussian,macro_auroc,0.819116251026864,0.4010082493125573
101,CRF,silent_gaussian,nll,2.3366783778514595,0.4010082493125573
101,CRF,silent_gaussian,ece,0.2740999041867846,0.4010082493125573
101,CRF,silent_gaussian,aurc,0.2796510064628503,0.4010082493125573
101,CRF,bias,accuracy,0.5114573785517873,0.4010082493125573
101,CRF,bias,macro_f1,0.496663454124456,0.4010082493125573
101,CRF,bias,macro_auroc,0.8098683191944026,0.4010082493125573
101,CRF,bias,nll,2.5938149986034107,0.4010082493125573
101,CRF,bias,ece,0.3130816201774163,0.4010082493125573
101,CRF,bias,aurc,0.2911306237114017,0.4010082493125573
101,CRF,clipping,accuracy,0.5740146654445463,0.4010082493125573
101,CRF,clipping,macro_f1,0.5433740586277953,0.4010082493125573
101,CRF,clipping,macro_auroc,0.8503559101098391,0.4010082493125573
101,CRF,clipping,nll,1.8373340915072447,0.4010082493125573
101,CRF,clipping,ece,0.220937224120366,0.4010082493125573
101,CRF,clipping,aurc,0.2312145180340196,0.4010082493125573
101,CRF,burst,accuracy,0.5623281393217232,0.4000916590284143
101,CRF,burst,macro_f1,0.5345992996328397,0.4000916590284143
101,CRF,burst,macro_auroc,0.8298129474490542,0.4000916590284143
101,CRF,burst,nll,2.221228493952501,0.4000916590284143
101,CRF,burst,ece,0.2553571857150053,0.4000916590284143
101,CRF,burst,aurc,0.2571695496772449,0.4000916590284143
101,CRF,correlated,accuracy,0.5178735105407882,0.4010082493125573
101,CRF,correlated,macro_f1,0.4955233256742168,0.4010082493125573
101,CRF,correlated,macro_auroc,0.8007875400061705,0.4010082493125573
101,CRF,correlated,nll,2.726048395113856,0.4010082493125573
101,CRF,correlated,ece,0.3060342735388102,0.4010082493125573
101,CRF,correlated,aurc,0.3061553661837296,0.4010082493125573
101,CRF,misleading_quality,accuracy,0.495417048579285,0.4010082493125573
101,CRF,misleading_quality,macro_f1,0.4753441269804511,0.4010082493125573
101,CRF,misleading_quality,macro_auroc,0.7584252165287656,0.4010082493125573
101,CRF,misleading_quality,nll,3.621225362880871,0.4010082493125573
101,CRF,misleading_quality,ece,0.3491898744779371,0.4010082493125573
101,CRF,misleading_quality,aurc,0.3592953978543513,0.4010082493125573
101,CRF,delayed_quality,accuracy,0.5492667277726856,0.4010082493125573
101,CRF,delayed_quality,macro_f1,0.5213955267506146,0.4010082493125573
101,CRF,delayed_quality,macro_auroc,0.8298143051085388,0.4010082493125573
101,CRF,delayed_quality,nll,2.161762029636604,0.4010082493125573
101,CRF,delayed_quality,ece,0.2603119503293531,0.4010082493125573
101,CRF,delayed_quality,aurc,0.264808458356803,0.4010082493125573
102,UF,silent_gaussian,accuracy,0.4825847846012832,0.398487626031164
102,UF,silent_gaussian,macro_f1,0.4687165967342655,0.398487626031164
102,UF,silent_gaussian,macro_auroc,0.7933237629668305,0.398487626031164
102,UF,silent_gaussian,nll,2.3116025853411597,0.398487626031164
102,UF,silent_gaussian,ece,0.2723719662859503,0.398487626031164
102,UF,silent_gaussian,aurc,0.3306338457849302,0.398487626031164
