origin,train_max_batch,validation_batch,test_batches,seed,method,regime,metric,value
1,4,5,6,101,BCRF,silent,aurc,0.2233895790200138
1,4,5,6,102,BCRF,natural,macro_auroc,0.9762949757144832
1,4,5,6,102,BCRF,natural,nll,0.8083157179852833
1,4,5,6,102,BCRF,natural,aurc,0.1464751552795031
1,4,5,6,102,BCRF,silent,macro_auroc,0.9537007357285362
1,4,5,6,102,BCRF,silent,nll,1.0673582790541447
1,4,5,6,102,BCRF,silent,aurc,0.1678417874396135
1,4,5,6,103,BCRF,natural,macro_auroc,0.9738891312744428
1,4,5,6,103,BCRF,natural,nll,0.8594493656992555
1,4,5,6,103,BCRF,natural,aurc,0.1699963768115941
1,4,5,6,103,BCRF,silent,macro_auroc,0.947240332543608
1,4,5,6,103,BCRF,silent,nll,1.1983335859591182
1,4,5,6,103,BCRF,silent,aurc,0.1958818150448585
1,4,5,6,104,BCRF,natural,macro_auroc,0.977961933632896
1,4,5,6,104,BCRF,natural,nll,0.5754911137158402
1,4,5,6,104,BCRF,natural,aurc,0.0807303312629399
1,4,5,6,104,BCRF,silent,macro_auroc,0.9521055752739505
1,4,5,6,104,BCRF,silent,nll,0.8221693741333279
1,4,5,6,104,BCRF,silent,aurc,0.1234792960662525
1,4,5,6,105,BCRF,natural,macro_auroc,0.9762372124620964
1,4,5,6,105,BCRF,natural,nll,0.9137665134871552
1,4,5,6,105,BCRF,natural,aurc,0.1643409247757073
1,4,5,6,105,BCRF,silent,macro_auroc,0.9539079042902916
1,4,5,6,105,BCRF,silent,nll,1.293555408290671
1,4,5,6,105,BCRF,silent,aurc,0.2081985852311939
2,5,6,7,101,BCRF,natural,macro_auroc,0.9603043845202062
2,5,6,7,101,BCRF,natural,nll,0.761629393836885
2,5,6,7,101,BCRF,natural,aurc,0.0819273818138028
2,5,6,7,101,BCRF,silent,macro_auroc,0.9171510162719496
2,5,6,7,101,BCRF,silent,nll,1.1509720366906904
2,5,6,7,101,BCRF,silent,aurc,0.1430481610410939
2,5,6,7,102,BCRF,natural,macro_auroc,0.9587453836809487
2,5,6,7,102,BCRF,natural,nll,0.715820311899689
2,5,6,7,102,BCRF,natural,aurc,0.0837173780418827
2,5,6,7,102,BCRF,silent,macro_auroc,0.9038913110586744
2,5,6,7,102,BCRF,silent,nll,1.2021684072041516
2,5,6,7,102,BCRF,silent,aurc,0.1717734981302173
2,5,6,7,103,BCRF,natural,macro_auroc,0.953808353378006
2,5,6,7,103,BCRF,natural,nll,0.7978246880861912
2,5,6,7,103,BCRF,natural,aurc,0.0960091043367962
2,5,6,7,103,BCRF,silent,macro_auroc,0.9146024297777928
2,5,6,7,103,BCRF,silent,nll,1.0806271508292136
2,5,6,7,103,BCRF,silent,aurc,0.153167852734928
2,5,6,7,104,BCRF,natural,macro_auroc,0.9614263063078092
2,5,6,7,104,BCRF,natural,nll,0.7321108193519767
2,5,6,7,104,BCRF,natural,aurc,0.0743057376781899
2,5,6,7,104,BCRF,silent,macro_auroc,0.9213344843018896
2,5,6,7,104,BCRF,silent,nll,1.051823996821137
2,5,6,7,104,BCRF,silent,aurc,0.1384443598504054
2,5,6,7,105,BCRF,natural,macro_auroc,0.9641904934268268
2,5,6,7,105,BCRF,natural,nll,0.7295551778080703
2,5,6,7,105,BCRF,natural,aurc,0.0765597118078998
2,5,6,7,105,BCRF,silent,macro_auroc,0.9256726331579084
2,5,6,7,105,BCRF,silent,nll,1.0566397206615208
2,5,6,7,105,BCRF,silent,aurc,0.12890441719745
3,6,7,8-9-10,101,BCRF,natural,macro_auroc,0.8849085335986066
3,6,7,8-9-10,101,BCRF,natural,nll,1.556308780007834
3,6,7,8-9-10,101,BCRF,natural,aurc,0.1626367029602757
3,6,7,8-9-10,101,BCRF,silent,macro_auroc,0.8468342609380463
3,6,7,8-9-10,101,BCRF,silent,nll,2.0008622970225414
3,6,7,8-9-10,101,BCRF,silent,aurc,0.2315955781442633
3,6,7,8-9-10,102,BCRF,natural,macro_auroc,0.887687907643279
3,6,7,8-9-10,102,BCRF,natural,nll,1.3384045537448543
3,6,7,8-9-10,102,BCRF,natural,aurc,0.1624837063223423
3,6,7,8-9-10,102,BCRF,silent,macro_auroc,0.8447018471625679
3,6,7,8-9-10,102,BCRF,silent,nll,1.7817081882580723
3,6,7,8-9-10,102,BCRF,silent,aurc,0.2499101887761053
3,6,7,8-9-10,103,BCRF,natural,macro_auroc,0.8882575328994203
3,6,7,8-9-10,103,BCRF,natural,nll,1.4701083878141483
3,6,7,8-9-10,103,BCRF,natural,aurc,0.1737053957186348
3,6,7,8-9-10,103,BCRF,silent,macro_auroc,0.8492536374727874
3,6,7,8-9-10,103,BCRF,silent,nll,1.9423565014192203
3,6,7,8-9-10,103,BCRF,silent,aurc,0.2430034653153962
3,6,7,8-9-10,104,BCRF,natural,macro_auroc,0.8857981954608816
3,6,7,8-9-10,104,BCRF,natural,nll,1.384560845490484
3,6,7,8-9-10,104,BCRF,natural,aurc,0.1665402074715727
3,6,7,8-9-10,104,BCRF,silent,macro_auroc,0.8356272373843182
3,6,7,8-9-10,104,BCRF,silent,nll,1.8708804148489295
3,6,7,8-9-10,104,BCRF,silent,aurc,0.2689046522790474
3,6,7,8-9-10,105,BCRF,natural,macro_auroc,0.8709297429264519
3,6,7,8-9-10,105,BCRF,natural,nll,1.509491057662683
3,6,7,8-9-10,105,BCRF,natural,aurc,0.1778256370127282
3,6,7,8-9-10,105,BCRF,silent,macro_auroc,0.832341924226243
3,6,7,8-9-10,105,BCRF,silent,nll,1.911785591794129
3,6,7,8-9-10,105,BCRF,silent,aurc,0.2511105480506346
