building,seed,method,metric,value
auditorium,102,EF-PD,mean_temperature_group_weight_on_faults,0.0
auditorium,102,EF-PD,train_seconds,3.412824200000614
auditorium,102,EF-PD,inference_seconds,0.003122499998426065
auditorium,102,EF-PD,recall_return_air_temperature_fault,0.6927374301675978
auditorium,102,EF-PD,recall_supply_air_temperature_fault,1.0
auditorium,102,UF-PD,accuracy,0.9652555056660252
auditorium,102,UF-PD,macro_f1,0.7643289334113825
auditorium,102,UF-PD,macro_auroc,0.9813741873036745
auditorium,102,UF-PD,macro_auprc,0.8344386186273647
auditorium,102,UF-PD,nll,0.09447857876659757
auditorium,102,UF-PD,class_1_precision,0.9963902989283699
auditorium,102,UF-PD,class_1_recall,0.9678939294323909
auditorium,102,UF-PD,class_1_f1,0.9819354121505197
auditorium,102,UF-PD,class_1_auroc,0.9813743074539296
auditorium,102,UF-PD,class_1_auprc,0.999518998585355
auditorium,102,UF-PD,class_2_precision,0.40081799591002043
auditorium,102,UF-PD,class_2_recall,0.8596491228070176
auditorium,102,UF-PD,class_2_f1,0.5467224546722455
auditorium,102,UF-PD,class_2_auroc,0.9813740671534193
auditorium,102,UF-PD,class_2_auprc,0.6693582386693744
auditorium,102,UF-PD,balanced_accuracy,0.9137715261197042
auditorium,102,UF-PD,native_sensor_fault_recall,0.8596491228070176
auditorium,102,UF-PD,mean_temperature_group_weight_on_faults,0.40000009536743164
auditorium,102,UF-PD,train_seconds,5.9131517999921925
auditorium,102,UF-PD,inference_seconds,0.009499599997070618
auditorium,102,UF-PD,recall_return_air_temperature_fault,0.8268156424581006
auditorium,102,UF-PD,recall_supply_air_temperature_fault,0.9795918367346939
auditorium,102,CAGF,accuracy,0.9818259568099209
auditorium,102,CAGF,macro_f1,0.8182535110818521
auditorium,102,CAGF,macro_auroc,0.98967861248563
auditorium,102,CAGF,macro_auprc,0.9019148352433788
auditorium,102,CAGF,nll,0.044866336832839714
auditorium,102,CAGF,class_1_precision,0.9919797846627115
auditorium,102,CAGF,class_1_recall,0.9893710278325663
auditorium,102,CAGF,class_1_f1,0.9906736888303709
auditorium,102,CAGF,class_1_auroc,0.98967861248563
auditorium,102,CAGF,class_1_auprc,0.9997311338617997
auditorium,102,CAGF,class_2_precision,0.6150793650793651
