seed,threshold,accuracy,transfer_rate,recovery_rate,recovery_usage
108,0.7,0.7096600107933081,0.058823529411764705,0.5555555555555556,0.7744198596869941
108,0.725,0.7096600107933081,0.058823529411764705,0.5555555555555556,0.7636265515380464
108,0.75,0.7085806799784133,0.058823529411764705,0.5185185185185185,0.749055585536967
108,0.775,0.7085806799784133,0.058823529411764705,0.5185185185185185,0.7350242849433352
108,0.8,0.7075013491635186,0.04411764705882353,0.46296296296296297,0.7182946573124662
108,0.825,0.7069616837560713,0.04411764705882353,0.4444444444444444,0.7042633567188343
108,0.8500000000000001,0.7053426875337291,0.04411764705882353,0.3888888888888889,0.6794387479762547
108,0.875,0.7053426875337291,0.04411764705882353,0.3888888888888889,0.664328116567728
108,0.9,0.7048030221262817,0.0,0.3148148148148148,0.6373448461953589
109,0.5,0.7553191489361702,0.0,0.8518518518518519,0.15691489361702127
109,0.525,0.7553191489361702,0.0,0.8518518518518519,0.14148936170212767
109,0.55,0.7542553191489362,0.0,0.8333333333333334,0.12872340425531914
109,0.575,0.7537234042553191,0.0,0.8240740740740741,0.12234042553191489
109,0.6,0.7531914893617021,0.0,0.8148148148148148,0.11223404255319148
109,0.625,0.752127659574468,0.0,0.7962962962962963,0.10159574468085106
109,0.65,0.7510638297872341,0.0,0.7777777777777778,0.09042553191489362
109,0.675,0.75,0.0,0.7592592592592593,0.08244680851063829
109,0.7,0.747872340425532,0.0,0.7222222222222222,0.07553191489361702
109,0.725,0.7452127659574468,0.0,0.6759259259259259,0.07021276595744681
109,0.75,0.7414893617021276,0.0,0.6111111111111112,0.06329787234042553
109,0.775,0.7393617021276596,0.0,0.5740740740740741,0.05851063829787234
109,0.8,0.7367021276595744,0.0,0.5277777777777778,0.052127659574468084
109,0.825,0.7351063829787234,0.0,0.5,0.04840425531914894
109,0.8500000000000001,0.7303191489361702,0.0,0.4166666666666667,0.039361702127659576
109,0.875,0.7271276595744681,0.0,0.3611111111111111,0.029787234042553193
109,0.9,0.723404255319149,0.0,0.2962962962962963,0.023936170212765957
110,0.5,0.6296866974833076,0.023255813953488372,0.9821428571428571,0.6789933230611197
110,0.525,0.6296866974833076,0.023255813953488372,0.9821428571428571,0.6620441705187468
110,0.55,0.6296866974833076,0.023255813953488372,0.9821428571428571,0.6456086286594761
110,0.575,0.6296866974833076,0.023255813953488372,0.9821428571428571,0.6296866974833076
110,0.6,0.6291730868002054,0.023255813953488372,0.9642857142857143,0.6086286594761171
110,0.625,0.6271186440677966,0.023255813953488372,0.8928571428571429,0.5880842321520288
110,0.65,0.6260914227015922,0.023255813953488372,0.8571428571428571,0.5449409347714432
110,0.675,0.6255778120184899,0.023255813953488372,0.8392857142857143,0.4340010272213662
110,0.7,0.6240369799691834,0.023255813953488372,0.7857142857142857,0.41705187467899335
110,0.725,0.6224961479198767,0.023255813953488372,0.7321428571428571,0.39445300462249616
110,0.75,0.6214689265536724,0.023255813953488372,0.6964285714285714,0.37082691319979455
110,0.775,0.6194144838212635,0.023255813953488372,0.625,0.349768875192604
110,0.8,0.6173600410888547,0.023255813953488372,0.5535714285714286,0.3220338983050847
110,0.825,0.6168464304057525,0.023255813953488372,0.5357142857142857,0.288135593220339
110,0.8500000000000001,0.615819209039548,0.023255813953488372,0.5,0.062146892655367235
110,0.875,0.6147919876733436,0.023255813953488372,0.4642857142857143,0.04365690806368772
110,0.9,0.613251155624037,0.023255813953488372,0.4107142857142857,0.03954802259887006
