method,seed,fault_type,fault_realization,subset,metric,value,n,inference_ms_per_observation
RO-CAGF,101,offset,70004,all,macro_f1,0.5193264230441673,4364,0.0012662465611342972
RO-CAGF,101,offset,70004,all,macro_auroc,0.8506639349352657,4364,0.0012662465611342972
RO-CAGF,101,offset,70004,all,macro_auprc,0.6134989350673797,4364,0.0012662465611342972
RO-CAGF,101,offset,70004,all,nll,1.489672220985994,4364,0.0012662465611342972
RO-CAGF,101,offset,70004,all,brier,0.6201253853915147,4364,0.0012662465611342972
RO-CAGF,101,offset,70004,all,ece15,0.1804776637517018,4364,0.0012662465611342972
RO-CAGF,101,offset,70004,affected,accuracy,0.5381008206330598,1706,0.0012662465611342972
RO-CAGF,101,offset,70004,affected,macro_f1,0.5011976154464006,1706,0.0012662465611342972
RO-CAGF,101,offset,70004,affected,macro_auroc,0.8428592291179684,1706,0.0012662465611342972
RO-CAGF,101,offset,70004,affected,macro_auprc,0.5912501278917864,1706,0.0012662465611342972
RO-CAGF,101,offset,70004,affected,nll,1.602696121945242,1706,0.0012662465611342972
RO-CAGF,101,offset,70004,affected,brier,0.6413988553421384,1706,0.0012662465611342972
RO-CAGF,101,offset,70004,affected,ece15,0.18000106943240618,1706,0.0012662465611342972
RO-CAGF,101,offset,70004,unaffected,accuracy,0.5609480812641083,2658,0.0012662465611342972
RO-CAGF,101,offset,70004,unaffected,macro_f1,0.5292865798878977,2658,0.0012662465611342972
RO-CAGF,101,offset,70004,unaffected,macro_auroc,0.8574754678856013,2658,0.0012662465611342972
RO-CAGF,101,offset,70004,unaffected,macro_auprc,0.629361530140616,2658,0.0012662465611342972
RO-CAGF,101,offset,70004,unaffected,nll,1.4171294162318642,2658,0.0012662465611342972
RO-CAGF,101,offset,70004,unaffected,brier,0.6064713072365996,2658,0.0012662465611342972
RO-CAGF,101,offset,70004,unaffected,ece15,0.18078358170903652,2658,0.0012662465611342972
RO-CAGF,101,offset,70005,all,accuracy,0.5710357470210816,4364,0.0014429422581246538
RO-CAGF,101,offset,70005,all,macro_f1,0.5434778630907406,4364,0.0014429422581246538
RO-CAGF,101,offset,70005,all,macro_auroc,0.8505930393593969,4364,0.0014429422581246538
RO-CAGF,101,offset,70005,all,macro_auprc,0.6167302084700631,4364,0.0014429422581246538
RO-CAGF,101,offset,70005,all,nll,1.4947493727086592,4364,0.0014429422581246538
RO-CAGF,101,offset,70005,all,brier,0.609986113109387,4364,0.0014429422581246538
RO-CAGF,101,offset,70005,all,ece15,0.16040427971539095,4364,0.0014429422581246538
RO-CAGF,101,offset,70005,affected,accuracy,0.5621336459554513,1706,0.0014429422581246538
RO-CAGF,101,offset,70005,affected,macro_f1,0.5367220462300379,1706,0.0014429422581246538
RO-CAGF,101,offset,70005,affected,macro_auroc,0.8439862546225577,1706,0.0014429422581246538
RO-CAGF,101,offset,70005,affected,macro_auprc,0.6070414609331056,1706,0.0014429422581246538
RO-CAGF,101,offset,70005,affected,nll,1.56375966586108,1706,0.0014429422581246538
RO-CAGF,101,offset,70005,affected,brier,0.6167651992116914,1706,0.0014429422581246538
RO-CAGF,101,offset,70005,affected,ece15,0.15746718618892142,1706,0.0014429422581246538
RO-CAGF,101,offset,70005,unaffected,accuracy,0.5767494356659142,2658,0.0014429422581246538
RO-CAGF,101,offset,70005,unaffected,macro_f1,0.5466891195850533,2658,0.0014429422581246538
RO-CAGF,101,offset,70005,unaffected,macro_auroc,0.854449409606544,2658,0.0014429422581246538
RO-CAGF,101,offset,70005,unaffected,macro_auprc,0.6251676487932838,2658,0.0014429422581246538
RO-CAGF,101,offset,70005,unaffected,nll,1.4504560844776473,2658,0.0014429422581246538
RO-CAGF,101,offset,70005,unaffected,brier,0.6056350518262675,2658,0.0014429422581246538
RO-CAGF,101,offset,70005,unaffected,ece15,0.16228937573501093,2658,0.0014429422581246538
RO-CAGF,101,offset,70006,all,accuracy,0.5614115490375802,4364,0.0012760082486309248
RO-CAGF,101,offset,70006,all,macro_f1,0.5308860652675377,4364,0.0012760082486309248
RO-CAGF,101,offset,70006,all,macro_auroc,0.8442083182205916,4364,0.0012760082486309248
RO-CAGF,101,offset,70006,all,macro_auprc,0.6043703768874568,4364,0.0012760082486309248
RO-CAGF,101,offset,70006,all,nll,1.559580416155963,4364,0.0012760082486309248
RO-CAGF,101,offset,70006,all,brier,0.6292038184805838,4364,0.0012760082486309248
RO-CAGF,101,offset,70006,all,ece15,0.18067950744772587,4364,0.0012760082486309248
RO-CAGF,101,offset,70006,affected,accuracy,0.5579881656804734,1690,0.0012760082486309248
RO-CAGF,101,offset,70006,affected,macro_f1,0.5272950822662512,1690,0.0012760082486309248
RO-CAGF,101,offset,70006,affected,macro_auroc,0.841425231739327,1690,0.0012760082486309248
RO-CAGF,101,offset,70006,affected,macro_auprc,0.6027021155828297,1690,0.0012760082486309248
RO-CAGF,101,offset,70006,affected,nll,1.6555391689772945,1690,0.0012760082486309248
RO-CAGF,101,offset,70006,affected,brier,0.6336182947131545,1690,0.0012760082486309248
RO-CAGF,101,offset,70006,affected,ece15,0.18217417412608333,1690,0.0012760082486309248
RO-CAGF,101,offset,70006,unaffected,accuracy,0.5635751682872102,2674,0.0012760082486309248
RO-CAGF,101,offset,70006,unaffected,macro_f1,0.5330446327816812,2674,0.0012760082486309248
RO-CAGF,101,offset,70006,unaffected,macro_auroc,0.8479636296609213,2674,0.0012760082486309248
RO-CAGF,101,offset,70006,unaffected,macro_auprc,0.6070539112343155,2674,0.0012760082486309248
RO-CAGF,101,offset,70006,unaffected,nll,1.4989333360258021,2674,0.0012760082486309248
RO-CAGF,101,offset,70006,unaffected,brier,0.6264138166731626,2674,0.0012760082486309248
RO-CAGF,101,offset,70006,unaffected,ece15,0.18005379097133586,2674,0.0012760082486309248
