seed,method,fault,true_class,pred_class,count
101,UF,correlated_dual,6,4,73
101,UF,correlated_dual,6,5,81
101,UF,correlated_dual,6,6,285
101,CAGF,natural,1,1,402
101,CAGF,natural,1,2,0
101,CAGF,natural,1,3,0
101,CAGF,natural,1,4,28
101,CAGF,natural,1,5,229
101,CAGF,natural,1,6,32
101,CAGF,natural,2,1,10
101,CAGF,natural,2,2,600
101,CAGF,natural,2,3,5
101,CAGF,natural,2,4,0
101,CAGF,natural,2,5,66
101,CAGF,natural,2,6,4
101,CAGF,natural,3,1,7
101,CAGF,natural,3,2,248
101,CAGF,natural,3,3,422
101,CAGF,natural,3,4,0
101,CAGF,natural,3,5,63
101,CAGF,natural,3,6,0
101,CAGF,natural,4,1,324
101,CAGF,natural,4,2,31
101,CAGF,natural,4,3,4
101,CAGF,natural,4,4,62
101,CAGF,natural,4,5,162
101,CAGF,natural,4,6,125
101,CAGF,natural,5,1,44
101,CAGF,natural,5,2,14
101,CAGF,natural,5,3,38
101,CAGF,natural,5,4,6
101,CAGF,natural,5,5,637
101,CAGF,natural,5,6,82
101,CAGF,natural,6,1,186
101,CAGF,natural,6,2,100
101,CAGF,natural,6,3,0
101,CAGF,natural,6,4,98
101,CAGF,natural,6,5,50
101,CAGF,natural,6,6,285
101,CAGF,silent_gaussian,1,1,364
101,CAGF,silent_gaussian,1,2,51
101,CAGF,silent_gaussian,1,3,4
101,CAGF,silent_gaussian,1,4,46
101,CAGF,silent_gaussian,1,5,182
101,CAGF,silent_gaussian,1,6,44
101,CAGF,silent_gaussian,2,1,35
101,CAGF,silent_gaussian,2,2,558
101,CAGF,silent_gaussian,2,3,28
101,CAGF,silent_gaussian,2,4,1
101,CAGF,silent_gaussian,2,5,58
101,CAGF,silent_gaussian,2,6,5
101,CAGF,silent_gaussian,3,1,37
101,CAGF,silent_gaussian,3,2,211
101,CAGF,silent_gaussian,3,3,439
101,CAGF,silent_gaussian,3,4,0
101,CAGF,silent_gaussian,3,5,50
101,CAGF,silent_gaussian,3,6,3
101,CAGF,silent_gaussian,4,1,215
