model,regime,metric,mean,sd,n,ci95
EF,complete_drift,macro_auroc,0.8728449195762815,0.0040068085339085725,10,0.002483445658608814
EF,complete_drift,macro_f1,0.6124575148163448,0.014377221509598295,10,0.008911094213438617
EF,complete_drift,nll,1.6331223696017574,0.13276062123645,10,0.0822858855504759
EF,missing_drift,accuracy,0.592025664527956,0.012016697105395555,10,0.007448026029858868
EF,missing_drift,aurc,0.2212327488823143,0.008542367537043608,10,0.005294614253358754
EF,missing_drift,ece,0.17926647878916957,0.012563138710960837,10,0.007786714045904532
EF,missing_drift,macro_auroc,0.8562920215170126,0.004488236761466565,10,0.0027818379654891098
EF,missing_drift,macro_f1,0.5876091071344705,0.012948604169229749,10,0.0080256280121648
EF,missing_drift,nll,1.554169365160402,0.07832002685996416,10,0.048543255571478205
EF,reported_fault,accuracy,0.5164986251145738,0.008891266977408193,10,0.0055108643669171484
EF,reported_fault,aurc,0.33421260568644695,0.01457282223335364,10,0.0090323287980513
EF,reported_fault,ece,0.28137317775935616,0.017108829334468154,10,0.010604162284020327
EF,reported_fault,macro_auroc,0.7879034334449152,0.0063083855736872935,10,0.003909977887194363
EF,reported_fault,macro_f1,0.5068773366495358,0.010739434994992567,10,0.006656370772029118
EF,reported_fault,nll,2.6466665879627143,0.20134094729885627,10,0.12479241202518118
EF,silent_fault,accuracy,0.5159945004582951,0.008618575612602685,10,0.005341848507952273
EF,silent_fault,aurc,0.3354708478097981,0.014552953269294478,10,0.009020013886541004
EF,silent_fault,ece,0.2828343172572164,0.017532001123558006,10,0.010866446876250584
EF,silent_fault,macro_auroc,0.7874228175193858,0.006374495727890595,10,0.003950953385288851
EF,silent_fault,macro_f1,0.5073976413744191,0.010319836503503035,10,0.0063963009325970896
EF,silent_fault,nll,2.6610961711579497,0.2038730960502626,10,0.1263618540812251
GF,complete_drift,accuracy,0.5403987167736022,0.041679256329184344,10,0.025833070711713393
GF,complete_drift,aurc,0.2651207911500516,0.052486687541847876,10,0.03253158597608541
GF,complete_drift,ece,0.1953451316110537,0.04948779932667087,10,0.0306728558032789
GF,complete_drift,macro_auroc,0.8378494814088739,0.023916702783066977,10,0.014823725963492802
GF,complete_drift,macro_f1,0.5218970043555688,0.044844537492039316,10,0.02779493230196521
GF,complete_drift,nll,1.6661047655112209,0.3325931792279402,10,0.20614338819699102
GF,missing_drift,accuracy,0.507813932172319,0.032192574276589246,10,0.019953164257801203
GF,missing_drift,aurc,0.30642100287132756,0.04295782690988815,10,0.026625536967837787
GF,missing_drift,ece,0.21420803195178015,0.045749295701716694,10,0.028355707250131285
GF,missing_drift,macro_auroc,0.8157339915400208,0.019312424504001266,10,0.011969964720247554
GF,missing_drift,macro_f1,0.4914572898341122,0.031668906161565674,10,0.01962859139743082
GF,missing_drift,nll,1.768055867235002,0.3099567256128939,10,0.1921131688888205
GF,reported_fault,accuracy,0.4563473877176902,0.031497813417090605,10,0.019522547015751422
GF,reported_fault,aurc,0.4066127527447705,0.043116476901705114,10,0.02672386925151989
GF,reported_fault,ece,0.29966851712932674,0.03304156554427184,10,0.020479374497217456
GF,reported_fault,macro_auroc,0.7519473892012107,0.022320712220870193,10,0.013834520764560607
GF,reported_fault,macro_f1,0.4389099215086322,0.031066061494060347,10,0.01925494440140849
GF,reported_fault,nll,2.70410968785676,0.3116395117417609,10,0.19315617053732334
GF,silent_fault,accuracy,0.45625572868927594,0.031925053268218685,10,0.019787353018955595
GF,silent_fault,aurc,0.40693430308999723,0.04328241567088303,10,0.02682671916621441
GF,silent_fault,ece,0.29987276387524703,0.033108893551284574,10,0.020521104828303546
GF,silent_fault,macro_auroc,0.7518194483185969,0.02248060486186916,10,0.013933623250185254
GF,silent_fault,macro_f1,0.43889415565151485,0.03150544307578812,10,0.019527275927205177
GF,silent_fault,nll,2.707319065499613,0.31439435877857635,10,0.19486364242069704
MD,complete_drift,accuracy,0.6081118240146655,0.020831798275100774,10,0.012911682340071128
MD,complete_drift,aurc,0.19537976766244267,0.014485314071053433,10,0.00897809067713333
MD,complete_drift,ece,0.21693300929272205,0.02868146241738651,10,0.017776954581238222
MD,complete_drift,macro_auroc,0.8706518049918335,0.005906626436912409,10,0.00366096499436798
MD,complete_drift,macro_f1,0.5887133743552547,0.014422393301556091,10,0.008939091980159889
MD,complete_drift,nll,1.6363686714659096,0.1516828712223351,10,0.09401401759893113
MD,missing_drift,accuracy,0.5873510540788268,0.017713764335967722,10,0.010979104882475147
MD,missing_drift,aurc,0.22071712010878647,0.01310216568715972,10,0.008120806427056653
MD,missing_drift,ece,0.18786308828546683,0.028457430457204645,10,0.017638098133720238
MD,missing_drift,macro_auroc,0.8579862964490379,0.005282226284948245,10,0.0032739577706618252
MD,missing_drift,macro_f1,0.5699886846483644,0.011687686180905711,10,0.007244102946151615
MD,missing_drift,nll,1.5297339101062635,0.11673629818642338,10,0.0723539072255935
MD,reported_fault,accuracy,0.508730522456462,0.01238973037432445,10,0.00767923444533422
MD,reported_fault,aurc,0.3448380440881041,0.016156627890274826,10,0.010013981714449612
MD,reported_fault,ece,0.29234281515106764,0.026567641211049948,10,0.01646679462387412
MD,reported_fault,macro_auroc,0.7805271715678861,0.007443589022236704,10,0.004613584274192769
MD,reported_fault,macro_f1,0.4917325112259349,0.00874313319512626,10,0.005419050097433574
MD,reported_fault,nll,2.6892996592570277,0.2409015717764081,10,0.149312341110685
MD,silent_fault,accuracy,0.5084326306141155,0.012868041144364923,10,0.007975694532026737
MD,silent_fault,aurc,0.3465009847215226,0.016454685326683142,10,0.010198719627479423
MD,silent_fault,ece,0.2944457762271139,0.026898223495122584,10,0.016671691646341105
MD,silent_fault,macro_auroc,0.7800210957542721,0.007513091648948861,10,0.004656662448532645
MD,silent_fault,macro_f1,0.49171874292145096,0.00909387923021446,10,0.005636444742259375
MD,silent_fault,nll,2.7081023291198973,0.2437484386000185,10,0.1510768474488094
RWF,complete_drift,accuracy,0.5823327222731439,0.02177238249971997,10,0.013494662482351065
RWF,complete_drift,aurc,0.19225534590692875,0.018344828140114063,10,0.011370242280593744
RWF,complete_drift,ece,0.17524359197544462,0.02117106212768589,10,0.013121960254449914
RWF,complete_drift,macro_auroc,0.8722947103568451,0.006305086584209784,10,0.0039079331523320954
RWF,complete_drift,macro_f1,0.5599407932953604,0.021586627419317748,10,0.013379530290711395
RWF,complete_drift,nll,1.4726460149285872,0.07856614471053791,10,0.048695800995683255
RWF,missing_drift,accuracy,0.5585472043996333,0.013149002423691065,10,0.008149836137115873
RWF,missing_drift,aurc,0.23022531647827446,0.016205202615010253,10,0.010044088640758028
RWF,missing_drift,ece,0.19758491276410828,0.01899434717977446,10,0.011772818352192274
RWF,missing_drift,macro_auroc,0.8513570726003898,0.006265864583726977,10,0.003883623104572972
RWF,missing_drift,macro_f1,0.5380229552918917,0.015416152774774108,10,0.009555030482980544
RWF,missing_drift,nll,1.6574341251000373,0.11585679834225214,10,0.07180878757456202
RWF,reported_fault,accuracy,0.541704857928506,0.009517519916049762,10,0.0058990199597034314
RWF,reported_fault,aurc,0.2531030619091859,0.014825242411253456,10,0.00918878044520277
RWF,reported_fault,ece,0.22431104798057722,0.016050224015743807,10,0.009948031909754192
