seed,fault_type,variant,n,recovery_opportunities,recovery_preserved,recovery_preservation_rate,transfer_opportunities,negative_transfer_remaining,negative_transfer_rate,recovery_usage
105,drift,Balanced,1436,45,9,0.2,128,24,0.1875,0.6406685236768802
105,drift,Safe,1436,45,0,0.0,128,11,0.0859375,0.2945682451253482
105,gaussian,Balanced,1436,98,39,0.3979591836734694,92,30,0.32608695652173914,0.7040389972144847
105,gaussian,Safe,1436,98,13,0.1326530612244898,92,1,0.010869565217391304,0.33774373259052926
105,offset,Balanced,1436,39,12,0.3076923076923077,178,22,0.12359550561797752,0.5828690807799443
105,offset,Safe,1436,39,1,0.02564102564102564,178,5,0.028089887640449437,0.2618384401114206
105,stuck_at,Balanced,1436,23,7,0.30434782608695654,135,18,0.13333333333333333,0.5710306406685237
105,stuck_at,Safe,1436,23,2,0.08695652173913043,135,9,0.06666666666666667,0.2479108635097493
106,drift,Balanced,1436,15,4,0.26666666666666666,15,4,0.26666666666666666,0.3516713091922006
106,drift,Safe,1436,15,1,0.06666666666666667,15,4,0.26666666666666666,0.10515320334261838
106,gaussian,Balanced,1436,33,14,0.42424242424242425,17,5,0.29411764705882354,0.4533426183844011
106,gaussian,Safe,1436,33,13,0.3939393939393939,17,4,0.23529411764705882,0.21448467966573817
106,offset,Balanced,1436,18,6,0.3333333333333333,16,4,0.25,0.34818941504178275
106,offset,Safe,1436,18,3,0.16666666666666666,16,4,0.25,0.11281337047353761
106,stuck_at,Balanced,1436,20,6,0.3,19,4,0.21052631578947367,0.2736768802228412
106,stuck_at,Safe,1436,20,3,0.15,19,1,0.05263157894736842,0.09958217270194986
107,drift,Balanced,1436,72,20,0.2777777777777778,74,13,0.17567567567567569,0.782033426183844
107,drift,Safe,1436,72,10,0.1388888888888889,74,1,0.013513513513513514,0.39623955431754876
107,gaussian,Balanced,1436,120,56,0.4666666666666667,51,15,0.29411764705882354,0.8057103064066853
107,gaussian,Safe,1436,120,25,0.20833333333333334,51,4,0.0784313725490196,0.5181058495821727
107,offset,Balanced,1436,124,42,0.3387096774193548,90,15,0.16666666666666666,0.7381615598885793
107,offset,Safe,1436,124,7,0.056451612903225805,90,4,0.044444444444444446,0.3864902506963788
107,stuck_at,Balanced,1436,103,55,0.5339805825242718,63,20,0.31746031746031744,0.7827298050139275
107,stuck_at,Safe,1436,103,11,0.10679611650485436,63,4,0.06349206349206349,0.4171309192200557
108,drift,Balanced,1436,37,12,0.32432432432432434,12,3,0.25,0.8809192200557103
108,drift,Safe,1436,37,1,0.02702702702702703,12,0,0.0,0.6392757660167131
108,gaussian,Balanced,1436,59,27,0.4576271186440678,17,6,0.35294117647058826,0.8245125348189415
108,gaussian,Safe,1436,59,10,0.1694915254237288,17,1,0.058823529411764705,0.6295264623955432
108,offset,Balanced,1436,41,9,0.21951219512195122,29,10,0.3448275862068966,0.8600278551532033
108,offset,Safe,1436,41,1,0.024390243902439025,29,2,0.06896551724137931,0.6211699164345403
108,stuck_at,Balanced,1436,40,10,0.25,8,2,0.25,0.8802228412256268
108,stuck_at,Safe,1436,40,3,0.075,8,0,0.0,0.6364902506963789
109,drift,Balanced,1436,45,2,0.044444444444444446,24,2,0.08333333333333333,0.02158774373259053
109,drift,Safe,1436,45,2,0.044444444444444446,24,2,0.08333333333333333,0.02158774373259053
109,gaussian,Balanced,1436,50,23,0.46,25,6,0.24,0.11420612813370473
109,gaussian,Safe,1436,50,23,0.46,25,6,0.24,0.11420612813370473
109,offset,Balanced,1436,49,4,0.08163265306122448,26,4,0.15384615384615385,0.04247910863509749
109,offset,Safe,1436,49,4,0.08163265306122448,26,4,0.15384615384615385,0.04247910863509749
109,stuck_at,Balanced,1436,44,11,0.25,29,1,0.034482758620689655,0.04526462395543175
109,stuck_at,Safe,1436,44,11,0.25,29,1,0.034482758620689655,0.04526462395543175
110,drift,Balanced,1436,18,4,0.2222222222222222,10,1,0.1,0.5926183844011143
110,drift,Safe,1436,18,4,0.2222222222222222,10,1,0.1,0.5926183844011143
110,gaussian,Balanced,1436,57,43,0.7543859649122807,28,13,0.4642857142857143,0.5396935933147632
110,gaussian,Safe,1436,57,43,0.7543859649122807,28,13,0.4642857142857143,0.5396935933147632
110,offset,Balanced,1436,34,10,0.29411764705882354,13,7,0.5384615384615384,0.5933147632311978
110,offset,Safe,1436,34,10,0.29411764705882354,13,7,0.5384615384615384,0.5933147632311978
110,stuck_at,Balanced,1436,24,4,0.16666666666666666,18,9,0.5,0.5654596100278552
110,stuck_at,Safe,1436,24,4,0.16666666666666666,18,9,0.5,0.5654596100278552
